* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12-Jun-2024 14:05:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme Buds Air 6 Pro GS
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.133	-56.2745
20.600000	75.196	-56.3969
20.900000	75.275	-56.5465
21.200001	75.356	-56.7078
21.400000	75.411	-56.8210
21.799999	75.517	-57.0605
22.000000	75.570	-57.1855
22.400000	75.674	-57.4392
22.700001	75.752	-57.6285
23.000000	75.831	-57.8157
23.299999	75.910	-58.0012
23.600000	75.989	-58.1856
24.000000	76.091	-58.4256
24.299999	76.165	-58.5938
24.700001	76.258	-58.7896
25.000000	76.324	-58.9100
25.400000	76.409	-59.0406
25.799999	76.492	-59.1563
26.200001	76.571	-59.2807
26.500000	76.626	-59.3863
26.900000	76.692	-59.5353
27.200001	76.735	-59.6395
27.600000	76.788	-59.7476
28.000000	76.839	-59.8093
28.500000	76.904	-59.8328
29.000000	76.973	-59.8297
29.500000	77.040	-59.8230
30.000000	77.102	-59.8130
30.400000	77.149	-59.8015
30.700001	77.183	-59.7942
31.100000	77.229	-59.7928
31.500000	77.274	-59.8038
32.000000	77.329	-59.8242
32.500000	77.380	-59.8250
33.000000	77.429	-59.7826
33.500000	77.476	-59.6956
34.000000	77.522	-59.5829
34.500000	77.564	-59.4685
35.000000	77.600	-59.3653
35.500000	77.629	-59.2678
36.000000	77.652	-59.1590
36.500000	77.672	-59.0263
37.000000	77.693	-58.8730
37.500000	77.713	-58.7107
38.200001	77.739	-58.4683
38.700001	77.757	-58.2652
39.500000	77.786	-57.8743
40.000000	77.806	-57.6098
40.599998	77.826	-57.2906
41.200001	77.840	-56.9676
41.799999	77.852	-56.6485
42.500000	77.869	-56.3126
43.099998	77.883	-56.0487
43.700001	77.897	-55.7568
44.400002	77.916	-55.3375
45.000000	77.934	-54.9302
45.500000	77.948	-54.5801
46.200001	77.959	-54.0774
46.799999	77.961	-53.6186
47.500000	77.960	-53.0396
48.200001	77.958	-52.4303
48.700001	77.959	-52.0042
49.400002	77.961	-51.4680
50.000000	77.958	-51.0798
50.799999	77.943	-50.6014
51.500000	77.922	-50.1300
52.200001	77.901	-49.5714
53.000000	77.880	-48.8675
53.799999	77.862	-48.1728
54.500000	77.841	-47.6046
55.200001	77.815	-47.0464
56.000000	77.780	-46.3711
57.000000	77.735	-45.4677
58.000000	77.689	-44.5394
59.000000	77.649	-43.6181
60.000000	77.614	-42.7321
60.799999	77.586	-42.0225
61.500000	77.563	-41.3908
62.200001	77.540	-40.7565
63.000000	77.508	-40.0067
64.000000	77.459	-38.9696
65.000000	77.402	-37.8595
66.000000	77.340	-36.7802
67.000000	77.277	-35.7554
68.000000	77.220	-34.7312
69.000000	77.166	-33.6669
70.000000	77.113	-32.5965
71.000000	77.056	-31.5626
72.000000	76.998	-30.5733
73.000000	76.937	-29.6018
74.000000	76.872	-28.6021
75.000000	76.806	-27.5411
76.199997	76.725	-26.1428
77.500000	76.638	-24.4782
78.800003	76.552	-22.7923
80.000000	76.471	-21.3145
81.199997	76.386	-19.8774
82.500000	76.296	-18.3210
83.800003	76.210	-16.7460
85.000000	76.132	-15.2572
86.199997	76.048	-13.7356
87.500000	75.954	-12.0382
88.500000	75.886	-10.6965
90.000000	75.795	-8.6586
91.199997	75.730	-7.0488
92.500000	75.664	-5.3400
93.800003	75.592	-3.6121
95.000000	75.515	-1.9845
96.199997	75.427	-0.3595
97.500000	75.325	1.3982
98.800003	75.222	3.1838
100.000000	75.131	4.8839
101.500000	75.023	7.0762
103.000000	74.920	9.2808
104.400002	74.824	11.3452
