* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:20:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Redmi Buds 6 Pro ET R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.714	-167.4119
20.600000	86.739	-167.4752
20.900000	86.768	-167.5631
21.200001	86.795	-167.6662
21.400000	86.810	-167.7390
21.799999	86.838	-167.8813
22.000000	86.851	-167.9466
22.400000	86.879	-168.0631
22.700001	86.905	-168.1452
23.000000	86.936	-168.2340
23.299999	86.969	-168.3387
23.600000	87.003	-168.4633
24.000000	87.045	-168.6541
24.299999	87.073	-168.8041
24.700001	87.107	-168.9955
25.000000	87.130	-169.1263
25.400000	87.162	-169.2846
25.799999	87.194	-169.4332
26.200001	87.226	-169.5807
26.500000	87.248	-169.6929
26.900000	87.277	-169.8455
27.200001	87.297	-169.9639
27.600000	87.324	-170.1319
28.000000	87.351	-170.3167
28.500000	87.385	-170.5691
29.000000	87.416	-170.8222
29.500000	87.446	-171.0432
30.000000	87.476	-171.2172
30.400000	87.503	-171.3331
30.700001	87.525	-171.4188
31.100000	87.557	-171.5472
31.500000	87.590	-171.7032
32.000000	87.631	-171.9369
32.500000	87.673	-172.1912
33.000000	87.712	-172.4351
33.500000	87.752	-172.6538
34.000000	87.793	-172.8600
34.500000	87.832	-173.0806
35.000000	87.865	-173.3295
35.500000	87.891	-173.5930
36.000000	87.914	-173.8410
36.500000	87.939	-174.0539
37.000000	87.972	-174.2380
37.500000	88.012	-174.4185
38.200001	88.071	-174.7095
38.700001	88.109	-174.9557
39.500000	88.163	-175.3944
40.000000	88.194	-175.6735
40.599998	88.233	-175.9950
41.200001	88.274	-176.3047
41.799999	88.316	-176.6178
42.500000	88.363	-177.0001
43.099998	88.404	-177.3500
43.700001	88.448	-177.7349
44.400002	88.498	-178.2281
45.000000	88.529	-178.6457
45.500000	88.544	-178.9551
46.200001	88.558	-179.3274
46.799999	88.570	-179.6376
47.500000	88.592	179.9581
48.200001	88.625	179.5158
48.700001	88.654	179.1977
49.400002	88.700	178.7612
50.000000	88.735	178.3893
50.799999	88.766	177.8885
51.500000	88.782	177.4477
52.200001	88.794	177.0020
53.000000	88.806	176.4818
53.799999	88.818	175.9580
54.500000	88.832	175.5002
55.200001	88.849	175.0339
56.000000	88.869	174.4825
57.000000	88.892	173.7642
58.000000	88.908	173.0160
59.000000	88.917	172.2746
60.000000	88.926	171.5733
60.799999	88.933	171.0257
61.500000	88.937	170.5484
62.200001	88.941	170.0784
63.000000	88.945	169.5457
64.000000	88.950	168.8558
65.000000	88.951	168.1314
66.000000	88.950	167.3955
67.000000	88.947	166.6569
68.000000	88.934	165.9172
69.000000	88.912	165.1892
70.000000	88.885	164.4899
71.000000	88.862	163.8180
72.000000	88.844	163.1487
73.000000	88.824	162.4651
74.000000	88.796	161.7755
75.000000	88.760	161.0793
76.199997	88.707	160.2176
77.500000	88.644	159.2672
78.800003	88.580	158.3486
80.000000	88.514	157.5525
81.199997	88.436	156.8034
82.500000	88.344	156.0084
83.800003	88.253	155.2302
85.000000	88.168	154.5725
86.199997	88.080	153.9785
87.500000	87.980	153.3630
88.500000	87.901	152.8894
90.000000	87.781	152.2365
91.199997	87.687	151.8079
92.500000	87.585	151.4223
93.800003	87.481	151.0768
95.000000	87.378	150.7746
96.199997	87.269	150.4848
97.500000	87.153	150.1783
98.800003	87.046	149.8769
100.000000	86.956	149.6173
101.500000	86.848	149.3517
103.000000	86.741	149.1631
104.400002	86.638	149.0256
106.000000	86.517	148.8676
107.500000	86.408	148.6923
109.000000	86.307	148.5148
110.599998	86.201	148.3873
112.000000	86.108	148.3300
113.800003	85.993	148.2753
115.000000	85.920	148.2321
117.199997	85.794	148.1357
118.000000	85.749	148.0914
120.599998	85.601	147.9049
122.000000	85.516	147.8227
124.099998	85.384	147.7875
125.000000	85.327	147.8062
126.500000	85.234	147.8611
128.000000	85.142	147.9102
131.500000	84.919	147.9259
132.000000	84.888	147.9293
134.000000	84.769	147.9895
136.000000	84.651	148.1354
138.000000	84.528	148.3572
140.000000	84.403	148.6615
143.000000	84.220	149.2551
145.000000	84.103	149.7132
147.500000	83.971	150.3518
150.000000	83.857	151.0253
152.500000	83.755	151.6786
155.000000	83.659	152.3712
157.500000	83.575	153.1877
160.000000	83.520	154.1155
162.500000	83.495	155.0412
165.000000	83.492	155.8599
167.500000	83.503	156.5665
170.000000	83.524	157.2070
172.500000	83.557	157.7660
175.000000	83.598	158.2038
177.500000	83.637	158.5278
180.000000	83.660	158.8353
182.500000	83.665	159.2083
185.000000	83.653	159.5931
187.500000	83.628	159.9444
190.000000	83.599	160.2834
192.500000	83.575	160.6098
195.000000	83.562	160.9155
197.500000	83.567	161.2305
200.000000	83.590	161.5454
203.000000	83.637	161.8439
206.000000	83.699	162.0245
209.000000	83.771	162.1453
212.000000	83.843	162.2688
214.000000	83.885	162.3516
218.000000	83.948	162.4904
220.000000	83.974	162.5488
224.000000	84.015	162.6290
227.000000	84.044	162.6462
230.000000	84.077	162.6484
233.000000	84.112	162.6629
236.000000	84.144	162.6824
240.000000	84.183	162.6671
243.000000	84.210	162.6149
247.000000	84.240	162.5152
250.000000	84.259	162.4285
254.000000	84.281	162.3049
258.000000	84.302	162.1835
262.000000	84.320	162.0677
265.000000	84.332	161.9768
269.000000	84.348	161.8267
272.000000	84.363	161.6785
276.000000	84.382	161.4437
280.000000	84.398	161.2092
285.000000	84.409	160.9600
290.000000	84.414	160.7588
295.000000	84.420	160.5832
300.000000	84.425	160.4040
304.000000	84.424	160.2458
307.000000	84.420	160.1185
311.000000	84.410	159.9512
315.000000	84.394	159.7915
320.000000	84.372	159.5957
325.000000	84.350	159.4127
330.000000	84.330	159.2552
335.000000	84.315	159.1322
340.000000	84.308	159.0501
345.000000	84.299	159.0153
350.000000	84.283	159.0051
355.000000	84.261	158.9841
360.000000	84.239	158.9451
365.000000	84.220	158.8699
370.000000	84.206	158.7554
375.000000	84.193	158.6260
382.000000	84.166	158.4903
387.000000	84.142	158.4536
395.000000	84.103	158.4853
400.000000	84.085	158.5518
406.000000	84.062	158.6637
412.000000	84.038	158.7785
418.000000	84.021	158.8901
425.000000	84.017	158.9808
431.000000	84.017	159.0142
437.000000	84.008	159.0448
444.000000	83.992	159.1227
450.000000	83.981	159.2194
455.000000	83.976	159.2994
462.000000	83.970	159.4259
468.000000	83.967	159.5673
475.000000	83.969	159.7519
482.000000	83.979	159.9318
487.000000	83.990	160.0399
494.000000	84.011	160.1633
500.000000	84.030	160.2667
508.000000	84.054	160.4249
515.000000	84.071	160.5657
522.000000	84.085	160.6757
530.000000	84.100	160.7589
538.000000	84.119	160.8305
545.000000	84.139	160.9124
552.000000	84.163	161.0031
560.000000	84.193	161.1083
570.000000	84.236	161.2513
580.000000	84.283	161.3729
590.000000	84.337	161.4874
600.000000	84.392	161.6163
608.000000	84.434	161.7265
615.000000	84.468	161.8131
622.000000	84.500	161.8734
630.000000	84.533	161.8953
640.000000	84.572	161.8870
650.000000	84.619	161.8782
660.000000	84.677	161.8301
670.000000	84.742	161.7726
680.000000	84.811	161.7365
690.000000	84.884	161.6424
700.000000	84.957	161.5379
710.000000	85.024	161.4944
720.000000	85.081	161.4589
730.000000	85.133	161.3616
740.000000	85.184	161.2000
750.000000	85.233	160.9945
762.000000	85.291	160.7195
775.000000	85.357	160.4458
788.000000	85.428	160.1943
800.000000	85.502	159.9065
812.000000	85.583	159.5475
825.000000	85.666	159.0964
838.000000	85.734	158.5912
850.000000	85.786	158.0798
862.000000	85.827	157.5323
875.000000	85.857	156.9211
885.000000	85.871	156.4452
900.000000	85.879	155.7116
912.000000	85.876	155.1072
925.000000	85.863	154.4498
938.000000	85.841	153.8149
950.000000	85.811	153.2955
962.000000	85.771	152.8675
975.000000	85.720	152.4737
988.000000	85.667	152.1199
1000.000000	85.616	151.8209
1015.000000	85.546	151.4928
1030.000000	85.469	151.2279
1044.000000	85.388	151.0480
1060.000000	85.290	150.9375
1075.000000	85.194	150.9367
1090.000000	85.094	151.0287
1106.000000	84.990	151.2544
1120.000000	84.910	151.5931
1138.000000	84.832	152.1714
1150.000000	84.794	152.6008
1172.000000	84.749	153.4890
1180.000000	84.741	153.8515
1206.000000	84.743	155.0822
1220.000000	84.764	155.7426
1241.000000	84.825	156.7583
1250.000000	84.862	157.2015
1265.000000	84.939	157.9264
1280.000000	85.029	158.6207
1315.000000	85.252	160.1181
1320.000000	85.282	160.3202
1340.000000	85.388	161.1242
1360.000000	85.464	161.9408
1380.000000	85.513	162.7614
1400.000000	85.556	163.5583
1430.000000	85.665	164.6872
1450.000000	85.786	165.3740
1475.000000	85.987	166.1193
1500.000000	86.227	166.6846
1525.000000	86.490	167.0043
1550.000000	86.765	167.0820
1575.000000	87.031	166.9923
1600.000000	87.276	166.8030
1625.000000	87.506	166.5444
1650.000000	87.723	166.2785
1675.000000	87.932	166.0349
1700.000000	88.139	165.8223
1725.000000	88.343	165.6512
1750.000000	88.541	165.5128
1775.000000	88.734	165.3820
1800.000000	88.929	165.2128
1825.000000	89.129	164.9685
1850.000000	89.335	164.6491
1875.000000	89.544	164.2947
1900.000000	89.759	163.9432
1925.000000	89.984	163.6029
1950.000000	90.219	163.2556
1975.000000	90.461	162.8406
2000.000000	90.708	162.3006
2030.000000	91.014	161.4890
2060.000000	91.326	160.5140
2090.000000	91.634	159.3302
2120.000000	91.926	157.8765
2140.000000	92.110	156.7526
2180.000000	92.451	154.1772
2200.000000	92.606	152.7395
2240.000000	92.872	149.6604
2270.000000	93.029	147.2997
2300.000000	93.151	144.9568
2330.000000	93.237	142.6453
2360.000000	93.286	140.3734
2400.000000	93.299	137.4341
2430.000000	93.271	135.3553
2470.000000	93.195	132.8239
2500.000000	93.118	131.1143
2540.000000	93.002	129.0215
2580.000000	92.877	127.0088
2620.000000	92.733	124.9752
2650.000000	92.608	123.4407
2690.000000	92.414	121.4999
2720.000000	92.251	120.2347
2760.000000	92.017	118.8954
2800.000000	91.779	117.9238
2850.000000	91.497	117.0797
2900.000000	91.231	116.5591
2950.000000	90.968	116.3291
3000.000000	90.708	116.3184
3040.000000	90.507	116.4313
3070.000000	90.364	116.5628
3110.000000	90.187	116.7640
3150.000000	90.025	116.9783
3200.000000	89.843	117.3400
3250.000000	89.685	117.9268
3300.000000	89.547	118.7770
3350.000000	89.427	119.8369
3400.000000	89.324	121.0367
3450.000000	89.238	122.3379
3500.000000	89.172	123.7203
3550.000000	89.132	125.1508
3600.000000	89.122	126.5836
3650.000000	89.142	127.9668
3700.000000	89.188	129.2495
3750.000000	89.266	130.4129
3820.000000	89.442	131.9307
3870.000000	89.622	132.9943
3950.000000	89.981	134.5629
4000.000000	90.232	135.3312
4060.000000	90.538	135.8917
4120.000000	90.821	136.0871
4180.000000	91.072	136.0094
4250.000000	91.333	135.5901
4310.000000	91.534	134.9189
4370.000000	91.711	133.9164
4440.000000	91.879	132.2638
4500.000000	91.984	130.4496
4550.000000	92.040	128.7653
