* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:20:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Redmi Buds 6 Pro EV L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.673	-165.8297
20.600000	86.696	-165.8539
20.900000	86.725	-165.8928
21.200001	86.757	-165.9499
21.400000	86.779	-165.9997
21.799999	86.821	-166.1251
22.000000	86.841	-166.1967
22.400000	86.879	-166.3418
22.700001	86.907	-166.4400
23.000000	86.934	-166.5227
23.299999	86.963	-166.5921
23.600000	86.994	-166.6575
24.000000	87.038	-166.7612
24.299999	87.071	-166.8652
24.700001	87.115	-167.0441
25.000000	87.145	-167.1991
25.400000	87.179	-167.4077
25.799999	87.210	-167.5909
26.200001	87.239	-167.7368
26.500000	87.262	-167.8284
26.900000	87.294	-167.9464
27.200001	87.317	-168.0426
27.600000	87.347	-168.1852
28.000000	87.374	-168.3338
28.500000	87.404	-168.5055
29.000000	87.436	-168.6554
29.500000	87.472	-168.8041
30.000000	87.511	-168.9708
30.400000	87.541	-169.1150
30.700001	87.562	-169.2238
31.100000	87.590	-169.3651
31.500000	87.619	-169.5025
32.000000	87.658	-169.6755
32.500000	87.697	-169.8519
33.000000	87.733	-170.0241
33.500000	87.766	-170.1850
34.000000	87.798	-170.3373
34.500000	87.833	-170.4917
35.000000	87.871	-170.6581
35.500000	87.911	-170.8412
36.000000	87.954	-171.0389
36.500000	87.994	-171.2401
37.000000	88.030	-171.4293
37.500000	88.062	-171.5987
38.200001	88.104	-171.8218
38.700001	88.136	-171.9978
39.500000	88.188	-172.3259
40.000000	88.220	-172.5438
40.599998	88.259	-172.8076
41.200001	88.300	-173.0944
41.799999	88.345	-173.4312
42.500000	88.397	-173.8686
43.099998	88.439	-174.2184
43.700001	88.480	-174.5072
44.400002	88.524	-174.8020
45.000000	88.552	-175.0776
45.500000	88.565	-175.3418
46.200001	88.577	-175.7558
46.799999	88.594	-176.1362
47.500000	88.628	-176.5792
48.200001	88.673	-176.9684
48.700001	88.708	-177.1986
49.400002	88.753	-177.4898
50.000000	88.784	-177.7638
50.799999	88.810	-178.2085
51.500000	88.827	-178.6546
52.200001	88.845	-179.1188
53.000000	88.864	-179.6330
53.799999	88.879	179.8877
54.500000	88.892	179.4777
55.200001	88.907	179.0496
56.000000	88.926	178.5339
57.000000	88.949	177.8829
58.000000	88.970	177.2541
59.000000	88.988	176.6432
60.000000	89.005	176.0231
60.799999	89.016	175.5130
61.500000	89.023	175.0662
62.200001	89.030	174.6245
63.000000	89.040	174.1199
64.000000	89.052	173.4730
65.000000	89.064	172.8037
66.000000	89.071	172.1231
67.000000	89.070	171.4520
68.000000	89.056	170.8140
69.000000	89.032	170.2055
70.000000	89.002	169.5870
71.000000	88.972	168.9343
72.000000	88.945	168.2631
73.000000	88.922	167.5999
74.000000	88.898	166.9575
75.000000	88.867	166.3328
76.199997	88.818	165.5940
77.500000	88.755	164.8149
78.800003	88.696	164.0701
80.000000	88.645	163.3904
81.199997	88.585	162.7004
82.500000	88.503	161.9591
83.800003	88.414	161.2581
85.000000	88.334	160.6903
86.199997	88.254	160.2026
87.500000	88.162	159.6976
88.500000	88.088	159.3007
90.000000	87.975	158.7191
91.199997	87.881	158.3002
92.500000	87.780	157.9152
93.800003	87.680	157.6105
95.000000	87.588	157.3929
96.199997	87.494	157.2031
97.500000	87.388	156.9931
98.800003	87.283	156.7808
100.000000	87.194	156.6006
101.500000	87.093	156.4069
103.000000	86.996	156.2554
104.400002	86.902	156.1609
106.000000	86.793	156.1034
107.500000	86.692	156.0822
109.000000	86.599	156.0816
110.599998	86.507	156.0759
