* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:20:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Redmi Buds 6 Pro EV R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.539	-166.2793
20.600000	86.582	-166.2403
20.900000	86.638	-166.2300
21.200001	86.700	-166.2674
21.400000	86.740	-166.3187
21.799999	86.816	-166.4718
22.000000	86.850	-166.5657
22.400000	86.907	-166.7633
22.700001	86.937	-166.8923
23.000000	86.957	-166.9765
23.299999	86.970	-166.9977
23.600000	86.983	-166.9555
24.000000	87.010	-166.8463
24.299999	87.042	-166.7847
24.700001	87.097	-166.8197
25.000000	87.142	-166.9624
25.400000	87.192	-167.2807
25.799999	87.224	-167.6489
26.200001	87.241	-167.9498
26.500000	87.251	-168.0885
26.900000	87.269	-168.1600
27.200001	87.292	-168.1625
27.600000	87.333	-168.1652
28.000000	87.380	-168.2262
28.500000	87.432	-168.4144
29.000000	87.464	-168.6775
29.500000	87.478	-168.9176
30.000000	87.488	-169.0632
30.400000	87.503	-169.1154
30.700001	87.522	-169.1433
31.100000	87.557	-169.2065
31.500000	87.597	-169.3300
32.000000	87.644	-169.5627
32.500000	87.681	-169.8163
33.000000	87.713	-170.0213
33.500000	87.748	-170.1656
34.000000	87.790	-170.2881
34.500000	87.837	-170.4289
35.000000	87.880	-170.5974
35.500000	87.917	-170.7805
36.000000	87.950	-170.9711
36.500000	87.983	-171.1823
37.000000	88.015	-171.4370
37.500000	88.042	-171.7371
38.200001	88.070	-172.1629
38.700001	88.091	-172.4168
39.500000	88.144	-172.7743
40.000000	88.183	-173.0194
40.599998	88.222	-173.2912
41.200001	88.257	-173.4514
41.799999	88.311	-173.5580
42.500000	88.394	-173.8569
43.099998	88.453	-174.3033
43.700001	88.488	-174.7594
44.400002	88.522	-175.1644
45.000000	88.555	-175.4653
45.500000	88.578	-175.7308
46.200001	88.595	-176.1015
46.799999	88.605	-176.4089
47.500000	88.623	-176.8124
48.200001	88.645	-177.2451
48.700001	88.664	-177.4993
49.400002	88.702	-177.7328
50.000000	88.742	-177.8856
50.799999	88.781	-178.1727
51.500000	88.791	-178.5297
52.200001	88.792	-178.9411
53.000000	88.809	-179.4508
53.799999	88.849	-179.9921
54.500000	88.889	179.5442
55.200001	88.921	179.1108
56.000000	88.941	178.6255
57.000000	88.952	177.9849
58.000000	88.965	177.3129
59.000000	88.982	176.6451
60.000000	88.999	176.0079
60.799999	89.013	175.5054
61.500000	89.024	175.0581
62.200001	89.033	174.6059
63.000000	89.042	174.0869
64.000000	89.050	173.4276
65.000000	89.057	172.7627
66.000000	89.061	172.1255
67.000000	89.060	171.5186
68.000000	89.053	170.8935
69.000000	89.037	170.2163
70.000000	89.007	169.5159
71.000000	88.972	168.8395
72.000000	88.939	168.1958
73.000000	88.912	167.5730
74.000000	88.890	166.9623
75.000000	88.867	166.3521
76.199997	88.837	165.6113
77.500000	88.795	164.8203
78.800003	88.739	164.0400
80.000000	88.676	163.2964
81.199997	88.602	162.5476
82.500000	88.512	161.7945
83.800003	88.423	161.1455
85.000000	88.345	160.6310
86.199997	88.263	160.1668
87.500000	88.170	159.6819
88.500000	88.096	159.3242
90.000000	87.978	158.8322
91.199997	87.877	158.4511
92.500000	87.772	158.0447
93.800003	87.675	157.6642
95.000000	87.585	157.3523
96.199997	87.490	157.0854
97.500000	87.384	156.8523
98.800003	87.278	156.6793
100.000000	87.187	156.5592
101.500000	87.084	156.4449
103.000000	86.993	156.3699
104.400002	86.909	156.3210
106.000000	86.809	156.2766
107.500000	86.714	156.2634
109.000000	86.621	156.2737
110.599998	86.526	156.2534
112.000000	86.443	156.1962
113.800003	86.333	156.1140
115.000000	86.259	156.0775
117.199997	86.127	156.0584
118.000000	86.081	156.0688
120.599998	85.945	156.1428
122.000000	85.875	156.1834
124.099998	85.768	156.2603
125.000000	85.721	156.3139
126.500000	85.641	156.4350
128.000000	85.555	156.5715
131.500000	85.352	156.8078
132.000000	85.324	156.8380
134.000000	85.217	157.0017
136.000000	85.109	157.2755
138.000000	85.000	157.6212
140.000000	84.892	157.9922
143.000000	84.733	158.6867
145.000000	84.631	159.2675
147.500000	84.514	160.0454
150.000000	84.409	160.8353
152.500000	84.316	161.6991
155.000000	84.242	162.7041
157.500000	84.184	163.7526
160.000000	84.149	164.7624
162.500000	84.144	165.7400
165.000000	84.161	166.6538
167.500000	84.192	167.4409
170.000000	84.231	168.1079
172.500000	84.272	168.6925
175.000000	84.307	169.2019
177.500000	84.336	169.6448
180.000000	84.365	170.1154
182.500000	84.396	170.6754
185.000000	84.416	171.2144
187.500000	84.421	171.6803
190.000000	84.420	172.1071
192.500000	84.420	172.5020
195.000000	84.429	172.8570
197.500000	84.449	173.1689
200.000000	84.483	173.4630
203.000000	84.548	173.8459
206.000000	84.632	174.2282
209.000000	84.723	174.5358
212.000000	84.812	174.7739
214.000000	84.868	174.9367
218.000000	84.964	175.2890
220.000000	85.004	175.4364
224.000000	85.075	175.6132
227.000000	85.127	175.6923
230.000000	85.179	175.7902
233.000000	85.231	175.9135
236.000000	85.283	176.0360
240.000000	85.351	176.1606
243.000000	85.399	176.2097
247.000000	85.455	176.2032
250.000000	85.492	176.1787
254.000000	85.546	176.1934
258.000000	85.606	176.2072
262.000000	85.669	176.1573
265.000000	85.714	176.1000
269.000000	85.770	176.0203
272.000000	85.807	175.9637
276.000000	85.848	175.8961
280.000000	85.880	175.8176
285.000000	85.922	175.6770
290.000000	85.968	175.5206
295.000000	86.012	175.3785
300.000000	86.046	175.2491
304.000000	86.066	175.1848
307.000000	86.081	175.1542
311.000000	86.101	175.1002
315.000000	86.121	174.9991
320.000000	86.147	174.8242
325.000000	86.170	174.6689
330.000000	86.189	174.5672
335.000000	86.207	174.4860
340.000000	86.230	174.3855
345.000000	86.253	174.2806
350.000000	86.271	174.2013
355.000000	86.283	174.1649
360.000000	86.296	174.1750
365.000000	86.314	174.2113
370.000000	86.332	174.2436
375.000000	86.348	174.2670
382.000000	86.371	174.2949
387.000000	86.386	174.3095
395.000000	86.406	174.2798
400.000000	86.417	174.2296
406.000000	86.432	174.2180
412.000000	86.450	174.2800
418.000000	86.467	174.3729
425.000000	86.486	174.4576
431.000000	86.509	174.5204
437.000000	86.536	174.6047
444.000000	86.567	174.7410
450.000000	86.594	174.8621
455.000000	86.617	174.9328
462.000000	86.646	174.9751
468.000000	86.670	174.9823
475.000000	86.708	175.0196
482.000000	86.759	175.1242
487.000000	86.800	175.2040
494.000000	86.857	175.2856
500.000000	86.901	175.3338
508.000000	86.961	175.3840
515.000000	87.019	175.4199
522.000000	87.080	175.4695
530.000000	87.146	175.5415
538.000000	87.205	175.5901
545.000000	87.253	175.5966
552.000000	87.305	175.5765
560.000000	87.369	175.5530
570.000000	87.448	175.5545
580.000000	87.525	175.5709
590.000000	87.605	175.5397
600.000000	87.692	175.4459
608.000000	87.763	175.3520
615.000000	87.825	175.2739
622.000000	87.885	175.2046
630.000000	87.951	175.1293
640.000000	88.028	175.0173
650.000000	88.104	174.8720
660.000000	88.182	174.6921
670.000000	88.257	174.4801
680.000000	88.328	174.2435
690.000000	88.397	174.0013
700.000000	88.469	173.7618
710.000000	88.546	173.5026
720.000000	88.623	173.1995
730.000000	88.700	172.8512
740.000000	88.778	172.4971
750.000000	88.853	172.1739
762.000000	88.932	171.8424
775.000000	89.014	171.5211
788.000000	89.102	171.1479
800.000000	89.187	170.6541
812.000000	89.271	170.0334
825.000000	89.359	169.2868
838.000000	89.438	168.4745
850.000000	89.500	167.7077
862.000000	89.548	166.9641
875.000000	89.584	166.1784
885.000000	89.599	165.5998
900.000000	89.610	164.7601
912.000000	89.609	164.0717
925.000000	89.599	163.3117
938.000000	89.579	162.5605
950.000000	89.555	161.8632
962.000000	89.522	161.1748
975.000000	89.476	160.4718
988.000000	89.420	159.8185
1000.000000	89.366	159.2689
1015.000000	89.293	158.6832
1030.000000	89.204	158.2131
1044.000000	89.105	157.8839
1060.000000	88.982	157.6412
1075.000000	88.867	157.5276
1090.000000	88.753	157.5534
1106.000000	88.638	157.7504
1120.000000	88.547	158.0152
1138.000000	88.446	158.3962
1150.000000	88.390	158.6754
1172.000000	88.311	159.2880
1180.000000	88.292	159.5392
1206.000000	88.262	160.4290
1220.000000	88.266	160.9552
1241.000000	88.300	161.8069
1250.000000	88.323	162.1911
1265.000000	88.375	162.8407
1280.000000	88.442	163.4926
1315.000000	88.622	164.9648
1320.000000	88.645	165.1631
1340.000000	88.717	165.9127
1360.000000	88.751	166.5836
1380.000000	88.756	167.1924
1400.000000	88.761	167.7862
1430.000000	88.819	168.6995
1450.000000	88.903	169.3106
1475.000000	89.056	170.0420
1500.000000	89.253	170.6744
