* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11-Jan-2025 15:19:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Redmi Buds 6 Pro (T) R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.471	83.6392
20.600000	81.589	83.2482
20.900000	81.736	82.7876
21.200001	81.887	82.3283
21.400000	81.983	82.0343
21.799999	82.157	81.4821
22.000000	82.235	81.2238
22.400000	82.378	80.7378
22.700001	82.478	80.3891
23.000000	82.577	80.0382
23.299999	82.678	79.6685
23.600000	82.781	79.2667
24.000000	82.919	78.6721
24.299999	83.019	78.1886
24.700001	83.143	77.5191
25.000000	83.227	77.0189
25.400000	83.326	76.3787
25.799999	83.413	75.7794
26.200001	83.496	75.2121
26.500000	83.558	74.7937
26.900000	83.644	74.2250
27.200001	83.713	73.7818
27.600000	83.809	73.1681
28.000000	83.908	72.5422
28.500000	84.031	71.7736
29.000000	84.151	71.0427
29.500000	84.266	70.3434
30.000000	84.378	69.6527
30.400000	84.463	69.0967
30.700001	84.525	68.6784
31.100000	84.607	68.1243
31.500000	84.688	67.5805
32.000000	84.789	66.9214
32.500000	84.887	66.2875
33.000000	84.980	65.6764
33.500000	85.068	65.0808
34.000000	85.153	64.4919
34.500000	85.236	63.9061
35.000000	85.319	63.3281
35.500000	85.401	62.7632
36.000000	85.484	62.2080
36.500000	85.568	61.6531
37.000000	85.650	61.0951
37.500000	85.731	60.5408
38.200001	85.840	59.7851
38.700001	85.916	59.2621
39.500000	86.024	58.4622
40.000000	86.083	57.9959
40.599998	86.153	57.4600
41.200001	86.230	56.9071
41.799999	86.317	56.3002
42.500000	86.422	55.5430
43.099998	86.507	54.9069
43.700001	86.584	54.3114
44.400002	86.664	53.6442
45.000000	86.725	53.0588
45.500000	86.771	52.5522
46.200001	86.831	51.8240
46.799999	86.881	51.1828
47.500000	86.937	50.4005
48.200001	86.989	49.5998
48.700001	87.027	49.0524
49.400002	87.090	48.3522
50.000000	87.154	47.7983
50.799999	87.237	47.0747
51.500000	87.294	46.4428
52.200001	87.339	45.8127
53.000000	87.384	45.0782
53.799999	87.431	44.3216
54.500000	87.474	43.6522
55.200001	87.516	42.9820
56.000000	87.557	42.2165
57.000000	87.603	41.2587
58.000000	87.649	40.2837
59.000000	87.688	39.2921
60.000000	87.719	38.3134
60.799999	87.739	37.5520
61.500000	87.756	36.9057
62.200001	87.771	36.2805
63.000000	87.788	35.5854
64.000000	87.809	34.7207
65.000000	87.828	33.8498
66.000000	87.844	32.9851
67.000000	87.856	32.1373
68.000000	87.866	31.2863
69.000000	87.868	30.4029
70.000000	87.858	29.5064
71.000000	87.842	28.6467
72.000000	87.824	27.8530
73.000000	87.805	27.0929
74.000000	87.781	26.2921
75.000000	87.753	25.4485
76.199997	87.724	24.4946
77.500000	87.698	23.5974
78.800003	87.662	22.7447
80.000000	87.612	21.9022
81.199997	87.544	21.0173
82.500000	87.457	20.0894
83.800003	87.365	19.2491
85.000000	87.283	18.5311
86.199997	87.201	17.8310
87.500000	87.110	17.1047
88.500000	87.037	16.6028
90.000000	86.928	15.9419
91.199997	86.841	15.4458
92.500000	86.742	14.9201
93.800003	86.635	14.4182
95.000000	86.532	13.9738
96.199997	86.427	13.5485
97.500000	86.316	13.1580
98.800003	86.211	12.8795
100.000000	86.122	12.7024
101.500000	86.019	12.5356
103.000000	85.924	12.3853
104.400002	85.838	12.2487
106.000000	85.734	12.1254
107.500000	85.631	12.0416
109.000000	85.531	11.9682
110.599998	85.428	11.8853
112.000000	85.336	11.7965
113.800003	85.220	11.6620
115.000000	85.144	11.5847
117.199997	85.008	11.5237
118.000000	84.960	11.5314
120.599998	84.815	11.6389
122.000000	84.737	11.7116
124.099998	84.619	11.8205
125.000000	84.568	11.8876
126.500000	84.483	12.0467
128.000000	84.399	12.2425
131.500000	84.210	12.6467
132.000000	84.184	12.7050
134.000000	84.082	12.9891
136.000000	83.981	13.3670
138.000000	83.883	13.7870
140.000000	83.791	14.2008
143.000000	83.662	14.7932
145.000000	83.575	15.2170
147.500000	83.472	15.7651
150.000000	83.376	16.2995
152.500000	83.287	16.8989
155.000000	83.202	17.6049
157.500000	83.123	18.3311
160.000000	83.058	19.0098
162.500000	83.004	19.6894
165.000000	82.961	20.3792
167.500000	82.928	21.0354
170.000000	82.900	21.6672
172.500000	82.875	22.2944
175.000000	82.854	22.9326
177.500000	82.835	23.5874
180.000000	82.813	24.2589
182.500000	82.785	24.9287
185.000000	82.749	25.5462
187.500000	82.711	26.1167
190.000000	82.682	26.6738
192.500000	82.665	27.2071
195.000000	82.657	27.7048
197.500000	82.660	28.1723
200.000000	82.677	28.6114
203.000000	82.714	29.1120
206.000000	82.769	29.5729
209.000000	82.832	29.9733
212.000000	82.892	30.3420
214.000000	82.927	30.5897
218.000000	82.985	31.0973
220.000000	83.006	31.3370
224.000000	83.034	31.7363
227.000000	83.046	31.9717
230.000000	83.054	32.1629
233.000000	83.061	32.3143
236.000000	83.069	32.4647
240.000000	83.073	32.7383
243.000000	83.061	32.9718
247.000000	83.028	33.2795
250.000000	83.001	33.5740
254.000000	82.977	34.1419
258.000000	82.983	34.8891
262.000000	83.037	35.7026
265.000000	83.108	36.2440
269.000000	83.227	36.7421
272.000000	83.320	36.9392
276.000000	83.434	37.0239
280.000000	83.528	36.9731
285.000000	83.620	36.8157
290.000000	83.688	36.6398
295.000000	83.731	36.4631
300.000000	83.752	36.2921
304.000000	83.759	36.2004
307.000000	83.761	36.1557
311.000000	83.761	36.0981
315.000000	83.759	36.0226
320.000000	83.756	35.9234
325.000000	83.754	35.8688
330.000000	83.746	35.8645
335.000000	83.733	35.8847
340.000000	83.722	35.9039
345.000000	83.712	35.9340
350.000000	83.696	36.0111
355.000000	83.677	36.1466
360.000000	83.665	36.3394
365.000000	83.660	36.5759
370.000000	83.653	36.8342
375.000000	83.643	37.0892
382.000000	83.631	37.4062
387.000000	83.627	37.5908
395.000000	83.622	37.7956
400.000000	83.621	37.8831
406.000000	83.618	38.0122
412.000000	83.609	38.1868
418.000000	83.591	38.3661
425.000000	83.566	38.5083
431.000000	83.550	38.5939
437.000000	83.542	38.6996
444.000000	83.537	38.8786
450.000000	83.539	39.0495
455.000000	83.542	39.1595
462.000000	83.545	39.2285
468.000000	83.545	39.2275
475.000000	83.554	39.2143
482.000000	83.569	39.2402
487.000000	83.580	39.2797
494.000000	83.594	39.3538
500.000000	83.604	39.4300
508.000000	83.620	39.5379
515.000000	83.642	39.6296
522.000000	83.672	39.7160
530.000000	83.711	39.7822
538.000000	83.750	39.7835
545.000000	83.782	39.7395
552.000000	83.813	39.6753
560.000000	83.848	39.6083
570.000000	83.893	39.5442
580.000000	83.935	39.4406
590.000000	83.975	39.2374
600.000000	84.015	38.9467
608.000000	84.050	38.6902
615.000000	84.083	38.4709
622.000000	84.120	38.2564
630.000000	84.164	38.0054
640.000000	84.216	37.6599
650.000000	84.265	37.2650
660.000000	84.315	36.8177
670.000000	84.363	36.3309
680.000000	84.410	35.8420
690.000000	84.456	35.3936
700.000000	84.506	34.9747
710.000000	84.560	34.5285
720.000000	84.616	34.0100
730.000000	84.672	33.4080
740.000000	84.731	32.7430
750.000000	84.787	32.0342
762.000000	84.843	31.1166
775.000000	84.893	29.9735
788.000000	84.939	28.6239
800.000000	84.987	27.2097
812.000000	85.041	25.7363
825.000000	85.103	24.1582
838.000000	85.167	22.5731
850.000000	85.222	21.0925
862.000000	85.268	19.6057
875.000000	85.303	17.9863
885.000000	85.320	16.7566
900.000000	85.333	14.9357
912.000000	85.336	13.4764
925.000000	85.331	11.9193
938.000000	85.316	10.4152
950.000000	85.298	9.0476
962.000000	85.270	7.6794
975.000000	85.226	6.1945
988.000000	85.167	4.6943
1000.000000	85.107	3.3036
1015.000000	85.031	1.6014
1030.000000	84.953	-0.0097
1044.000000	84.877	-1.3840
1060.000000	84.793	-2.8123
1075.000000	84.717	-4.0475
1090.000000	84.636	-5.1474
1106.000000	84.549	-6.1717
1120.000000	84.482	-7.0102
1138.000000	84.415	-8.1119
1150.000000	84.382	-8.9016
1172.000000	84.340	-10.5485
1180.000000	84.330	-11.2168
1206.000000	84.324	-13.4915
1220.000000	84.348	-14.6888
1241.000000	84.421	-16.3898
1250.000000	84.462	-17.0976
1265.000000	84.539	-18.2797
1280.000000	84.628	-19.4626
1315.000000	84.866	-22.0263
1320.000000	84.899	-22.3634
1340.000000	85.015	-23.6851
1360.000000	85.096	-25.0893
1380.000000	85.147	-26.7431
1400.000000	85.187	-28.7311
1430.000000	85.276	-32.2385
1450.000000	85.373	-34.7243
1475.000000	85.533	-37.8383
1500.000000	85.717	-40.9755
1525.000000	85.911	-44.1587
1550.000000	86.115	-47.3937
1575.000000	86.325	-50.6834
1600.000000	86.532	-54.0283
1625.000000	86.733	-57.4798
1650.000000	86.929	-61.2358
1675.000000	87.114	-65.4094
1700.000000	87.288	-69.9661
1725.000000	87.459	-74.7396
1750.000000	87.632	-79.5491
1775.000000	87.802	-84.3301
1800.000000	87.967	-89.1016
1825.000000	88.135	-93.8371
1850.000000	88.312	-98.4747
1875.000000	88.501	-102.9907
1900.000000	88.702	-107.4068
1925.000000	88.916	-111.7857
1950.000000	89.144	-116.2171
1975.000000	89.381	-120.8164
2000.000000	89.617	-125.6828
2030.000000	89.896	-131.8955
2060.000000	90.178	-138.4237
2090.000000	90.462	-145.1637
2120.000000	90.734	-152.0617
2140.000000	90.901	-156.7547
2180.000000	91.196	-166.4147
2200.000000	91.320	-171.3423
2240.000000	91.529	178.8140
2270.000000	91.658	171.5863
2300.000000	91.758	164.4807
2330.000000	91.822	157.3506
2360.000000	91.848	150.0645
2400.000000	91.825	140.0491
2430.000000	91.772	132.3910
2470.000000	91.660	122.1798
2500.000000	91.547	114.6016
2540.000000	91.367	104.7098
2580.000000	91.163	95.1709
2620.000000	90.942	85.9964
2650.000000	90.763	79.3299
2690.000000	90.504	70.8639
2720.000000	90.303	65.1237
2760.000000	90.050	58.7833
2800.000000	89.821	54.1317
2850.000000	89.545	50.1618
2900.000000	89.269	47.3568
2950.000000	88.998	45.2658
3000.000000	88.743	43.7471
3040.000000	88.553	42.7983
3070.000000	88.420	42.1797
3110.000000	88.253	41.4472
3150.000000	88.092	40.8097
3200.000000	87.899	40.1341
3250.000000	87.718	39.5856
3300.000000	87.557	39.1896
3350.000000	87.416	38.8538
3400.000000	87.287	38.3665
3450.000000	87.170	37.6524
3500.000000	87.071	36.7766
3550.000000	86.983	35.7227
3600.000000	86.902	34.4872
3650.000000	86.841	33.1902
3700.000000	86.810	31.8933
3750.000000	86.812	30.5565
3820.000000	86.878	28.6621
3870.000000	86.977	27.3257
3950.000000	87.182	24.8751
4000.000000	87.318	22.8732
4060.000000	87.465	19.8885
4120.000000	87.573	16.3897
4180.000000	87.640	12.5645
4250.000000	87.666	7.9049
4310.000000	87.653	3.8620
4370.000000	87.608	-0.2120
4440.000000	87.517	-4.9924
4500.000000	87.410	-9.0464
4550.000000	87.301	-12.3646
4620.000000	87.114	-16.9705
4680.000000	86.914	-20.9798
4750.000000	86.626	-25.7831
4820.000000	86.284	-30.5115
4870.000000	86.014	-33.6147
4940.000000	85.618	-37.3726
5000.000000	85.268	-40.0680
5080.000000	84.794	-43.0699
5150.000000	84.379	-45.2413
5220.000000	83.970	-47.0651
5300.000000	83.516	-48.7902
5380.000000	83.081	-50.1117
5450.000000	82.719	-50.9179
5520.000000	82.383	-51.3926
5600.000000	82.038	-51.5605
5700.000000	81.662	-51.4436
5800.000000	81.334	-51.2303
5900.000000	81.065	-50.6947
6000.000000	80.862	-49.5205
6080.000000	80.733	-48.1853
6150.000000	80.634	-46.8061
6220.000000	80.549	-45.2145
6300.000000	80.470	-43.0846
6400.000000	80.404	-40.0662
6500.000000	80.370	-36.9189
6600.000000	80.372	-33.5613
6700.000000	80.423	-29.6091
6800.000000	80.539	-24.9483
6900.000000	80.721	-20.1003
7000.000000	80.955	-15.7514
7100.000000	81.246	-11.9243
7200.000000	81.617	-8.1409
7300.000000	82.079	-4.1458
7400.000000	82.643	-0.1141
7500.000000	83.303	3.3909
7620.000000	84.204	6.3531
7750.000000	85.261	8.0479
7880.000000	86.281	7.4603
8000.000000	87.052	3.6101
8120.000000	87.553	-3.5680
8250.000000	87.704	-13.8245
8380.000000	87.398	-24.8713
8500.000000	86.734	-34.4214
8620.000000	85.783	-42.5858
8750.000000	84.558	-49.5699
8850.000000	83.560	-53.5927
9000.000000	82.084	-57.3114
9120.000000	80.970	-58.2534
9250.000000	79.860	-57.2697
9380.000000	78.873	-54.2994
9500.000000	78.084	-50.2289
9620.000000	77.406	-45.4990
9750.000000	76.781	-40.0356
9880.000000	76.255	-34.2577
10000.000000	75.853	-28.5273
10150.000000	75.463	-20.7847
10300.000000	75.190	-12.5542
10440.000000	75.037	-4.6693
10600.000000	74.978	4.1403
10750.000000	75.037	11.8784
10900.000000	75.215	19.0303
11060.000000	75.553	25.9492
11200.000000	75.984	31.1819
11380.000000	76.739	36.4327
11500.000000	77.376	38.9213
11720.000000	78.800	41.1495
11800.000000	79.370	41.0047
12060.000000	81.092	35.5474
12200.000000	81.722	29.3154
12410.000000	81.975	17.2387
12500.000000	81.789	11.7961
12650.000000	81.103	3.4287
12800.000000	80.028	-3.0872
13150.000000	76.698	-7.1245
13200.000000	76.189	-6.3459
13400.000000	74.188	-0.4133
13600.000000	72.355	8.6101
13800.000000	70.797	18.8156
14000.000000	69.558	28.7885
14300.000000	68.251	42.5574
14500.000000	67.698	51.5399
14750.000000	67.277	62.6370
15000.000000	67.064	73.5454
15250.000000	66.981	84.7513
15500.000000	66.949	96.2557
15750.000000	66.914	107.6109
16000.000000	66.834	119.1694
16250.000000	66.591	130.8358
16500.000000	65.999	141.9203
16750.000000	64.893	152.3838
17000.000000	63.205	163.5237
17250.000000	61.037	178.4528
17500.000000	58.755	-158.2932
17750.000000	56.865	-126.4652
18000.000000	55.577	-93.1102
18250.000000	54.750	-61.0704
18500.000000	54.199	-29.6439
18750.000000	53.820	1.2654
19000.000000	53.544	32.2510
19250.000000	53.267	64.9156
19500.000000	52.901	99.0621
19750.000000	52.443	128.7967
20000.000000	52.076	145.9527
