* Measurement data measured by REW V5.40 beta 120
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 9:18:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics MK2 Rock
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.873	162.4763
20.600000	83.849	162.0154
20.900000	83.818	161.5187
21.200001	83.787	161.0319
21.400000	83.767	160.7081
21.799999	83.727	160.0476
22.000000	83.707	159.7083
22.400000	83.668	159.0174
22.700001	83.637	158.4988
23.000000	83.604	157.9899
23.299999	83.570	157.4970
23.600000	83.535	157.0219
24.000000	83.486	156.4134
24.299999	83.448	155.9719
24.700001	83.399	155.3980
25.000000	83.364	154.9760
25.400000	83.321	154.4204
25.799999	83.280	153.8670
26.200001	83.240	153.3113
26.500000	83.208	152.8938
26.900000	83.163	152.3418
27.200001	83.127	151.9361
27.600000	83.080	151.4094
28.000000	83.035	150.8958
28.500000	82.984	150.2610
29.000000	82.932	149.6321
29.500000	82.879	149.0247
30.000000	82.825	148.4528
30.400000	82.781	148.0135
30.700001	82.749	147.6839
31.100000	82.706	147.2323
31.500000	82.663	146.7629
32.000000	82.612	146.1666
32.500000	82.563	145.5903
33.000000	82.518	145.0537
33.500000	82.475	144.5499
34.000000	82.432	144.0573
34.500000	82.385	143.5614
35.000000	82.330	143.0636
35.500000	82.270	142.5714
36.000000	82.212	142.0845
36.500000	82.161	141.5943
37.000000	82.116	141.0974
37.500000	82.073	140.6047
38.200001	82.010	139.9444
38.700001	81.965	139.4853
39.500000	81.891	138.7280
40.000000	81.839	138.2466
40.599998	81.771	137.6944
41.200001	81.706	137.1767
41.799999	81.649	136.6657
42.500000	81.586	136.0578
43.099998	81.532	135.5402
43.700001	81.479	135.0287
44.400002	81.423	134.4171
45.000000	81.371	133.8846
45.500000	81.324	133.4586
46.200001	81.254	132.9102
46.799999	81.197	132.4715
47.500000	81.134	131.9787
48.200001	81.074	131.5130
48.700001	81.036	131.1866
49.400002	80.993	130.6902
50.000000	80.949	130.2090
50.799999	80.864	129.5487
51.500000	80.783	129.0225
52.200001	80.709	128.5484
53.000000	80.629	128.0239
53.799999	80.547	127.4700
54.500000	80.474	126.9597
55.200001	80.404	126.4694
56.000000	80.334	125.9628
57.000000	80.258	125.3319
58.000000	80.166	124.6665
59.000000	80.066	124.0257
60.000000	79.979	123.3801
60.799999	79.914	122.8664
61.500000	79.855	122.4534
62.200001	79.794	122.0696
63.000000	79.722	121.6243
64.000000	79.627	121.0846
65.000000	79.540	120.6635
66.000000	79.466	120.2662
67.000000	79.384	119.7938
68.000000	79.295	119.2757
69.000000	79.206	118.7466
70.000000	79.118	118.2520
71.000000	79.035	117.7407
72.000000	78.951	117.2529
73.000000	78.872	116.8866
74.000000	78.802	116.5979
75.000000	78.734	116.3384
76.199997	78.653	116.0120
77.500000	78.548	115.6575
78.800003	78.439	115.3515
80.000000	78.358	115.0294
81.199997	78.277	114.6801
82.500000	78.185	114.3884
83.800003	78.095	114.1787
85.000000	78.013	113.9976
86.199997	77.933	113.6806
87.500000	77.847	113.2634
88.500000	77.784	113.0151
90.000000	77.686	112.7197
91.199997	77.603	112.4745
92.500000	77.520	112.2153
93.800003	77.440	112.0192
95.000000	77.365	111.8571
96.199997	77.295	111.6338
97.500000	77.222	111.3671
98.800003	77.138	111.0972
100.000000	77.052	110.8730
101.500000	76.959	110.6430
103.000000	76.888	110.4620
104.400002	76.825	110.2805
106.000000	76.741	109.9767
