* Measurement data measured by REW V5.40 beta 120
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 9:30:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics U Classic L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.952	15.2000
20.600000	70.995	14.3424
20.900000	71.041	13.3771
21.200001	71.086	12.3943
21.400000	71.114	11.7292
21.799999	71.162	10.3740
22.000000	71.184	9.6897
22.400000	71.222	8.3336
22.700001	71.247	7.3483
23.000000	71.270	6.4007
23.299999	71.292	5.4877
23.600000	71.313	4.5968
24.000000	71.337	3.4185
24.299999	71.347	2.5309
24.700001	71.352	1.3448
25.000000	71.349	0.4631
25.400000	71.339	-0.6878
25.799999	71.325	-1.8063
26.200001	71.310	-2.8973
26.500000	71.297	-3.6995
26.900000	71.277	-4.7422
27.200001	71.261	-5.4983
27.600000	71.237	-6.4702
28.000000	71.215	-7.4132
28.500000	71.189	-8.5869
29.000000	71.154	-9.7740
29.500000	71.108	-10.9421
30.000000	71.054	-12.0375
30.400000	71.010	-12.8527
30.700001	70.979	-13.4424
31.100000	70.940	-14.2247
31.500000	70.902	-15.0216
32.000000	70.852	-16.0320
32.500000	70.796	-17.0172
33.000000	70.736	-17.9425
33.500000	70.678	-18.8164
34.000000	70.625	-19.6763
34.500000	70.570	-20.5457
35.000000	70.506	-21.4101
35.500000	70.434	-22.2336
36.000000	70.360	-22.9996
36.500000	70.292	-23.7290
37.000000	70.231	-24.4587
37.500000	70.169	-25.2056
38.200001	70.072	-26.2499
38.700001	69.996	-26.9642
39.500000	69.872	-28.0331
40.000000	69.798	-28.6663
40.599998	69.713	-29.4146
41.200001	69.635	-30.1731
41.799999	69.557	-30.9270
42.500000	69.459	-31.7351
43.099998	69.374	-32.3595
43.700001	69.292	-32.9919
44.400002	69.195	-33.7886
45.000000	69.104	-34.4528
45.500000	69.026	-34.9343
46.200001	68.923	-35.4994
46.799999	68.841	-35.9370
47.500000	68.747	-36.4466
48.200001	68.655	-36.9839
48.700001	68.593	-37.3972
49.400002	68.511	-38.0153
50.000000	68.434	-38.5519
50.799999	68.308	-39.2136
51.500000	68.195	-39.7346
52.200001	68.088	-40.2401
53.000000	67.962	-40.7669
53.799999	67.836	-41.1554
54.500000	67.744	-41.4641
55.200001	67.659	-41.8627
56.000000	67.549	-42.3816
57.000000	67.398	-42.9463
58.000000	67.250	-43.4103
59.000000	67.115	-43.8103
60.000000	66.995	-44.2382
60.799999	66.893	-44.5654
61.500000	66.797	-44.7902
62.200001	66.699	-44.9635
63.000000	66.590	-45.1398
64.000000	66.461	-45.4080
65.000000	66.335	-45.6944
66.000000	66.217	-45.8841
67.000000	66.103	-46.0019
68.000000	65.983	-46.0546
69.000000	65.871	-46.1333
70.000000	65.762	-46.2969
71.000000	65.654	-46.3783
72.000000	65.555	-46.3650
73.000000	65.460	-46.3760
74.000000	65.373	-46.4163
75.000000	65.302	-46.4852
76.199997	65.218	-46.5684
77.500000	65.126	-46.6632
78.800003	65.042	-46.7887
80.000000	64.971	-46.8853
81.199997	64.889	-47.1028
82.500000	64.794	-47.4160
83.800003	64.724	-47.5441
85.000000	64.667	-47.5541
86.199997	64.592	-47.6887
87.500000	64.503	-47.9881
88.500000	64.441	-48.2138
90.000000	64.350	-48.3512
91.199997	64.282	-48.3237
92.500000	64.220	-48.4157
93.800003	64.156	-48.6480
95.000000	64.087	-48.7848
96.199997	64.014	-48.8209
97.500000	63.938	-48.9233
98.800003	63.861	-49.0937
100.000000	63.796	-49.2721
101.500000	63.718	-49.5701
103.000000	63.639	-49.7723
104.400002	63.566	-49.8789
106.000000	63.485	-50.0092
107.500000	63.408	-50.2049
109.000000	63.336	-50.5065
110.599998	63.266	-50.8263
112.000000	63.204	-50.9486
113.800003	63.113	-51.0487
115.000000	63.041	-51.1852
117.199997	62.921	-51.4609
118.000000	62.884	-51.5731
120.599998	62.770	-51.8883
122.000000	62.706	-51.9547
124.099998	62.607	-52.0990
125.000000	62.563	-52.1281
126.500000	62.482	-52.1282
128.000000	62.400	-52.1541
131.500000	62.228	-52.4013
132.000000	62.206	-52.4365
134.000000	62.124	-52.5886
136.000000	62.030	-52.6728
138.000000	61.928	-52.7965
140.000000	61.834	-52.9880
143.000000	61.701	-53.1732
145.000000	61.614	-53.2866
147.500000	61.520	-53.1914
150.000000	61.419	-53.0878
152.500000	61.316	-53.0555
155.000000	61.211	-53.1101
157.500000	61.111	-53.1470
160.000000	61.010	-53.1317
162.500000	60.912	-53.1880
165.000000	60.815	-53.0800
167.500000	60.708	-52.8925
170.000000	60.604	-52.7906
172.500000	60.525	-52.6933
175.000000	60.460	-52.6314
177.500000	60.380	-52.5730
180.000000	60.296	-52.4064
182.500000	60.219	-52.2808
185.000000	60.123	-52.2657
187.500000	60.011	-52.1946
190.000000	59.892	-51.9573
192.500000	59.782	-51.7252
195.000000	59.684	-51.5240
197.500000	59.601	-51.2851
200.000000	59.538	-51.1284
203.000000	59.484	-50.9011
206.000000	59.441	-50.5223
209.000000	59.429	-50.2602
212.000000	59.432	-50.0775
214.000000	59.423	-49.8984
218.000000	59.371	-49.3799
220.000000	59.343	-49.1484
224.000000	59.282	-48.8265
227.000000	59.227	-48.7255
230.000000	59.174	-48.4596
233.000000	59.124	-48.0928
236.000000	59.088	-47.7909
240.000000	59.092	-47.4321
243.000000	59.102	-47.0659
247.000000	59.087	-46.6831
250.000000	59.069	-46.5065
254.000000	59.073	-46.3802
258.000000	59.081	-46.2768
262.000000	59.085	-46.1324
265.000000	59.092	-45.9628
269.000000	59.106	-45.8130
272.000000	59.119	-45.7016
276.000000	59.129	-45.6396
280.000000	59.151	-45.6927
285.000000	59.178	-45.7534
290.000000	59.201	-45.8027
295.000000	59.223	-45.9178
300.000000	59.238	-46.0630
304.000000	59.248	-46.2677
307.000000	59.252	-46.4259
311.000000	59.252	-46.6087
315.000000	59.261	-46.7812
320.000000	59.286	-47.0784
325.000000	59.290	-47.4121
330.000000	59.293	-47.6854
335.000000	59.276	-48.0335
340.000000	59.254	-48.4208
345.000000	59.262	-48.8364
350.000000	59.273	-49.1578
355.000000	59.261	-49.4134
360.000000	59.238	-49.8277
365.000000	59.228	-50.3626
370.000000	59.220	-50.9718
375.000000	59.185	-51.4920
382.000000	59.137	-52.2059
387.000000	59.120	-52.6970
395.000000	59.075	-53.4022
400.000000	59.037	-53.8912
406.000000	58.969	-54.4826
412.000000	58.868	-55.0016
418.000000	58.773	-55.3177
425.000000	58.690	-55.5685
431.000000	58.617	-55.6740
437.000000	58.549	-55.7469
444.000000	58.471	-56.0600
450.000000	58.407	-56.4417
455.000000	58.354	-56.6861
462.000000	58.263	-56.8531
468.000000	58.176	-56.8882
475.000000	58.090	-56.9326
482.000000	58.021	-56.9635
487.000000	57.975	-56.9461
494.000000	57.920	-56.9094
500.000000	57.874	-56.9129
508.000000	57.806	-56.9288
515.000000	57.750	-56.9424
522.000000	57.701	-56.8997
530.000000	57.650	-56.8190
538.000000	57.600	-56.8632
545.000000	57.555	-56.7967
552.000000	57.512	-56.7465
560.000000	57.460	-56.6635
570.000000	57.402	-56.5023
580.000000	57.347	-56.2400
590.000000	57.328	-56.0179
600.000000	57.323	-55.9449
608.000000	57.305	-55.9131
615.000000	57.292	-55.8686
622.000000	57.293	-55.8172
630.000000	57.300	-55.7436
640.000000	57.292	-55.5839
650.000000	57.279	-55.5697
660.000000	57.285	-55.7359
670.000000	57.303	-55.9045
680.000000	57.300	-55.9224
690.000000	57.275	-55.8876
700.000000	57.270	-56.0336
710.000000	57.285	-56.0092
720.000000	57.291	-55.8816
730.000000	57.271	-55.9053
740.000000	57.262	-56.0786
750.000000	57.258	-56.3251
762.000000	57.249	-56.5680
775.000000	57.239	-56.5925
788.000000	57.212	-56.7434
800.000000	57.187	-56.8936
812.000000	57.174	-56.9195
825.000000	57.158	-56.8636
838.000000	57.129	-56.7813
850.000000	57.103	-56.7315
862.000000	57.086	-56.6337
875.000000	57.075	-56.5679
885.000000	57.075	-56.5629
900.000000	57.079	-56.2882
912.000000	57.068	-55.9418
925.000000	57.063	-55.5658
938.000000	57.059	-55.1525
950.000000	57.063	-54.8445
962.000000	57.094	-54.4178
975.000000	57.149	-53.8962
988.000000	57.201	-53.4456
1000.000000	57.256	-52.9633
1015.000000	57.356	-52.4041
1030.000000	57.451	-52.0042
1044.000000	57.549	-51.6639
1060.000000	57.692	-51.2736
1075.000000	57.845	-51.0221
1090.000000	58.004	-50.9424
1106.000000	58.178	-50.8744
1120.000000	58.327	-51.0480
1138.000000	58.531	-51.3454
1150.000000	58.664	-51.5016
1172.000000	58.913	-51.9182
1180.000000	59.009	-52.1191
1206.000000	59.298	-52.7659
1220.000000	59.436	-53.2659
1241.000000	59.668	-54.1200
1250.000000	59.773	-54.5083
1265.000000	59.952	-55.2144
1280.000000	60.131	-55.9168
1315.000000	60.532	-57.3290
1320.000000	60.581	-57.5404
1340.000000	60.749	-58.4075
1360.000000	60.844	-59.2852
1380.000000	60.867	-60.1042
1400.000000	60.887	-60.9196
1430.000000	60.966	-62.3296
1450.000000	61.059	-63.1138
1475.000000	61.219	-64.1215
1500.000000	61.423	-65.2670
1525.000000	61.641	-66.6049
1550.000000	61.841	-67.9546
1575.000000	62.031	-69.3743
1600.000000	62.195	-70.8959
1625.000000	62.358	-72.2619
1650.000000	62.506	-73.6000
1675.000000	62.643	-74.9739
1700.000000	62.758	-76.3685
