* Measurement data measured by REW V5.40 beta 120
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 9:30:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics U Classic R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.876	15.3280
20.600000	70.926	14.4622
20.900000	70.980	13.4760
21.200001	71.030	12.4733
21.400000	71.059	11.8036
21.799999	71.108	10.4701
22.000000	71.129	9.8089
22.400000	71.171	8.4992
22.700001	71.199	7.5265
23.000000	71.224	6.5600
23.299999	71.247	5.5995
23.600000	71.266	4.6480
24.000000	71.282	3.4037
24.299999	71.287	2.4984
24.700001	71.289	1.3388
25.000000	71.289	0.5048
25.400000	71.289	-0.5727
25.799999	71.287	-1.6355
26.200001	71.282	-2.7073
26.500000	71.272	-3.5207
26.900000	71.250	-4.6050
27.200001	71.227	-5.4028
27.600000	71.191	-6.4282
28.000000	71.157	-7.4073
28.500000	71.122	-8.5934
29.000000	71.088	-9.7695
29.500000	71.050	-10.9235
30.000000	71.005	-12.0084
30.400000	70.966	-12.8150
30.700001	70.939	-13.3990
31.100000	70.904	-14.1802
31.500000	70.870	-14.9918
32.000000	70.821	-16.0447
32.500000	70.763	-17.0806
33.000000	70.698	-18.0333
33.500000	70.635	-18.8954
34.000000	70.580	-19.7182
34.500000	70.528	-20.5622
35.000000	70.469	-21.4458
35.500000	70.398	-22.3356
36.000000	70.319	-23.1766
36.500000	70.243	-23.9350
37.000000	70.178	-24.6258
37.500000	70.122	-25.2986
38.200001	70.041	-26.2790
38.700001	69.971	-26.9963
39.500000	69.842	-28.0904
40.000000	69.761	-28.7304
40.599998	69.669	-29.4797
41.200001	69.583	-30.2133
41.799999	69.499	-30.9024
42.500000	69.404	-31.6378
43.099998	69.325	-32.2563
43.700001	69.243	-32.9064
44.400002	69.144	-33.6647
45.000000	69.057	-34.2493
45.500000	68.987	-34.6943
46.200001	68.891	-35.3337
46.799999	68.802	-35.9242
47.500000	68.687	-36.5783
48.200001	68.583	-37.1222
48.700001	68.528	-37.4866
49.400002	68.467	-38.0719
50.000000	68.402	-38.6557
50.799999	68.270	-39.4078
51.500000	68.136	-39.9063
52.200001	68.018	-40.2683
53.000000	67.904	-40.6711
53.799999	67.790	-41.1688
54.500000	67.682	-41.6475
55.200001	67.573	-42.0979
56.000000	67.454	-42.5108
57.000000	67.321	-42.8660
58.000000	67.194	-43.2479
59.000000	67.047	-43.7177
60.000000	66.902	-44.1339
60.799999	66.798	-44.4695
61.500000	66.705	-44.7508
62.200001	66.611	-44.9784
63.000000	66.511	-45.2235
64.000000	66.394	-45.5973
65.000000	66.274	-45.9238
66.000000	66.157	-46.0650
67.000000	66.050	-46.0886
68.000000	65.951	-46.2069
69.000000	65.842	-46.3760
70.000000	65.733	-46.4320
71.000000	65.632	-46.4562
72.000000	65.534	-46.5204
73.000000	65.443	-46.6051
74.000000	65.361	-46.6859
75.000000	65.280	-46.7763
76.199997	65.177	-46.8912
77.500000	65.080	-46.9685
78.800003	64.999	-46.9922
80.000000	64.925	-47.0347
81.199997	64.840	-47.2474
82.500000	64.737	-47.5820
83.800003	64.647	-47.7484
85.000000	64.585	-47.8127
86.199997	64.521	-47.9297
87.500000	64.450	-48.0753
88.500000	64.398	-48.1985
90.000000	64.325	-48.3814
91.199997	64.262	-48.5463
92.500000	64.183	-48.7015
93.800003	64.112	-48.8758
95.000000	64.054	-49.0505
96.199997	63.991	-49.1982
97.500000	63.902	-49.3183
98.800003	63.805	-49.3976
100.000000	63.729	-49.4503
101.500000	63.667	-49.5452
103.000000	63.607	-49.7555
104.400002	63.536	-49.9702
106.000000	63.444	-50.2469
107.500000	63.369	-50.4669
109.000000	63.307	-50.7011
110.599998	63.222	-50.9162
112.000000	63.130	-51.0366
113.800003	63.027	-51.1889
115.000000	62.983	-51.3567
117.199997	62.904	-51.6539
118.000000	62.866	-51.7199
120.599998	62.725	-51.8474
122.000000	62.644	-51.9006
124.099998	62.528	-52.0520
125.000000	62.477	-52.1521
126.500000	62.393	-52.2980
128.000000	62.324	-52.4223
131.500000	62.186	-52.4846
132.000000	62.162	-52.4848
134.000000	62.065	-52.5666
136.000000	61.985	-52.7105
138.000000	61.890	-52.8316
140.000000	61.770	-52.8797
143.000000	61.626	-52.8437
145.000000	61.546	-52.8693
147.500000	61.445	-53.0894
150.000000	61.341	-53.1127
152.500000	61.256	-53.1136
155.000000	61.155	-53.1322
157.500000	61.023	-53.2097
160.000000	60.913	-53.3284
162.500000	60.824	-53.3343
165.000000	60.739	-53.1810
167.500000	60.659	-53.0719
170.000000	60.569	-52.8660
172.500000	60.473	-52.6108
175.000000	60.384	-52.6254
177.500000	60.311	-52.7901
180.000000	60.238	-52.8041
182.500000	60.134	-52.5897
185.000000	60.023	-52.2916
187.500000	59.920	-52.0023
190.000000	59.818	-51.8189
192.500000	59.709	-51.6394
195.000000	59.607	-51.4919
197.500000	59.533	-51.3683
200.000000	59.486	-51.2088
203.000000	59.440	-50.9626
206.000000	59.396	-50.6758
209.000000	59.365	-50.4149
212.000000	59.346	-50.1290
214.000000	59.335	-49.9190
218.000000	59.300	-49.5384
220.000000	59.278	-49.3564
224.000000	59.228	-48.9025
227.000000	59.180	-48.6397
230.000000	59.135	-48.5287
233.000000	59.102	-48.3494
236.000000	59.084	-48.0081
240.000000	59.057	-47.5472
243.000000	59.042	-47.2579
247.000000	59.032	-46.8394
250.000000	59.016	-46.6250
254.000000	59.015	-46.5435
258.000000	59.031	-46.3919
262.000000	59.039	-46.2445
265.000000	59.048	-46.1329
269.000000	59.052	-45.9700
272.000000	59.048	-45.8700
276.000000	59.059	-45.8677
280.000000	59.089	-45.9495
285.000000	59.113	-45.9590
290.000000	59.130	-46.0969
295.000000	59.151	-46.2819
300.000000	59.149	-46.4361
304.000000	59.159	-46.5096
307.000000	59.170	-46.5836
311.000000	59.179	-46.7541
315.000000	59.184	-47.0183
320.000000	59.191	-47.3377
325.000000	59.206	-47.5856
330.000000	59.214	-48.0396
335.000000	59.213	-48.4016
340.000000	59.209	-48.7391
345.000000	59.206	-49.0758
350.000000	59.209	-49.4411
355.000000	59.196	-49.8188
360.000000	59.176	-50.2960
365.000000	59.173	-50.8353
370.000000	59.156	-51.2832
375.000000	59.121	-51.6626
382.000000	59.083	-52.1482
387.000000	59.056	-52.6136
395.000000	58.981	-53.4629
400.000000	58.941	-54.0047
406.000000	58.887	-54.4634
412.000000	58.805	-54.8844
418.000000	58.714	-55.3411
425.000000	58.622	-55.6187
431.000000	58.560	-55.7293
437.000000	58.496	-55.7924
444.000000	58.408	-56.1335
450.000000	58.329	-56.5048
455.000000	58.270	-56.6326
462.000000	58.194	-56.7486
468.000000	58.141	-56.9149
475.000000	58.075	-57.0163
482.000000	58.010	-56.9950
487.000000	57.960	-56.9401
494.000000	57.883	-56.9648
500.000000	57.836	-57.0895
508.000000	57.780	-57.2055
515.000000	57.724	-57.2050
522.000000	57.662	-57.1776
530.000000	57.596	-57.0584
538.000000	57.536	-56.9607
545.000000	57.482	-57.0346
552.000000	57.434	-57.0169
560.000000	57.389	-56.8229
570.000000	57.350	-56.6399
580.000000	57.322	-56.4470
590.000000	57.297	-56.2415
600.000000	57.256	-56.0831
608.000000	57.228	-56.0427
615.000000	57.211	-56.0324
622.000000	57.204	-55.9770
630.000000	57.204	-55.8739
640.000000	57.203	-55.7041
650.000000	57.190	-55.7424
660.000000	57.198	-55.8675
670.000000	57.219	-55.8773
680.000000	57.234	-55.8314
690.000000	57.242	-56.1078
700.000000	57.249	-56.3809
710.000000	57.238	-56.2995
720.000000	57.219	-56.1657
730.000000	57.221	-56.2356
740.000000	57.232	-56.4913
750.000000	57.227	-56.7190
762.000000	57.215	-56.9343
775.000000	57.203	-57.0255
788.000000	57.157	-57.0138
800.000000	57.136	-57.0240
812.000000	57.122	-57.1466
825.000000	57.099	-57.1603
838.000000	57.086	-57.0300
850.000000	57.070	-56.8368
862.000000	57.050	-56.7286
875.000000	57.033	-56.7499
885.000000	57.013	-56.7029
900.000000	57.002	-56.4871
912.000000	56.999	-56.2226
925.000000	56.997	-55.7219
938.000000	57.015	-55.2580
950.000000	57.031	-54.9182
962.000000	57.052	-54.6305
975.000000	57.090	-54.3189
988.000000	57.155	-53.8086
1000.000000	57.228	-53.2209
1015.000000	57.305	-52.5641
1030.000000	57.394	-52.1535
1044.000000	57.498	-51.8415
1060.000000	57.644	-51.4467
1075.000000	57.815	-51.0818
1090.000000	57.982	-50.9055
1106.000000	58.147	-50.9135
1120.000000	58.282	-50.9951
1138.000000	58.465	-51.2652
1150.000000	58.602	-51.5392
1172.000000	58.856	-52.0770
1180.000000	58.942	-52.3111
1206.000000	59.231	-52.9994
