* Measurement data measured by REW V5.40 beta 120
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 9:32:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics U Hifi R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.219	2.6394
20.600000	67.224	1.9595
20.900000	67.225	1.2179
21.200001	67.222	0.4952
21.400000	67.220	0.0232
21.799999	67.215	-0.9129
22.000000	67.213	-1.3832
22.400000	67.213	-2.3357
22.700001	67.212	-3.0596
23.000000	67.209	-3.7863
23.299999	67.203	-4.5094
23.600000	67.193	-5.2229
24.000000	67.172	-6.1510
24.299999	67.150	-6.8250
24.700001	67.116	-7.6890
25.000000	67.089	-8.3087
25.400000	67.052	-9.0978
25.799999	67.016	-9.8502
26.200001	66.981	-10.5758
26.500000	66.954	-11.1074
26.900000	66.914	-11.8008
27.200001	66.882	-12.3071
27.600000	66.835	-12.9596
28.000000	66.787	-13.5866
28.500000	66.728	-14.3474
29.000000	66.667	-15.1044
29.500000	66.606	-15.8655
30.000000	66.546	-16.6173
30.400000	66.496	-17.2001
30.700001	66.458	-17.6233
31.100000	66.406	-18.1688
31.500000	66.353	-18.6921
32.000000	66.287	-19.3110
32.500000	66.223	-19.8912
33.000000	66.161	-20.4529
33.500000	66.100	-21.0290
34.000000	66.036	-21.6339
34.500000	65.965	-22.2427
35.000000	65.886	-22.8082
35.500000	65.806	-23.2995
36.000000	65.734	-23.7270
36.500000	65.674	-24.1326
37.000000	65.621	-24.5583
37.500000	65.565	-25.0168
38.200001	65.469	-25.6659
38.700001	65.389	-26.0847
39.500000	65.263	-26.6501
40.000000	65.191	-26.9759
40.599998	65.111	-27.3722
41.200001	65.033	-27.7634
41.799999	64.957	-28.1280
42.500000	64.867	-28.5156
43.099998	64.787	-28.8187
43.700001	64.709	-29.1008
44.400002	64.622	-29.4312
45.000000	64.546	-29.7271
45.500000	64.476	-29.9703
46.200001	64.371	-30.2936
46.799999	64.285	-30.5754
47.500000	64.198	-30.9246
48.200001	64.125	-31.2564
48.700001	64.079	-31.4526
49.400002	64.016	-31.6521
50.000000	63.950	-31.7618
50.799999	63.837	-31.8866
51.500000	63.737	-32.0450
52.200001	63.647	-32.2391
53.000000	63.554	-32.4350
53.799999	63.468	-32.6010
54.500000	63.394	-32.7535
55.200001	63.322	-32.9154
56.000000	63.240	-33.0824
57.000000	63.136	-33.1764
58.000000	63.036	-33.1834
59.000000	62.938	-33.3252
60.000000	62.828	-33.5665
60.799999	62.743	-33.7011
61.500000	62.679	-33.7670
62.200001	62.618	-33.7887
63.000000	62.546	-33.7289
64.000000	62.459	-33.5618
65.000000	62.381	-33.4619
66.000000	62.309	-33.4677
67.000000	62.237	-33.4799
68.000000	62.165	-33.4631
69.000000	62.091	-33.4172
70.000000	62.014	-33.2891
71.000000	61.946	-33.0921
72.000000	61.890	-32.9794
73.000000	61.832	-32.9484
74.000000	61.779	-32.9231
75.000000	61.735	-32.9549
76.199997	61.688	-32.8962
77.500000	61.648	-32.7049
78.800003	61.574	-32.6260
80.000000	61.508	-32.6657
81.199997	61.470	-32.7751
82.500000	61.429	-32.8458
83.800003	61.369	-32.7333
85.000000	61.324	-32.6317
86.199997	61.287	-32.6776
87.500000	61.266	-32.6678
88.500000	61.252	-32.6187
90.000000	61.204	-32.6231
91.199997	61.162	-32.7165
92.500000	61.130	-32.7568
93.800003	61.100	-32.7235
95.000000	61.066	-32.7340
96.199997	61.030	-32.8273
97.500000	60.983	-32.9866
98.800003	60.929	-33.0858
100.000000	60.888	-33.1234
101.500000	60.843	-33.1825
103.000000	60.800	-33.2905
104.400002	60.752	-33.3913
106.000000	60.675	-33.4420
107.500000	60.611	-33.5189
109.000000	60.585	-33.5832
110.599998	60.566	-33.6131
112.000000	60.535	-33.5888
113.800003	60.478	-33.5961
115.000000	60.441	-33.7361
117.199997	60.375	-34.0978
118.000000	60.351	-34.1322
120.599998	60.278	-34.1315
122.000000	60.226	-34.1305
124.099998	60.137	-34.0331
125.000000	60.103	-34.0282
126.500000	60.063	-34.1050
128.000000	60.032	-34.1947
131.500000	59.926	-34.1802
132.000000	59.906	-34.1809
134.000000	59.828	-34.2581
136.000000	59.765	-34.3944
138.000000	59.702	-34.4969
140.000000	59.638	-34.4548
143.000000	59.559	-34.5508
145.000000	59.497	-34.6986
147.500000	59.397	-34.6997
150.000000	59.306	-34.5950
152.500000	59.252	-34.5428
155.000000	59.178	-34.5748
157.500000	59.102	-34.5875
160.000000	59.052	-34.4661
162.500000	58.988	-34.4254
165.000000	58.938	-34.3403
167.500000	58.886	-34.1241
170.000000	58.811	-33.9757
172.500000	58.731	-33.8074
175.000000	58.659	-33.5236
177.500000	58.598	-33.2120
180.000000	58.545	-32.9233
182.500000	58.467	-32.7273
185.000000	58.356	-32.6210
187.500000	58.257	-32.4731
190.000000	58.167	-32.1852
192.500000	58.093	-31.9515
195.000000	58.033	-31.6610
197.500000	57.973	-31.2791
200.000000	57.924	-30.9322
203.000000	57.901	-30.5880
206.000000	57.900	-30.3393
209.000000	57.890	-29.9852
212.000000	57.878	-29.6256
214.000000	57.872	-29.4090
218.000000	57.865	-28.9867
220.000000	57.856	-28.7040
224.000000	57.820	-27.9953
227.000000	57.792	-27.4604
230.000000	57.777	-27.1125
233.000000	57.779	-26.6512
236.000000	57.777	-26.1477
240.000000	57.780	-25.6891
243.000000	57.801	-25.3348
247.000000	57.823	-24.8955
250.000000	57.837	-24.6456
254.000000	57.853	-24.3134
258.000000	57.891	-23.9773
262.000000	57.928	-23.5765
265.000000	57.953	-23.3363
269.000000	58.003	-23.1560
272.000000	58.046	-23.0426
276.000000	58.097	-22.8830
280.000000	58.151	-22.7400
285.000000	58.229	-22.6104
290.000000	58.291	-22.5981
295.000000	58.346	-22.5755
300.000000	58.406	-22.5551
304.000000	58.456	-22.6634
307.000000	58.488	-22.7420
311.000000	58.525	-22.8665
315.000000	58.553	-23.0077
320.000000	58.590	-23.1753
325.000000	58.628	-23.3855
330.000000	58.661	-23.6365
335.000000	58.697	-23.8332
340.000000	58.744	-24.0849
345.000000	58.796	-24.4282
350.000000	58.828	-24.6783
355.000000	58.834	-24.9680
360.000000	58.843	-25.2917
365.000000	58.867	-25.6335
370.000000	58.895	-26.0992
375.000000	58.905	-26.6211
382.000000	58.885	-27.1607
387.000000	58.867	-27.5342
395.000000	58.840	-28.1912
400.000000	58.821	-28.6981
406.000000	58.778	-29.2231
412.000000	58.733	-29.6998
