* Measurement data measured by REW V5.40 beta 120
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 9:33:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics U Rock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	66.999	37.9929
20.600000	67.125	37.4326
20.900000	67.273	36.7725
21.200001	67.419	36.0625
21.400000	67.514	35.5604
21.799999	67.692	34.4868
22.000000	67.775	33.9197
22.400000	67.933	32.7451
22.700001	68.042	31.8482
23.000000	68.142	30.9537
23.299999	68.237	30.0703
23.600000	68.328	29.2000
24.000000	68.441	28.0540
24.299999	68.521	27.1980
24.700001	68.622	26.0522
25.000000	68.695	25.1865
25.400000	68.787	24.0227
25.799999	68.873	22.8490
26.200001	68.951	21.6690
26.500000	69.003	20.7852
26.900000	69.062	19.6203
27.200001	69.099	18.7657
27.600000	69.144	17.6594
28.000000	69.185	16.5884
28.500000	69.236	15.2798
29.000000	69.280	13.9879
29.500000	69.315	12.7259
30.000000	69.344	11.5234
30.400000	69.363	10.6057
30.700001	69.378	9.9298
31.100000	69.398	9.0224
31.500000	69.416	8.0900
32.000000	69.432	6.8997
32.500000	69.437	5.7362
33.000000	69.434	4.6578
33.500000	69.432	3.6710
34.000000	69.435	2.7242
34.500000	69.441	1.7511
35.000000	69.439	0.7285
35.500000	69.422	-0.3052
36.000000	69.396	-1.2851
36.500000	69.373	-2.1751
37.000000	69.362	-2.9981
37.500000	69.359	-3.8116
38.200001	69.348	-4.9990
38.700001	69.326	-5.8650
39.500000	69.274	-7.2021
40.000000	69.240	-7.9991
40.599998	69.203	-8.9335
41.200001	69.171	-9.8414
41.799999	69.140	-10.7017
42.500000	69.106	-11.6512
43.099998	69.077	-12.4698
43.700001	69.044	-13.3273
44.400002	68.999	-14.3240
45.000000	68.956	-15.1091
45.500000	68.922	-15.7236
46.200001	68.872	-16.6084
46.799999	68.819	-17.4127
47.500000	68.748	-18.3181
48.200001	68.690	-19.1243
48.700001	68.667	-19.6813
49.400002	68.652	-20.5222
50.000000	68.627	-21.2998
50.799999	68.546	-22.2950
51.500000	68.454	-23.0157
52.200001	68.371	-23.6077
53.000000	68.295	-24.2862
53.799999	68.218	-25.0863
54.500000	68.143	-25.8335
55.200001	68.066	-26.5359
56.000000	67.981	-27.2232
57.000000	67.887	-27.9275
58.000000	67.796	-28.6690
59.000000	67.686	-29.4750
60.000000	67.582	-30.1845
60.799999	67.511	-30.7537
61.500000	67.442	-31.2496
62.200001	67.367	-31.6897
63.000000	67.289	-32.1569
64.000000	67.198	-32.7838
65.000000	67.104	-33.3761
66.000000	67.013	-33.8446
67.000000	66.936	-34.2511
68.000000	66.864	-34.6901
69.000000	66.783	-35.1010
70.000000	66.698	-35.4491
71.000000	66.611	-35.8192
72.000000	66.529	-36.2000
73.000000	66.459	-36.5775
74.000000	66.396	-36.9375
75.000000	66.338	-37.3070
76.199997	66.267	-37.7951
77.500000	66.191	-38.2360
78.800003	66.125	-38.5875
80.000000	66.070	-39.0096
81.199997	66.006	-39.6178
82.500000	65.917	-40.2979
83.800003	65.840	-40.8091
85.000000	65.794	-41.2642
86.199997	65.742	-41.7693
87.500000	65.670	-42.2737
88.500000	65.616	-42.6537
90.000000	65.548	-43.2653
91.199997	65.493	-43.7847
92.500000	65.422	-44.3107
93.800003	65.348	-44.8240
95.000000	65.285	-45.2864
96.199997	65.220	-45.7460
97.500000	65.127	-46.2018
98.800003	65.021	-46.5970
100.000000	64.937	-46.9650
101.500000	64.859	-47.4464
103.000000	64.783	-48.0009
104.400002	64.697	-48.6129
106.000000	64.587	-49.3151
107.500000	64.493	-49.8228
109.000000	64.407	-50.2582
110.599998	64.299	-50.6974
112.000000	64.189	-51.0784
113.800003	64.052	-51.6118
115.000000	63.981	-52.0229
117.199997	63.852	-52.6636
118.000000	63.800	-52.8207
120.599998	63.621	-53.2461
122.000000	63.517	-53.4731
124.099998	63.362	-53.8858
125.000000	63.297	-54.0899
126.500000	63.191	-54.4156
128.000000	63.095	-54.7417
131.500000	62.893	-55.1651
132.000000	62.861	-55.2102
134.000000	62.729	-55.4279
136.000000	62.603	-55.6328
138.000000	62.471	-55.8731
140.000000	62.315	-56.0321
143.000000	62.128	-56.0836
145.000000	62.027	-56.1706
147.500000	61.881	-56.4185
150.000000	61.738	-56.5153
152.500000	61.617	-56.4900
155.000000	61.484	-56.5885
157.500000	61.323	-56.7955
160.000000	61.191	-56.8359
162.500000	61.077	-56.7411
165.000000	60.975	-56.6262
167.500000	60.878	-56.4926
170.000000	60.770	-56.2497
172.500000	60.655	-56.0489
175.000000	60.559	-56.1735
177.500000	60.466	-56.3490
180.000000	60.366	-56.3139
182.500000	60.256	-56.0748
185.000000	60.144	-55.7776
187.500000	60.033	-55.4683
190.000000	59.914	-55.2958
192.500000	59.795	-55.1912
195.000000	59.680	-55.0898
197.500000	59.597	-54.9822
200.000000	59.544	-54.7851
203.000000	59.492	-54.5520
206.000000	59.437	-54.3548
209.000000	59.389	-54.1819
212.000000	59.360	-53.9456
214.000000	59.341	-53.7579
218.000000	59.292	-53.4237
220.000000	59.263	-53.2506
224.000000	59.198	-52.9470
227.000000	59.143	-52.8523
230.000000	59.100	-52.8759
233.000000	59.074	-52.8796
236.000000	59.048	-52.7242
240.000000	58.985	-52.3633
243.000000	58.936	-52.2145
247.000000	58.868	-51.9289
250.000000	58.813	-51.7008
254.000000	58.764	-51.6000
258.000000	58.744	-51.4575
262.000000	58.718	-51.1073
265.000000	58.699	-50.9023
269.000000	58.671	-50.6835
272.000000	58.651	-50.5197
276.000000	58.635	-50.3926
280.000000	58.633	-50.3430
285.000000	58.636	-50.3186
290.000000	58.622	-50.3162
295.000000	58.600	-50.3178
300.000000	58.578	-50.2947
304.000000	58.566	-50.2707
307.000000	58.560	-50.2310
311.000000	58.555	-50.1980
315.000000	58.555	-50.2309
320.000000	58.548	-50.3302
325.000000	58.541	-50.4679
330.000000	58.522	-50.6645
335.000000	58.504	-50.8387
340.000000	58.492	-51.0125
345.000000	58.494	-51.0520
350.000000	58.494	-51.1073
355.000000	58.470	-51.2186
360.000000	58.446	-51.4545
365.000000	58.448	-51.7484
370.000000	58.437	-51.9109
375.000000	58.412	-52.0093
382.000000	58.408	-52.1239
387.000000	58.404	-52.3974
395.000000	58.367	-52.9036
400.000000	58.363	-53.1972
406.000000	58.354	-53.4490
412.000000	58.331	-53.7277
418.000000	58.301	-54.1342
425.000000	58.253	-54.4511
431.000000	58.214	-54.5946
437.000000	58.165	-54.6874
444.000000	58.087	-54.9228
450.000000	58.034	-55.0746
455.000000	58.002	-55.0404
462.000000	57.958	-55.0906
468.000000	57.950	-55.2444
475.000000	57.941	-55.3727
482.000000	57.914	-55.3897
487.000000	57.894	-55.2725
494.000000	57.871	-55.1872
500.000000	57.868	-55.2514
508.000000	57.870	-55.3537
515.000000	57.871	-55.4242
522.000000	57.868	-55.4771
530.000000	57.863	-55.6134
538.000000	57.854	-55.8070
545.000000	57.841	-56.0637
552.000000	57.838	-56.3562
560.000000	57.833	-56.4613
570.000000	57.819	-56.5718
580.000000	57.822	-56.7373
590.000000	57.821	-56.9754
600.000000	57.796	-57.1703
608.000000	57.783	-57.3460
615.000000	57.781	-57.5076
622.000000	57.784	-57.6011
630.000000	57.792	-57.7193
640.000000	57.802	-57.8532
650.000000	57.805	-58.0042
660.000000	57.823	-58.2800
670.000000	57.843	-58.5727
680.000000	57.853	-58.8201
690.000000	57.859	-59.2445
700.000000	57.874	-59.5933
710.000000	57.879	-59.6367
720.000000	57.882	-59.7552
730.000000	57.902	-60.0489
740.000000	57.919	-60.4700
750.000000	57.922	-60.7728
762.000000	57.932	-61.1062
775.000000	57.935	-61.3555
788.000000	57.911	-61.4794
800.000000	57.904	-61.6552
812.000000	57.916	-61.9543
825.000000	57.920	-62.2013
838.000000	57.931	-62.2406
850.000000	57.936	-62.2770
862.000000	57.941	-62.3740
875.000000	57.961	-62.4688
885.000000	57.975	-62.4750
900.000000	57.999	-62.5999
912.000000	58.028	-62.7380
925.000000	58.060	-62.6084
938.000000	58.093	-62.5081
950.000000	58.131	-62.4611
962.000000	58.187	-62.4134
975.000000	58.262	-62.2832
988.000000	58.343	-62.0320
1000.000000	58.419	-61.7317
1015.000000	58.516	-61.5800
1030.000000	58.632	-61.4835
1044.000000	58.762	-61.4040
1060.000000	58.929	-61.4323
1075.000000	59.113	-61.4669
1090.000000	59.315	-61.5750
1106.000000	59.520	-61.9189
1120.000000	59.689	-62.3343
1138.000000	59.911	-63.0092
1150.000000	60.080	-63.5906
1172.000000	60.400	-64.7206
1180.000000	60.511	-65.1624
1206.000000	60.877	-66.5923
1220.000000	61.079	-67.4610
1241.000000	61.370	-69.0570
1250.000000	61.500	-69.7775
1265.000000	61.731	-70.9914
1280.000000	61.968	-72.2512
1315.000000	62.461	-75.4339
1320.000000	62.523	-75.9218
1340.000000	62.733	-77.8829
1360.000000	62.859	-79.8411
1380.000000	62.918	-81.7942
1400.000000	62.949	-83.7823
1430.000000	62.996	-86.8074
1450.000000	63.064	-88.8644
1475.000000	63.185	-91.4662
1500.000000	63.313	-94.0003
1525.000000	63.424	-96.6516
1550.000000	63.513	-99.3724
1575.000000	63.578	-102.0528
1600.000000	63.626	-104.6552
1625.000000	63.655	-107.1698
1650.000000	63.670	-109.5672
1675.000000	63.683	-111.9941
1700.000000	63.681	-114.2457
1725.000000	63.664	-116.4027
1750.000000	63.647	-118.5468
1775.000000	63.613	-120.6292
1800.000000	63.565	-122.6420
1825.000000	63.525	-124.6142
1850.000000	63.501	-126.5467
1875.000000	63.475	-128.4058
1900.000000	63.430	-130.1989
1925.000000	63.374	-131.9388
1950.000000	63.323	-133.6795
1975.000000	63.278	-135.4207
2000.000000	63.234	-137.0897
2030.000000	63.183	-139.0440
2060.000000	63.142	-140.8828
2090.000000	63.118	-142.7931
2120.000000	63.106	-144.6026
2140.000000	63.085	-145.8408
2180.000000	63.029	-148.5672
2200.000000	63.006	-149.8423
2240.000000	62.932	-152.3789
2270.000000	62.888	-154.3228
2300.000000	62.860	-156.2757
2330.000000	62.823	-158.3078
2360.000000	62.774	-160.3516
2400.000000	62.682	-163.0122
2430.000000	62.599	-165.0173
2470.000000	62.476	-167.7115
2500.000000	62.384	-169.7453
2540.000000	62.239	-172.3456
2580.000000	62.071	-174.8358
2620.000000	61.884	-177.2184
2650.000000	61.734	-178.8879
2690.000000	61.525	178.9837
2720.000000	61.367	177.4283
2760.000000	61.156	175.5165
2800.000000	60.954	173.6684
2850.000000	60.707	171.5523
2900.000000	60.470	169.6379
2950.000000	60.251	167.7874
3000.000000	60.038	165.9287
3040.000000	59.860	164.5303
3070.000000	59.739	163.5110
3110.000000	59.609	162.1386
3150.000000	59.477	160.7357
3200.000000	59.299	158.7850
3250.000000	59.116	156.9510
3300.000000	58.904	155.1101
3350.000000	58.679	153.1220
3400.000000	58.443	151.1396
3450.000000	58.176	149.1682
3500.000000	57.878	147.3863
3550.000000	57.538	145.6714
3600.000000	57.151	144.0408
3650.000000	56.752	142.7062
3700.000000	56.360	141.6253
3750.000000	55.970	140.7781
3820.000000	55.409	140.0352
3870.000000	55.005	139.8611
3950.000000	54.378	140.4168
4000.000000	53.996	141.2709
4060.000000	53.544	142.7010
4120.000000	53.118	144.6719
4180.000000	52.749	147.1745
4250.000000	52.427	150.6510
4310.000000	52.274	153.7457
4370.000000	52.230	156.8444
4440.000000	52.314	160.1075
4500.000000	52.494	162.4637
4550.000000	52.697	164.0142
4620.000000	53.041	165.7688
4680.000000	53.368	166.8304
4750.000000	53.773	167.6480
4820.000000	54.192	167.9956
4870.000000	54.493	167.9433
4940.000000	54.897	167.4162
5000.000000	55.225	166.5236
5080.000000	55.606	164.6905
5150.000000	55.862	162.5596
5220.000000	56.034	160.1357
5300.000000	56.118	157.2911
5380.000000	56.074	154.6742
5450.000000	55.956	152.6470
5520.000000	55.785	151.0322
5600.000000	55.564	149.6833
5700.000000	55.321	148.6046
5800.000000	55.111	147.9755
5900.000000	54.931	147.5551
6000.000000	54.800	147.4776
6080.000000	54.700	147.6636
6150.000000	54.601	147.9361
6220.000000	54.491	148.2552
