* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 15:36:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Openfree Bass L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	30.544	15.3139
20.600000	30.716	-0.2418
20.900000	31.257	-12.2056
21.200001	32.287	-17.6243
21.400000	33.222	-19.0906
21.799999	35.336	-21.9390
22.000000	36.337	-24.5560
22.400000	37.941	-32.4016
22.700001	38.700	-39.7059
23.000000	39.045	-47.3223
23.299999	38.965	-54.5542
23.600000	38.449	-60.7858
24.000000	37.083	-66.3190
24.299999	35.596	-67.0837
24.700001	33.304	-60.9673
25.000000	31.857	-51.0913
25.400000	31.049	-39.5895
25.799999	31.161	-38.1522
26.200001	31.234	-44.5793
26.500000	30.983	-51.2771
26.900000	30.211	-58.5017
27.200001	29.464	-59.9613
27.600000	28.881	-54.1429
28.000000	29.449	-43.3840
28.500000	31.152	-34.9609
29.000000	32.645	-32.5460
29.500000	33.603	-30.7255
30.000000	34.189	-27.5087
30.400000	34.417	-24.7209
30.700001	34.379	-23.0983
31.100000	33.932	-21.7307
31.500000	32.936	-20.7934
32.000000	30.964	-18.4396
32.500000	28.888	-12.9747
33.000000	28.523	-8.8051
33.500000	30.147	-11.9883
34.000000	32.015	-18.2161
34.500000	33.326	-23.1414
35.000000	34.071	-26.1523
35.500000	34.465	-28.4861
36.000000	34.664	-31.7868
36.500000	34.680	-36.2581
37.000000	34.561	-39.5381
37.500000	34.674	-37.8047
38.200001	36.190	-27.1590
38.700001	37.858	-22.3460
39.500000	39.720	-24.8071
40.000000	39.932	-29.3444
40.599998	39.145	-34.6069
41.200001	37.420	-37.0010
41.799999	35.576	-34.5923
42.500000	35.299	-31.2334
43.099998	36.560	-32.5122
43.700001	37.776	-34.0319
44.400002	38.446	-33.3486
45.000000	38.411	-31.2739
45.500000	38.215	-29.3928
46.200001	38.419	-27.1807
46.799999	39.408	-23.5587
47.500000	41.213	-11.7950
48.200001	43.236	5.1568
48.700001	44.446	13.2831
49.400002	45.260	16.3895
50.000000	44.900	13.1589
50.799999	43.143	0.0163
51.500000	41.410	-21.5598
52.200001	40.815	-39.4008
