* Measurement data measured by REW V5.31
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26-Mar-2024 11:39:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Technics Earfree I3 A
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.805	58.8695
20.600000	101.818	58.2321
20.900000	101.836	57.4938
21.200001	101.859	56.7877
21.400000	101.877	56.3570
21.799999	101.916	55.5897
22.000000	101.935	55.2427
22.400000	101.969	54.5934
22.700001	101.988	54.1281
23.000000	101.999	53.6715
23.299999	102.004	53.2195
23.600000	102.006	52.7698
24.000000	102.006	52.1718
24.299999	102.009	51.7243
24.700001	102.018	51.1312
25.000000	102.030	50.6917
25.400000	102.050	50.1164
25.799999	102.074	49.5546
26.200001	102.097	49.0068
26.500000	102.112	48.6073
26.900000	102.130	48.0964
27.200001	102.141	47.7345
27.600000	102.158	47.2831
28.000000	102.179	46.8597
28.500000	102.215	46.3423
29.000000	102.256	45.8092
29.500000	102.295	45.2589
30.000000	102.326	44.7176
30.400000	102.346	44.3075
30.700001	102.361	44.0145
31.100000	102.382	43.6364
31.500000	102.406	43.2615
32.000000	102.440	42.7826
32.500000	102.476	42.2876
33.000000	102.513	41.7849
33.500000	102.547	41.2915
34.000000	102.579	40.8270
34.500000	102.612	40.4010
35.000000	102.649	40.0024
35.500000	102.690	39.6020
36.000000	102.732	39.1715
36.500000	102.772	38.7047
37.000000	102.807	38.2206
37.500000	102.837	37.7493
38.200001	102.878	37.1467
38.700001	102.910	36.7513
39.500000	102.966	36.1208
40.000000	102.999	35.6992
40.599998	103.038	35.1631
41.200001	103.074	34.6225
41.799999	103.111	34.1146
42.500000	103.155	33.5854
43.099998	103.189	33.1637
43.700001	103.216	32.7244
44.400002	103.237	32.1401
45.000000	103.251	31.5785
45.500000	103.264	31.0952
46.200001	103.291	30.4509
46.799999	103.320	29.9580
47.500000	103.348	29.4479
48.200001	103.361	28.9611
48.700001	103.362	28.5932
49.400002	103.356	28.0247
50.000000	103.353	27.5013
50.799999	103.360	26.8128
51.500000	103.372	26.2614
52.200001	103.382	25.7658
53.000000	103.383	25.2491
53.799999	103.377	24.7513
54.500000	103.370	24.3097
55.200001	103.364	23.8648
56.000000	103.359	23.3638
57.000000	103.351	22.7364
58.000000	103.340	22.0866
59.000000	103.325	21.4477
60.000000	103.306	20.8652
60.799999	103.289	20.4492
61.500000	103.274	20.1138
62.200001	103.261	19.7903
63.000000	103.247	19.4208
64.000000	103.227	18.9494
65.000000	103.202	18.4731
66.000000	103.172	18.0164
67.000000	103.141	17.5937
68.000000	103.111	17.1908
69.000000	103.083	16.7940
70.000000	103.055	16.4064
71.000000	103.027	16.0432
72.000000	102.994	15.6983
73.000000	102.955	15.3474
74.000000	102.916	14.9986
75.000000	102.878	14.6905
76.199997	102.839	14.3936
77.500000	102.798	14.1065
78.800003	102.759	13.7817
80.000000	102.722	13.4478
81.199997	102.683	13.1384
82.500000	102.641	12.8588
83.800003	102.602	12.6229
85.000000	102.568	12.4416
86.199997	102.536	12.2830
87.500000	102.498	12.1169
88.500000	102.463	11.9887
90.000000	102.403	11.7968
91.199997	102.353	11.6413
92.500000	102.303	11.4766
93.800003	102.257	11.3158
95.000000	102.217	11.1742
96.199997	102.178	11.0530
97.500000	102.137	10.9547
98.800003	102.097	10.8763
100.000000	102.061	10.7941
101.500000	102.016	10.6790
103.000000	101.976	10.6004
104.400002	101.946	10.5625
106.000000	101.912	10.4886
107.500000	101.874	10.3514
109.000000	101.831	10.2009
110.599998	101.783	10.1004
112.000000	101.743	10.0547
113.800003	101.699	10.0108
115.000000	101.674	9.9915
117.199997	101.633	9.9518
118.000000	101.619	9.9233
120.599998	101.572	9.8265
122.000000	101.543	9.7852
124.099998	101.495	9.7197
125.000000	101.473	9.6953
126.500000	101.434	9.6629
128.000000	101.395	9.6339
131.500000	101.327	9.5642
132.000000	101.321	9.5610
134.000000	101.294	9.5593
136.000000	101.262	9.5486
138.000000	101.223	9.5375
140.000000	101.176	9.5339
143.000000	101.095	9.5202
145.000000	101.042	9.5186
147.500000	100.982	9.5592
150.000000	100.927	9.6545
152.500000	100.874	9.7638
155.000000	100.822	9.8524
157.500000	100.766	9.9300
160.000000	100.704	10.0217
162.500000	100.644	10.1132
165.000000	100.586	10.2039
167.500000	100.523	10.3143
170.000000	100.454	10.4521
172.500000	100.381	10.6148
175.000000	100.310	10.7816
177.500000	100.236	10.9266
180.000000	100.160	11.0348
182.500000	100.084	11.1371
185.000000	100.008	11.2710
187.500000	99.936	11.4623
190.000000	99.866	11.7312
192.500000	99.798	12.0726
195.000000	99.732	12.4382
197.500000	99.673	12.7794
200.000000	99.621	13.0685
203.000000	99.561	13.3393
206.000000	99.501	13.5947
209.000000	99.440	13.9134
212.000000	99.383	14.3211
214.000000	99.351	14.6456
218.000000	99.306	15.4175
220.000000	99.292	15.8315
224.000000	99.271	16.6260
227.000000	99.256	17.1749
230.000000	99.241	17.6828
233.000000	99.225	18.1523
236.000000	99.213	18.6155
240.000000	99.200	19.2605
243.000000	99.187	19.7438
247.000000	99.168	20.3832
250.000000	99.157	20.8856
254.000000	99.145	21.5812
258.000000	99.134	22.2646
262.000000	99.119	22.9414
265.000000	99.108	23.4445
269.000000	99.096	24.0883
272.000000	99.092	24.5312
276.000000	99.096	25.0772
280.000000	99.106	25.6268
285.000000	99.128	26.3854
290.000000	99.159	27.2085
295.000000	99.197	28.0131
300.000000	99.240	28.7660
304.000000	99.276	29.3547
307.000000	99.305	29.7963
311.000000	99.347	30.3899
315.000000	99.393	30.9880
320.000000	99.452	31.6960
325.000000	99.511	32.3214
330.000000	99.571	32.8744
335.000000	99.632	33.3769
340.000000	99.698	33.8639
345.000000	99.773	34.3589
350.000000	99.857	34.8175
355.000000	99.951	35.1999
360.000000	100.048	35.5149
365.000000	100.145	35.7634
370.000000	100.240	35.9413
375.000000	100.336	36.0655
382.000000	100.462	36.1541
387.000000	100.538	36.1306
395.000000	100.641	35.9705
400.000000	100.704	35.8549
406.000000	100.783	35.7402
412.000000	100.861	35.6282
418.000000	100.938	35.4534
425.000000	101.027	35.1267
431.000000	101.105	34.7531
437.000000	101.180	34.2767
444.000000	101.246	33.5732
450.000000	101.268	32.8870
455.000000	101.262	32.2989
462.000000	101.229	31.5176
468.000000	101.191	30.9521
475.000000	101.145	30.5067
482.000000	101.102	30.3186
487.000000	101.076	30.2938
494.000000	101.047	30.3109
500.000000	101.030	30.3245
508.000000	101.019	30.3360
515.000000	101.020	30.3483
522.000000	101.020	30.3531
530.000000	101.003	30.3317
538.000000	100.964	30.2831
545.000000	100.914	30.2284
552.000000	100.854	30.1886
560.000000	100.781	30.1948
570.000000	100.692	30.3018
580.000000	100.597	30.4909
590.000000	100.488	30.7018
600.000000	100.363	30.9045
608.000000	100.252	31.0795
615.000000	100.154	31.2699
622.000000	100.062	31.5087
630.000000	99.964	31.8493
640.000000	99.849	32.3638
650.000000	99.740	32.9196
660.000000	99.631	33.4792
670.000000	99.521	34.0968
680.000000	99.414	34.7885
690.000000	99.304	35.4665
700.000000	99.186	36.1182
710.000000	99.072	36.7982
720.000000	98.973	37.5263
730.000000	98.887	38.2980
740.000000	98.804	39.0927
750.000000	98.724	39.8965
762.000000	98.628	40.8449
775.000000	98.519	41.7718
788.000000	98.414	42.6128
800.000000	98.329	43.4208
812.000000	98.262	44.3196
825.000000	98.206	45.3633
838.000000	98.165	46.4102
850.000000	98.135	47.3222
862.000000	98.107	48.1740
875.000000	98.082	49.0792
885.000000	98.072	49.7832
900.000000	98.068	50.8813
912.000000	98.073	51.7627
925.000000	98.078	52.6627
938.000000	98.087	53.5282
950.000000	98.103	54.3311
962.000000	98.132	55.1286
975.000000	98.176	55.9720
988.000000	98.222	56.7990
1000.000000	98.265	57.5479
1015.000000	98.323	58.4557
1030.000000	98.391	59.3331
1044.000000	98.463	60.1253
1060.000000	98.551	60.9502
1075.000000	98.633	61.6080
1090.000000	98.720	62.1668
1106.000000	98.824	62.6786
1120.000000	98.923	63.0671
1138.000000	99.053	63.4892
1150.000000	99.137	63.7281
1172.000000	99.288	64.0828
1180.000000	99.341	64.1806
1206.000000	99.498	64.3991
1220.000000	99.574	64.4565
1241.000000	99.686	64.4964
1250.000000	99.734	64.5078
1265.000000	99.814	64.5208
1280.000000	99.894	64.5121
1315.000000	100.079	64.3780
1320.000000	100.105	64.3505
1340.000000	100.206	64.2264
1360.000000	100.310	64.0589
1380.000000	100.418	63.7999
1400.000000	100.517	63.3801
1430.000000	100.627	62.4345
1450.000000	100.686	61.7400
1475.000000	100.766	60.9641
1500.000000	100.843	60.3353
1525.000000	100.911	59.8323
1550.000000	100.982	59.4801
1575.000000	101.064	59.2717
1600.000000	101.157	59.1649
1625.000000	101.268	59.0575
1650.000000	101.397	58.8535
1675.000000	101.534	58.4727
1700.000000	101.670	57.8789
1725.000000	101.805	57.1290
1750.000000	101.936	56.3650
1775.000000	102.060	55.6798
1800.000000	102.179	55.1007
1825.000000	102.293	54.5874
1850.000000	102.404	54.0518
1875.000000	102.515	53.4569
1900.000000	102.632	52.8520
1925.000000	102.757	52.3117
1950.000000	102.893	51.8412
1975.000000	103.037	51.3861
2000.000000	103.184	50.8841
2030.000000	103.361	50.1995
2060.000000	103.538	49.4784
2090.000000	103.723	48.7333
2120.000000	103.922	47.9285
2140.000000	104.061	47.3237
2180.000000	104.337	45.8092
2200.000000	104.466	44.8890
2240.000000	104.710	42.9022
2270.000000	104.886	41.3776
2300.000000	105.058	39.8293
2330.000000	105.225	38.2573
2360.000000	105.382	36.6650
2400.000000	105.566	34.4969
2430.000000	105.677	32.8538
2470.000000	105.790	30.7725
2500.000000	105.853	29.3903
2540.000000	105.911	27.8033
2580.000000	105.939	26.3585
2620.000000	105.935	24.8687
2650.000000	105.911	23.6867
2690.000000	105.861	22.0624
2720.000000	105.816	20.8215
2760.000000	105.750	19.1644
2800.000000	105.676	17.6353
2850.000000	105.586	16.2225
2900.000000	105.504	15.4353
2950.000000	105.433	15.0134
3000.000000	105.357	14.7188
3040.000000	105.288	14.4671
3070.000000	105.229	14.2249
3110.000000	105.136	13.8101
3150.000000	105.017	13.3147
3200.000000	104.811	12.7185
3250.000000	104.533	12.4035
3300.000000	104.201	12.6684
3350.000000	103.837	13.5872
3400.000000	103.459	15.0534
3450.000000	103.087	17.0033
3500.000000	102.741	19.3838
3550.000000	102.428	22.1007
3600.000000	102.156	25.0584
3650.000000	101.930	28.2167
3700.000000	101.753	31.5823
3750.000000	101.632	35.1112
3820.000000	101.545	40.1031
