* Measurement data measured by REW V5.31
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26-Mar-2024 11:41:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Technics I3 Hifi ANC
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.790	49.2724
20.600000	99.709	48.5064
20.900000	99.627	47.6229
21.200001	99.574	46.7639
21.400000	99.562	46.2160
21.799999	99.591	45.1539
22.000000	99.623	44.6355
22.400000	99.695	43.6573
22.700001	99.739	43.0234
23.000000	99.767	42.5086
23.299999	99.779	42.1113
23.600000	99.779	41.7969
24.000000	99.766	41.4100
24.299999	99.751	41.0792
24.700001	99.725	40.5364
25.000000	99.707	40.0600
25.400000	99.689	39.3755
25.799999	99.685	38.6856
26.200001	99.696	38.0255
26.500000	99.710	37.5603
26.900000	99.728	36.9908
27.200001	99.738	36.6097
27.600000	99.743	36.1699
28.000000	99.743	35.7999
28.500000	99.747	35.3880
29.000000	99.765	34.9583
29.500000	99.796	34.4607
30.000000	99.832	33.9010
30.400000	99.858	33.4356
30.700001	99.875	33.0912
31.100000	99.895	32.6489
31.500000	99.913	32.2298
32.000000	99.938	31.7324
32.500000	99.969	31.2512
33.000000	100.007	30.7748
33.500000	100.051	30.2978
34.000000	100.098	29.8179
34.500000	100.145	29.3328
35.000000	100.188	28.8403
35.500000	100.228	28.3429
36.000000	100.265	27.8461
36.500000	100.300	27.3481
37.000000	100.335	26.8329
37.500000	100.369	26.2788
38.200001	100.410	25.4366
38.700001	100.436	24.8306
39.500000	100.484	23.9418
40.000000	100.524	23.4303
40.599998	100.577	22.8099
41.200001	100.626	22.1525
41.799999	100.666	21.4638
42.500000	100.705	20.6420
43.099998	100.737	19.9333
43.700001	100.769	19.2357
44.400002	100.806	18.4552
45.000000	100.835	17.8126
45.500000	100.857	17.2836
46.200001	100.886	16.5398
46.799999	100.909	15.8953
47.500000	100.937	15.1263
48.200001	100.961	14.3302
48.700001	100.973	13.7550
49.400002	100.986	12.9678
50.000000	100.997	12.3199
50.799999	101.013	11.4765
51.500000	101.024	10.7448
52.200001	101.029	10.0201
53.000000	101.029	9.1888
53.799999	101.027	8.3435
54.500000	101.024	7.6070
55.200001	101.020	6.8879
56.000000	101.012	6.0795
57.000000	100.992	5.0688
58.000000	100.971	4.0686
59.000000	100.956	3.1114
60.000000	100.944	2.1926
60.799999	100.932	1.4676
61.500000	100.919	0.8399
62.200001	100.906	0.2226
63.000000	100.892	-0.4688
64.000000	100.873	-1.3201
65.000000	100.849	-2.1786
66.000000	100.816	-3.0482
67.000000	100.775	-3.8877
68.000000	100.731	-4.6755
69.000000	100.690	-5.4479
70.000000	100.656	-6.2295
71.000000	100.630	-6.9982
72.000000	100.604	-7.7271
73.000000	100.574	-8.4134
74.000000	100.535	-9.0794
75.000000	100.489	-9.7359
76.199997	100.429	-10.4960
77.500000	100.372	-11.3043
78.800003	100.322	-12.1243
80.000000	100.273	-12.8795
81.199997	100.224	-13.6193
82.500000	100.177	-14.4048
83.800003	100.131	-15.1767
85.000000	100.082	-15.8676
86.199997	100.029	-16.5227
87.500000	99.975	-17.1821
88.500000	99.938	-17.6601
90.000000	99.884	-18.3608
91.199997	99.840	-18.9186
92.500000	99.790	-19.5141
93.800003	99.741	-20.1273
95.000000	99.695	-20.7249
96.199997	99.646	-21.3213
97.500000	99.592	-21.9306
98.800003	99.539	-22.4919
100.000000	99.493	-22.9797
101.500000	99.440	-23.5805
103.000000	99.389	-24.1897
104.400002	99.338	-24.7643
106.000000	99.275	-25.4207
107.500000	99.212	-26.0163
109.000000	99.150	-26.5833
110.599998	99.085	-27.1491
112.000000	99.030	-27.6118
113.800003	98.963	-28.1758
115.000000	98.919	-28.5425
117.199997	98.841	-29.1845
118.000000	98.815	-29.4025
120.599998	98.736	-30.0473
122.000000	98.692	-30.3535
124.099998	98.625	-30.7719
125.000000	98.597	-30.9409
126.500000	98.551	-31.2131
128.000000	98.506	-31.4764
131.500000	98.398	-32.0755
132.000000	98.383	-32.1647
134.000000	98.320	-32.5488
136.000000	98.258	-32.9572
138.000000	98.197	-33.3405
140.000000	98.132	-33.6936
143.000000	98.026	-34.2081
145.000000	97.953	-34.5317
147.500000	97.870	-34.8995
150.000000	97.793	-35.2357
152.500000	97.714	-35.5717
155.000000	97.634	-35.8975
157.500000	97.560	-36.1734
160.000000	97.486	-36.3927
162.500000	97.411	-36.5870
165.000000	97.334	-36.7949
167.500000	97.253	-37.0122
170.000000	97.170	-37.2034
172.500000	97.090	-37.3649
175.000000	97.010	-37.5034
177.500000	96.930	-37.6151
180.000000	96.848	-37.6928
182.500000	96.762	-37.7224
185.000000	96.674	-37.7219
187.500000	96.591	-37.7154
190.000000	96.515	-37.7098
192.500000	96.447	-37.6987
195.000000	96.387	-37.6655
197.500000	96.337	-37.5931
200.000000	96.293	-37.4910
203.000000	96.235	-37.3612
206.000000	96.176	-37.2356
209.000000	96.123	-37.1058
212.000000	96.079	-36.9273
214.000000	96.055	-36.7549
218.000000	96.020	-36.3019
220.000000	96.013	-36.0590
224.000000	96.019	-35.5962
227.000000	96.030	-35.2774
230.000000	96.039	-34.9937
233.000000	96.047	-34.7165
236.000000	96.055	-34.4094
240.000000	96.064	-33.9960
243.000000	96.070	-33.7170
247.000000	96.079	-33.3676
250.000000	96.087	-33.1090
254.000000	96.103	-32.7403
258.000000	96.129	-32.3353
262.000000	96.158	-31.9253
265.000000	96.178	-31.6334
269.000000	96.204	-31.2828
272.000000	96.226	-31.0597
276.000000	96.261	-30.8225
280.000000	96.302	-30.6348
285.000000	96.358	-30.4359
290.000000	96.417	-30.2639
295.000000	96.483	-30.0909
300.000000	96.553	-29.9651
304.000000	96.614	-29.9056
307.000000	96.662	-29.8725
311.000000	96.730	-29.8407
315.000000	96.801	-29.8180
320.000000	96.892	-29.7818
325.000000	96.990	-29.7492
330.000000	97.099	-29.7618
335.000000	97.216	-29.8313
340.000000	97.336	-29.9459
345.000000	97.451	-30.1206
350.000000	97.564	-30.3877
355.000000	97.675	-30.7441
360.000000	97.786	-31.1668
365.000000	97.901	-31.6673
370.000000	98.020	-32.2591
375.000000	98.142	-32.9333
382.000000	98.320	-33.9566
387.000000	98.449	-34.7174
395.000000	98.654	-36.0285
400.000000	98.768	-36.9258
406.000000	98.881	-38.0349
412.000000	98.976	-39.1342
418.000000	99.065	-40.2266
425.000000	99.173	-41.5064
