* Measurement data measured by REW V5.30.9
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Mar-2024 14:30:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Technics Earfree I3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.879	69.3089
20.600000	78.894	68.6714
20.900000	78.920	67.9059
21.200001	78.955	67.1566
21.400000	78.982	66.7046
21.799999	79.038	65.9627
22.000000	79.065	65.6787
22.400000	79.113	65.2646
22.700001	79.140	65.0504
23.000000	79.159	64.8736
23.299999	79.168	64.6960
23.600000	79.171	64.4903
24.000000	79.165	64.1534
24.299999	79.160	63.8587
24.700001	79.159	63.4351
25.000000	79.165	63.1138
25.400000	79.185	62.7043
25.799999	79.216	62.3335
26.200001	79.248	62.0115
26.500000	79.271	61.8027
26.900000	79.295	61.5607
27.200001	79.310	61.3967
27.600000	79.325	61.1834
28.000000	79.339	60.9616
28.500000	79.359	60.6694
29.000000	79.383	60.3829
29.500000	79.414	60.1281
30.000000	79.449	59.9088
30.400000	79.477	59.7491
30.700001	79.497	59.6324
31.100000	79.522	59.4770
31.500000	79.546	59.3203
32.000000	79.578	59.1239
32.500000	79.613	58.9319
33.000000	79.652	58.7536
33.500000	79.694	58.5973
34.000000	79.737	58.4604
34.500000	79.779	58.3263
35.000000	79.818	58.1758
35.500000	79.851	58.0008
36.000000	79.878	57.8074
36.500000	79.903	57.6057
37.000000	79.928	57.4012
37.500000	79.955	57.1961
38.200001	79.996	56.9200
38.700001	80.028	56.7459
39.500000	80.081	56.5149
40.000000	80.115	56.3837
40.599998	80.155	56.2177
41.200001	80.191	56.0359
41.799999	80.226	55.8427
42.500000	80.265	55.6176
43.099998	80.295	55.4438
43.700001	80.321	55.2965
44.400002	80.349	55.1361
45.000000	80.368	54.9801
45.500000	80.381	54.8347
46.200001	80.396	54.6315
46.799999	80.410	54.4749
47.500000	80.431	54.3096
48.200001	80.453	54.1430
48.700001	80.468	54.0134
49.400002	80.483	53.8200
50.000000	80.491	53.6623
50.799999	80.497	53.4912
51.500000	80.502	53.3711
52.200001	80.505	53.2595
53.000000	80.508	53.1304
53.799999	80.511	52.9861
54.500000	80.511	52.8467
55.200001	80.506	52.7170
56.000000	80.498	52.6001
57.000000	80.486	52.4833
58.000000	80.479	52.3760
59.000000	80.476	52.2871
60.000000	80.469	52.2273
60.799999	80.459	52.1941
61.500000	80.447	52.1609
62.200001	80.435	52.1150
63.000000	80.421	52.0511
64.000000	80.400	51.9785
65.000000	80.373	51.9326
66.000000	80.340	51.9094
67.000000	80.302	51.9040
68.000000	80.263	51.9153
69.000000	80.227	51.9300
70.000000	80.196	51.9419
71.000000	80.170	51.9731
72.000000	80.147	52.0541
73.000000	80.124	52.1916
74.000000	80.095	52.3736
75.000000	80.061	52.5859
76.199997	80.016	52.8593
77.500000	79.971	53.1486
78.800003	79.930	53.4003
80.000000	79.890	53.6133
81.199997	79.849	53.8395
82.500000	79.804	54.1144
83.800003	79.760	54.4187
85.000000	79.717	54.7226
86.199997	79.673	55.0624
87.500000	79.629	55.4859
88.500000	79.600	55.8392
90.000000	79.563	56.3799
91.199997	79.534	56.8146
92.500000	79.501	57.2902
93.800003	79.469	57.7518
95.000000	79.435	58.1549
96.199997	79.395	58.5544
97.500000	79.345	59.0036
98.800003	79.295	59.4647
100.000000	79.254	59.8905
101.500000	79.212	60.4342
103.000000	79.175	61.0049
104.400002	79.138	61.5615
106.000000	79.091	62.2138
107.500000	79.047	62.8407
109.000000	79.007	63.4695
110.599998	78.968	64.1300
112.000000	78.936	64.7121
113.800003	78.895	65.4838
115.000000	78.865	66.0010
117.199997	78.811	66.9249
118.000000	78.794	67.2543
120.599998	78.741	68.3187
122.000000	78.712	68.9013
124.099998	78.664	69.7940
125.000000	78.642	70.1818
126.500000	78.605	70.8259
128.000000	78.571	71.4620
131.500000	78.504	72.9386
132.000000	78.495	73.1499
134.000000	78.453	73.9827
136.000000	78.409	74.7958
138.000000	78.365	75.6222
140.000000	78.320	76.4662
143.000000	78.248	77.7333
145.000000	78.197	78.6005
147.500000	78.138	79.7229
150.000000	78.088	80.8715
152.500000	78.038	81.9844
155.000000	77.983	83.0412
157.500000	77.925	84.0963
160.000000	77.867	85.1980
162.500000	77.814	86.3288
165.000000	77.761	87.4547
167.500000	77.703	88.5887
170.000000	77.640	89.7556
172.500000	77.578	90.9337
175.000000	77.521	92.1159
177.500000	77.463	93.3118
180.000000	77.403	94.5115
182.500000	77.338	95.7084
185.000000	77.270	96.9158
187.500000	77.203	98.1367
190.000000	77.137	99.3532
192.500000	77.069	100.5792
195.000000	77.003	101.8519
197.500000	76.942	103.1853
200.000000	76.885	104.5664
203.000000	76.817	106.2309
206.000000	76.751	107.8555
209.000000	76.688	109.4521
212.000000	76.628	111.0467
214.000000	76.588	112.1152
218.000000	76.509	114.2802
220.000000	76.471	115.3879
224.000000	76.396	117.6623
227.000000	76.340	119.4260
230.000000	76.288	121.2333
233.000000	76.249	123.0734
236.000000	76.226	124.9272
240.000000	76.214	127.3314
243.000000	76.214	129.0288
247.000000	76.215	131.1936
250.000000	76.211	132.7899
254.000000	76.199	134.9354
258.000000	76.185	137.1164
262.000000	76.173	139.3017
265.000000	76.165	140.9239
269.000000	76.159	143.0611
272.000000	76.159	144.6495
276.000000	76.166	146.7598
280.000000	76.178	148.8706
285.000000	76.200	151.5148
290.000000	76.223	154.1524
295.000000	76.248	156.7542
300.000000	76.278	159.2782
304.000000	76.307	161.2413
307.000000	76.332	162.6910
311.000000	76.369	164.5890
315.000000	76.410	166.4403
320.000000	76.468	168.7057
325.000000	76.534	170.9395
330.000000	76.609	173.1268
335.000000	76.689	175.2562
340.000000	76.768	177.3492
345.000000	76.845	179.4177
350.000000	76.923	-178.5612
355.000000	77.004	-176.5830
360.000000	77.089	-174.6309
365.000000	77.180	-172.7279
370.000000	77.275	-170.9096
375.000000	77.376	-169.1906
382.000000	77.520	-166.9126
387.000000	77.621	-165.3354
395.000000	77.769	-162.8953
400.000000	77.845	-161.4152
406.000000	77.921	-159.6505
412.000000	77.987	-157.8909
418.000000	78.053	-156.1669
425.000000	78.137	-154.2352
431.000000	78.214	-152.6837
437.000000	78.287	-151.2405
444.000000	78.353	-149.6458
450.000000	78.391	-148.2916
455.000000	78.412	-147.1420
462.000000	78.431	-145.4833
468.000000	78.444	-144.0252
475.000000	78.459	-142.2860
482.000000	78.474	-140.5268
487.000000	78.483	-139.2946
494.000000	78.492	-137.6246
500.000000	78.495	-136.2246
508.000000	78.491	-134.4065
515.000000	78.478	-132.8864
522.000000	78.459	-131.4016
530.000000	78.434	-129.6665
538.000000	78.404	-127.9018
545.000000	78.372	-126.3778
552.000000	78.329	-124.8741
560.000000	78.261	-123.1692
570.000000	78.153	-121.0234
580.000000	78.036	-118.8099
590.000000	77.917	-116.5204
600.000000	77.790	-114.1960
608.000000	77.684	-112.2989
615.000000	77.591	-110.5828
622.000000	77.498	-108.8097
630.000000	77.390	-106.7156
640.000000	77.252	-104.0063
650.000000	77.110	-101.2494
660.000000	76.962	-98.4733
670.000000	76.812	-95.6416
680.000000	76.672	-92.7296
690.000000	76.545	-89.7474
700.000000	76.425	-86.7072
710.000000	76.314	-83.6332
720.000000	76.217	-80.5612
730.000000	76.130	-77.5179
740.000000	76.042	-74.5192
750.000000	75.949	-71.5800
762.000000	75.831	-68.0710
775.000000	75.704	-64.2170
788.000000	75.587	-60.3692
800.000000	75.496	-56.8757
812.000000	75.419	-53.4060
825.000000	75.345	-49.6229
838.000000	75.281	-45.7573
850.000000	75.232	-42.0802
862.000000	75.195	-38.2742
875.000000	75.167	-34.0551
885.000000	75.154	-30.7878
900.000000	75.143	-25.8931
912.000000	75.142	-22.0398
925.000000	75.149	-17.9612
938.000000	75.165	-13.9690
950.000000	75.187	-10.3293
962.000000	75.213	-6.7148
975.000000	75.248	-2.8407
988.000000	75.290	0.9761
1000.000000	75.336	4.4496
1015.000000	75.405	8.7330
1030.000000	75.486	12.9420
1044.000000	75.570	16.7906
1060.000000	75.666	21.1158
1075.000000	75.752	25.1357
1090.000000	75.840	29.1133
1106.000000	75.941	33.2669
1120.000000	76.031	36.7952
1138.000000	76.145	41.1755
1150.000000	76.218	43.9978
1172.000000	76.350	48.9374
1180.000000	76.398	50.6721
1206.000000	76.551	56.2258
1220.000000	76.631	59.1974
1241.000000	76.747	63.6041
1250.000000	76.797	65.4701
1265.000000	76.881	68.5460
1280.000000	76.964	71.5697
1315.000000	77.148	78.3402
1320.000000	77.173	79.2657
1340.000000	77.261	82.8732
1360.000000	77.337	86.4035
1380.000000	77.410	89.9651
1400.000000	77.491	93.6272
1430.000000	77.616	99.2225
1450.000000	77.691	102.8893
1475.000000	77.767	107.3513
1500.000000	77.831	111.7252
1525.000000	77.895	116.1107
1550.000000	77.972	120.5679
1575.000000	78.063	124.9734
1600.000000	78.147	129.1535
1625.000000	78.225	132.9452
1650.000000	78.299	136.2625
1675.000000	78.369	139.1619
1700.000000	78.436	141.7545
1725.000000	78.504	144.1478
1750.000000	78.570	146.3848
1775.000000	78.631	148.5038
1800.000000	78.695	150.5886
1825.000000	78.771	152.7310
1850.000000	78.860	154.9755
1875.000000	78.960	157.3001
1900.000000	79.068	159.6462
1925.000000	79.185	161.9667
1950.000000	79.309	164.2667
1975.000000	79.435	166.5843
2000.000000	79.565	168.9349
2030.000000	79.735	171.7557
2060.000000	79.913	174.5428
2090.000000	80.101	177.2924
2120.000000	80.306	179.9955
2140.000000	80.446	-178.2355
2180.000000	80.719	-174.8593
2200.000000	80.853	-173.3150
2240.000000	81.114	-170.6635
2270.000000	81.300	-169.1037
2300.000000	81.473	-167.8794
2330.000000	81.630	-166.9813
2360.000000	81.767	-166.4169
2400.000000	81.917	-166.1105
2430.000000	82.008	-166.0801
2470.000000	82.101	-166.0716
2500.000000	82.146	-165.9716
2540.000000	82.172	-165.5537
2580.000000	82.171	-164.6895
2620.000000	82.145	-163.4426
2650.000000	82.109	-162.3857
2690.000000	82.041	-160.9605
2720.000000	81.982	-159.9077
2760.000000	81.901	-158.4936
2800.000000	81.819	-157.0231
2850.000000	81.710	-155.1353
2900.000000	81.600	-153.3372
2950.000000	81.498	-151.7357
3000.000000	81.391	-150.4897
3040.000000	81.291	-149.8401
3070.000000	81.209	-149.5311
3110.000000	81.087	-149.3063
3150.000000	80.940	-149.2880
3200.000000	80.704	-149.5142
3250.000000	80.410	-149.7974
3300.000000	80.060	-149.8777
3350.000000	79.677	-149.5847
3400.000000	79.286	-148.8994
3450.000000	78.903	-147.9870
3500.000000	78.536	-146.9902
3550.000000	78.203	-145.8495
3600.000000	77.920	-144.3897
3650.000000	77.696	-142.5264
3700.000000	77.532	-140.3350
3750.000000	77.424	-137.9844
3820.000000	77.355	-134.7736
3870.000000	77.358	-132.6628
3950.000000	77.452	-129.4848
4000.000000	77.564	-127.5547
4060.000000	77.737	-125.4763
4120.000000	77.931	-123.9517
4180.000000	78.138	-123.0942
4250.000000	78.392	-122.7747
4310.000000	78.614	-122.8389
4370.000000	78.834	-123.0175
4440.000000	79.071	-123.4036
4500.000000	79.252	-123.9969
4550.000000	79.390	-124.6552
4620.000000	79.573	-125.6450
4680.000000	79.724	-126.4304
4750.000000	79.890	-127.2352
4820.000000	80.047	-127.9049
4870.000000	80.155	-128.3286
4940.000000	80.297	-128.9743
5000.000000	80.402	-129.7263
5080.000000	80.505	-131.2647
5150.000000	80.548	-133.3147
5220.000000	80.531	-136.1820
5300.000000	80.420	-140.4288
5380.000000	80.199	-145.1472
5450.000000	79.919	-148.9327
5520.000000	79.567	-151.9131
5600.000000	79.091	-154.2883
5700.000000	78.400	-156.1343
5800.000000	77.645	-157.1334
5900.000000	76.884	-157.2889
6000.000000	76.164	-156.6008
6080.000000	75.635	-155.7418
6150.000000	75.216	-154.9594
6220.000000	74.844	-154.1956
6300.000000	74.484	-153.3282
6400.000000	74.134	-152.1733
6500.000000	73.897	-150.7773
6600.000000	73.776	-149.1311
6700.000000	73.760	-147.5349
6800.000000	73.845	-146.1402
6900.000000	74.040	-144.6494
7000.000000	74.351	-142.9504
7100.000000	74.771	-141.4146
7200.000000	75.296	-140.3636
7300.000000	75.921	-139.9508
7400.000000	76.640	-140.3673
7500.000000	77.435	-141.9698
7620.000000	78.449	-146.0210
7750.000000	79.541	-153.4508
7880.000000	80.504	-164.1750
8000.000000	81.138	-176.8568
8120.000000	81.433	168.7275
8250.000000	81.332	152.9644
8380.000000	80.833	138.4225
8500.000000	80.099	126.3787
8620.000000	79.212	115.7775
8750.000000	78.191	106.1692
8850.000000	77.424	100.2313
9000.000000	76.362	93.4783
9120.000000	75.600	89.3235
9250.000000	74.862	85.4375
9380.000000	74.208	81.6721
9500.000000	73.663	77.9485
9620.000000	73.161	73.8909
9750.000000	72.657	69.1615
9880.000000	72.181	64.1252
10000.000000	71.760	59.2150
10150.000000	71.252	52.8856
10300.000000	70.760	46.9504
10440.000000	70.315	42.5996
10600.000000	69.822	40.3818
10750.000000	69.401	42.8464
10900.000000	69.049	50.8108
11060.000000	68.747	64.2000
11200.000000	68.540	78.3411
11380.000000	68.367	97.8708
11500.000000	68.322	110.6812
11720.000000	68.404	131.2693
11800.000000	68.492	137.5585
12060.000000	69.045	155.0095
12200.000000	69.538	163.4053
12410.000000	70.578	174.9953
12500.000000	71.142	179.3717
12650.000000	72.232	-174.4868
12800.000000	73.477	-169.9789
13150.000000	76.502	-166.9579
13200.000000	76.875	-167.5499
13400.000000	78.019	-172.5067
13600.000000	78.414	179.6825
13800.000000	78.001	171.6710
14000.000000	76.947	165.6458
14300.000000	74.790	161.7334
14500.000000	73.333	161.7396
14750.000000	71.717	162.9843
15000.000000	70.369	164.8726
15250.000000	69.269	167.5146
15500.000000	68.382	170.7849
15750.000000	67.679	174.6357
16000.000000	67.112	179.2335
16250.000000	66.613	-175.3942
16500.000000	66.105	-169.9618
16750.000000	65.535	-165.1360
17000.000000	64.891	-160.8600
17250.000000	64.147	-157.1993
17500.000000	63.250	-154.3015
17750.000000	62.151	-151.6788
18000.000000	60.845	-148.2336
