* Measurement data measured by REW V5.31
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26-Mar-2024 11:37:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Technics Earfree I3 T
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.076	85.0098
20.600000	89.150	84.2300
20.900000	89.250	83.4400
21.200001	89.375	82.8671
21.400000	89.476	82.6341
21.799999	89.719	82.4238
22.000000	89.858	82.3607
22.400000	90.144	82.1050
22.700001	90.338	81.6983
23.000000	90.491	81.1008
23.299999	90.595	80.3744
23.600000	90.652	79.6091
24.000000	90.684	78.6680
24.299999	90.699	78.0784
24.700001	90.746	77.4487
25.000000	90.814	77.0591
25.400000	90.949	76.5912
25.799999	91.121	76.1409
26.200001	91.307	75.6890
26.500000	91.441	75.3457
26.900000	91.598	74.8848
27.200001	91.696	74.5433
27.600000	91.799	74.1036
28.000000	91.885	73.6748
28.500000	91.993	73.0873
29.000000	92.124	72.3295
29.500000	92.271	71.3684
30.000000	92.414	70.3388
30.400000	92.518	69.6052
30.700001	92.593	69.1543
31.100000	92.692	68.6783
31.500000	92.795	68.2815
32.000000	92.926	67.7629
32.500000	93.051	67.1338
33.000000	93.171	66.4150
33.500000	93.296	65.6812
34.000000	93.433	64.9824
34.500000	93.577	64.3336
35.000000	93.712	63.7468
35.500000	93.831	63.2326
36.000000	93.939	62.7594
36.500000	94.048	62.2344
37.000000	94.162	61.5604
37.500000	94.274	60.7229
38.200001	94.405	59.4617
38.700001	94.476	58.6630
39.500000	94.570	57.6559
40.000000	94.631	57.1140
40.599998	94.726	56.4372
41.200001	94.862	55.6610
41.799999	95.033	54.7844
42.500000	95.234	53.7833
43.099998	95.375	53.1378
43.700001	95.484	52.7641
44.400002	95.596	52.5066
45.000000	95.698	52.1897
45.500000	95.790	51.7522
46.200001	95.918	50.9184
46.799999	96.011	50.1932
47.500000	96.096	49.6294
48.200001	96.178	49.4378
48.700001	96.250	49.3514
49.400002	96.365	48.9522
50.000000	96.454	48.2390
50.799999	96.541	47.0268
51.500000	96.609	46.0426
52.200001	96.686	45.2181
53.000000	96.770	44.3831
53.799999	96.837	43.5889
54.500000	96.886	42.8880
55.200001	96.937	42.1563
56.000000	97.001	41.3023
57.000000	97.087	40.2570
58.000000	97.177	39.2020
59.000000	97.263	38.1067
60.000000	97.342	37.0059
60.799999	97.398	36.1164
61.500000	97.441	35.3208
62.200001	97.479	34.5131
63.000000	97.520	33.5881
64.000000	97.570	32.4527
65.000000	97.622	31.3594
66.000000	97.678	30.2910
67.000000	97.735	29.2188
68.000000	97.783	28.1403
69.000000	97.823	27.0418
70.000000	97.853	25.9036
71.000000	97.878	24.7487
72.000000	97.903	23.6236
73.000000	97.931	22.5573
74.000000	97.959	21.5508
75.000000	97.983	20.5885
76.199997	98.003	19.4664
77.500000	98.019	18.2693
78.800003	98.031	17.0601
80.000000	98.037	15.9564
81.199997	98.041	14.9239
82.500000	98.049	13.8877
83.800003	98.063	12.8469
