* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 14:57:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics X ANC Hifi L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.657	-39.1123
20.600000	68.596	-38.4481
20.900000	68.520	-37.6267
21.200001	68.445	-36.7722
21.400000	68.397	-36.2110
21.799999	68.312	-35.1342
22.000000	68.275	-34.6219
22.400000	68.212	-33.6478
22.700001	68.173	-32.9556
23.000000	68.140	-32.2884
23.299999	68.110	-31.6396
23.600000	68.084	-31.0049
24.000000	68.052	-30.1808
24.299999	68.031	-29.5850
24.700001	68.006	-28.8331
25.000000	67.990	-28.3089
25.400000	67.972	-27.6690
25.799999	67.955	-27.0947
26.200001	67.938	-26.5754
26.500000	67.925	-26.2123
26.900000	67.906	-25.7495
27.200001	67.892	-25.4109
27.600000	67.874	-24.9666
28.000000	67.860	-24.5357
28.500000	67.846	-24.0363
29.000000	67.832	-23.5991
29.500000	67.814	-23.2150
30.000000	67.790	-22.8512
30.400000	67.768	-22.5581
30.700001	67.752	-22.3380
31.100000	67.732	-22.0549
31.500000	67.714	-21.7957
32.000000	67.692	-21.5093
32.500000	67.669	-21.2453
33.000000	67.644	-20.9759
33.500000	67.619	-20.6902
34.000000	67.595	-20.3952
34.500000	67.569	-20.1001
35.000000	67.541	-19.8062
35.500000	67.510	-19.5122
36.000000	67.478	-19.2211
36.500000	67.447	-18.9380
37.000000	67.419	-18.6631
37.500000	67.392	-18.3906
38.200001	67.355	-17.9978
38.700001	67.327	-17.6999
39.500000	67.283	-17.1891
40.000000	67.256	-16.8601
40.599998	67.230	-16.4771
41.200001	67.212	-16.1168
41.799999	67.202	-15.7690
42.500000	67.196	-15.3515
43.099998	67.191	-14.9657
43.700001	67.183	-14.5529
44.400002	67.173	-14.0670
45.000000	67.167	-13.6857
45.500000	67.164	-13.4020
46.200001	67.163	-13.0303
46.799999	67.169	-12.7112
47.500000	67.185	-12.3537
48.200001	67.205	-12.0471
48.700001	67.218	-11.8548
49.400002	67.234	-11.5887
50.000000	67.245	-11.3476
50.799999	67.261	-11.0352
51.500000	67.273	-10.8071
52.200001	67.283	-10.6270
53.000000	67.292	-10.4527
53.799999	67.306	-10.2904
54.500000	67.323	-10.1606
55.200001	67.342	-10.0543
56.000000	67.361	-9.9688
57.000000	67.377	-9.9017
58.000000	67.388	-9.8435
59.000000	67.402	-9.7730
60.000000	67.424	-9.7244
60.799999	67.443	-9.7474
61.500000	67.457	-9.8141
62.200001	67.464	-9.8914
63.000000	67.466	-9.9533
64.000000	67.463	-9.9764
65.000000	67.459	-9.9848
66.000000	67.456	-10.0457
67.000000	67.454	-10.1839
68.000000	67.449	-10.3543
69.000000	67.435	-10.4995
70.000000	67.414	-10.6134
71.000000	67.389	-10.7254
72.000000	67.367	-10.8504
73.000000	67.346	-10.9871
74.000000	67.328	-11.1347
75.000000	67.308	-11.2865
76.199997	67.278	-11.4489
77.500000	67.233	-11.5823
78.800003	67.179	-11.6974
80.000000	67.131	-11.8092
81.199997	67.088	-11.8959
82.500000	67.045	-11.9378
83.800003	66.998	-11.9668
85.000000	66.952	-11.9900
86.199997	66.908	-11.9867
87.500000	66.863	-11.9626
88.500000	66.827	-11.9532
90.000000	66.769	-11.9633
91.199997	66.719	-11.9645
92.500000	66.664	-11.9265
93.800003	66.612	-11.8397
95.000000	66.568	-11.7401
96.199997	66.526	-11.6592
97.500000	66.480	-11.6153
98.800003	66.432	-11.6077
100.000000	66.390	-11.6021
101.500000	66.339	-11.5478
103.000000	66.289	-11.4096
104.400002	66.243	-11.2335
106.000000	66.193	-11.0541
107.500000	66.148	-10.9326
109.000000	66.097	-10.8382
110.599998	66.035	-10.7547
112.000000	65.981	-10.6934
113.800003	65.922	-10.6228
115.000000	65.887	-10.5783
117.199997	65.828	-10.4959
118.000000	65.809	-10.4589
120.599998	65.748	-10.3181
122.000000	65.710	-10.2439
124.099998	65.644	-10.1337
125.000000	65.615	-10.0914
126.500000	65.571	-10.0292
128.000000	65.528	-9.9607
131.500000	65.421	-9.7461
132.000000	65.403	-9.7164
134.000000	65.327	-9.6085
136.000000	65.249	-9.5037
138.000000	65.174	-9.3784
140.000000	65.103	-9.2343
143.000000	64.996	-8.9859
145.000000	64.920	-8.8173
147.500000	64.824	-8.6172
150.000000	64.729	-8.4121
152.500000	64.636	-8.2011
155.000000	64.541	-7.9780
157.500000	64.439	-7.7332
160.000000	64.335	-7.4741
162.500000	64.241	-7.1844
165.000000	64.160	-6.8439
167.500000	64.079	-6.4762
170.000000	63.991	-6.0876
172.500000	63.897	-5.6545
175.000000	63.803	-5.1581
177.500000	63.712	-4.6333
180.000000	63.621	-4.1302
182.500000	63.527	-3.6731
185.000000	63.427	-3.2507
187.500000	63.319	-2.8185
190.000000	63.205	-2.3506
192.500000	63.097	-1.8474
195.000000	63.001	-1.3221
197.500000	62.916	-0.8016
200.000000	62.846	-0.2933
203.000000	62.783	0.3384
206.000000	62.734	1.0021
209.000000	62.687	1.6542
212.000000	62.636	2.2978
214.000000	62.598	2.7506
218.000000	62.502	3.7733
220.000000	62.447	4.3517
224.000000	62.339	5.6158
227.000000	62.282	6.6306
230.000000	62.256	7.6717
233.000000	62.252	8.6756
236.000000	62.261	9.5813
240.000000	62.274	10.6222
243.000000	62.278	11.3176
247.000000	62.271	12.1777
250.000000	62.262	12.7778
254.000000	62.252	13.5344
258.000000	62.243	14.2722
262.000000	62.229	14.9965
265.000000	62.216	15.5307
269.000000	62.200	16.2382
272.000000	62.191	16.7598
276.000000	62.182	17.4374
280.000000	62.177	18.0992
285.000000	62.171	18.9002
290.000000	62.166	19.6695
295.000000	62.155	20.4458
300.000000	62.136	21.2364
304.000000	62.123	21.8480
307.000000	62.116	22.2899
311.000000	62.106	22.8624
315.000000	62.096	23.4176
320.000000	62.084	24.0916
325.000000	62.078	24.7382
330.000000	62.080	25.3417
335.000000	62.084	25.8993
340.000000	62.081	26.4336
345.000000	62.072	26.9935
350.000000	62.058	27.5918
355.000000	62.037	28.1955
360.000000	62.016	28.7558
365.000000	61.998	29.2691
370.000000	61.980	29.7902
375.000000	61.961	30.3534
382.000000	61.932	31.1254
387.000000	61.911	31.6174
395.000000	61.885	32.3643
400.000000	61.871	32.8300
406.000000	61.847	33.3916
412.000000	61.812	33.9862
418.000000	61.773	34.6067
425.000000	61.722	35.3272
431.000000	61.678	35.9055
437.000000	61.636	36.4471
444.000000	61.587	37.1169
450.000000	61.540	37.7642
455.000000	61.496	38.3436
462.000000	61.433	39.1753
468.000000	61.388	39.8911
475.000000	61.346	40.7162
482.000000	61.309	41.5075
487.000000	61.283	42.0566
494.000000	61.249	42.8376
500.000000	61.221	43.5527
508.000000	61.174	44.5334
515.000000	61.121	45.3534
522.000000	61.063	46.1342
530.000000	60.999	47.0289
538.000000	60.938	47.9445
545.000000	60.885	48.7521
552.000000	60.835	49.5660
560.000000	60.780	50.5053
570.000000	60.715	51.6988
580.000000	60.653	52.9513
590.000000	60.597	54.2777
600.000000	60.547	55.6226
608.000000	60.510	56.7058
615.000000	60.477	57.6504
622.000000	60.440	58.5901
630.000000	60.395	59.6620
640.000000	60.342	61.0066
650.000000	60.298	62.3399
660.000000	60.253	63.6647
670.000000	60.205	65.0026
680.000000	60.156	66.3634
690.000000	60.107	67.7089
