* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 14:58:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics X ANC P L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.535	-21.9923
20.600000	72.479	-22.1190
20.900000	72.407	-22.2818
21.200001	72.330	-22.4664
21.400000	72.277	-22.6005
21.799999	72.173	-22.8923
22.000000	72.122	-23.0464
22.400000	72.022	-23.3569
22.700001	71.948	-23.5791
23.000000	71.875	-23.7828
23.299999	71.804	-23.9641
23.600000	71.735	-24.1233
24.000000	71.642	-24.3088
24.299999	71.572	-24.4358
24.700001	71.478	-24.6010
25.000000	71.407	-24.7269
25.400000	71.311	-24.8989
25.799999	71.214	-25.0692
26.200001	71.116	-25.2263
26.500000	71.042	-25.3290
26.900000	70.944	-25.4420
27.200001	70.872	-25.5099
27.600000	70.778	-25.5834
28.000000	70.685	-25.6441
28.500000	70.570	-25.7102
29.000000	70.454	-25.7709
29.500000	70.338	-25.8313
30.000000	70.222	-25.8919
30.400000	70.128	-25.9332
30.700001	70.056	-25.9529
31.100000	69.961	-25.9556
31.500000	69.867	-25.9270
32.000000	69.754	-25.8541
32.500000	69.646	-25.7606
33.000000	69.541	-25.6641
33.500000	69.436	-25.5642
34.000000	69.331	-25.4469
34.500000	69.226	-25.2996
35.000000	69.125	-25.1203
35.500000	69.028	-24.9162
36.000000	68.933	-24.6957
36.500000	68.839	-24.4629
37.000000	68.744	-24.2163
37.500000	68.647	-23.9495
38.200001	68.510	-23.5293
38.700001	68.416	-23.1967
39.500000	68.280	-22.6364
40.000000	68.201	-22.2780
40.599998	68.111	-21.8251
41.200001	68.024	-21.3290
41.799999	67.942	-20.7998
42.500000	67.852	-20.1875
43.099998	67.776	-19.6892
43.700001	67.701	-19.2051
44.400002	67.624	-18.6401
45.000000	67.568	-18.1480
45.500000	67.525	-17.7231
46.200001	67.470	-17.0911
46.799999	67.428	-16.5230
47.500000	67.386	-15.8581
48.200001	67.351	-15.1983
48.700001	67.333	-14.7235
49.400002	67.314	-14.0609
50.000000	67.300	-13.5153
50.799999	67.272	-12.8371
51.500000	67.243	-12.2755
52.200001	67.217	-11.7210
53.000000	67.199	-11.0808
53.799999	67.196	-10.4471
54.500000	67.201	-9.9239
55.200001	67.209	-9.4372
56.000000	67.218	-8.9078
57.000000	67.238	-8.2712
58.000000	67.265	-7.6745
59.000000	67.296	-7.1116
60.000000	67.333	-6.5777
60.799999	67.367	-6.1897
61.500000	67.401	-5.8898
62.200001	67.435	-5.6258
63.000000	67.473	-5.3594
64.000000	67.519	-5.0613
65.000000	67.563	-4.7954
66.000000	67.607	-4.5719
67.000000	67.648	-4.3899
68.000000	67.684	-4.2244
69.000000	67.717	-4.0519
70.000000	67.754	-3.8813
71.000000	67.794	-3.7490
72.000000	67.835	-3.6750
73.000000	67.874	-3.6538
74.000000	67.911	-3.6735
75.000000	67.943	-3.7158
76.199997	67.978	-3.7860
77.500000	68.009	-3.9055
78.800003	68.037	-4.0881
80.000000	68.061	-4.2791
81.199997	68.084	-4.4249
82.500000	68.108	-4.5253
83.800003	68.134	-4.6368
85.000000	68.157	-4.7916
86.199997	68.172	-4.9859
87.500000	68.177	-5.2199
88.500000	68.173	-5.4048
90.000000	68.160	-5.6863
91.199997	68.147	-5.9124
92.500000	68.135	-6.1525
93.800003	68.127	-6.4113
95.000000	68.124	-6.6941
96.199997	68.120	-7.0035
97.500000	68.108	-7.3240
98.800003	68.087	-7.5945
100.000000	68.066	-7.8037
101.500000	68.038	-8.0588
103.000000	68.003	-8.3415
104.400002	67.959	-8.6074
106.000000	67.900	-8.8889
107.500000	67.846	-9.1185
109.000000	67.801	-9.3139
110.599998	67.757	-9.5329
112.000000	67.716	-9.7499
113.800003	67.653	-10.0278
115.000000	67.607	-10.2002
117.199997	67.521	-10.4945
118.000000	67.487	-10.5911
120.599998	67.371	-10.8590
122.000000	67.312	-10.9866
124.099998	67.229	-11.1708
125.000000	67.192	-11.2411
126.500000	67.124	-11.3330
128.000000	67.049	-11.4019
131.500000	66.876	-11.5602
132.000000	66.852	-11.5745
134.000000	66.755	-11.5934
136.000000	66.646	-11.5937
138.000000	66.528	-11.5996
140.000000	66.414	-11.5555
143.000000	66.259	-11.3862
145.000000	66.158	-11.2571
147.500000	66.034	-11.0661
150.000000	65.921	-10.7941
152.500000	65.810	-10.5009
155.000000	65.690	-10.2638
157.500000	65.567	-10.0214
160.000000	65.451	-9.7234
162.500000	65.341	-9.3868
165.000000	65.235	-8.9824
167.500000	65.130	-8.5033
170.000000	65.028	-7.9922
172.500000	64.929	-7.5058
175.000000	64.834	-7.0410
177.500000	64.738	-6.5367
180.000000	64.639	-5.9463
182.500000	64.536	-5.3023
185.000000	64.430	-4.6721
187.500000	64.323	-4.0790
190.000000	64.214	-3.5108
192.500000	64.109	-2.9493
195.000000	64.016	-2.3872
197.500000	63.939	-1.8227
200.000000	63.881	-1.2489
203.000000	63.835	-0.5427
206.000000	63.806	0.1825
209.000000	63.783	0.9208
212.000000	63.751	1.6576
214.000000	63.722	2.1488
218.000000	63.646	3.1879
220.000000	63.605	3.7693
224.000000	63.539	5.0771
227.000000	63.511	6.1216
230.000000	63.501	7.1336
233.000000	63.507	8.0499
236.000000	63.523	8.8381
240.000000	63.545	9.6920
243.000000	63.557	10.2251
247.000000	63.571	10.8636
250.000000	63.583	11.3186
254.000000	63.602	11.9118
258.000000	63.616	12.5016
262.000000	63.625	13.0613
265.000000	63.629	13.4528
269.000000	63.629	13.9440
272.000000	63.629	14.2964
276.000000	63.630	14.7576
280.000000	63.630	15.2114
285.000000	63.625	15.7510
290.000000	63.621	16.2679
295.000000	63.617	16.7596
300.000000	63.604	17.2041
304.000000	63.586	17.5339
307.000000	63.572	17.7723
311.000000	63.552	18.0950
315.000000	63.533	18.4443
320.000000	63.509	18.9005
325.000000	63.480	19.3365
330.000000	63.450	19.7399
335.000000	63.421	20.1281
340.000000	63.392	20.5208
345.000000	63.365	20.9292
350.000000	63.335	21.3449
355.000000	63.296	21.7499
360.000000	63.252	22.1427
365.000000	63.206	22.5420
370.000000	63.165	22.9558
375.000000	63.127	23.3829
382.000000	63.070	24.0053
387.000000	63.018	24.4781
395.000000	62.929	25.2429
400.000000	62.879	25.7153
406.000000	62.829	26.2986
412.000000	62.784	26.8684
418.000000	62.730	27.4176
425.000000	62.651	28.0821
431.000000	62.576	28.6944
437.000000	62.505	29.3360
444.000000	62.427	30.1325
450.000000	62.359	30.8720
455.000000	62.305	31.5144
462.000000	62.237	32.4226
468.000000	62.183	33.1966
475.000000	62.122	34.0925
482.000000	62.069	34.9638
487.000000	62.039	35.5674
494.000000	62.002	36.4039
500.000000	61.973	37.1281
508.000000	61.941	38.1102
515.000000	61.913	38.9838
522.000000	61.882	39.8527
530.000000	61.842	40.8146
538.000000	61.800	41.7349
545.000000	61.763	42.5306
552.000000	61.729	43.3424
560.000000	61.691	44.3024
570.000000	61.643	45.5381
580.000000	61.595	46.7590
590.000000	61.552	47.9773
600.000000	61.514	49.1834
608.000000	61.490	50.1016
615.000000	61.471	50.8850
622.000000	61.454	51.6732
630.000000	61.438	52.5925
640.000000	61.427	53.7422
650.000000	61.419	54.8243
660.000000	61.403	55.8377
670.000000	61.383	56.8374
680.000000	61.363	57.8803
690.000000	61.342	58.9569
700.000000	61.319	60.0181
710.000000	61.293	61.0444
720.000000	61.264	62.0314
730.000000	61.235	63.0115
740.000000	61.205	64.0096
750.000000	61.169	65.0414
762.000000	61.122	66.3466
775.000000	61.077	67.8373
788.000000	61.041	69.3559
800.000000	61.014	70.7613
812.000000	60.995	72.1539
825.000000	60.985	73.6498
838.000000	60.981	75.1737
850.000000	60.980	76.6033
862.000000	60.986	78.0224
875.000000	61.002	79.5504
885.000000	61.018	80.7185
900.000000	61.046	82.4312
912.000000	61.073	83.7619
925.000000	61.106	85.1846
938.000000	61.142	86.5903
950.000000	61.175	87.8690
962.000000	61.214	89.1319
975.000000	61.266	90.4730
988.000000	61.326	91.7562
1000.000000	61.387	92.8840
1015.000000	61.470	94.2333
1030.000000	61.554	95.5222
1044.000000	61.629	96.6611
1060.000000	61.717	97.8916
1075.000000	61.803	98.9950
1090.000000	61.886	100.0533
1106.000000	61.967	101.1152
1120.000000	62.037	101.9722
1138.000000	62.128	102.9793
1150.000000	62.190	103.6059
1172.000000	62.298	104.7024
1180.000000	62.335	105.0902
1206.000000	62.448	106.3293
1220.000000	62.507	106.9983
1241.000000	62.600	108.0116
1250.000000	62.643	108.4490
1265.000000	62.720	109.1788
1280.000000	62.798	109.9016
1315.000000	62.951	111.5481
1320.000000	62.965	111.7815
1340.000000	62.993	112.7134
1360.000000	62.970	113.6421
1380.000000	62.905	114.5776
1400.000000	62.821	115.5361
1430.000000	62.716	117.0564
1450.000000	62.676	118.1187
1475.000000	62.657	119.5057
1500.000000	62.667	120.9776
1525.000000	62.699	122.4661
1550.000000	62.751	123.9431
1575.000000	62.806	125.4229
1600.000000	62.857	126.9040
1625.000000	62.910	128.3673
1650.000000	62.971	129.8271
1675.000000	63.037	131.3061
1700.000000	63.105	132.7929
1725.000000	63.176	134.2675
1750.000000	63.254	135.7195
1775.000000	63.343	137.1309
1800.000000	63.440	138.5069
1825.000000	63.542	139.8593
1850.000000	63.645	141.1979
1875.000000	63.749	142.5224
1900.000000	63.858	143.8189
1925.000000	63.974	145.0573
1950.000000	64.096	146.2147
1975.000000	64.221	147.3020
2000.000000	64.347	148.3368
2030.000000	64.505	149.5204
2060.000000	64.673	150.6545
2090.000000	64.841	151.7249
2120.000000	64.999	152.7312
2140.000000	65.101	153.3794
2180.000000	65.310	154.5895
2200.000000	65.420	155.1523
2240.000000	65.649	156.2034
2270.000000	65.824	156.8844
2300.000000	65.998	157.4577
2330.000000	66.171	157.9615
2360.000000	66.344	158.4149
2400.000000	66.572	158.9076
2430.000000	66.741	159.1817
2470.000000	66.961	159.4283
2500.000000	67.119	159.5219
2540.000000	67.321	159.5202
2580.000000	67.517	159.3944
2620.000000	67.705	159.1694
2650.000000	67.841	158.9387
2690.000000	68.014	158.5423
2720.000000	68.137	158.1703
2760.000000	68.294	157.5593
2800.000000	68.441	156.7930
2850.000000	68.605	155.6041
2900.000000	68.741	154.2187
2950.000000	68.848	152.6611
3000.000000	68.921	150.8724
3040.000000	68.950	149.2817
3070.000000	68.954	148.0134
3110.000000	68.931	146.2565
3150.000000	68.874	144.4492
3200.000000	68.746	142.1254
3250.000000	68.551	139.7755
3300.000000	68.286	137.4893
3350.000000	67.951	135.3624
3400.000000	67.553	133.4854
3450.000000	67.095	131.9221
3500.000000	66.587	130.7386
3550.000000	66.040	129.9905
3600.000000	65.471	129.6865
3650.000000	64.893	129.8215
3700.000000	64.319	130.3904
3750.000000	63.764	131.3775
3820.000000	63.038	133.3991
3870.000000	62.559	135.2643
3950.000000	61.870	138.9066
4000.000000	61.488	141.5221
4060.000000	61.083	144.9325
4120.000000	60.744	148.5242
4180.000000	60.472	152.1698
4250.000000	60.239	156.3653
4310.000000	60.107	159.8002
4370.000000	60.035	162.9525
4440.000000	60.021	166.1756
4500.000000	60.062	168.5189
4550.000000	60.121	170.1686
4620.000000	60.220	172.0298
4680.000000	60.300	173.2371
4750.000000	60.364	174.2587
4820.000000	60.379	174.9714
4870.000000	60.355	175.3666
4940.000000	60.272	175.8513
5000.000000	60.159	176.2609
5080.000000	59.958	176.9017
5150.000000	59.739	177.6388
5220.000000	59.490	178.5741
5300.000000	59.181	179.8989
5380.000000	58.856	-178.4886
5450.000000	58.565	-176.8334
5520.000000	58.280	-174.9598
5600.000000	57.973	-172.5897
5700.000000	57.633	-169.3065
5800.000000	57.345	-165.7078
5900.000000	57.122	-161.8868
6000.000000	56.972	-157.9110
6080.000000	56.897	-154.6438
6150.000000	56.858	-151.7478
6220.000000	56.841	-148.8445
6300.000000	56.852	-145.5451
6400.000000	56.914	-141.4669
6500.000000	57.034	-137.4446
6600.000000	57.220	-133.5202
6700.000000	57.480	-129.7667
6800.000000	57.817	-126.2355
6900.000000	58.232	-122.9838
7000.000000	58.724	-120.0966
7100.000000	59.297	-117.6427
7200.000000	59.953	-115.6809
7300.000000	60.688	-114.2917
7400.000000	61.496	-113.5671
7500.000000	62.373	-113.5893
7620.000000	63.493	-114.7405
7750.000000	64.720	-117.5751
7880.000000	65.866	-122.3252
8000.000000	66.774	-128.6291
8120.000000	67.461	-136.8604
8250.000000	67.850	-147.7138
8380.000000	67.764	-159.8234
8500.000000	67.214	-171.0408
8620.000000	66.237	178.7870
8750.000000	64.800	169.8694
8850.000000	63.519	164.8190
9000.000000	61.472	160.2480
9120.000000	59.834	158.9338
9250.000000	58.143	159.4416
9380.000000	56.584	161.5461
9500.000000	55.281	164.5864
9620.000000	54.120	168.4047
9750.000000	53.028	173.1301
9880.000000	52.102	178.2292
10000.000000	51.383	-176.8476
10150.000000	50.639	-170.4919
10300.000000	50.044	-163.9862
10440.000000	49.606	-157.8071
10600.000000	49.243	-150.6302
10750.000000	49.040	-143.8286
10900.000000	48.980	-137.0292
11060.000000	49.075	-129.8487
11200.000000	49.289	-123.6423
11380.000000	49.755	-115.7974
11500.000000	50.197	-110.7322
11720.000000	51.325	-102.1050
11800.000000	51.843	-99.2851
12060.000000	53.893	-91.9155
12200.000000	55.194	-89.4768
12410.000000	57.311	-88.3914
12500.000000	58.247	-88.9634
12650.000000	59.801	-91.3257
12800.000000	61.315	-95.3892
13150.000000	64.657	-111.1467
13200.000000	65.114	-114.1656
13400.000000	66.839	-128.5613
13600.000000	68.144	-147.0464
13800.000000	68.573	-168.7241
14000.000000	67.813	169.6803
14300.000000	64.780	145.1779
14500.000000	62.122	136.1155
14750.000000	58.859	132.1714
15000.000000	56.296	133.8379
15250.000000	54.717	137.9673
15500.000000	54.035	142.0556
15750.000000	54.133	144.2255
16000.000000	54.948	142.9506
16250.000000	56.251	137.1578
16500.000000	57.633	126.3851
16750.000000	58.667	111.0435
17000.000000	59.019	92.5122
17250.000000	58.509	72.9648
17500.000000	57.155	54.7476
17750.000000	55.136	39.5784
18000.000000	52.702	28.2993
18250.000000	50.114	21.0370
18500.000000	47.613	17.4372
18750.000000	45.389	16.7854
19000.000000	43.564	18.1912
19250.000000	42.188	20.7837
19500.000000	41.256	23.7339
19750.000000	40.732	26.2471
20000.000000	40.536	27.6504
