* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 15:01:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics X Pop R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.221	-4.6674
20.600000	73.192	-5.0999
20.900000	73.153	-5.6442
21.200001	73.109	-6.2300
21.400000	73.078	-6.6295
21.799999	73.013	-7.4345
22.000000	72.979	-7.8348
22.400000	72.912	-8.6199
22.700001	72.860	-9.1872
23.000000	72.808	-9.7313
23.299999	72.755	-10.2513
23.600000	72.703	-10.7493
24.000000	72.632	-11.3869
24.299999	72.577	-11.8518
24.700001	72.502	-12.4607
25.000000	72.444	-12.9096
25.400000	72.364	-13.4922
25.799999	72.281	-14.0475
26.200001	72.198	-14.5689
26.500000	72.135	-14.9385
26.900000	72.051	-15.4082
27.200001	71.988	-15.7471
27.600000	71.902	-16.1826
28.000000	71.813	-16.5951
28.500000	71.700	-17.0699
29.000000	71.588	-17.5030
29.500000	71.479	-17.9162
30.000000	71.372	-18.3303
30.400000	71.285	-18.6601
30.700001	71.217	-18.8975
31.100000	71.124	-19.1867
31.500000	71.029	-19.4335
32.000000	70.913	-19.6832
32.500000	70.803	-19.8900
33.000000	70.698	-20.0837
33.500000	70.595	-20.2762
34.000000	70.492	-20.4562
34.500000	70.389	-20.6038
35.000000	70.287	-20.7103
35.500000	70.185	-20.7844
36.000000	70.084	-20.8403
36.500000	69.982	-20.8834
37.000000	69.878	-20.9070
37.500000	69.773	-20.8994
38.200001	69.629	-20.8219
38.700001	69.531	-20.7203
39.500000	69.384	-20.5004
40.000000	69.298	-20.3398
40.599998	69.197	-20.1241
41.200001	69.099	-19.8763
41.799999	69.007	-19.6026
42.500000	68.904	-19.2773
43.099998	68.817	-19.0039
43.700001	68.732	-18.7288
44.400002	68.640	-18.4038
45.000000	68.570	-18.1259
45.500000	68.516	-17.8857
46.200001	68.448	-17.5112
46.799999	68.395	-17.1507
47.500000	68.340	-16.7027
48.200001	68.291	-16.2321
48.700001	68.261	-15.8825
49.400002	68.227	-15.3980
50.000000	68.199	-15.0180
50.799999	68.156	-14.5736
51.500000	68.113	-14.2111
52.200001	68.073	-13.8419
53.000000	68.040	-13.4040
53.799999	68.021	-12.9711
54.500000	68.011	-12.6198
55.200001	68.003	-12.2957
56.000000	67.995	-11.9426
57.000000	67.991	-11.5255
58.000000	67.996	-11.1508
59.000000	68.005	-10.7966
60.000000	68.019	-10.4488
60.799999	68.034	-10.2006
61.500000	68.050	-10.0269
62.200001	68.068	-9.8980
63.000000	68.089	-9.7903
64.000000	68.114	-9.6700
65.000000	68.136	-9.5484
66.000000	68.156	-9.4564
67.000000	68.172	-9.4070
68.000000	68.184	-9.3719
69.000000	68.194	-9.3195
70.000000	68.207	-9.2591
71.000000	68.226	-9.2318
72.000000	68.248	-9.2591
73.000000	68.273	-9.3407
74.000000	68.297	-9.4726
75.000000	68.316	-9.6338
76.199997	68.331	-9.8453
77.500000	68.340	-10.1175
78.800003	68.343	-10.4544
80.000000	68.343	-10.7844
81.199997	68.342	-11.0596
82.500000	68.341	-11.2899
83.800003	68.340	-11.5232
85.000000	68.338	-11.7866
86.199997	68.329	-12.0847
87.500000	68.308	-12.4194
88.500000	68.284	-12.6699
90.000000	68.243	-13.0369
91.199997	68.209	-13.3221
92.500000	68.176	-13.6239
93.800003	68.149	-13.9597
95.000000	68.128	-14.3144
96.199997	68.108	-14.6974
97.500000	68.078	-15.1112
98.800003	68.038	-15.4763
100.000000	67.997	-15.7650
101.500000	67.946	-16.1235
103.000000	67.887	-16.5083
104.400002	67.819	-16.8434
106.000000	67.735	-17.1879
107.500000	67.660	-17.4980
109.000000	67.589	-17.7892
110.599998	67.516	-18.0789
112.000000	67.452	-18.3266
