* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 15:02:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics X Rock L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.494	-22.7120
20.600000	69.454	-22.3391
20.900000	69.407	-21.8680
21.200001	69.365	-21.3744
21.400000	69.340	-21.0552
21.799999	69.303	-20.4713
22.000000	69.288	-20.2109
22.400000	69.262	-19.7414
22.700001	69.245	-19.4140
23.000000	69.228	-19.0892
23.299999	69.214	-18.7577
23.600000	69.203	-18.4203
24.000000	69.192	-17.9780
24.299999	69.188	-17.6685
24.700001	69.185	-17.3062
25.000000	69.185	-17.0793
25.400000	69.185	-16.8377
25.799999	69.183	-16.6579
26.200001	69.179	-16.5253
26.500000	69.173	-16.4455
26.900000	69.165	-16.3517
27.200001	69.158	-16.2853
27.600000	69.151	-16.2017
28.000000	69.147	-16.1297
28.500000	69.143	-16.0647
29.000000	69.137	-16.0225
29.500000	69.127	-15.9875
30.000000	69.112	-15.9537
30.400000	69.098	-15.9335
30.700001	69.086	-15.9262
31.100000	69.067	-15.9270
31.500000	69.046	-15.9351
32.000000	69.021	-15.9457
32.500000	69.000	-15.9513
33.000000	68.982	-15.9547
33.500000	68.966	-15.9634
34.000000	68.947	-15.9866
34.500000	68.922	-16.0290
35.000000	68.887	-16.0808
35.500000	68.844	-16.1170
36.000000	68.799	-16.1155
36.500000	68.760	-16.0755
37.000000	68.729	-16.0127
37.500000	68.702	-15.9353
38.200001	68.663	-15.7874
38.700001	68.633	-15.6562
39.500000	68.588	-15.4783
40.000000	68.559	-15.4152
40.599998	68.522	-15.3545
41.200001	68.490	-15.2611
41.799999	68.470	-15.1283
42.500000	68.455	-14.9545
43.099998	68.440	-14.7922
43.700001	68.422	-14.6072
44.400002	68.401	-14.3791
45.000000	68.386	-14.2053
45.500000	68.374	-14.0862
46.200001	68.358	-13.9472
46.799999	68.347	-13.8380
47.500000	68.341	-13.7178
48.200001	68.345	-13.6189
48.700001	68.354	-13.5695
49.400002	68.367	-13.5299
50.000000	68.374	-13.5135
50.799999	68.372	-13.4955
51.500000	68.362	-13.4759
52.200001	68.353	-13.4645
