* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 15:02:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rose Ceramics X Rock R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.454	-23.2834
20.600000	69.425	-22.8420
20.900000	69.394	-22.2943
21.200001	69.367	-21.7318
21.400000	69.351	-21.3708
21.799999	69.323	-20.7007
22.000000	69.309	-20.3903
22.400000	69.284	-19.8097
22.700001	69.268	-19.4068
23.000000	69.256	-19.0375
23.299999	69.247	-18.7104
23.600000	69.241	-18.4303
24.000000	69.231	-18.1193
24.299999	69.223	-17.9128
24.700001	69.210	-17.6395
25.000000	69.204	-17.4252
25.400000	69.202	-17.1382
25.799999	69.208	-16.8846
26.200001	69.215	-16.6969
26.500000	69.216	-16.6015
26.900000	69.209	-16.5136
27.200001	69.198	-16.4575
27.600000	69.181	-16.3766
28.000000	69.167	-16.2906
28.500000	69.158	-16.2067
29.000000	69.156	-16.1770
29.500000	69.152	-16.1871
30.000000	69.141	-16.1937
30.400000	69.128	-16.1792
30.700001	69.117	-16.1609
31.100000	69.101	-16.1424
31.500000	69.084	-16.1469
32.000000	69.056	-16.1854
32.500000	69.022	-16.2212
33.000000	68.985	-16.2034
33.500000	68.955	-16.1292
34.000000	68.938	-16.0627
34.500000	68.928	-16.0795
35.000000	68.907	-16.1869
35.500000	68.866	-16.3049
36.000000	68.811	-16.3317
36.500000	68.757	-16.2292
37.000000	68.720	-16.0514
37.500000	68.698	-15.8928
38.200001	68.676	-15.8015
38.700001	68.651	-15.8033
39.500000	68.593	-15.7818
40.000000	68.554	-15.7056
40.599998	68.512	-15.5560
41.200001	68.481	-15.3802
41.799999	68.458	-15.2110
42.500000	68.434	-15.0271
43.099998	68.413	-14.8645
43.700001	68.392	-14.6899
44.400002	68.373	-14.4830
45.000000	68.361	-14.3215
45.500000	68.356	-14.2108
46.200001	68.352	-14.1028
46.799999	68.349	-14.0379
47.500000	68.343	-13.9468
48.200001	68.338	-13.8099
48.700001	68.335	-13.6940
49.400002	68.333	-13.5370
50.000000	68.329	-13.4300
50.799999	68.326	-13.3572
51.500000	68.325	-13.3652
52.200001	68.326	-13.4077
53.000000	68.324	-13.4500
53.799999	68.320	-13.4834
54.500000	68.314	-13.5284
55.200001	68.308	-13.5998
56.000000	68.302	-13.7081
57.000000	68.296	-13.8601
58.000000	68.291	-14.0237
59.000000	68.288	-14.2125
60.000000	68.283	-14.4094
60.799999	68.278	-14.5570
61.500000	68.273	-14.6858
62.200001	68.266	-14.8276
63.000000	68.256	-15.0111
64.000000	68.236	-15.2627
65.000000	68.211	-15.5315
66.000000	68.181	-15.7992
67.000000	68.149	-16.0303
68.000000	68.115	-16.2233
69.000000	68.081	-16.4139
70.000000	68.048	-16.6303
71.000000	68.017	-16.8691
72.000000	67.986	-17.1158
73.000000	67.953	-17.3749
