* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Jun-2025 16:19:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SGB FE Dyn L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.972	-81.5186
20.600000	80.014	-82.0278
20.900000	80.065	-82.6631
21.200001	80.116	-83.3491
21.400000	80.147	-83.8196
21.799999	80.196	-84.7581
22.000000	80.213	-85.2065
22.400000	80.236	-86.0121
22.700001	80.248	-86.5102
23.000000	80.260	-86.9140
23.299999	80.276	-87.2393
23.600000	80.294	-87.5097
24.000000	80.318	-87.8221
24.299999	80.333	-88.0342
24.700001	80.346	-88.2885
25.000000	80.351	-88.4532
25.400000	80.355	-88.6364
25.799999	80.361	-88.7871
26.200001	80.370	-88.9211
26.500000	80.379	-89.0166
26.900000	80.393	-89.1354
27.200001	80.403	-89.2110
27.600000	80.416	-89.2801
28.000000	80.429	-89.3024
28.500000	80.447	-89.2678
29.000000	80.469	-89.1987
29.500000	80.497	-89.1478
30.000000	80.526	-89.1469
30.400000	80.547	-89.1758
30.700001	80.561	-89.2020
31.100000	80.577	-89.2279
31.500000	80.594	-89.2354
32.000000	80.616	-89.2264
32.500000	80.638	-89.2190
33.000000	80.655	-89.2304
33.500000	80.666	-89.2608
34.000000	80.672	-89.2990
34.500000	80.675	-89.3308
35.000000	80.677	-89.3460
35.500000	80.679	-89.3424
36.000000	80.681	-89.3243
36.500000	80.679	-89.2951
37.000000	80.671	-89.2512
37.500000	80.659	-89.1886
38.200001	80.634	-89.0775
38.700001	80.612	-88.9883
39.500000	80.568	-88.7924
40.000000	80.538	-88.6117
40.599998	80.509	-88.3654
41.200001	80.487	-88.1624
41.799999	80.465	-88.0330
42.500000	80.426	-87.8884
43.099998	80.384	-87.6804
43.700001	80.339	-87.3859
44.400002	80.284	-86.9927
45.000000	80.230	-86.6526
45.500000	80.183	-86.3758
46.200001	80.118	-86.0002
46.799999	80.066	-85.6783
47.500000	80.008	-85.2683
48.200001	79.954	-84.7940
48.700001	79.917	-84.4197
49.400002	79.863	-83.8687
50.000000	79.811	-83.3896
50.799999	79.727	-82.7471
51.500000	79.644	-82.1637
52.200001	79.562	-81.5457
