* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Jun-2025 16:17:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SGB FE Smooth L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.770	-87.0921
20.600000	74.802	-86.9468
20.900000	74.839	-86.7654
21.200001	74.878	-86.5666
21.400000	74.904	-86.4238
21.799999	74.957	-86.1004
22.000000	74.987	-85.9146
22.400000	75.056	-85.4935
22.700001	75.116	-85.1447
23.000000	75.183	-84.7839
23.299999	75.255	-84.4266
23.600000	75.328	-84.0843
24.000000	75.422	-83.6593
24.299999	75.489	-83.3634
24.700001	75.573	-82.9929
25.000000	75.636	-82.7283
25.400000	75.720	-82.3874
25.799999	75.807	-82.0543
26.200001	75.898	-81.7235
26.500000	75.968	-81.4753
26.900000	76.060	-81.1465
27.200001	76.129	-80.9054
27.600000	76.219	-80.5988
28.000000	76.304	-80.3154
28.500000	76.404	-79.9964
29.000000	76.499	-79.7112
29.500000	76.593	-79.4515
30.000000	76.689	-79.2123
30.400000	76.768	-79.0360
30.700001	76.827	-78.9142
31.100000	76.905	-78.7686
31.500000	76.980	-78.6443
32.000000	77.067	-78.5164
32.500000	77.146	-78.4093
33.000000	77.217	-78.3121
33.500000	77.283	-78.2235
34.000000	77.346	-78.1493
34.500000	77.405	-78.0886
35.000000	77.459	-78.0269
35.500000	77.508	-77.9482
36.000000	77.556	-77.8531
36.500000	77.601	-77.7578
37.000000	77.642	-77.6723
37.500000	77.673	-77.5834
38.200001	77.702	-77.4066
38.700001	77.718	-77.2373
39.500000	77.744	-76.9542
40.000000	77.757	-76.7933
40.599998	77.765	-76.6007
41.200001	77.769	-76.3888
41.799999	77.772	-76.1617
42.500000	77.773	-75.8830
43.099998	77.767	-75.6111
43.700001	77.759	-75.2903
44.400002	77.748	-74.8686
45.000000	77.737	-74.4927
45.500000	77.725	-74.1779
46.200001	77.706	-73.7325
46.799999	77.690	-73.3381
47.500000	77.671	-72.8455
48.200001	77.653	-72.3050
48.700001	77.641	-71.8980
49.400002	77.623	-71.3258
50.000000	77.601	-70.8436
50.799999	77.561	-70.1895
51.500000	77.523	-69.5861
52.200001	77.488	-68.9621
53.000000	77.450	-68.2377
53.799999	77.409	-67.4955
54.500000	77.372	-66.8342
55.200001	77.336	-66.1740
56.000000	77.294	-65.4155
57.000000	77.240	-64.4264
58.000000	77.186	-63.3803
59.000000	77.132	-62.2849
60.000000	77.083	-61.1701
60.799999	77.048	-60.3018
61.500000	77.017	-59.5531
62.200001	76.983	-58.7859
63.000000	76.942	-57.8649
