* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Jun-2025 16:17:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SGB FE Smooth R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.626	-72.1719
20.600000	74.658	-71.9270
20.900000	74.703	-71.5984
21.200001	74.757	-71.2273
21.400000	74.797	-70.9707
21.799999	74.884	-70.4594
22.000000	74.928	-70.2080
22.400000	75.012	-69.6989
22.700001	75.069	-69.2868
23.000000	75.122	-68.8269
23.299999	75.175	-68.3130
23.600000	75.231	-67.7568
24.000000	75.314	-66.9958
24.299999	75.384	-66.4469
24.700001	75.480	-65.7734
25.000000	75.553	-65.3076
25.400000	75.648	-64.7103
25.799999	75.742	-64.1123
26.200001	75.836	-63.5100
26.500000	75.908	-63.0680
26.900000	76.003	-62.5106
27.200001	76.072	-62.1210
27.600000	76.159	-61.6325
28.000000	76.243	-61.1665
28.500000	76.348	-60.6059
29.000000	76.454	-60.0740
29.500000	76.559	-59.5680
30.000000	76.661	-59.0686
30.400000	76.739	-58.6663
30.700001	76.797	-58.3680
31.100000	76.871	-57.9874
31.500000	76.944	-57.6384
32.000000	77.029	-57.2482
32.500000	77.108	-56.8910
33.000000	77.184	-56.5462
33.500000	77.255	-56.2038
34.000000	77.322	-55.8597
34.500000	77.381	-55.5093
35.000000	77.434	-55.1513
35.500000	77.479	-54.7925
36.000000	77.519	-54.4407
36.500000	77.556	-54.0951
37.000000	77.589	-53.7470
37.500000	77.619	-53.3883
38.200001	77.654	-52.8622
38.700001	77.673	-52.4675
39.500000	77.696	-51.8037
40.000000	77.709	-51.3771
40.599998	77.723	-50.8619
41.200001	77.734	-50.3343
41.799999	77.740	-49.7752
42.500000	77.741	-49.0798
43.099998	77.735	-48.4680
43.700001	77.725	-47.8566
44.400002	77.709	-47.1357
45.000000	77.694	-46.4964
45.500000	77.682	-45.9444
46.200001	77.664	-45.1442
46.799999	77.646	-44.4404
47.500000	77.626	-43.6176
48.200001	77.608	-42.8087
48.700001	77.597	-42.2301
49.400002	77.580	-41.3833
50.000000	77.560	-40.5990
50.799999	77.521	-39.4768
51.500000	77.477	-38.4609
52.200001	77.430	-37.4430
53.000000	77.378	-36.2836
53.799999	77.333	-35.1126
54.500000	77.302	-34.0663
55.200001	77.273	-33.0055
56.000000	77.240	-31.7975
57.000000	77.191	-30.3139
58.000000	77.138	-28.8354
59.000000	77.085	-27.3166
60.000000	77.034	-25.7439
60.799999	76.994	-24.4538
61.500000	76.961	-23.3098
62.200001	76.931	-22.1618
63.000000	76.899	-20.8514
64.000000	76.856	-19.2122
65.000000	76.807	-17.5687
66.000000	76.756	-15.9187
67.000000	76.711	-14.2503
68.000000	76.669	-12.5531
69.000000	76.626	-10.8327
70.000000	76.579	-9.1179
71.000000	76.530	-7.4276
72.000000	76.483	-5.7466
73.000000	76.441	-4.0475
74.000000	76.401	-2.3186
75.000000	76.362	-0.5804
76.199997	76.313	1.4800
77.500000	76.257	3.7019
78.800003	76.196	5.9935
80.000000	76.143	8.1917
81.199997	76.099	10.3832
82.500000	76.055	12.6699
83.800003	76.008	14.8982
85.000000	75.960	16.9749
86.199997	75.909	19.1024
87.500000	75.857	21.4377
88.500000	75.821	23.2252
90.000000	75.775	25.8946
91.199997	75.736	28.0457
92.500000	75.688	30.3748
93.800003	75.637	32.6811
95.000000	75.591	34.7913
96.199997	75.549	36.8933
97.500000	75.507	39.1741
98.800003	75.468	41.4595
100.000000	75.435	43.5746
101.500000	75.396	46.2326
103.000000	75.357	48.9019
104.400002	75.319	51.3867
106.000000	75.271	54.2043
107.500000	75.226	56.8299
109.000000	75.185	59.4811
110.599998	75.145	62.3684
112.000000	75.110	64.9122
113.800003	75.066	68.1303
115.000000	75.036	70.2277
117.199997	74.978	74.0255
118.000000	74.958	75.4110
120.599998	74.897	79.9555
122.000000	74.864	82.3989
124.099998	74.813	86.0348
125.000000	74.790	87.5958
126.500000	74.752	90.2143
128.000000	74.716	92.8434
131.500000	74.643	98.9085
132.000000	74.632	99.7640
134.000000	74.587	103.1779
136.000000	74.539	106.5988
138.000000	74.491	110.0113
140.000000	74.443	113.4187
143.000000	74.375	118.5783
145.000000	74.329	122.0203
147.500000	74.271	126.2547
150.000000	74.223	130.4468
152.500000	74.188	134.6468
155.000000	74.151	138.8562
157.500000	74.109	143.0807
160.000000	74.068	147.2862
162.500000	74.032	151.4507
165.000000	74.004	155.5972
167.500000	73.983	159.7543
170.000000	73.964	163.8875
172.500000	73.937	167.9547
175.000000	73.902	171.9660
177.500000	73.859	175.9766
180.000000	73.811	-179.9665
182.500000	73.756	-175.8731
185.000000	73.695	-171.7897
187.500000	73.628	-167.7318
190.000000	73.561	-163.6939
192.500000	73.498	-159.6830
195.000000	73.442	-155.7065
197.500000	73.395	-151.7610
200.000000	73.357	-147.8334
203.000000	73.330	-143.1191
206.000000	73.320	-138.3950
209.000000	73.318	-133.6741
212.000000	73.315	-128.9658
214.000000	73.308	-125.8346
218.000000	73.281	-119.5823
220.000000	73.262	-116.4530
224.000000	73.218	-110.2104
227.000000	73.181	-105.5788
230.000000	73.140	-100.9970
233.000000	73.098	-96.4453
236.000000	73.058	-91.9016
240.000000	73.007	-85.8429
243.000000	72.968	-81.2997
247.000000	72.913	-75.2301
250.000000	72.871	-70.6625
254.000000	72.824	-64.5547
258.000000	72.788	-58.4345
262.000000	72.759	-52.3329
265.000000	72.742	-47.7838
269.000000	72.727	-41.7704
272.000000	72.720	-37.3165
276.000000	72.713	-31.4551
280.000000	72.706	-25.6652
285.000000	72.694	-18.5043
290.000000	72.673	-11.4100
295.000000	72.645	-4.3660
300.000000	72.612	2.6565
304.000000	72.584	8.2724
307.000000	72.563	12.4807
311.000000	72.535	18.0803
315.000000	72.506	23.6519
320.000000	72.474	30.5669
325.000000	72.442	37.4308
330.000000	72.412	44.2461
335.000000	72.388	51.0204
340.000000	72.369	57.7568
345.000000	72.345	64.4587
350.000000	72.314	71.1453
355.000000	72.280	77.7916
360.000000	72.246	84.3836
365.000000	72.208	90.9504
370.000000	72.169	97.4827
375.000000	72.129	103.9653
382.000000	72.070	113.0041
387.000000	72.029	119.4484
395.000000	71.968	129.7564
400.000000	71.930	136.1904
406.000000	71.880	143.8781
412.000000	71.826	151.5696
418.000000	71.772	159.2952
425.000000	71.718	168.2942
431.000000	71.683	175.8780
437.000000	71.654	-176.6601
444.000000	71.622	-168.0276
450.000000	71.593	-160.6585
455.000000	71.567	-154.5331
462.000000	71.526	-145.9984
468.000000	71.486	-138.7377
475.000000	71.436	-130.3267
482.000000	71.382	-121.9423
487.000000	71.338	-115.9584
494.000000	71.275	-107.5960
500.000000	71.222	-100.4415
508.000000	71.158	-90.9389
515.000000	71.103	-82.6707
522.000000	71.045	-74.4356
530.000000	70.975	-65.0532
538.000000	70.907	-55.7195
545.000000	70.850	-47.6093
552.000000	70.796	-39.5616
560.000000	70.737	-30.4343
570.000000	70.661	-19.0974
580.000000	70.580	-7.8459
590.000000	70.489	3.3392
600.000000	70.384	14.4827
608.000000	70.294	23.4002
615.000000	70.216	31.2095
622.000000	70.145	38.9935
630.000000	70.071	47.8201
640.000000	69.977	58.7817
650.000000	69.868	69.7347
660.000000	69.745	80.6896
670.000000	69.613	91.6631
680.000000	69.485	102.6991
690.000000	69.369	113.7228
700.000000	69.263	124.6680
710.000000	69.163	135.5845
720.000000	69.063	146.5477
730.000000	68.963	157.5698
740.000000	68.872	168.5914
750.000000	68.792	179.5481
762.000000	68.711	-167.4041
775.000000	68.641	-153.3105
788.000000	68.588	-139.2538
800.000000	68.553	-126.3923
812.000000	68.530	-113.6724
825.000000	68.513	-100.0281
838.000000	68.502	-86.4731
850.000000	68.497	-74.0361
862.000000	68.497	-61.6670
875.000000	68.505	-48.3741
885.000000	68.517	-38.2390
900.000000	68.539	-23.1931
912.000000	68.561	-11.2891
925.000000	68.586	1.5134
938.000000	68.615	14.2415
950.000000	68.650	25.9192
962.000000	68.693	37.5256
975.000000	68.749	49.9813
988.000000	68.810	62.2756
1000.000000	68.866	73.4965
1015.000000	68.933	87.4020
1030.000000	69.001	101.1968
1044.000000	69.072	113.9644
1060.000000	69.161	128.4050
1075.000000	69.247	141.7723
1090.000000	69.333	154.9730
1106.000000	69.429	168.9077
1120.000000	69.520	-179.0085
1138.000000	69.641	-163.6521
1150.000000	69.719	-153.5326
1172.000000	69.855	-135.1884
1180.000000	69.903	-128.5770
1206.000000	70.072	-107.2820
1220.000000	70.170	-95.9297
1241.000000	70.327	-79.0786
1250.000000	70.400	-71.9318
1265.000000	70.526	-60.1128
1280.000000	70.654	-48.3865
1315.000000	70.920	-21.3569
1320.000000	70.951	-17.5343
1340.000000	71.047	-2.3375
1360.000000	71.094	12.7305
1380.000000	71.104	27.7119
1400.000000	71.106	42.5658
1430.000000	71.130	64.5118
1450.000000	71.169	78.9565
1475.000000	71.246	96.8420
1500.000000	71.350	114.5961
1525.000000	71.476	132.1860
1550.000000	71.613	149.5126
1575.000000	71.748	166.6040
1600.000000	71.879	-176.4514
1625.000000	72.014	-159.6123
1650.000000	72.154	-142.9454
1675.000000	72.295	-126.5074
1700.000000	72.436	-110.2969
1725.000000	72.575	-94.2819
1750.000000	72.713	-78.4502
1775.000000	72.849	-62.7996
1800.000000	72.984	-47.3159
1825.000000	73.125	-31.9972
1850.000000	73.269	-16.8622
1875.000000	73.413	-1.9169
1900.000000	73.557	12.8357
1925.000000	73.701	27.4016
1950.000000	73.847	41.7917
1975.000000	73.994	55.9929
2000.000000	74.139	69.9785
2030.000000	74.303	86.4844
2060.000000	74.458	102.7104
2090.000000	74.606	118.7053
2120.000000	74.753	134.5161
2140.000000	74.853	144.9377
2180.000000	75.055	165.4426
2200.000000	75.153	175.5178
2240.000000	75.334	-164.6550
2270.000000	75.459	-149.9888
2300.000000	75.580	-135.4580
2330.000000	75.697	-121.1040
2360.000000	75.810	-106.9626
2400.000000	75.949	-88.4568
2430.000000	76.047	-74.8291
2470.000000	76.168	-56.9438
2500.000000	76.252	-43.7173
2540.000000	76.355	-26.3428
2580.000000	76.447	-9.2896
2620.000000	76.525	7.4749
2650.000000	76.575	19.8667
2690.000000	76.631	36.1636
2720.000000	76.668	48.2590
2760.000000	76.714	64.2136
2800.000000	76.760	79.9111
2850.000000	76.808	99.1902
2900.000000	76.850	118.1265
2950.000000	76.886	136.6841
3000.000000	76.904	154.9011
3040.000000	76.905	169.2832
3070.000000	76.903	179.9475
3110.000000	76.903	-166.0347
3150.000000	76.905	-152.2725
3200.000000	76.905	-135.3762
3250.000000	76.899	-118.7422
3300.000000	76.888	-102.3657
3350.000000	76.874	-86.2720
3400.000000	76.858	-70.4751
3450.000000	76.838	-54.9771
3500.000000	76.811	-39.7737
3550.000000	76.778	-24.8628
3600.000000	76.745	-10.2419
3650.000000	76.719	4.0881
3700.000000	76.705	18.1375
3750.000000	76.698	31.9246
3820.000000	76.705	50.8066
3870.000000	76.724	63.9917
3950.000000	76.768	84.5176
4000.000000	76.792	96.9744
4060.000000	76.811	111.5774
4120.000000	76.819	125.7996
4180.000000	76.814	139.6411
4250.000000	76.801	155.3291
4310.000000	76.789	168.3743
4370.000000	76.783	-178.9592
4440.000000	76.795	-164.6714
4500.000000	76.829	-152.8569
4550.000000	76.873	-143.3123
4620.000000	76.950	-130.4019
4680.000000	77.023	-119.7593
4750.000000	77.110	-107.8452
4820.000000	77.193	-96.4695
4870.000000	77.249	-88.6704
4940.000000	77.324	-78.2095
5000.000000	77.385	-69.6443
5080.000000	77.459	-58.7437
5150.000000	77.514	-49.6895
5220.000000	77.562	-41.0864
5300.000000	77.612	-31.7676
5380.000000	77.663	-22.9932
5450.000000	77.713	-15.7852
5520.000000	77.771	-9.0430
5600.000000	77.847	-1.9385
5700.000000	77.950	6.0066
5800.000000	78.056	12.8799
5900.000000	78.168	18.6641
6000.000000	78.268	23.3337
6080.000000	78.316	26.2898
6150.000000	78.321	28.3564
6220.000000	78.288	29.9863
6300.000000	78.201	31.3865
6400.000000	78.023	32.5522
6500.000000	77.782	33.1526
6600.000000	77.487	33.2578
