* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 19-Jun-2024 10:49:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT Supermix4 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.874	-135.5104
20.600000	76.915	-136.1909
20.900000	76.966	-137.0430
21.200001	77.020	-137.9544
21.400000	77.055	-138.5730
21.799999	77.125	-139.8154
22.000000	77.159	-140.4344
22.400000	77.225	-141.6598
22.700001	77.271	-142.5633
23.000000	77.315	-143.4522
23.299999	77.357	-144.3272
23.600000	77.397	-145.1903
24.000000	77.446	-146.3254
24.299999	77.481	-147.1657
24.700001	77.525	-148.2704
25.000000	77.556	-149.0863
25.400000	77.595	-150.1573
25.799999	77.631	-151.2117
26.200001	77.663	-152.2535
26.500000	77.685	-153.0289
26.900000	77.712	-154.0559
27.200001	77.730	-154.8208
27.600000	77.753	-155.8316
28.000000	77.775	-156.8290
28.500000	77.802	-158.0511
29.000000	77.828	-159.2396
29.500000	77.850	-160.3917
30.000000	77.867	-161.5101
30.400000	77.878	-162.3858
30.700001	77.885	-163.0345
31.100000	77.892	-163.8915
31.500000	77.898	-164.7403
32.000000	77.905	-165.7880
32.500000	77.910	-166.8161
33.000000	77.914	-167.8214
33.500000	77.917	-168.8052
34.000000	77.917	-169.7714
34.500000	77.915	-170.7226
35.000000	77.912	-171.6578
35.500000	77.907	-172.5745
36.000000	77.901	-173.4716
36.500000	77.895	-174.3503
37.000000	77.887	-175.2107
37.500000	77.876	-176.0520
38.200001	77.858	-177.1995
38.700001	77.845	-178.0062
39.500000	77.825	-179.2917
40.000000	77.811	179.9109
40.599998	77.792	178.9735
41.200001	77.771	178.0635
41.799999	77.751	177.1748
42.500000	77.727	176.1548
43.099998	77.707	175.2955
43.700001	77.687	174.4536
44.400002	77.664	173.4911
45.000000	77.643	172.6794
45.500000	77.624	172.0118
46.200001	77.597	171.0922
46.799999	77.573	170.3193
47.500000	77.543	169.4390
48.200001	77.509	168.5839
48.700001	77.483	167.9826
49.400002	77.445	167.1373
50.000000	77.411	166.4011
50.799999	77.362	165.4155
51.500000	77.318	164.5708
52.200001	77.275	163.7509
53.000000	77.224	162.8397
53.799999	77.172	161.9515
54.500000	77.125	161.1900
55.200001	77.079	160.4405
56.000000	77.026	159.5986
57.000000	76.960	158.5727
58.000000	76.893	157.5789
59.000000	76.826	156.6145
60.000000	76.760	155.6741
60.799999	76.707	154.9374
61.500000	76.661	154.3062
62.200001	76.614	153.6902
63.000000	76.560	153.0052
64.000000	76.492	152.1728
65.000000	76.422	151.3593
66.000000	76.352	150.5596
67.000000	76.282	149.7722
68.000000	76.211	148.9989
69.000000	76.140	148.2448
70.000000	76.068	147.5142
71.000000	75.995	146.8062
72.000000	75.923	146.1170
73.000000	75.852	145.4479
74.000000	75.781	144.8042
75.000000	75.711	144.1841
76.199997	75.627	143.4607
77.500000	75.536	142.6964
78.800003	75.446	141.9535
80.000000	75.362	141.2879
81.199997	75.279	140.6426
82.500000	75.190	139.9691
83.800003	75.103	139.3221
85.000000	75.024	138.7459
86.199997	74.946	138.1872
87.500000	74.862	137.5979
88.500000	74.798	137.1546
90.000000	74.702	136.5082
91.199997	74.626	136.0102
92.500000	74.546	135.4888
93.800003	74.467	134.9824
95.000000	74.396	134.5296
96.199997	74.327	134.0916
97.500000	74.254	133.6306
98.800003	74.182	133.1789
100.000000	74.116	132.7665
101.500000	74.034	132.2548
103.000000	73.952	131.7495
104.400002	73.877	131.2890
106.000000	73.792	130.7773
107.500000	73.713	130.3057
109.000000	73.634	129.8369
110.599998	73.551	129.3393
112.000000	73.479	128.9066
113.800003	73.387	128.3565
115.000000	73.327	127.9961
117.199997	73.219	127.3532
118.000000	73.180	127.1263
120.599998	73.057	126.4135
122.000000	72.993	126.0435
124.099998	72.897	125.5074
125.000000	72.857	125.2838
126.500000	72.789	124.9185
128.000000	72.722	124.5633
131.500000	72.566	123.7786
132.000000	72.544	123.6724
134.000000	72.458	123.2621
136.000000	72.373	122.8713
138.000000	72.289	122.4941
140.000000	72.207	122.1291
143.000000	72.087	121.6071
145.000000	72.009	121.2786
147.500000	71.914	120.8936
150.000000	71.818	120.5286
152.500000	71.723	120.1685
155.000000	71.627	119.8093
157.500000	71.533	119.4565
160.000000	71.442	119.1077
162.500000	71.351	118.7546
165.000000	71.260	118.3976
167.500000	71.167	118.0473
170.000000	71.072	117.7145
172.500000	70.977	117.4059
175.000000	70.882	117.1224
177.500000	70.790	116.8622
180.000000	70.700	116.6259
182.500000	70.613	116.4152
185.000000	70.528	116.2253
187.500000	70.446	116.0506
190.000000	70.368	115.8898
192.500000	70.294	115.7445
195.000000	70.222	115.6132
197.500000	70.152	115.4879
200.000000	70.085	115.3637
203.000000	70.007	115.2181
206.000000	69.932	115.0859
209.000000	69.857	114.9766
212.000000	69.781	114.8864
214.000000	69.731	114.8339
218.000000	69.633	114.7527
220.000000	69.585	114.7302
224.000000	69.492	114.7285
227.000000	69.424	114.7710
230.000000	69.357	114.8599
233.000000	69.290	115.0038
236.000000	69.224	115.2097
240.000000	69.135	115.5945
243.000000	69.067	115.9792
247.000000	68.984	116.6332
250.000000	68.935	117.2271
254.000000	68.896	118.1335
258.000000	68.899	119.1040
262.000000	68.950	120.0097
265.000000	69.016	120.5475
269.000000	69.129	120.9615
272.000000	69.216	121.0114
276.000000	69.317	120.7668
280.000000	69.385	120.2828
285.000000	69.419	119.5520
290.000000	69.405	118.8694
295.000000	69.363	118.3300
300.000000	69.307	117.9517
304.000000	69.260	117.7482
307.000000	69.224	117.6396
311.000000	69.177	117.5426
315.000000	69.131	117.4919
320.000000	69.080	117.4823
325.000000	69.034	117.5227
330.000000	68.991	117.6123
335.000000	68.949	117.7590
340.000000	68.911	117.9504
345.000000	68.878	118.1544
350.000000	68.849	118.3475
355.000000	68.819	118.5312
360.000000	68.787	118.7221
365.000000	68.755	118.9230
370.000000	68.724	119.1214
375.000000	68.696	119.3089
382.000000	68.665	119.5727
387.000000	68.645	119.7878
395.000000	68.610	120.1848
400.000000	68.587	120.4611
406.000000	68.561	120.8433
412.000000	68.542	121.2972
418.000000	68.531	121.8116
425.000000	68.525	122.4498
431.000000	68.521	123.0099
437.000000	68.517	123.5727
444.000000	68.513	124.2124
450.000000	68.513	124.7339
455.000000	68.516	125.1523
462.000000	68.525	125.7380
468.000000	68.535	126.2628
475.000000	68.548	126.9083
482.000000	68.564	127.5656
487.000000	68.576	128.0228
494.000000	68.593	128.6311
500.000000	68.605	129.1225
508.000000	68.617	129.7421
515.000000	68.623	130.2558
522.000000	68.627	130.7444
530.000000	68.629	131.2825
538.000000	68.630	131.8197
545.000000	68.630	132.3027
552.000000	68.630	132.8081
560.000000	68.632	133.4240
570.000000	68.640	134.2566
580.000000	68.651	135.1378
590.000000	68.661	136.0233
600.000000	68.666	136.8937
608.000000	68.668	137.5862
615.000000	68.670	138.2012
622.000000	68.675	138.8445
630.000000	68.684	139.6365
640.000000	68.698	140.7281
650.000000	68.712	141.9133
660.000000	68.725	143.1491
670.000000	68.733	144.4127
680.000000	68.737	145.7081
690.000000	68.742	147.0544
700.000000	68.753	148.4684
710.000000	68.771	149.9547
720.000000	68.792	151.5004
730.000000	68.814	153.0682
740.000000	68.838	154.6262
