* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of SIMGOT Supermix4, SIMGOT Supermix4
* Dated: 19-Jun-2024 12:58:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT Supermix4 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	76.737
20.600000	76.767
20.900000	76.840
21.200001	76.919
21.400000	76.972
21.799999	77.082
22.000000	77.137
22.400000	77.245
22.700001	77.317
23.000000	77.377
23.299999	77.421
23.600000	77.451
24.000000	77.477
24.299999	77.491
24.700001	77.510
25.000000	77.526
25.400000	77.552
25.799999	77.578
26.200001	77.601
26.500000	77.617
26.900000	77.637
27.200001	77.656
27.600000	77.690
28.000000	77.734
28.500000	77.796
29.000000	77.849
29.500000	77.877
30.000000	77.877
30.400000	77.863
30.700001	77.850
31.100000	77.836
31.500000	77.832
32.000000	77.844
32.500000	77.869
33.000000	77.895
33.500000	77.910
34.000000	77.907
34.500000	77.890
35.000000	77.869
35.500000	77.853
36.000000	77.845
36.500000	77.838
37.000000	77.824
37.500000	77.803
38.200001	77.776
38.700001	77.775
39.500000	77.812
40.000000	77.838
40.599998	77.846
41.200001	77.817
41.799999	77.760
42.500000	77.691
43.099998	77.658
43.700001	77.661
44.400002	77.680
45.000000	77.675
45.500000	77.647
46.200001	77.589
46.799999	77.552
47.500000	77.529
48.200001	77.507
48.700001	77.478
49.400002	77.424
50.000000	77.377
50.799999	77.316
51.500000	77.258
52.200001	77.192
53.000000	77.120
53.799999	77.062
54.500000	77.026
55.200001	77.000
56.000000	76.971
57.000000	76.915
58.000000	76.850
59.000000	76.800
60.000000	76.758
60.799999	76.720
61.500000	76.681
62.200001	76.632
63.000000	76.563
64.000000	76.468
65.000000	76.385
66.000000	76.320
67.000000	76.259
68.000000	76.194
69.000000	76.124
70.000000	76.053
71.000000	75.984
72.000000	75.918
73.000000	75.852
74.000000	75.785
75.000000	75.717
76.199997	75.637
77.500000	75.548
78.800003	75.454
80.000000	75.374
81.199997	75.302
82.500000	75.223
83.800003	75.137
85.000000	75.056
86.199997	74.976
87.500000	74.892
88.500000	74.830
90.000000	74.731
91.199997	74.640
92.500000	74.535
93.800003	74.440
95.000000	74.371
96.199997	74.316
97.500000	74.258
98.800003	74.192
100.000000	74.124
101.500000	74.041
103.000000	73.962
104.400002	73.882
106.000000	73.788
107.500000	73.708
109.000000	73.628
110.599998	73.539
112.000000	73.465
113.800003	73.372
115.000000	73.312
117.199997	73.211
118.000000	73.177
120.599998	73.067
122.000000	73.004
124.099998	72.902
125.000000	72.859
126.500000	72.790
128.000000	72.726
131.500000	72.582
132.000000	72.561
134.000000	72.475
136.000000	72.392
138.000000	72.310
140.000000	72.229
143.000000	72.114
145.000000	72.035
147.500000	71.937
150.000000	71.841
152.500000	71.745
155.000000	71.653
157.500000	71.563
160.000000	71.471
162.500000	71.378
165.000000	71.287
167.500000	71.197
170.000000	71.107
172.500000	71.014
175.000000	70.920
177.500000	70.825
180.000000	70.734
182.500000	70.646
185.000000	70.561
187.500000	70.479
190.000000	70.400
192.500000	70.325
195.000000	70.253
197.500000	70.184
200.000000	70.117
203.000000	70.040
206.000000	69.965
209.000000	69.892
212.000000	69.821
214.000000	69.775
218.000000	69.688
220.000000	69.648
224.000000	69.569
227.000000	69.510
230.000000	69.452
233.000000	69.393
236.000000	69.336
240.000000	69.259
243.000000	69.200
247.000000	69.126
250.000000	69.076
254.000000	69.023
258.000000	68.990
262.000000	68.984
265.000000	68.995
269.000000	69.024
272.000000	69.049
276.000000	69.077
280.000000	69.091
285.000000	69.085
290.000000	69.055
295.000000	69.011
300.000000	68.962
304.000000	68.922
307.000000	68.893
311.000000	68.855
315.000000	68.819
320.000000	68.779
325.000000	68.742
330.000000	68.706
335.000000	68.670
340.000000	68.638
345.000000	68.612
350.000000	68.589
355.000000	68.569
360.000000	68.548
365.000000	68.527
370.000000	68.507
375.000000	68.487
382.000000	68.463
387.000000	68.446
395.000000	68.420
400.000000	68.404
406.000000	68.387
412.000000	68.373
418.000000	68.362
425.000000	68.353
431.000000	68.347
437.000000	68.343
444.000000	68.342
450.000000	68.346
455.000000	68.352
462.000000	68.362
468.000000	68.370
475.000000	68.376
482.000000	68.380
487.000000	68.382
494.000000	68.384
500.000000	68.386
508.000000	68.386
515.000000	68.384
522.000000	68.382
530.000000	68.380
538.000000	68.381
545.000000	68.383
552.000000	68.386
560.000000	68.391
570.000000	68.399
580.000000	68.408
590.000000	68.416
600.000000	68.418
608.000000	68.415
615.000000	68.411
622.000000	68.409
630.000000	68.414
640.000000	68.430
650.000000	68.451
660.000000	68.468
670.000000	68.478
680.000000	68.485
690.000000	68.492
700.000000	68.503
710.000000	68.520
720.000000	68.542
730.000000	68.569
740.000000	68.596
750.000000	68.624
762.000000	68.657
775.000000	68.694
788.000000	68.730
800.000000	68.764
812.000000	68.798
825.000000	68.840
838.000000	68.893
850.000000	68.950
862.000000	69.014
875.000000	69.089
885.000000	69.150
900.000000	69.244
912.000000	69.319
925.000000	69.400
938.000000	69.486
950.000000	69.571
962.000000	69.661
975.000000	69.761
988.000000	69.861
1000.000000	69.953
1015.000000	70.070
1030.000000	70.191
1044.000000	70.310
1060.000000	70.451
1075.000000	70.584
1090.000000	70.716
1106.000000	70.856
1120.000000	70.978
1138.000000	71.132
1150.000000	71.231
1172.000000	71.405
1180.000000	71.466
1206.000000	71.658
1220.000000	71.758
1241.000000	71.900
1250.000000	71.958
1265.000000	72.050
1280.000000	72.139
1315.000000	72.334
1320.000000	72.361
1340.000000	72.470
1360.000000	72.575
1380.000000	72.673
1400.000000	72.762
1430.000000	72.886
1450.000000	72.966
1475.000000	73.067
1500.000000	73.172
1525.000000	73.283
1550.000000	73.400
1575.000000	73.521
1600.000000	73.642
1625.000000	73.762
1650.000000	73.881
1675.000000	74.001
1700.000000	74.122
1725.000000	74.244
1750.000000	74.365
1775.000000	74.486
1800.000000	74.607
1825.000000	74.731
1850.000000	74.859
1875.000000	74.987
1900.000000	75.112
1925.000000	75.238
1950.000000	75.368
1975.000000	75.503
2000.000000	75.639
2030.000000	75.806
2060.000000	75.975
2090.000000	76.141
2120.000000	76.305
2140.000000	76.414
2180.000000	76.631
2200.000000	76.739
2240.000000	76.952
2270.000000	77.108
2300.000000	77.259
2330.000000	77.402
2360.000000	77.538
2400.000000	77.715
2430.000000	77.844
2470.000000	78.004
2500.000000	78.112
2540.000000	78.238
2580.000000	78.347
2620.000000	78.440
2650.000000	78.498
2690.000000	78.560
2720.000000	78.594
2760.000000	78.623
2800.000000	78.631
2850.000000	78.615
2900.000000	78.578
2950.000000	78.518
3000.000000	78.436
3040.000000	78.356
3070.000000	78.288
3110.000000	78.186
3150.000000	78.076
3200.000000	77.932
3250.000000	77.781
3300.000000	77.625
3350.000000	77.473
3400.000000	77.332
3450.000000	77.201
3500.000000	77.076
3550.000000	76.953
3600.000000	76.835
3650.000000	76.722
3700.000000	76.620
3750.000000	76.529
3820.000000	76.417
3870.000000	76.346
3950.000000	76.248
4000.000000	76.198
4060.000000	76.152
4120.000000	76.120
4180.000000	76.097
4250.000000	76.083
4310.000000	76.082
4370.000000	76.089
4440.000000	76.104
4500.000000	76.116
4550.000000	76.124
4620.000000	76.131
4680.000000	76.135
4750.000000	76.134
4820.000000	76.117
4870.000000	76.091
4940.000000	76.036
5000.000000	75.973
5080.000000	75.865
5150.000000	75.744
5220.000000	75.595
5300.000000	75.392
5380.000000	75.162
5450.000000	74.943
5520.000000	74.709
5600.000000	74.427
5700.000000	74.072
5800.000000	73.728
5900.000000	73.403
6000.000000	73.109
6080.000000	72.908
6150.000000	72.757
6220.000000	72.631
6300.000000	72.514
6400.000000	72.405
6500.000000	72.339
6600.000000	72.313
6700.000000	72.321
6800.000000	72.358
6900.000000	72.420
7000.000000	72.506
7100.000000	72.625
7200.000000	72.771
7300.000000	72.931
7400.000000	73.094
7500.000000	73.257
7620.000000	73.441
7750.000000	73.604
7880.000000	73.699
8000.000000	73.704
8120.000000	73.616
8250.000000	73.405
8380.000000	73.075
8500.000000	72.674
8620.000000	72.201
8750.000000	71.634
8850.000000	71.172
9000.000000	70.462
9120.000000	69.901
9250.000000	69.318
9380.000000	68.771
9500.000000	68.303
9620.000000	67.878
9750.000000	67.464
9880.000000	67.096
10000.000000	66.802
10150.000000	66.503
10300.000000	66.296
10440.000000	66.215
10600.000000	66.294
10750.000000	66.569
10900.000000	67.063
11060.000000	67.815
11200.000000	68.612
11380.000000	69.714
11500.000000	70.424
11720.000000	71.499
11800.000000	71.782
12060.000000	72.216
12200.000000	72.143
12410.000000	71.693
12500.000000	71.403
12650.000000	70.839
12800.000000	70.233
13150.000000	68.993
13200.000000	68.862
13400.000000	68.492
13600.000000	68.345
13800.000000	68.355
14000.000000	68.448
14300.000000	68.575
14500.000000	68.611
14750.000000	68.666
15000.000000	68.811
15250.000000	69.028
15500.000000	69.183
15750.000000	69.086
16000.000000	68.585
16250.000000	67.645
16500.000000	66.403
16750.000000	65.230
17000.000000	64.613
17250.000000	64.687
17500.000000	65.104
17750.000000	65.480
18000.000000	65.634
18250.000000	65.526
18500.000000	65.144
18750.000000	64.477
19000.000000	63.552
19250.000000	62.467
19500.000000	61.395
19750.000000	60.554
