* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Oct-2024 18:15:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Samsun Galaxy Buds 3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	61.147	-34.8033
20.600000	61.370	-35.6856
20.900000	61.659	-36.8108
21.200001	61.978	-37.9835
21.400000	62.198	-38.7383
21.799999	62.633	-40.0990
22.000000	62.844	-40.6785
22.400000	63.234	-41.5883
22.700001	63.494	-42.0246
23.000000	63.726	-42.2400
23.299999	63.938	-42.2528
23.600000	64.139	-42.1184
24.000000	64.411	-41.8749
24.299999	64.624	-41.7826
24.700001	64.913	-41.9285
25.000000	65.125	-42.2558
25.400000	65.387	-42.8796
25.799999	65.622	-43.5265
26.200001	65.839	-44.0211
26.500000	65.997	-44.2519
26.900000	66.205	-44.4045
27.200001	66.356	-44.4463
27.600000	66.543	-44.4519
28.000000	66.708	-44.4113
28.500000	66.893	-44.2852
29.000000	67.075	-44.1037
29.500000	67.266	-43.9362
30.000000	67.461	-43.8003
30.400000	67.612	-43.6738
30.700001	67.720	-43.5437
31.100000	67.860	-43.3142
31.500000	67.997	-43.0317
32.000000	68.163	-42.6283
32.500000	68.325	-42.1669
33.000000	68.489	-41.6285
33.500000	68.657	-41.0209
34.000000	68.826	-40.3774
34.500000	68.983	-39.7138
35.000000	69.119	-39.0117
35.500000	69.235	-38.2448
36.000000	69.342	-37.4024
36.500000	69.449	-36.4884
37.000000	69.565	-35.5166
37.500000	69.688	-34.5144
38.200001	69.862	-33.1323
38.700001	69.982	-32.2086
39.500000	70.172	-30.9515
40.000000	70.294	-30.3528
40.599998	70.433	-29.7393
41.200001	70.555	-28.9615
41.799999	70.668	-27.7283
42.500000	70.804	-25.6932
43.099998	70.918	-23.7226
43.700001	71.013	-21.8077
44.400002	71.097	-19.7785
45.000000	71.168	-18.2262
45.500000	71.241	-17.0444
46.200001	71.365	-15.4754
46.799999	71.482	-14.1030
47.500000	71.615	-12.3774
48.200001	71.733	-10.5303
48.700001	71.807	-9.1854
49.400002	71.901	-7.3377
50.000000	71.977	-5.8242
50.799999	72.074	-3.9115
51.500000	72.155	-2.2967
52.200001	72.227	-0.6859
53.000000	72.292	1.2052
53.799999	72.344	3.2059
54.500000	72.395	5.0534
55.200001	72.460	6.9250
56.000000	72.549	8.9969
57.000000	72.658	11.5015
58.000000	72.753	14.1239
59.000000	72.846	16.9556
60.000000	72.943	19.8302
60.799999	73.020	22.0843
61.500000	73.091	24.0382
62.200001	73.170	25.9808
63.000000	73.268	28.1541
64.000000	73.384	30.7309
65.000000	73.473	33.1889
66.000000	73.531	35.6859
67.000000	73.573	38.3727
68.000000	73.617	41.3046
69.000000	73.680	44.2999
70.000000	73.747	47.1631
71.000000	73.805	49.9760
72.000000	73.858	52.8130
73.000000	73.908	55.6403
74.000000	73.959	58.4684
75.000000	74.020	61.3330
76.199997	74.099	64.8157
77.500000	74.175	68.5463
78.800003	74.244	72.2383
80.000000	74.293	75.7382
81.199997	74.314	79.3869
82.500000	74.342	83.3214
83.800003	74.409	87.0937
85.000000	74.482	90.5483
86.199997	74.536	94.0714
87.500000	74.582	97.9178
88.500000	74.614	100.8773
90.000000	74.660	105.3233
91.199997	74.698	108.8848
92.500000	74.750	112.7901
93.800003	74.801	116.7413
95.000000	74.830	120.3642
96.199997	74.845	123.8998
97.500000	74.863	127.6183
98.800003	74.896	131.2839
100.000000	74.935	134.7069
101.500000	74.983	139.1431
103.000000	75.019	143.8024
104.400002	75.047	148.3074
106.000000	75.086	153.4478
107.500000	75.129	158.0999
109.000000	75.167	162.6152
110.599998	75.198	167.3833
112.000000	75.224	171.5268
113.800003	75.265	176.8543
115.000000	75.297	-179.5693
117.199997	75.355	-172.9389
118.000000	75.373	-170.5131
120.599998	75.427	-162.5924
122.000000	75.459	-158.3204
124.099998	75.504	-151.9843
125.000000	75.521	-149.2928
126.500000	75.547	-144.8135
128.000000	75.571	-140.3362
131.500000	75.627	-130.0203
132.000000	75.635	-128.5649
134.000000	75.667	-122.7486
136.000000	75.699	-116.8909
138.000000	75.727	-110.9875
