* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Oct-2024 18:15:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Samsun Galaxy Buds 3 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	60.839	-47.0281
20.600000	61.061	-48.1185
20.900000	61.331	-49.5028
21.200001	61.608	-50.9402
21.400000	61.792	-51.8493
21.799999	62.156	-53.4341
22.000000	62.338	-54.0918
22.400000	62.698	-55.1605
22.700001	62.955	-55.7934
23.000000	63.193	-56.3293
23.299999	63.408	-56.8039
23.600000	63.598	-57.2455
24.000000	63.817	-57.8212
24.299999	63.964	-58.2613
24.700001	64.152	-58.8639
25.000000	64.296	-59.3134
25.400000	64.501	-59.8736
25.799999	64.726	-60.3559
26.200001	64.967	-60.7478
26.500000	65.149	-60.9861
26.900000	65.382	-61.2358
27.200001	65.542	-61.3740
27.600000	65.737	-61.5032
28.000000	65.914	-61.6041
28.500000	66.126	-61.7835
29.000000	66.334	-62.1043
29.500000	66.533	-62.5279
30.000000	66.719	-62.8917
30.400000	66.855	-63.0245
30.700001	66.952	-62.9980
31.100000	67.071	-62.7918
31.500000	67.182	-62.4201
32.000000	67.314	-61.8200
32.500000	67.447	-61.2231
33.000000	67.585	-60.7754
33.500000	67.726	-60.5023
34.000000	67.871	-60.2798
34.500000	68.031	-59.9472
35.000000	68.212	-59.4604
35.500000	68.403	-58.9074
36.000000	68.572	-58.3708
36.500000	68.696	-57.8188
37.000000	68.782	-57.1650
37.500000	68.864	-56.4088
38.200001	69.014	-55.3960
38.700001	69.134	-54.7634
39.500000	69.305	-53.4547
40.000000	69.413	-52.2094
40.599998	69.574	-50.4778
41.200001	69.761	-48.9792
41.799999	69.929	-47.9820
42.500000	70.065	-47.2278
43.099998	70.139	-46.5542
43.700001	70.202	-45.6178
44.400002	70.288	-44.1854
45.000000	70.378	-42.8832
45.500000	70.452	-41.8969
46.200001	70.532	-40.6615
46.799999	70.593	-39.5806
47.500000	70.692	-38.2293
48.200001	70.822	-36.8876
48.700001	70.912	-35.9130
49.400002	71.015	-34.3681
50.000000	71.091	-32.8297
50.799999	71.191	-30.6753
51.500000	71.283	-28.9251
52.200001	71.376	-27.3963
53.000000	71.472	-25.8129
53.799999	71.556	-24.1554
54.500000	71.636	-22.5460
55.200001	71.726	-20.8405
56.000000	71.833	-18.8654
57.000000	71.955	-16.4993
58.000000	72.040	-14.2854
59.000000	72.101	-12.0585
60.000000	72.175	-9.7269
60.799999	72.236	-7.7675
61.500000	72.277	-5.9833
62.200001	72.297	-4.1541
63.000000	72.306	-2.0309
64.000000	72.335	0.7191
65.000000	72.443	3.5306
66.000000	72.619	5.9369
67.000000	72.766	7.8722
68.000000	72.862	9.9177
69.000000	72.945	12.2858
70.000000	73.014	14.8145
71.000000	73.062	17.3793
72.000000	73.107	19.9215
73.000000	73.166	22.4492
74.000000	73.236	24.9514
75.000000	73.298	27.4273
76.199997	73.351	30.4769
77.500000	73.402	33.9012
78.800003	73.459	37.2905
80.000000	73.525	40.2957
81.199997	73.598	43.2820
82.500000	73.659	46.7606
83.800003	73.686	50.4612
85.000000	73.704	53.7942
86.199997	73.744	56.8877
87.500000	73.815	60.0631
88.500000	73.882	62.5393
90.000000	73.984	66.4875
91.199997	74.050	69.7721
92.500000	74.099	73.2137
93.800003	74.132	76.5542
95.000000	74.159	79.7011
96.199997	74.187	82.9152
97.500000	74.225	86.4052
98.800003	74.263	89.9261
100.000000	74.292	93.2510
101.500000	74.329	97.4332
103.000000	74.368	101.5712
104.400002	74.399	105.3928
106.000000	74.428	109.7827
107.500000	74.473	113.9056
109.000000	74.542	117.9068
110.599998	74.619	121.9973
112.000000	74.664	125.5570
113.800003	74.689	130.2339
115.000000	74.693	133.3998
117.199997	74.709	139.2954
118.000000	74.722	141.4728
120.599998	74.796	148.5323
122.000000	74.838	152.2587
124.099998	74.899	157.7832
125.000000	74.928	160.1468
126.500000	74.976	164.1110
128.000000	75.024	168.1307
131.500000	75.130	177.7255
132.000000	75.143	179.0948
134.000000	75.179	-175.6078
136.000000	75.186	-170.5998
138.000000	75.197	-165.5766
140.000000	75.219	-160.4574
143.000000	75.233	-152.6050
145.000000	75.248	-147.2338
147.500000	75.298	-140.6946
150.000000	75.346	-134.5636
152.500000	75.366	-128.2097
155.000000	75.381	-121.5491
157.500000	75.395	-115.0450
160.000000	75.404	-108.7600
162.500000	75.411	-102.4432
165.000000	75.430	-96.0371
167.500000	75.457	-89.5845
170.000000	75.470	-83.1067
172.500000	75.469	-76.6949
175.000000	75.461	-70.3060
177.500000	75.447	-63.8629
180.000000	75.423	-57.3675
182.500000	75.393	-50.8491
185.000000	75.358	-44.3455
187.500000	75.320	-37.8635
190.000000	75.282	-31.4103
192.500000	75.243	-24.9836
195.000000	75.206	-18.5681
197.500000	75.177	-12.1609
200.000000	75.159	-5.7412
203.000000	75.156	2.0306
206.000000	75.175	9.8254
209.000000	75.204	17.5728
212.000000	75.223	25.2587
214.000000	75.225	30.3361
218.000000	75.203	40.4600
220.000000	75.186	45.5787
224.000000	75.157	55.8867
227.000000	75.134	63.5610
230.000000	75.104	71.2335
233.000000	75.076	78.9451
236.000000	75.057	86.6346
240.000000	75.044	96.7802
243.000000	75.033	104.4371
247.000000	75.017	114.6665
250.000000	75.000	122.1462
254.000000	74.970	132.1212
258.000000	74.982	142.2819
262.000000	75.026	152.2225
265.000000	75.049	159.5297
269.000000	75.066	169.3026
272.000000	75.078	176.6469
276.000000	75.083	-173.5757
280.000000	75.083	-163.8090
285.000000	75.087	-151.5874
290.000000	75.099	-139.2876
295.000000	75.112	-126.9973
300.000000	75.121	-114.6760
304.000000	75.138	-104.8423
307.000000	75.159	-97.5616
311.000000	75.189	-88.0115
315.000000	75.217	-78.5499
320.000000	75.252	-66.7045
325.000000	75.290	-54.7620
330.000000	75.332	-42.7567
335.000000	75.382	-30.7838
340.000000	75.444	-18.9357
345.000000	75.511	-7.1473
350.000000	75.583	4.6178
355.000000	75.673	16.3126
360.000000	75.780	27.9274
365.000000	75.891	39.4155
370.000000	75.993	50.6755
375.000000	76.091	61.7271
382.000000	76.240	77.0909
387.000000	76.352	88.0301
395.000000	76.530	105.3387
400.000000	76.637	116.1259
406.000000	76.758	129.0083
412.000000	76.880	141.7178
418.000000	77.001	154.3251
425.000000	77.130	168.8833
431.000000	77.234	-178.7668
437.000000	77.338	-166.5272
444.000000	77.443	-152.3169
450.000000	77.516	-140.2238
455.000000	77.566	-130.1831
462.000000	77.627	-116.1863
468.000000	77.679	-104.2672
475.000000	77.746	-90.3796
482.000000	77.814	-76.5092
487.000000	77.858	-66.7281
494.000000	77.899	-53.2113
500.000000	77.910	-41.6039
508.000000	77.916	-26.0162
515.000000	77.935	-12.3868
522.000000	77.972	1.1969
530.000000	78.030	16.5795
538.000000	78.092	31.7665
545.000000	78.152	44.9596
552.000000	78.211	58.0647
560.000000	78.257	73.0311
570.000000	78.296	91.9271
580.000000	78.361	110.8513
590.000000	78.441	129.5303
600.000000	78.491	147.9840
608.000000	78.518	162.7321
615.000000	78.545	175.5630
622.000000	78.577	-171.7279
630.000000	78.615	-157.3141
640.000000	78.660	-139.2578
650.000000	78.712	-121.2861
660.000000	78.777	-103.4746
670.000000	78.844	-85.7523
680.000000	78.909	-68.1160
690.000000	78.968	-50.6327
700.000000	79.009	-33.2589
710.000000	79.034	-15.7936
720.000000	79.066	1.7791
730.000000	79.128	19.1742
740.000000	79.213	36.1261
750.000000	79.296	52.7375
762.000000	79.370	72.4923
775.000000	79.438	93.8406
788.000000	79.507	115.0535
800.000000	79.563	134.2511
812.000000	79.590	153.2042
825.000000	79.586	173.7832
838.000000	79.570	-165.6677
850.000000	79.550	-146.7784
862.000000	79.519	-127.9114
875.000000	79.477	-107.5815
885.000000	79.444	-92.0963
900.000000	79.395	-68.9227
912.000000	79.350	-50.3197
925.000000	79.301	-30.2793
938.000000	79.257	-10.4550
950.000000	79.219	7.7065
962.000000	79.191	25.8035
975.000000	79.176	45.2871
988.000000	79.165	64.6455
1000.000000	79.155	82.5383
1015.000000	79.152	104.8323
1030.000000	79.145	126.7720
1044.000000	79.116	147.1042
1060.000000	79.062	170.3250
1075.000000	79.015	-168.1565
1090.000000	78.969	-146.9043
1106.000000	78.919	-124.1689
1120.000000	78.882	-103.9990
1138.000000	78.850	-77.8833
1150.000000	78.841	-60.5579
1172.000000	78.844	-29.1077
1180.000000	78.849	-17.7749
1206.000000	78.876	18.5542
1220.000000	78.895	37.7300
1241.000000	78.922	65.9607
1250.000000	78.930	77.8955
1265.000000	78.942	97.6694
1280.000000	78.951	117.3594
1315.000000	78.929	162.9443
1320.000000	78.917	169.4143
1340.000000	78.844	-164.7168
1360.000000	78.732	-138.6682
1380.000000	78.600	-112.4575
1400.000000	78.473	-86.3333
1430.000000	78.322	-47.4011
1450.000000	78.270	-21.6094
1475.000000	78.256	10.1501
1500.000000	78.272	41.2964
1525.000000	78.299	71.9292
1550.000000	78.328	102.3523
1575.000000	78.366	132.7759
1600.000000	78.420	163.2136
1625.000000	78.497	-166.2803
1650.000000	78.595	-135.8186
1675.000000	78.715	-105.6626
1700.000000	78.851	-75.9500
1725.000000	78.994	-46.7422
1750.000000	79.139	-18.0322
1775.000000	79.285	10.1899
1800.000000	79.433	38.0737
1825.000000	79.593	65.8613
1850.000000	79.769	93.6038
1875.000000	79.953	121.1782
1900.000000	80.140	148.5002
1925.000000	80.330	175.5400
1950.000000	80.523	-157.7434
1975.000000	80.714	-131.3906
2000.000000	80.900	-105.4094
2030.000000	81.116	-74.8130
2060.000000	81.326	-44.9878
2090.000000	81.533	-15.8845
2120.000000	81.740	12.7927
2140.000000	81.878	31.7434
2180.000000	82.144	69.1770
2200.000000	82.269	87.6306
2240.000000	82.501	123.7725
2270.000000	82.655	150.1406
2300.000000	82.788	175.9397
2330.000000	82.894	-158.7839
2360.000000	82.967	-134.0178
2400.000000	83.010	-101.7073
2430.000000	83.002	-77.7732
2470.000000	82.947	-45.7456
2500.000000	82.884	-21.4753
2540.000000	82.782	11.1880
2580.000000	82.674	44.0352
2620.000000	82.573	76.6338
2650.000000	82.500	100.6836
2690.000000	82.411	132.2122
2720.000000	82.353	155.5708
2760.000000	82.288	-173.5273
2800.000000	82.235	-142.9270
2850.000000	82.175	-105.3682
2900.000000	82.116	-68.6763
2950.000000	82.056	-32.8638
3000.000000	81.985	2.2524
3040.000000	81.933	29.9580
3070.000000	81.896	50.4277
3110.000000	81.846	77.2529
3150.000000	81.794	103.5762
3200.000000	81.728	135.9512
3250.000000	81.662	168.0869
3300.000000	81.596	-159.8481
3350.000000	81.524	-128.1475
3400.000000	81.439	-97.0854
3450.000000	81.342	-66.4258
3500.000000	81.242	-35.5098
3550.000000	81.146	-4.1626
3600.000000	81.047	27.1221
3650.000000	80.948	58.0581
3700.000000	80.861	88.6230
3750.000000	80.787	118.6040
3820.000000	80.692	159.3145
3870.000000	80.619	-172.3838
3950.000000	80.486	-126.1465
4000.000000	80.416	-94.7417
4060.000000	80.344	-54.5732
4120.000000	80.260	-13.6821
4180.000000	80.154	26.2476
4250.000000	79.996	71.4419
4310.000000	79.841	109.9888
4370.000000	79.679	148.7515
4440.000000	79.493	-166.1582
4500.000000	79.344	-127.9463
4550.000000	79.231	-96.4932
4620.000000	79.083	-53.1157
4680.000000	78.957	-16.3521
4750.000000	78.814	26.6250
4820.000000	78.672	70.0176
4870.000000	78.568	101.1621
4940.000000	78.419	144.7061
5000.000000	78.294	-178.1465
5080.000000	78.134	-129.3579
5150.000000	77.986	-87.7119
5220.000000	77.830	-46.2490
5300.000000	77.667	1.8335
5380.000000	77.528	49.2627
5450.000000	77.414	89.0293
5520.000000	77.311	127.6968
5600.000000	77.231	171.5869
5700.000000	77.211	-134.4800
5800.000000	77.283	-82.1484
5900.000000	77.462	-30.8110
6000.000000	77.734	19.5181
6080.000000	77.996	58.7822
6150.000000	78.239	91.9292
6220.000000	78.482	123.9165
6300.000000	78.748	159.3228
6400.000000	79.049	-158.3623
6500.000000	79.293	-118.3696
6600.000000	79.481	-79.9531
6700.000000	79.631	-42.2661
6800.000000	79.758	-4.5391
6900.000000	79.877	33.6440
7000.000000	79.997	71.4932
7100.000000	80.129	108.2158
7200.000000	80.293	143.9189
7300.000000	80.497	178.9199
7400.000000	80.740	-147.3164
7500.000000	81.012	-115.5786
7620.000000	81.371	-79.6533
7750.000000	81.757	-42.1182
7880.000000	82.061	-5.1230
8000.000000	82.230	28.6060
8120.000000	82.275	60.4409
8250.000000	82.159	91.4102
8380.000000	81.860	119.3701
8500.000000	81.420	144.0957
8620.000000	80.818	168.7588
8750.000000	79.984	-164.0337
8850.000000	79.224	-142.5049
9000.000000	77.946	-108.8921
9120.000000	76.871	-80.5200
9250.000000	75.727	-48.2036
9380.000000	74.645	-15.0054
9500.000000	73.714	15.4146
9620.000000	72.852	44.8174
9750.000000	71.994	75.3486
9880.000000	71.221	105.3838
10000.000000	70.594	133.1714
10150.000000	69.925	167.5508
10300.000000	69.391	-158.5039
10440.000000	69.033	-126.5010
10600.000000	68.823	-89.5303
10750.000000	68.846	-56.3623
10900.000000	69.085	-26.3428
11060.000000	69.551	2.6904
11200.000000	70.116	27.1519
11380.000000	71.050	58.7622
11500.000000	71.799	79.2407
11720.000000	73.351	112.0693
11800.000000	73.938	122.1118
12060.000000	75.785	148.4746
12200.000000	76.683	158.9067
12410.000000	77.805	169.9653
12500.000000	78.179	173.3550
12650.000000	78.635	177.7754
12800.000000	78.870	-178.7417
