* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 17:05:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Samsung Galaxy Buds FE L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.465	-166.8497
20.600000	107.435	-167.5129
20.900000	107.391	-168.3322
21.200001	107.337	-169.1798
21.400000	107.297	-169.7297
21.799999	107.213	-170.7561
22.000000	107.171	-171.2265
22.400000	107.093	-172.0852
22.700001	107.040	-172.6692
23.000000	106.992	-173.2145
23.299999	106.948	-173.7286
23.600000	106.905	-174.2147
24.000000	106.850	-174.8189
24.299999	106.809	-175.2401
24.700001	106.758	-175.7663
25.000000	106.723	-176.1416
25.400000	106.679	-176.6237
25.799999	106.636	-177.0849
26.200001	106.596	-177.5195
26.500000	106.568	-177.8267
26.900000	106.535	-178.2181
27.200001	106.516	-178.5064
27.600000	106.496	-178.8957
28.000000	106.482	-179.2949
28.500000	106.470	-179.8002
29.000000	106.462	179.6976
29.500000	106.460	179.1891
30.000000	106.462	178.6505
30.400000	106.462	178.1886
30.700001	106.460	177.8271
31.100000	106.456	177.3340
31.500000	106.451	176.8386
32.000000	106.446	176.2220
32.500000	106.445	175.6012
33.000000	106.446	174.9644
33.500000	106.443	174.3077
34.000000	106.435	173.6385
34.500000	106.422	172.9686
35.000000	106.405	172.3044
35.500000	106.386	171.6430
36.000000	106.366	170.9761
36.500000	106.345	170.2984
37.000000	106.319	169.6149
37.500000	106.288	168.9385
38.200001	106.236	168.0247
38.700001	106.198	167.3981
39.500000	106.137	166.4226
40.000000	106.099	165.8220
40.599998	106.050	165.1136
41.200001	105.999	164.4303
41.799999	105.946	163.7801
42.500000	105.884	163.0535
43.099998	105.827	162.4384
43.700001	105.766	161.8213
44.400002	105.688	161.1096
45.000000	105.618	160.5192
45.500000	105.560	160.0417
46.200001	105.481	159.3858
46.799999	105.413	158.8316
47.500000	105.335	158.2079
48.200001	105.260	157.6241
48.700001	105.212	157.2239
49.400002	105.149	156.6603
50.000000	105.089	156.1683
50.799999	104.987	155.5455
51.500000	104.885	155.0741
52.200001	104.783	154.6636
53.000000	104.675	154.2226
53.799999	104.577	153.7775
54.500000	104.498	153.3770
55.200001	104.419	152.9767
56.000000	104.327	152.5444
57.000000	104.206	152.0516
58.000000	104.082	151.5797
59.000000	103.957	151.1198
60.000000	103.835	150.6958
60.799999	103.740	150.3820
61.500000	103.659	150.1116
62.200001	103.579	149.8376
63.000000	103.488	149.5272
64.000000	103.375	149.1823
65.000000	103.263	148.9148
66.000000	103.153	148.6910
67.000000	103.042	148.4694
68.000000	102.932	148.2561
69.000000	102.822	148.0666
70.000000	102.713	147.8955
71.000000	102.603	147.7214
72.000000	102.493	147.5385
73.000000	102.385	147.3691
74.000000	102.282	147.2283
75.000000	102.184	147.1163
76.199997	102.071	147.0178
77.500000	101.955	146.9237
78.800003	101.833	146.8079
80.000000	101.717	146.7147
81.199997	101.605	146.6784
82.500000	101.492	146.6953
83.800003	101.383	146.7155
85.000000	101.279	146.7103
86.199997	101.169	146.6943
87.500000	101.049	146.6707
88.500000	100.962	146.6472
90.000000	100.837	146.6342
91.199997	100.738	146.6717
92.500000	100.632	146.7625
93.800003	100.532	146.8801
95.000000	100.441	146.9892
96.199997	100.348	147.0988
97.500000	100.244	147.2298
98.800003	100.139	147.3811
100.000000	100.046	147.5276
101.500000	99.940	147.6885
103.000000	99.847	147.8326
104.400002	99.763	147.9995
106.000000	99.663	148.2595
107.500000	99.566	148.5359
109.000000	99.472	148.7914
110.599998	99.374	149.0369
112.000000	99.289	149.2463
113.800003	99.184	149.5184
115.000000	99.117	149.7040
117.199997	98.995	150.0698
118.000000	98.951	150.2142
120.599998	98.817	150.7054
122.000000	98.751	150.9837
124.099998	98.656	151.4276
125.000000	98.615	151.6235
126.500000	98.548	151.9535
128.000000	98.480	152.2763
131.500000	98.325	152.9484
132.000000	98.304	153.0440
134.000000	98.225	153.4422
136.000000	98.154	153.8321
138.000000	98.086	154.1819
140.000000	98.021	154.5014
143.000000	97.922	154.9876
145.000000	97.847	155.3507
147.500000	97.757	155.8505
150.000000	97.686	156.3790
152.500000	97.625	156.8737
155.000000	97.561	157.3398
157.500000	97.494	157.8072
160.000000	97.434	158.2902
162.500000	97.383	158.7606
165.000000	97.338	159.2213
167.500000	97.296	159.7068
170.000000	97.252	160.1985
172.500000	97.209	160.6554
175.000000	97.168	161.0783
177.500000	97.128	161.4953
180.000000	97.086	161.9156
182.500000	97.038	162.3301
185.000000	96.980	162.7394
187.500000	96.911	163.1543
190.000000	96.838	163.5817
192.500000	96.769	164.0099
195.000000	96.712	164.4152
197.500000	96.672	164.7822
200.000000	96.651	165.1240
203.000000	96.647	165.5495
206.000000	96.656	166.0167
209.000000	96.670	166.4954
212.000000	96.679	166.9683
214.000000	96.679	167.2829
218.000000	96.663	167.8899
220.000000	96.650	168.1707
224.000000	96.622	168.6839
227.000000	96.602	169.0334
230.000000	96.582	169.3575
233.000000	96.562	169.6694
236.000000	96.543	169.9998
240.000000	96.514	170.4916
243.000000	96.490	170.8853
247.000000	96.453	171.4496
250.000000	96.428	171.9125
254.000000	96.407	172.5551
258.000000	96.405	173.1862
262.000000	96.418	173.7711
265.000000	96.432	174.1506
269.000000	96.454	174.5630
272.000000	96.469	174.8109
276.000000	96.487	175.0830
280.000000	96.501	175.3195
285.000000	96.511	175.6201
290.000000	96.517	175.9781
295.000000	96.523	176.3440
300.000000	96.527	176.6675
304.000000	96.527	176.9057
307.000000	96.527	177.0741
311.000000	96.525	177.2784
315.000000	96.523	177.4719
320.000000	96.521	177.7219
325.000000	96.519	177.9507
330.000000	96.518	178.1289
335.000000	96.519	178.2742
340.000000	96.521	178.4335
345.000000	96.518	178.6140
350.000000	96.507	178.7829
355.000000	96.486	178.9360
360.000000	96.457	179.1015
365.000000	96.425	179.2921
370.000000	96.392	179.5155
375.000000	96.364	179.7735
382.000000	96.333	-179.8316
387.000000	96.310	-179.5613
395.000000	96.268	-179.2050
400.000000	96.241	-179.0037
406.000000	96.215	-178.7286
412.000000	96.201	-178.4027
418.000000	96.193	-178.0491
425.000000	96.187	-177.6108
431.000000	96.182	-177.2362
437.000000	96.176	-176.9110
444.000000	96.166	-176.5984
450.000000	96.155	-176.3601
455.000000	96.144	-176.1808
462.000000	96.128	-175.9362
468.000000	96.113	-175.7042
475.000000	96.097	-175.4334
482.000000	96.076	-175.2056
487.000000	96.057	-175.0571
494.000000	96.028	-174.8379
500.000000	95.999	-174.6345
508.000000	95.957	-174.3545
515.000000	95.918	-174.0882
522.000000	95.881	-173.7953
530.000000	95.842	-173.4331
538.000000	95.807	-173.0728
545.000000	95.780	-172.7824
552.000000	95.757	-172.5125
560.000000	95.734	-172.2198
570.000000	95.703	-171.8862
580.000000	95.666	-171.5979
590.000000	95.621	-171.3103
600.000000	95.569	-170.9799
608.000000	95.523	-170.6974
615.000000	95.478	-170.4593
622.000000	95.428	-170.2196
630.000000	95.364	-169.9102
640.000000	95.275	-169.4413
650.000000	95.182	-168.8842
660.000000	95.091	-168.2884
670.000000	95.001	-167.7123
680.000000	94.909	-167.0994
690.000000	94.823	-166.3572
700.000000	94.747	-165.5064
710.000000	94.678	-164.6002
720.000000	94.612	-163.6551
730.000000	94.554	-162.6803
740.000000	94.504	-161.6876
750.000000	94.459	-160.6613
762.000000	94.411	-159.3699
775.000000	94.374	-157.9099
788.000000	94.357	-156.4661
800.000000	94.358	-155.1990
812.000000	94.374	-153.9721
825.000000	94.399	-152.6568
838.000000	94.425	-151.3575
850.000000	94.454	-150.1915
862.000000	94.491	-149.0782
875.000000	94.539	-147.9278
885.000000	94.580	-147.0616
900.000000	94.644	-145.7681
912.000000	94.695	-144.7394
925.000000	94.755	-143.6510
938.000000	94.821	-142.6303
950.000000	94.885	-141.7474
962.000000	94.951	-140.8839
975.000000	95.028	-139.9668
988.000000	95.114	-139.0942
1000.000000	95.199	-138.3284
1015.000000	95.309	-137.4093
1030.000000	95.418	-136.5326
1044.000000	95.516	-135.7728
1060.000000	95.625	-134.9708
1075.000000	95.725	-134.2563
1090.000000	95.824	-133.5754
1106.000000	95.929	-132.9136
1120.000000	96.024	-132.3928
1138.000000	96.151	-131.7752
1150.000000	96.239	-131.3792
1172.000000	96.401	-130.6685
1180.000000	96.459	-130.4202
1206.000000	96.653	-129.6841
1220.000000	96.762	-129.3318
1241.000000	96.931	-128.8754
