* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.910
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03-Jun-2024 22:15:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Shokz Openfit Air Bass L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	50.529	140.6380
20.600000	50.363	140.1680
20.900000	50.067	140.8094
21.200001	49.771	143.7029
21.400000	49.730	147.1245
21.799999	50.449	155.7006
22.000000	51.213	159.2134
22.400000	53.082	162.2320
22.700001	54.409	161.4469
23.000000	55.499	159.2888
23.299999	56.319	156.7497
23.600000	56.898	154.4883
24.000000	57.409	152.4235
24.299999	57.699	151.5345
24.700001	58.091	150.6177
25.000000	58.430	149.6210
25.400000	58.945	147.4568
25.799999	59.507	144.4901
26.200001	60.113	141.2895
26.500000	60.600	139.0666
26.900000	61.287	136.5442
27.200001	61.817	134.9730
27.600000	62.511	133.1949
28.000000	63.173	131.6557
28.500000	63.964	129.8853
29.000000	64.749	128.0034
29.500000	65.531	125.7116
30.000000	66.261	122.9808
30.400000	66.777	120.6649
30.700001	67.123	118.9683
31.100000	67.541	116.8306
31.500000	67.929	114.8109
32.000000	68.388	112.3115
32.500000	68.824	109.7663
33.000000	69.245	107.3085
33.500000	69.680	105.1296
34.000000	70.149	103.2293
34.500000	70.628	101.4093
35.000000	71.069	99.4936
35.500000	71.438	97.4678
36.000000	71.750	95.4023
36.500000	72.048	93.3263
37.000000	72.369	91.2222
37.500000	72.713	89.1070
38.200001	73.195	86.2628
38.700001	73.513	84.3519
39.500000	73.961	81.3145
40.000000	74.220	79.3146
40.599998	74.542	76.8010
41.200001	74.887	74.2199
41.799999	75.228	71.6124
42.500000	75.574	68.4911
43.099998	75.827	65.6208
43.700001	76.074	62.5149
44.400002	76.387	58.7912
45.000000	76.669	55.7333
45.500000	76.883	53.2686
46.200001	77.125	49.6532
46.799999	77.342	46.0405
47.500000	77.760	40.8268
48.200001	78.350	34.7790
48.700001	78.741	30.6602
49.400002	79.075	26.3447
50.000000	79.159	24.4013
50.799999	79.153	23.1830
51.500000	79.163	21.5852
52.200001	79.222	18.8279
53.000000	79.370	15.1221
53.799999	79.579	11.6439
54.500000	79.748	8.8045
55.200001	79.880	5.9709
56.000000	80.022	2.6475
57.000000	80.215	-1.4220
58.000000	80.396	-5.0279
59.000000	80.552	-8.1495
60.000000	80.708	-11.0463
60.799999	80.832	-13.3639
61.500000	80.934	-15.4039
62.200001	81.036	-17.4180
63.000000	81.158	-19.6459
64.000000	81.299	-22.1702
65.000000	81.406	-24.2365
66.000000	81.500	-26.0320
67.000000	81.605	-27.8824
68.000000	81.729	-29.8521
69.000000	81.865	-31.8491
70.000000	81.999	-33.7937
71.000000	82.131	-35.6684
72.000000	82.264	-37.4855
73.000000	82.406	-39.2709
74.000000	82.555	-41.0249
75.000000	82.706	-42.7012
76.199997	82.890	-44.6119
77.500000	83.093	-46.6813
78.800003	83.292	-48.7821
80.000000	83.469	-50.6620
81.199997	83.644	-52.4676
82.500000	83.832	-54.3883
83.800003	84.015	-56.3271
85.000000	84.171	-58.1577
86.199997	84.313	-59.9662
87.500000	84.459	-61.8350
88.500000	84.570	-63.2282
90.000000	84.731	-65.2756
91.199997	84.853	-66.8591
92.500000	84.973	-68.5313
93.800003	85.081	-70.1761
95.000000	85.173	-71.6854
96.199997	85.260	-73.2127
97.500000	85.351	-74.8953
98.800003	85.438	-76.5652
100.000000	85.514	-78.0514
101.500000	85.595	-79.8304
103.000000	85.666	-81.5968
104.400002	85.730	-83.2335
106.000000	85.804	-85.0000
107.500000	85.870	-86.5353
109.000000	85.926	-88.0026
110.599998	85.976	-89.5115
112.000000	86.012	-90.7818
113.800003	86.049	-92.3975
115.000000	86.071	-93.4764
117.199997	86.111	-95.3945
118.000000	86.127	-96.0537
120.599998	86.177	-98.0186
122.000000	86.203	-98.9813
124.099998	86.251	-100.3636
125.000000	86.278	-100.9559
126.500000	86.329	-101.9348
128.000000	86.374	-102.7996
131.500000	86.387	-104.2165
132.000000	86.387	-104.4182
134.000000	86.396	-105.3210
136.000000	86.423	-106.3505
138.000000	86.462	-107.4234
140.000000	86.507	-108.4832
143.000000	86.571	-109.9872
145.000000	86.610	-110.8991
147.500000	86.656	-111.9742
150.000000	86.696	-113.0370
