* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.910
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03-Jun-2024 22:16:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Shokz Openfit Air Bass R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	49.172	153.0417
20.600000	50.286	153.4508
20.900000	51.589	153.0482
21.200001	52.805	151.7567
21.400000	53.492	150.5926
21.799999	54.497	148.2145
22.000000	54.821	147.2703
22.400000	55.202	146.2850
22.700001	55.382	146.3054
23.000000	55.604	146.5288
23.299999	55.948	146.2789
23.600000	56.424	144.9869
24.000000	57.181	141.4981
24.299999	57.764	138.0882
24.700001	58.497	133.7084
25.000000	59.010	131.2400
25.400000	59.681	129.4687
25.799999	60.379	129.0962
26.200001	61.101	129.1974
26.500000	61.633	129.0211
26.900000	62.294	128.0214
27.200001	62.747	126.6349
27.600000	63.315	124.0614
28.000000	63.875	120.9308
28.500000	64.598	116.7595
29.000000	65.335	112.8678
29.500000	66.045	109.6127
30.000000	66.704	106.9689
30.400000	67.191	105.0871
30.700001	67.531	103.6913
31.100000	67.952	101.7764
31.500000	68.342	99.8212
32.000000	68.812	97.4757
32.500000	69.302	95.3675
33.000000	69.829	93.4123
33.500000	70.370	91.3840
34.000000	70.874	89.1632
34.500000	71.313	86.8461
35.000000	71.690	84.6328
35.500000	72.037	82.6406
36.000000	72.378	80.8097
36.500000	72.718	78.9631
37.000000	73.049	76.9444
37.500000	73.364	74.7143
38.200001	73.787	71.4004
38.700001	74.089	69.0692
39.500000	74.551	65.5775
40.000000	74.798	63.5253
40.599998	75.041	61.1484
41.200001	75.263	58.7979
41.799999	75.527	56.2702
42.500000	75.895	52.7370
43.099998	76.193	49.1810
43.700001	76.435	45.4311
44.400002	76.702	41.1688
45.000000	76.973	37.7186
45.500000	77.218	35.0530
46.200001	77.522	31.7478
46.799999	77.694	29.0450
47.500000	77.733	25.1734
48.200001	77.574	20.0751
48.700001	77.428	16.1616
49.400002	77.447	11.4979
50.000000	77.815	8.6730
50.799999	78.546	5.7596
51.500000	79.055	3.3264
52.200001	79.350	0.7836
53.000000	79.550	-2.5350
53.799999	79.718	-6.3125
54.500000	79.867	-9.6184
55.200001	80.016	-12.6853
56.000000	80.170	-15.9603
57.000000	80.342	-19.8686
58.000000	80.519	-23.6077
59.000000	80.687	-27.1633
60.000000	80.839	-30.4692
60.799999	80.961	-32.9558
61.500000	81.065	-35.0503
62.200001	81.162	-37.0604
63.000000	81.265	-39.2369
64.000000	81.391	-41.8103
65.000000	81.513	-44.2910
66.000000	81.635	-46.7280
67.000000	81.763	-49.1242
68.000000	81.892	-51.4018
69.000000	82.024	-53.5364
70.000000	82.170	-55.6552
71.000000	82.328	-57.8327
72.000000	82.482	-59.9699
73.000000	82.622	-61.9544
74.000000	82.753	-63.7834
75.000000	82.887	-65.5203
76.199997	83.055	-67.5523
77.500000	83.238	-69.7490
78.800003	83.420	-72.0097
80.000000	83.590	-74.1422
81.199997	83.758	-76.2103
82.500000	83.933	-78.3231
83.800003	84.100	-80.3779
85.000000	84.252	-82.2945
86.199997	84.405	-84.2252
87.500000	84.560	-86.3107
88.500000	84.670	-87.8955
90.000000	84.829	-90.2242
91.199997	84.958	-92.0798
92.500000	85.092	-94.1173
93.800003	85.217	-96.1804
95.000000	85.324	-98.1148
96.199997	85.423	-100.0547
97.500000	85.516	-102.0940
98.800003	85.595	-104.0541
100.000000	85.658	-105.8294
101.500000	85.734	-108.0195
103.000000	85.812	-110.1223
104.400002	85.894	-111.9564
106.000000	85.989	-113.9066
107.500000	86.066	-115.6545
109.000000	86.123	-117.3621
110.599998	86.174	-119.1701
112.000000	86.218	-120.7481
113.800003	86.276	-122.7438
115.000000	86.311	-124.0279
117.199997	86.360	-126.2279
118.000000	86.375	-126.9790
120.599998	86.432	-129.2794
122.000000	86.466	-130.4055
124.099998	86.509	-131.9824
125.000000	86.525	-132.6472
126.500000	86.555	-133.7551
128.000000	86.588	-134.8464
131.500000	86.659	-137.3139
132.000000	86.668	-137.6625
134.000000	86.700	-139.0308
136.000000	86.730	-140.3641
138.000000	86.762	-141.6786
140.000000	86.798	-142.9682
143.000000	86.857	-144.8076
145.000000	86.893	-145.9828
147.500000	86.929	-147.4338
150.000000	86.956	-148.8707
152.500000	86.971	-150.2754
155.000000	86.980	-151.6010
157.500000	86.984	-152.8404
160.000000	86.988	-154.0330
162.500000	86.993	-155.1730
165.000000	87.000	-156.2415
167.500000	87.015	-157.2491
170.000000	87.036	-158.1981
172.500000	87.053	-159.0473
175.000000	87.068	-159.8178
177.500000	87.088	-160.5659
