* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-May-2024 13:37:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT EA1000 Black L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.426	-95.8519
20.600000	75.504	-96.6042
20.900000	75.603	-97.5511
21.200001	75.708	-98.5671
21.400000	75.778	-99.2546
21.799999	75.915	-100.6167
22.000000	75.982	-101.2809
22.400000	76.112	-102.5620
22.700001	76.207	-103.4824
23.000000	76.299	-104.3776
23.299999	76.387	-105.2599
23.600000	76.471	-106.1401
24.000000	76.575	-107.3190
24.299999	76.648	-108.2052
24.700001	76.739	-109.3783
25.000000	76.806	-110.2440
25.400000	76.895	-111.3729
25.799999	76.984	-112.4726
26.200001	77.073	-113.5469
26.500000	77.137	-114.3382
26.900000	77.219	-115.3756
27.200001	77.276	-116.1410
27.600000	77.348	-117.1464
28.000000	77.415	-118.1374
28.500000	77.495	-119.3601
29.000000	77.572	-120.5648
29.500000	77.647	-121.7453
30.000000	77.718	-122.8935
30.400000	77.772	-123.7858
30.700001	77.811	-124.4402
31.100000	77.861	-125.2949
31.500000	77.908	-126.1325
32.000000	77.963	-127.1607
32.500000	78.017	-128.1723
33.000000	78.069	-129.1691
33.500000	78.121	-130.1503
34.000000	78.171	-131.1131
34.500000	78.219	-132.0537
35.000000	78.263	-132.9693
35.500000	78.304	-133.8617
36.000000	78.342	-134.7378
36.500000	78.377	-135.6052
37.000000	78.409	-136.4662
37.500000	78.439	-137.3142
38.200001	78.477	-138.4588
38.700001	78.505	-139.2394
39.500000	78.550	-140.4411
40.000000	78.577	-141.1754
40.599998	78.607	-142.0448
41.200001	78.635	-142.9020
41.799999	78.663	-143.7511
42.500000	78.694	-144.7288
43.099998	78.717	-145.5397
43.700001	78.740	-146.3176
44.400002	78.768	-147.2058
45.000000	78.792	-147.9753
45.500000	78.809	-148.6212
46.200001	78.829	-149.5045
46.799999	78.843	-150.2242
47.500000	78.858	-151.0258
48.200001	78.869	-151.8035
48.700001	78.874	-152.3501
49.400002	78.878	-153.1100
50.000000	78.882	-153.7637
50.799999	78.888	-154.6408
51.500000	78.893	-155.3993
52.200001	78.898	-156.1349
53.000000	78.903	-156.9456
53.799999	78.904	-157.7370
54.500000	78.902	-158.4245
55.200001	78.897	-159.1101
56.000000	78.889	-159.8873
57.000000	78.877	-160.8395
58.000000	78.864	-161.7653
59.000000	78.850	-162.6680
60.000000	78.834	-163.5524
60.799999	78.821	-164.2471
61.500000	78.808	-164.8443
62.200001	78.795	-165.4295
63.000000	78.779	-166.0820
64.000000	78.758	-166.8736
65.000000	78.736	-167.6402
66.000000	78.714	-168.3809
67.000000	78.692	-169.0957
68.000000	78.668	-169.7876
69.000000	78.644	-170.4602
70.000000	78.618	-171.1152
71.000000	78.592	-171.7527
72.000000	78.564	-172.3720
73.000000	78.535	-172.9718
74.000000	78.505	-173.5516
75.000000	78.474	-174.1120
76.199997	78.436	-174.7614
77.500000	78.394	-175.4369
78.800003	78.351	-176.0808
80.000000	78.312	-176.6497
81.199997	78.272	-177.1989
82.500000	78.230	-177.7750
83.800003	78.189	-178.3346
85.000000	78.152	-178.8370
86.199997	78.116	-179.3241
87.500000	78.076	-179.8354
88.500000	78.045	179.7798
90.000000	77.997	179.2124
91.199997	77.958	178.7697
92.500000	77.914	178.3069
93.800003	77.870	177.8615
95.000000	77.830	177.4612
96.199997	77.791	177.0678
97.500000	77.750	176.6486
98.800003	77.712	176.2368
100.000000	77.677	175.8622
101.500000	77.635	175.4011
103.000000	77.592	174.9496
104.400002	77.552	174.5402
106.000000	77.507	174.0897
107.500000	77.465	173.6835
109.000000	77.423	173.2861
110.599998	77.378	172.8640
112.000000	77.337	172.4946
113.800003	77.285	172.0225
115.000000	77.249	171.7109
117.199997	77.184	171.1512
118.000000	77.160	170.9525
120.599998	77.083	170.3219
122.000000	77.040	169.9909
124.099998	76.975	169.5080
125.000000	76.947	169.3069
126.500000	76.900	168.9796
128.000000	76.852	168.6619
131.500000	76.744	167.9603
132.000000	76.729	167.8653
134.000000	76.670	167.5001
136.000000	76.612	167.1580
138.000000	76.553	166.8355
140.000000	76.494	166.5276
143.000000	76.405	166.0869
145.000000	76.346	165.8087
147.500000	76.271	165.4808
150.000000	76.193	165.1726
152.500000	76.114	164.8835
155.000000	76.035	164.6114
157.500000	75.957	164.3542
160.000000	75.881	164.1155
162.500000	75.805	163.8976
165.000000	75.732	163.6981
167.500000	75.661	163.5082
170.000000	75.591	163.3205
172.500000	75.521	163.1317
175.000000	75.449	162.9372
177.500000	75.377	162.7363
180.000000	75.303	162.5355
182.500000	75.229	162.3447
185.000000	75.157	162.1718
187.500000	75.086	162.0179
190.000000	75.019	161.8799
192.500000	74.956	161.7543
195.000000	74.899	161.6384
197.500000	74.849	161.5302
200.000000	74.803	161.4275
203.000000	74.754	161.3087
206.000000	74.708	161.1946
209.000000	74.662	161.0860
212.000000	74.619	160.9839
214.000000	74.590	160.9205
218.000000	74.532	160.7991
220.000000	74.504	160.7358
224.000000	74.448	160.5946
227.000000	74.407	160.4753
230.000000	74.367	160.3511
233.000000	74.327	160.2307
236.000000	74.285	160.1185
240.000000	74.221	159.9715
243.000000	74.168	159.8516
247.000000	74.093	159.6791
250.000000	74.035	159.5485
254.000000	73.960	159.3890
258.000000	73.889	159.2571
262.000000	73.821	159.1556
265.000000	73.771	159.1019
269.000000	73.703	159.0635
272.000000	73.653	159.0577
276.000000	73.587	159.0758
280.000000	73.521	159.1125
285.000000	73.440	159.1714
290.000000	73.359	159.2540
295.000000	73.280	159.3677
300.000000	73.203	159.4901
304.000000	73.142	159.5812
307.000000	73.097	159.6482
311.000000	73.038	159.7443
315.000000	72.979	159.8531
320.000000	72.907	160.0017
325.000000	72.838	160.1489
330.000000	72.771	160.2853
335.000000	72.707	160.4319
340.000000	72.644	160.6112
345.000000	72.583	160.8199
350.000000	72.525	161.0513
355.000000	72.473	161.3043
360.000000	72.429	161.5829
365.000000	72.389	161.8866
370.000000	72.352	162.2118
375.000000	72.321	162.5520
382.000000	72.289	163.0417
387.000000	72.274	163.3980
395.000000	72.260	163.9732
400.000000	72.252	164.3260
406.000000	72.236	164.7301
412.000000	72.215	165.0902
418.000000	72.189	165.3803
425.000000	72.151	165.6390
431.000000	72.113	165.8151
437.000000	72.072	165.9573
444.000000	72.022	166.0959
450.000000	71.981	166.2112
455.000000	71.950	166.3155
462.000000	71.912	166.4820
468.000000	71.879	166.6470
475.000000	71.840	166.8718
482.000000	71.801	167.1477
487.000000	71.775	167.3813
494.000000	71.743	167.7523
500.000000	71.720	168.1069
508.000000	71.692	168.6315
515.000000	71.668	169.1194
522.000000	71.642	169.6044
530.000000	71.612	170.1420
538.000000	71.583	170.6665
545.000000	71.559	171.1246
552.000000	71.535	171.5938
560.000000	71.512	172.1469
570.000000	71.489	172.8481
580.000000	71.468	173.5393
590.000000	71.446	174.2139
600.000000	71.421	174.8710
608.000000	71.402	175.3993
615.000000	71.388	175.8827
622.000000	71.378	176.3955
630.000000	71.370	177.0119
640.000000	71.364	177.8008
650.000000	71.359	178.5811
660.000000	71.352	179.3240
670.000000	71.344	-179.9873
680.000000	71.336	-179.3406
690.000000	71.330	-178.7081
700.000000	71.328	-178.0686
710.000000	71.331	-177.4155
720.000000	71.339	-176.7507
730.000000	71.350	-176.0929
740.000000	71.362	-175.4672
750.000000	71.375	-174.8907
762.000000	71.390	-174.2695
775.000000	71.409	-173.6823
788.000000	71.430	-173.1795
800.000000	71.450	-172.7549
812.000000	71.472	-172.3168
825.000000	71.502	-171.7952
838.000000	71.539	-171.2202
850.000000	71.571	-170.6453
862.000000	71.594	-170.0353
875.000000	71.605	-169.2970
885.000000	71.606	-168.5902
900.000000	71.615	-167.1012
912.000000	71.670	-165.5035
925.000000	71.818	-163.6657
938.000000	72.040	-162.3026
950.000000	72.238	-161.6700
962.000000	72.386	-161.3502
975.000000	72.500	-161.0398
988.000000	72.591	-160.6449
1000.000000	72.668	-160.2082
1015.000000	72.767	-159.6103
1030.000000	72.873	-159.0009
1044.000000	72.978	-158.4630
1060.000000	73.100	-157.9434
1075.000000	73.213	-157.5814
1090.000000	73.325	-157.3067
1106.000000	73.449	-157.0481
1120.000000	73.564	-156.8080
1138.000000	73.715	-156.4426
1150.000000	73.815	-156.1748
1172.000000	73.999	-155.7034
1180.000000	74.064	-155.5512
1206.000000	74.268	-155.1686
1220.000000	74.375	-155.0396
1241.000000	74.533	-154.9498
1250.000000	74.598	-154.9474
1265.000000	74.704	-154.9820
1280.000000	74.807	-155.0458
1315.000000	75.042	-155.1408
1320.000000	75.075	-155.1370
1340.000000	75.207	-155.0790
1360.000000	75.336	-154.9820
1380.000000	75.459	-154.8885
1400.000000	75.577	-154.8301
1430.000000	75.748	-154.7994
1450.000000	75.863	-154.7552
1475.000000	76.013	-154.6260
1500.000000	76.166	-154.4272
1525.000000	76.319	-154.1711
1550.000000	76.482	-153.8345
1575.000000	76.654	-153.4354
1600.000000	76.827	-153.0669
1625.000000	76.996	-152.7776
1650.000000	77.167	-152.5511
1675.000000	77.341	-152.3315
1700.000000	77.517	-152.0620
1725.000000	77.698	-151.7096
1750.000000	77.883	-151.2611
1775.000000	78.071	-150.7266
1800.000000	78.263	-150.1372
1825.000000	78.458	-149.5221
1850.000000	78.654	-148.9047
1875.000000	78.853	-148.2942
1900.000000	79.052	-147.6758
1925.000000	79.252	-147.0150
1950.000000	79.454	-146.2478
1975.000000	79.664	-145.3493
2000.000000	79.880	-144.3723
2030.000000	80.140	-143.2403
2060.000000	80.400	-142.3235
2090.000000	80.656	-141.7356
2120.000000	80.903	-141.4853
2140.000000	81.065	-141.4637
2180.000000	81.389	-141.6733
2200.000000	81.547	-141.9188
2240.000000	81.843	-142.7857
2270.000000	82.048	-143.7872
2300.000000	82.239	-145.0567
2330.000000	82.412	-146.5257
2360.000000	82.571	-148.0988
2400.000000	82.765	-150.2245
2430.000000	82.893	-151.8148
2470.000000	83.037	-153.9277
2500.000000	83.127	-155.4845
2540.000000	83.226	-157.5235
2580.000000	83.295	-159.5711
2620.000000	83.337	-161.6538
2650.000000	83.352	-163.2395
2690.000000	83.346	-165.3605
2720.000000	83.325	-166.8785
2760.000000	83.286	-168.6707
2800.000000	83.235	-170.1952
2850.000000	83.143	-171.9059
2900.000000	83.026	-173.4333
2950.000000	82.895	-174.6553
3000.000000	82.751	-175.5416
3040.000000	82.628	-176.0158
3070.000000	82.535	-176.2528
3110.000000	82.409	-176.4821
3150.000000	82.279	-176.7350
3200.000000	82.108	-177.1778
3250.000000	81.936	-177.6308
3300.000000	81.772	-177.8346
3350.000000	81.620	-177.6631
3400.000000	81.478	-177.1899
3450.000000	81.344	-176.5683
3500.000000	81.219	-175.9353
3550.000000	81.101	-175.3586
3600.000000	80.992	-174.8228
3650.000000	80.892	-174.2665
3700.000000	80.803	-173.6126
3750.000000	80.728	-172.8344
3820.000000	80.639	-171.7251
3870.000000	80.581	-171.0699
3950.000000	80.495	-170.1756
4000.000000	80.454	-169.4703
4060.000000	80.423	-168.2869
4120.000000	80.406	-166.7960
4180.000000	80.401	-165.1966
4250.000000	80.408	-163.5753
4310.000000	80.416	-162.7307
4370.000000	80.427	-162.5171
4440.000000	80.450	-162.9952
4500.000000	80.476	-163.9086
4550.000000	80.502	-164.9352
4620.000000	80.543	-166.5894
4680.000000	80.588	-168.0208
4750.000000	80.649	-169.6226
4820.000000	80.713	-171.1664
4870.000000	80.762	-172.1978
4940.000000	80.832	-173.4755
5000.000000	80.894	-174.3683
5080.000000	80.981	-175.2723
5150.000000	81.055	-175.9628
5220.000000	81.121	-176.7051
5300.000000	81.185	-177.6281
5380.000000	81.236	-178.6588
5450.000000	81.263	-179.7554
5520.000000	81.269	178.8988
5600.000000	81.250	177.1527
5700.000000	81.190	174.9191
5800.000000	81.086	172.8648
5900.000000	80.953	171.3115
6000.000000	80.809	170.3146
6080.000000	80.709	169.7688
6150.000000	80.633	169.2336
6220.000000	80.546	168.4014
6300.000000	80.419	166.9941
6400.000000	80.241	164.8214
6500.000000	80.069	162.5295
6600.000000	79.917	160.2154
6700.000000	79.792	157.9292
6800.000000	79.704	155.7871
6900.000000	79.655	153.9020
7000.000000	79.653	152.4008
7100.000000	79.696	151.3510
7200.000000	79.785	150.6904
7300.000000	79.913	150.0112
7400.000000	80.058	148.6450
7500.000000	80.197	146.0858
7620.000000	80.322	141.3513
7750.000000	80.354	134.7262
7880.000000	80.227	127.3425
8000.000000	79.936	120.2914
8120.000000	79.462	113.2833
8250.000000	78.762	106.4381
8380.000000	77.907	101.2943
8500.000000	77.025	98.5631
8620.000000	76.092	97.7229
8750.000000	75.057	98.4094
8850.000000	74.263	99.6230
9000.000000	73.098	102.0532
9120.000000	72.209	104.7094
9250.000000	71.309	108.7047
9380.000000	70.477	113.8676
9500.000000	69.771	119.4135
9620.000000	69.124	125.2563
9750.000000	68.484	131.4259
9880.000000	67.904	137.4321
10000.000000	67.427	143.2145
10150.000000	66.906	151.2088
10300.000000	66.466	159.9382
10440.000000	66.120	168.1485
10600.000000	65.795	176.8241
10750.000000	65.559	-176.1557
10900.000000	65.394	-170.1255
11060.000000	65.300	-164.3073
11200.000000	65.288	-159.3442
11380.000000	65.361	-152.8289
11500.000000	65.466	-148.3372
11720.000000	65.775	-140.1479
11800.000000	65.923	-137.3510
12060.000000	66.549	-128.8987
12200.000000	66.987	-124.5216
12410.000000	67.795	-118.0517
12500.000000	68.204	-115.2864
12650.000000	68.984	-110.7500
12800.000000	69.893	-106.5546
13150.000000	72.470	-101.4276
13200.000000	72.868	-101.5645
13400.000000	74.436	-104.5491
13600.000000	75.803	-111.2639
13800.000000	76.747	-121.4346
14000.000000	77.124	-134.0023
14300.000000	76.604	-153.5224
14500.000000	75.726	-163.8618
14750.000000	74.397	-170.7840
15000.000000	73.128	-172.1417
15250.000000	72.110	-171.4943
15500.000000	71.397	-171.3089
15750.000000	70.904	-172.6808
16000.000000	70.462	-175.6314
16250.000000	69.901	-179.9514
16500.000000	69.102	174.3361
16750.000000	68.045	167.7006
17000.000000	66.792	161.1689
