* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-May-2024 13:38:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT EA1000 Black R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.640	-97.7737
20.600000	76.718	-98.5390
20.900000	76.815	-99.4915
21.200001	76.918	-100.5046
21.400000	76.986	-101.1894
21.799999	77.121	-102.5600
22.000000	77.188	-103.2413
22.400000	77.317	-104.5881
22.700001	77.411	-105.5802
23.000000	77.503	-106.5549
23.299999	77.591	-107.5123
23.600000	77.676	-108.4539
24.000000	77.785	-109.6886
24.299999	77.862	-110.6014
24.700001	77.961	-111.8033
25.000000	78.032	-112.6939
25.400000	78.123	-113.8663
25.799999	78.210	-115.0200
26.200001	78.293	-116.1524
26.500000	78.353	-116.9867
26.900000	78.431	-118.0789
27.200001	78.487	-118.8835
27.600000	78.560	-119.9392
28.000000	78.630	-120.9778
28.500000	78.714	-122.2550
29.000000	78.792	-123.5101
29.500000	78.866	-124.7428
30.000000	78.936	-125.9529
30.400000	78.989	-126.9049
30.700001	79.028	-127.6095
31.100000	79.078	-128.5357
31.500000	79.125	-129.4458
32.000000	79.182	-130.5590
32.500000	79.236	-131.6445
33.000000	79.287	-132.7038
33.500000	79.335	-133.7397
34.000000	79.381	-134.7550
34.500000	79.423	-135.7509
35.000000	79.464	-136.7271
35.500000	79.502	-137.6826
36.000000	79.539	-138.6170
36.500000	79.574	-139.5314
37.000000	79.607	-140.4289
37.500000	79.639	-141.3122
38.200001	79.680	-142.5275
38.700001	79.707	-143.3792
39.500000	79.749	-144.7102
40.000000	79.775	-145.5206
40.599998	79.804	-146.4701
41.200001	79.833	-147.3955
41.799999	79.860	-148.3002
42.500000	79.889	-149.3362
43.099998	79.912	-150.2103
43.700001	79.933	-151.0719
44.400002	79.956	-152.0615
45.000000	79.975	-152.8961
45.500000	79.990	-153.5815
46.200001	80.009	-154.5258
