* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-May-2024 13:31:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT EA1000 Gold L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.580	-89.5180
20.600000	75.663	-90.1435
20.900000	75.768	-90.9262
21.200001	75.878	-91.7792
21.400000	75.948	-92.3726
21.799999	76.074	-93.5875
22.000000	76.128	-94.1884
22.400000	76.219	-95.3199
22.700001	76.281	-96.0789
23.000000	76.348	-96.7675
23.299999	76.426	-97.4241
23.600000	76.516	-98.1023
24.000000	76.648	-99.1186
24.299999	76.745	-99.9833
24.700001	76.859	-101.2309
25.000000	76.928	-102.1795
25.400000	77.003	-103.3774
25.799999	77.070	-104.4532
26.200001	77.141	-105.4247
26.500000	77.202	-106.1231
26.900000	77.292	-107.0662
27.200001	77.362	-107.8006
27.600000	77.454	-108.8099
28.000000	77.541	-109.8191
28.500000	77.641	-111.0171
29.000000	77.733	-112.1073
29.500000	77.820	-113.1105
30.000000	77.903	-114.0843
30.400000	77.965	-114.8741
30.700001	78.009	-115.4771
31.100000	78.067	-116.2858
31.500000	78.124	-117.0824
32.000000	78.200	-118.0434
32.500000	78.277	-118.9801
33.000000	78.348	-119.9340
33.500000	78.399	-120.9291
34.000000	78.426	-121.9381
34.500000	78.441	-122.9013
35.000000	78.471	-123.7841
35.500000	78.533	-124.6129
36.000000	78.626	-125.4483
36.500000	78.725	-126.3200
37.000000	78.799	-127.1969
37.500000	78.833	-128.0185
38.200001	78.824	-129.0224
38.700001	78.805	-129.6755
39.500000	78.801	-130.7603
40.000000	78.823	-131.5007
40.599998	78.865	-132.4145
41.200001	78.906	-133.2857
41.799999	78.941	-134.0806
42.500000	78.982	-134.9725
43.099998	79.022	-135.7889
43.700001	79.062	-136.6559
44.400002	79.101	-137.6254
45.000000	79.129	-138.3472
45.500000	79.154	-138.8852
46.200001	79.193	-139.6228
46.799999	79.227	-140.2887
47.500000	79.259	-141.1032
48.200001	79.273	-141.9202
48.700001	79.267	-142.4765
49.400002	79.244	-143.1892
50.000000	79.227	-143.7638
50.799999	79.231	-144.6052
51.500000	79.251	-145.4550
52.200001	79.267	-146.2986
53.000000	79.279	-147.1390
53.799999	79.294	-147.9425
54.500000	79.308	-148.7183
55.200001	79.319	-149.5362
56.000000	79.329	-150.4206
57.000000	79.328	-151.3625
58.000000	79.310	-152.1958
59.000000	79.289	-153.0761
60.000000	79.288	-154.0432
60.799999	79.292	-154.8270
61.500000	79.286	-155.4452
62.200001	79.271	-155.9740
63.000000	79.251	-156.5427
64.000000	79.230	-157.3404
65.000000	79.213	-158.1798
66.000000	79.205	-158.9755
67.000000	79.202	-159.7603
68.000000	79.201	-160.5477
69.000000	79.204	-161.2982
70.000000	79.205	-161.9649
71.000000	79.195	-162.5657
72.000000	79.169	-163.1794
73.000000	79.131	-163.8375
74.000000	79.090	-164.4999
75.000000	79.056	-165.1470
76.199997	79.020	-165.9016
77.500000	78.989	-166.6266
78.800003	78.967	-167.2693
80.000000	78.947	-167.8985
81.199997	78.926	-168.5876
82.500000	78.905	-169.3387
83.800003	78.875	-170.0843
85.000000	78.835	-170.7918
86.199997	78.801	-171.5014
87.500000	78.773	-172.2075
88.500000	78.751	-172.6862
90.000000	78.717	-173.3815
91.199997	78.692	-173.9654
92.500000	78.662	-174.5809
93.800003	78.622	-175.1493
95.000000	78.584	-175.6443
96.199997	78.551	-176.1409
97.500000	78.520	-176.7256
98.800003	78.488	-177.3364
100.000000	78.461	-177.8688
101.500000	78.432	-178.4560
103.000000	78.399	-178.9905
104.400002	78.362	-179.4801
106.000000	78.322	179.9540
107.500000	78.290	179.4092
109.000000	78.263	178.8653
110.599998	78.233	178.3289
112.000000	78.203	177.8812
113.800003	78.158	177.2957
115.000000	78.126	176.8979
117.199997	78.072	176.1828
118.000000	78.052	175.9241
120.599998	77.991	175.0538
122.000000	77.959	174.5563
124.099998	77.909	173.8160
125.000000	77.886	173.5089
126.500000	77.847	173.0004
128.000000	77.807	172.4987
131.500000	77.715	171.3983
132.000000	77.703	171.2534
134.000000	77.660	170.6942
136.000000	77.620	170.1388
138.000000	77.575	169.5793
140.000000	77.527	169.0394
143.000000	77.456	168.2655
145.000000	77.409	167.7714
147.500000	77.352	167.1349
150.000000	77.291	166.4694
152.500000	77.224	165.8326
155.000000	77.159	165.2206
157.500000	77.092	164.5727
160.000000	77.021	163.9351
162.500000	76.956	163.3474
165.000000	76.897	162.7928
167.500000	76.841	162.2519
170.000000	76.785	161.6693
172.500000	76.721	161.0408
175.000000	76.650	160.4401
177.500000	76.577	159.9007
180.000000	76.507	159.3811
182.500000	76.438	158.8375
185.000000	76.369	158.2660
187.500000	76.301	157.6876
190.000000	76.237	157.1279
192.500000	76.178	156.5970
195.000000	76.125	156.0908
197.500000	76.073	155.5920
200.000000	76.022	155.0750
203.000000	75.957	154.4129
206.000000	75.891	153.7124
209.000000	75.828	153.0057
212.000000	75.769	152.3191
214.000000	75.732	151.8697
218.000000	75.665	150.9823
220.000000	75.635	150.5577
224.000000	75.579	149.7765
227.000000	75.532	149.2312
230.000000	75.484	148.6930
233.000000	75.436	148.1453
236.000000	75.391	147.5858
240.000000	75.330	146.8269
243.000000	75.278	146.2435
247.000000	75.201	145.4753
250.000000	75.141	144.9357
254.000000	75.062	144.2737
258.000000	74.991	143.6876
262.000000	74.928	143.1827
265.000000	74.886	142.8665
269.000000	74.835	142.5442
272.000000	74.796	142.3806
276.000000	74.743	142.2512
280.000000	74.687	142.1892
285.000000	74.618	142.1561
290.000000	74.555	142.1631
295.000000	74.498	142.2046
300.000000	74.442	142.2411
304.000000	74.396	142.2435
307.000000	74.361	142.2256
311.000000	74.312	142.1728
315.000000	74.262	142.0925
320.000000	74.198	141.9789
325.000000	74.135	141.8743
330.000000	74.078	141.7871
335.000000	74.027	141.7177
340.000000	73.981	141.6653
345.000000	73.935	141.6242
350.000000	73.890	141.5859
355.000000	73.842	141.5381
360.000000	73.792	141.4796
365.000000	73.743	141.4257
370.000000	73.697	141.3980
375.000000	73.655	141.4163
382.000000	73.603	141.5347
387.000000	73.569	141.6792
395.000000	73.520	141.9733
400.000000	73.490	142.1685
406.000000	73.454	142.3867
412.000000	73.417	142.5757
418.000000	73.377	142.7416
425.000000	73.330	142.9165
431.000000	73.290	143.0590
437.000000	73.255	143.2004
444.000000	73.220	143.3643
450.000000	73.194	143.5080
455.000000	73.173	143.6329
462.000000	73.147	143.8049
468.000000	73.124	143.9338
475.000000	73.097	144.0547
482.000000	73.068	144.1432
487.000000	73.048	144.1852
494.000000	73.019	144.2236
500.000000	72.995	144.2557
508.000000	72.966	144.3213
515.000000	72.945	144.4145
522.000000	72.928	144.5337
530.000000	72.912	144.6766
538.000000	72.895	144.8200
545.000000	72.879	144.9419
552.000000	72.862	145.0513
560.000000	72.844	145.1609
570.000000	72.826	145.2941
580.000000	72.811	145.4548
590.000000	72.796	145.6651
600.000000	72.786	145.9091
608.000000	72.780	146.1183
615.000000	72.777	146.3059
622.000000	72.774	146.4927
630.000000	72.771	146.6954
640.000000	72.769	146.9139
650.000000	72.767	147.0800
660.000000	72.764	147.1899
670.000000	72.759	147.2472
680.000000	72.755	147.2590
690.000000	72.752	147.2540
700.000000	72.751	147.2766
710.000000	72.755	147.3531
720.000000	72.766	147.4973
730.000000	72.784	147.7278
740.000000	72.805	148.0473
750.000000	72.829	148.4204
762.000000	72.859	148.8859
775.000000	72.893	149.3999
788.000000	72.927	149.9049
800.000000	72.961	150.3437
812.000000	72.998	150.7508
825.000000	73.039	151.1482
838.000000	73.079	151.5056
850.000000	73.115	151.8175
862.000000	73.148	152.1401
875.000000	73.173	152.5716
885.000000	73.187	153.0335
900.000000	73.223	154.0537
912.000000	73.303	155.1138
925.000000	73.475	156.1564
938.000000	73.707	156.5457
950.000000	73.905	156.2502
962.000000	74.054	155.6887
975.000000	74.174	155.1127
988.000000	74.277	154.6918
1000.000000	74.370	154.4291
1015.000000	74.488	154.2045
1030.000000	74.609	154.0311
1044.000000	74.727	153.8696
1060.000000	74.868	153.6459
1075.000000	75.004	153.3766
1090.000000	75.143	153.0484
1106.000000	75.296	152.6504
1120.000000	75.432	152.2710
1138.000000	75.607	151.7308
1150.000000	75.719	151.3278
1172.000000	75.922	150.4957
1180.000000	75.996	150.1652
1206.000000	76.234	148.9584
1220.000000	76.357	148.2085
1241.000000	76.532	146.9544
1250.000000	76.607	146.3770
1265.000000	76.729	145.3815
1280.000000	76.849	144.3719
1315.000000	77.125	142.1195
1320.000000	77.164	141.8223
1340.000000	77.324	140.6933
1360.000000	77.481	139.5947
1380.000000	77.627	138.4461
1400.000000	77.763	137.2454
1430.000000	77.964	135.5145
1450.000000	78.105	134.5155
1475.000000	78.287	133.4292
1500.000000	78.470	132.4017
1525.000000	78.654	131.3337
1550.000000	78.844	130.1953
1575.000000	79.038	129.0044
1600.000000	79.236	127.7603
1625.000000	79.437	126.4427
1650.000000	79.635	125.0358
1675.000000	79.832	123.5681
1700.000000	80.033	122.1128
1725.000000	80.241	120.7101
1750.000000	80.454	119.3134
1775.000000	80.666	117.8414
1800.000000	80.877	116.2507
1825.000000	81.092	114.5244
1850.000000	81.307	112.6223
1875.000000	81.516	110.5219
1900.000000	81.722	108.2573
1925.000000	81.929	105.9180
1950.000000	82.135	103.5885
1975.000000	82.342	101.3097
2000.000000	82.549	99.0871
2030.000000	82.797	96.4341
2060.000000	83.041	93.6650
2090.000000	83.275	90.6146
2120.000000	83.491	87.1708
2140.000000	83.626	84.6494
2180.000000	83.876	79.1731
2200.000000	83.989	76.2844
2240.000000	84.185	70.3927
2270.000000	84.307	66.0784
2300.000000	84.413	62.0325
2330.000000	84.504	58.3156
2360.000000	84.576	54.8637
2400.000000	84.636	50.4862
2430.000000	84.655	47.3009
2470.000000	84.651	43.2228
2500.000000	84.629	40.3362
2540.000000	84.577	36.7324
2580.000000	84.500	33.3952
2620.000000	84.405	30.2562
2650.000000	84.320	27.9284
2690.000000	84.186	24.7391
2720.000000	84.073	22.2833
2760.000000	83.914	18.9863
2800.000000	83.749	15.7179
2850.000000	83.530	11.7452
2900.000000	83.303	8.1816
2950.000000	83.091	5.3788
3000.000000	82.886	3.2410
3040.000000	82.720	1.8027
3070.000000	82.596	0.8535
3110.000000	82.435	-0.2054
3150.000000	82.283	-1.0033
3200.000000	82.105	-1.7133
3250.000000	81.938	-2.3030
3300.000000	81.777	-2.9031
3350.000000	81.630	-3.5165
3400.000000	81.495	-4.1223
3450.000000	81.373	-4.6713
3500.000000	81.267	-5.1097
3550.000000	81.175	-5.4718
3600.000000	81.092	-5.8382
3650.000000	81.015	-6.1902
3700.000000	80.949	-6.3761
3750.000000	80.900	-6.2972
3820.000000	80.848	-5.9442
3870.000000	80.816	-5.7567
3950.000000	80.770	-5.8161
4000.000000	80.749	-6.0273
4060.000000	80.733	-6.3490
4120.000000	80.728	-6.6859
4180.000000	80.732	-7.0634
4250.000000	80.740	-7.6873
4310.000000	80.750	-8.4358
4370.000000	80.761	-9.3760
4440.000000	80.777	-10.6276
