* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), no input selected, R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26-Oct-2023 16:02:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT EA1000 Stock L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.988	-74.7641
20.600000	78.039	-75.4834
20.900000	78.162	-76.9692
21.200001	78.293	-78.4871
21.400000	78.381	-79.4126
21.799999	78.560	-81.0232
22.000000	78.654	-81.7165
22.400000	78.849	-82.9637
22.700001	78.996	-83.8550
23.000000	79.135	-84.7704
23.299999	79.254	-85.7255
23.600000	79.347	-86.7005
24.000000	79.426	-87.9652
24.299999	79.459	-88.8308
24.700001	79.483	-89.8438
25.000000	79.497	-90.5235
25.400000	79.522	-91.3969
25.799999	79.556	-92.3123
26.200001	79.598	-93.2987
26.500000	79.637	-94.0803
26.900000	79.709	-95.1881
27.200001	79.781	-96.1051
27.600000	79.901	-97.5132
28.000000	80.031	-99.1763
28.500000	80.171	-101.4864
29.000000	80.266	-103.6532
29.500000	80.343	-105.2811
30.000000	80.450	-106.2819
30.400000	80.575	-106.8128
30.700001	80.687	-107.1849
31.100000	80.839	-107.7810
31.500000	80.970	-108.5501
32.000000	81.082	-109.7370
32.500000	81.136	-111.0831
33.000000	81.154	-112.4897
33.500000	81.167	-113.8895
34.000000	81.204	-115.2325
34.500000	81.279	-116.4959
35.000000	81.388	-117.6864
35.500000	81.509	-118.8200
36.000000	81.615	-119.8918
36.500000	81.694	-120.8757
37.000000	81.749	-121.7593
37.500000	81.795	-122.5829
38.200001	81.864	-123.8012
38.700001	81.912	-124.7969
39.500000	81.950	-126.4694
40.000000	81.946	-127.3827
40.599998	81.933	-128.2312
41.200001	81.944	-128.8834
41.799999	82.000	-129.5432
42.500000	82.109	-130.5743
43.099998	82.204	-131.7369
43.700001	82.268	-133.0359
44.400002	82.286	-134.5169
45.000000	82.256	-135.6472
45.500000	82.210	-136.4633
46.200001	82.141	-137.3946
46.799999	82.112	-138.0092
47.500000	82.139	-138.5867
48.200001	82.224	-139.0815
48.700001	82.306	-139.4172
49.400002	82.426	-139.9773
50.000000	82.512	-140.6830
50.799999	82.578	-142.0193
51.500000	82.594	-143.4097
52.200001	82.587	-144.7922
53.000000	82.556	-146.1224
53.799999	82.513	-147.0477
54.500000	82.489	-147.6582
55.200001	82.487	-148.3176
56.000000	82.490	-149.2163
57.000000	82.480	-150.3463
58.000000	82.464	-151.3974
59.000000	82.461	-152.5747
60.000000	82.460	-153.7996
60.799999	82.454	-154.5414
61.500000	82.450	-154.9760
62.200001	82.451	-155.3465
63.000000	82.451	-155.8648
64.000000	82.435	-156.7009
