* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), no input selected, R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26-Oct-2023 16:02:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT EA1000 Stock R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.791	-73.3566
20.600000	77.822	-74.1326
20.900000	77.896	-75.7305
21.200001	77.976	-77.3442
21.400000	78.038	-78.3134
21.799999	78.201	-79.9842
22.000000	78.310	-80.7137
22.400000	78.583	-82.0993
22.700001	78.814	-83.1669
23.000000	79.040	-84.2931
23.299999	79.242	-85.4444
23.600000	79.412	-86.5766
24.000000	79.586	-88.0079
24.299999	79.684	-89.0312
24.700001	79.783	-90.3960
25.000000	79.836	-91.4696
25.400000	79.880	-92.9774
25.799999	79.898	-94.4850
26.200001	79.902	-95.8592
26.500000	79.912	-96.7565
26.900000	79.951	-97.7989
27.200001	80.006	-98.5293
27.600000	80.111	-99.5297
28.000000	80.238	-100.6160
28.500000	80.406	-102.0504
29.000000	80.572	-103.4362
29.500000	80.727	-104.6994
30.000000	80.855	-105.8653
30.400000	80.927	-106.7696
30.700001	80.962	-107.4496
31.100000	80.989	-108.3872
31.500000	81.005	-109.3991
32.000000	81.027	-110.8202
32.500000	81.065	-112.3826
33.000000	81.119	-113.8962
33.500000	81.192	-115.1292
34.000000	81.296	-115.9914
34.500000	81.429	-116.6595
35.000000	81.574	-117.4419
35.500000	81.691	-118.5613
36.000000	81.753	-119.9707
36.500000	81.764	-121.4223
37.000000	81.754	-122.6532
37.500000	81.762	-123.5807
38.200001	81.830	-124.5908
38.700001	81.902	-125.3346
39.500000	81.988	-126.7497
40.000000	82.013	-127.6910
40.599998	82.030	-128.7437
41.200001	82.064	-129.6555
41.799999	82.125	-130.4884
42.500000	82.206	-131.4928
43.099998	82.248	-132.3940
43.700001	82.255	-133.2458
44.400002	82.243	-134.1591
45.000000	82.241	-134.9958
45.500000	82.245	-135.7982
46.200001	82.245	-136.9744
46.799999	82.240	-137.8197
47.500000	82.257	-138.4909
48.200001	82.323	-139.0277
48.700001	82.388	-139.5201
49.400002	82.468	-140.4925
50.000000	82.502	-141.5090
50.799999	82.502	-142.8744
51.500000	82.491	-143.9630
52.200001	82.488	-144.9782
53.000000	82.486	-146.0736
53.799999	82.468	-147.0397
54.500000	82.437	-147.7324
55.200001	82.407	-148.3182
56.000000	82.388	-148.9907
57.000000	82.379	-149.9763
58.000000	82.371	-150.9914
59.000000	82.373	-151.8873
60.000000	82.390	-152.7521
60.799999	82.403	-153.5443
61.500000	82.406	-154.3553
62.200001	82.398	-155.2368
63.000000	82.378	-156.2009
64.000000	82.355	-157.1654
65.000000	82.347	-157.9053
66.000000	82.341	-158.6171
67.000000	82.327	-159.3637
68.000000	82.313	-160.1039
69.000000	82.305	-160.8502
70.000000	82.293	-161.6275
71.000000	82.271	-162.4357
72.000000	82.243	-163.2602
73.000000	82.211	-164.0644
74.000000	82.176	-164.8028
75.000000	82.140	-165.4278
76.199997	82.109	-166.0415
77.500000	82.096	-166.6993
78.800003	82.084	-167.4818
80.000000	82.050	-168.2529
81.199997	82.005	-168.9332
82.500000	81.970	-169.5539
83.800003	81.948	-170.1281
85.000000	81.921	-170.6637
86.199997	81.891	-171.2707
87.500000	81.861	-172.0215
88.500000	81.835	-172.5830
90.000000	81.776	-173.2620
91.199997	81.720	-173.6915
92.500000	81.672	-174.1736
93.800003	81.634	-174.7565
95.000000	81.594	-175.3718
96.199997	81.547	-175.9704
97.500000	81.493	-176.4868
98.800003	81.443	-176.8602
100.000000	81.401	-177.1760
101.500000	81.345	-177.6436
103.000000	81.280	-178.1724
104.400002	81.222	-178.6545
106.000000	81.176	-179.1714
107.500000	81.144	-179.6914
109.000000	81.106	179.7576
110.599998	81.057	179.2448
112.000000	81.017	178.8837
113.800003	80.980	178.4497
115.000000	80.951	178.1484
117.199997	80.855	177.5657
118.000000	80.814	177.3494
120.599998	80.700	176.7162
122.000000	80.655	176.4358
124.099998	80.585	176.1001
125.000000	80.552	175.9772
126.500000	80.494	175.7769
128.000000	80.436	175.5695
131.500000	80.308	175.1054
132.000000	80.287	175.0403
134.000000	80.199	174.7236
136.000000	80.114	174.3145
138.000000	80.038	173.9463
140.000000	79.974	173.7405
143.000000	79.887	173.5421
145.000000	79.808	173.3025
147.500000	79.682	173.0016
150.000000	79.559	172.9179
152.500000	79.457	173.0171
155.000000	79.364	173.2381
157.500000	79.292	173.5909
160.000000	79.240	173.9821
162.500000	79.197	174.3119
165.000000	79.159	174.5654
167.500000	79.120	174.7756
170.000000	79.074	174.9836
172.500000	79.026	175.2284
175.000000	78.997	175.5247
177.500000	78.992	175.7764
180.000000	79.005	175.9140
182.500000	79.031	175.9670
185.000000	79.065	175.9195
187.500000	79.100	175.7166
190.000000	79.122	175.3525
192.500000	79.125	174.8734
195.000000	79.114	174.3685
197.500000	79.092	173.9081
200.000000	79.060	173.4904
203.000000	79.003	173.0370
206.000000	78.933	172.6746
209.000000	78.859	172.4008
212.000000	78.787	172.1458
214.000000	78.743	171.9674
218.000000	78.664	171.6953
220.000000	78.626	171.6376
224.000000	78.549	171.6179
227.000000	78.496	171.6154
230.000000	78.448	171.6084
233.000000	78.398	171.6206
236.000000	78.345	171.6674
240.000000	78.274	171.7652
243.000000	78.214	171.8110
247.000000	78.126	171.7946
250.000000	78.065	171.7601
254.000000	78.000	171.7618
258.000000	77.954	171.8508
262.000000	77.915	172.0117
265.000000	77.881	172.1564
269.000000	77.827	172.3440
272.000000	77.784	172.4855
276.000000	77.721	172.7042
280.000000	77.649	172.9406
285.000000	77.555	173.1835
290.000000	77.472	173.3760
295.000000	77.404	173.5855
300.000000	77.344	173.8496
304.000000	77.288	174.1069
307.000000	77.239	174.3527
311.000000	77.175	174.7636
315.000000	77.118	175.2070
320.000000	77.064	175.6797
325.000000	77.029	176.0148
330.000000	77.007	176.2477
335.000000	76.987	176.4545
340.000000	76.968	176.7791
345.000000	76.954	177.2136
350.000000	76.948	177.6183
355.000000	76.948	177.9229
360.000000	76.940	178.1437
365.000000	76.912	178.3125
370.000000	76.870	178.4242
375.000000	76.827	178.4798
382.000000	76.780	178.6289
387.000000	76.750	178.8777
395.000000	76.700	179.3630
400.000000	76.671	179.6279
406.000000	76.641	179.9136
412.000000	76.606	-179.7936
418.000000	76.557	-179.4695
425.000000	76.500	-179.0425
431.000000	76.463	-178.6308
437.000000	76.433	-178.1700
444.000000	76.405	-177.6259
450.000000	76.386	-177.2221
455.000000	76.369	-176.9244
462.000000	76.332	-176.5125
468.000000	76.294	-176.1315
475.000000	76.263	-175.6717
482.000000	76.253	-175.2662
487.000000	76.250	-175.0118
494.000000	76.241	-174.6317
500.000000	76.229	-174.2371
508.000000	76.208	-173.6410
515.000000	76.187	-173.1096
522.000000	76.163	-172.6201
530.000000	76.129	-172.1063
538.000000	76.100	-171.5551
545.000000	76.088	-171.0539
552.000000	76.084	-170.6067
560.000000	76.082	-170.1598
570.000000	76.084	-169.5659
580.000000	76.080	-168.9196
590.000000	76.063	-168.2509
600.000000	76.052	-167.5350
608.000000	76.048	-166.8958
615.000000	76.047	-166.3086
622.000000	76.054	-165.7314
630.000000	76.070	-165.1171
640.000000	76.096	-164.4291
650.000000	76.120	-163.7722
660.000000	76.138	-163.0742
670.000000	76.145	-162.3272
680.000000	76.144	-161.6068
690.000000	76.152	-160.9805
700.000000	76.170	-160.4179
710.000000	76.183	-159.8251
720.000000	76.189	-159.1478
730.000000	76.200	-158.4295
740.000000	76.225	-157.7331
750.000000	76.259	-157.0316
762.000000	76.297	-156.1362
775.000000	76.326	-155.1605
788.000000	76.356	-154.2961
800.000000	76.400	-153.5314
812.000000	76.453	-152.7266
825.000000	76.505	-151.8118
838.000000	76.545	-150.9180
850.000000	76.585	-150.1940
862.000000	76.628	-149.5141
875.000000	76.668	-148.7056
885.000000	76.692	-147.9868
900.000000	76.740	-146.5856
912.000000	76.837	-145.1817
925.000000	77.028	-143.7766
938.000000	77.252	-142.9425
950.000000	77.419	-142.6439
962.000000	77.533	-142.5029
975.000000	77.620	-142.3181
988.000000	77.697	-142.0539
1000.000000	77.773	-141.7411
1015.000000	77.880	-141.2652
1030.000000	77.997	-140.7356
1044.000000	78.105	-140.2510
1060.000000	78.222	-139.7467
1075.000000	78.330	-139.3068
1090.000000	78.444	-138.8741
1106.000000	78.577	-138.4165
1120.000000	78.702	-138.0553
1138.000000	78.864	-137.6424
1150.000000	78.964	-137.3507
1172.000000	79.134	-136.7800
1180.000000	79.196	-136.5909
1206.000000	79.401	-136.0750
1220.000000	79.510	-135.8378
1241.000000	79.661	-135.5245
1250.000000	79.722	-135.4158
1265.000000	79.821	-135.2751
1280.000000	79.917	-135.1530
1315.000000	80.126	-134.7045
1320.000000	80.155	-134.6201
1340.000000	80.274	-134.2601
1360.000000	80.401	-133.9052
1380.000000	80.530	-133.5849
1400.000000	80.653	-133.2897
1430.000000	80.831	-132.8975
1450.000000	80.948	-132.6643
1475.000000	81.090	-132.3339
1500.000000	81.227	-131.9185
1525.000000	81.372	-131.4874
1550.000000	81.529	-131.1101
1575.000000	81.689	-130.8060
1600.000000	81.853	-130.5867
1625.000000	82.026	-130.3910
1650.000000	82.202	-130.1512
1675.000000	82.383	-129.8670
1700.000000	82.571	-129.5886
1725.000000	82.764	-129.3748
1750.000000	82.958	-129.2197
1775.000000	83.149	-129.1003
1800.000000	83.338	-129.0219
1825.000000	83.527	-128.9601
1850.000000	83.720	-128.9185
1875.000000	83.919	-128.9286
1900.000000	84.125	-128.9897
1925.000000	84.335	-129.0889
1950.000000	84.547	-129.2309
1975.000000	84.755	-129.4371
2000.000000	84.961	-129.6983
2030.000000	85.205	-130.0568
2060.000000	85.450	-130.4901
2090.000000	85.693	-131.0309
2120.000000	85.930	-131.6906
2140.000000	86.083	-132.1961
2180.000000	86.377	-133.3332
2200.000000	86.518	-133.9451
2240.000000	86.790	-135.2484
2270.000000	86.982	-136.3154
2300.000000	87.162	-137.4597
2330.000000	87.330	-138.6572
2360.000000	87.483	-139.8933
2400.000000	87.665	-141.6078
2430.000000	87.786	-142.9398
2470.000000	87.927	-144.7464
2500.000000	88.014	-146.1023
2540.000000	88.105	-147.8855
2580.000000	88.168	-149.6180
2620.000000	88.209	-151.3015
2650.000000	88.226	-152.5387
2690.000000	88.235	-154.1417
2720.000000	88.232	-155.3010
2760.000000	88.216	-156.7918
2800.000000	88.183	-158.2059
2850.000000	88.124	-159.8268
2900.000000	88.050	-161.2822
2950.000000	87.963	-162.5929
3000.000000	87.866	-163.7465
3040.000000	87.786	-164.5696
3070.000000	87.724	-165.1455
3110.000000	87.639	-165.8577
3150.000000	87.552	-166.4934
3200.000000	87.442	-167.1767
3250.000000	87.333	-167.7587
3300.000000	87.228	-168.2342
3350.000000	87.132	-168.6036
3400.000000	87.045	-168.9036
3450.000000	86.965	-169.1445
3500.000000	86.893	-169.3245
3550.000000	86.828	-169.4427
3600.000000	86.774	-169.5083
3650.000000	86.727	-169.5426
3700.000000	86.686	-169.5532
3750.000000	86.654	-169.5432
3820.000000	86.622	-169.5076
3870.000000	86.610	-169.4972
3950.000000	86.608	-169.5215
4000.000000	86.617	-169.5532
4060.000000	86.634	-169.6503
4120.000000	86.657	-169.8445
4180.000000	86.686	-170.1308
4250.000000	86.729	-170.5797
4310.000000	86.768	-171.0667
4370.000000	86.802	-171.6380
4440.000000	86.830	-172.4157
4500.000000	86.841	-173.1846
4550.000000	86.839	-173.8878
4620.000000	86.823	-174.9520
4680.000000	86.796	-175.9235
4750.000000	86.751	-177.1051
4820.000000	86.689	-178.3168
4870.000000	86.634	-179.1853
4940.000000	86.541	179.6070
5000.000000	86.445	178.5856
5080.000000	86.290	177.2701
5150.000000	86.130	176.1775
5220.000000	85.948	175.1541
5300.000000	85.720	174.1092
5380.000000	85.472	173.2201
5450.000000	85.242	172.5773
5520.000000	85.000	172.0706
5600.000000	84.711	171.6590
5700.000000	84.339	171.3832
5800.000000	83.966	171.4198
5900.000000	83.601	171.8335
6000.000000	83.273	172.5987
6080.000000	83.060	173.3153
6150.000000	82.906	173.8843
6220.000000	82.761	174.3976
6300.000000	82.595	175.0374
6400.000000	82.393	176.0531
6500.000000	82.214	177.2900
6600.000000	82.072	178.6556
6700.000000	81.975	-179.9348
6800.000000	81.926	-178.5397
6900.000000	81.927	-177.1875
7000.000000	81.976	-175.9120
7100.000000	82.073	-174.7763
7200.000000	82.217	-173.8359
7300.000000	82.403	-173.1625
7400.000000	82.625	-172.8508
7500.000000	82.872	-172.9676
7620.000000	83.179	-173.7201
7750.000000	83.483	-175.3371
7880.000000	83.725	-177.8254
8000.000000	83.866	179.1415
8120.000000	83.900	175.4749
8250.000000	83.786	171.0041
8380.000000	83.499	166.4138
8500.000000	83.085	162.4464
8620.000000	82.537	158.9988
8750.000000	81.814	156.0620
8850.000000	81.191	154.4440
9000.000000	80.194	153.0730
9120.000000	79.363	152.9222
9250.000000	78.448	153.7471
9380.000000	77.552	155.5140
9500.000000	76.781	157.8354
9620.000000	76.091	160.6862
9750.000000	75.447	164.2199
9880.000000	74.914	168.0869
10000.000000	74.513	171.9066
10150.000000	74.120	176.9118
10300.000000	73.846	-178.0657
10440.000000	73.691	-173.4538
10600.000000	73.633	-168.2742
10750.000000	73.700	-163.5271
10900.000000	73.882	-158.8404
11060.000000	74.207	-153.9453
11200.000000	74.621	-149.8943
11380.000000	75.366	-145.2437
11500.000000	76.015	-142.6183
11720.000000	77.536	-139.2856
11800.000000	78.178	-138.7539
12060.000000	80.378	-141.1179
12200.000000	81.460	-145.9565
12410.000000	82.604	-158.4954
12500.000000	82.840	-165.3956
12650.000000	82.840	-177.6386
12800.000000	82.359	170.8828
13150.000000	79.940	153.4606
13200.000000	79.518	152.0808
13400.000000	77.802	148.4773
13600.000000	76.136	146.9708
13800.000000	74.560	146.9008
14000.000000	73.060	148.1820
14300.000000	70.961	153.0027
14500.000000	69.768	157.9659
