* Measurement data measured by REW V5.30.4
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 15-Jan-2024 15:34:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Simgot EA500 LM Blue
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.764	-100.6226
20.600000	75.832	-101.2997
20.900000	75.917	-102.1361
21.200001	76.005	-103.0186
21.400000	76.064	-103.6122
21.799999	76.181	-104.7976
22.000000	76.238	-105.3875
22.400000	76.351	-106.5590
22.700001	76.434	-107.4283
23.000000	76.515	-108.2880
23.299999	76.594	-109.1370
23.600000	76.670	-109.9747
24.000000	76.767	-111.0726
24.299999	76.836	-111.8807
24.700001	76.923	-112.9365
25.000000	76.985	-113.7126
25.400000	77.063	-114.7293
25.799999	77.138	-115.7297
26.200001	77.209	-116.7181
26.500000	77.260	-117.4525
26.900000	77.325	-118.4210
27.200001	77.373	-119.1371
27.600000	77.434	-120.0741
28.000000	77.492	-120.9871
28.500000	77.560	-122.0915
29.000000	77.624	-123.1566
29.500000	77.682	-124.1893
30.000000	77.736	-125.1993
30.400000	77.777	-125.9966
30.700001	77.806	-126.5895
31.100000	77.844	-127.3728
31.500000	77.880	-128.1454
32.000000	77.924	-129.0911
32.500000	77.965	-130.0093
33.000000	78.005	-130.8979
33.500000	78.042	-131.7580
34.000000	78.077	-132.5934
34.500000	78.109	-133.4087
35.000000	78.138	-134.2067
35.500000	78.165	-134.9873
36.000000	78.191	-135.7487
36.500000	78.215	-136.4900
37.000000	78.239	-137.2129
37.500000	78.260	-137.9196
38.200001	78.287	-138.8820
38.700001	78.302	-139.5478
39.500000	78.323	-140.5749
40.000000	78.336	-141.1977
40.599998	78.350	-141.9311
41.200001	78.364	-142.6496
41.799999	78.378	-143.3502
42.500000	78.393	-144.1429
43.099998	78.406	-144.8038
43.700001	78.417	-145.4505
44.400002	78.425	-146.1853
45.000000	78.430	-146.7946
45.500000	78.433	-147.2885
46.200001	78.437	-147.9657
46.799999	78.439	-148.5367
47.500000	78.438	-149.1870
48.200001	78.434	-149.8134
48.700001	78.431	-150.2467
49.400002	78.425	-150.8379
50.000000	78.418	-151.3331
50.799999	78.407	-151.9803
51.500000	78.396	-152.5366
52.200001	78.382	-153.0800
53.000000	78.363	-153.6776
53.799999	78.344	-154.2488
54.500000	78.326	-154.7314
55.200001	78.308	-155.2018
56.000000	78.286	-155.7279
57.000000	78.257	-156.3715
58.000000	78.226	-156.9951
59.000000	78.192	-157.5939
60.000000	78.157	-158.1693
60.799999	78.128	-158.6111
61.500000	78.102	-158.9828
62.200001	78.074	-159.3416
63.000000	78.043	-159.7368
64.000000	78.003	-160.2077
65.000000	77.962	-160.6508
66.000000	77.921	-161.0631
67.000000	77.879	-161.4432
68.000000	77.837	-161.7966
69.000000	77.796	-162.1308
70.000000	77.755	-162.4488
71.000000	77.713	-162.7493
72.000000	77.669	-163.0297
73.000000	77.625	-163.2877
74.000000	77.580	-163.5237
75.000000	77.533	-163.7422
76.199997	77.476	-163.9877
77.500000	77.414	-164.2296
78.800003	77.352	-164.4361
