* Measurement data measured by REW V5.30.2
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jan-2024 11:51:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Simgot EA500 LM Gold L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.545	-100.4336
20.600000	75.614	-101.0474
20.900000	75.697	-101.8336
21.200001	75.780	-102.7040
21.400000	75.834	-103.3137
21.799999	75.940	-104.5787
22.000000	75.995	-105.2231
22.400000	76.107	-106.5066
22.700001	76.196	-107.4428
23.000000	76.287	-108.3418
23.299999	76.378	-109.1971
23.600000	76.465	-110.0089
24.000000	76.570	-111.0338
24.299999	76.637	-111.7725
24.700001	76.714	-112.7420
25.000000	76.762	-113.4751
25.400000	76.821	-114.4821
25.799999	76.878	-115.5343
26.200001	76.937	-116.6249
26.500000	76.985	-117.4529
26.900000	77.052	-118.5428
27.200001	77.104	-119.3328
27.600000	77.173	-120.3353
28.000000	77.240	-121.2805
28.500000	77.317	-122.4038
29.000000	77.383	-123.4962
29.500000	77.439	-124.5800
30.000000	77.489	-125.6574
30.400000	77.528	-126.5096
30.700001	77.558	-127.1403
31.100000	77.597	-127.9673
31.500000	77.637	-128.7765
32.000000	77.683	-129.7607
32.500000	77.725	-130.7137
33.000000	77.762	-131.6382
33.500000	77.795	-132.5392
34.000000	77.826	-133.4226
34.500000	77.855	-134.2914
35.000000	77.883	-135.1448
35.500000	77.908	-135.9784
36.000000	77.932	-136.7882
36.500000	77.956	-137.5748
37.000000	77.978	-138.3432
37.500000	78.000	-139.0977
38.200001	78.027	-140.1276
38.700001	78.043	-140.8402
39.500000	78.066	-141.9462
40.000000	78.079	-142.6244
40.599998	78.092	-143.4267
41.200001	78.105	-144.2106
41.799999	78.118	-144.9736
42.500000	78.132	-145.8432
43.099998	78.141	-146.5734
43.700001	78.148	-147.2867
44.400002	78.153	-148.0948
45.000000	78.156	-148.7703
45.500000	78.158	-149.3254
46.200001	78.160	-150.0957
46.799999	78.159	-150.7531
47.500000	78.157	-151.5216
48.200001	78.153	-152.2899
48.700001	78.148	-152.8274
49.400002	78.139	-153.5417
50.000000	78.128	-154.1110
50.799999	78.112	-154.8318
51.500000	78.096	-155.4563
52.200001	78.078	-156.0840
53.000000	78.057	-156.7933
53.799999	78.036	-157.4792
54.500000	78.017	-158.0565
55.200001	77.997	-158.6194
56.000000	77.971	-159.2554
57.000000	77.937	-160.0364
58.000000	77.903	-160.7873
59.000000	77.868	-161.5067
60.000000	77.831	-162.1981
60.799999	77.801	-162.7338
61.500000	77.773	-163.1903
62.200001	77.745	-163.6346
63.000000	77.712	-164.1262
64.000000	77.670	-164.7152
65.000000	77.628	-165.2760
66.000000	77.584	-165.8101
67.000000	77.540	-166.3208
68.000000	77.495	-166.8188
69.000000	77.451	-167.3088
70.000000	77.406	-167.7817
71.000000	77.360	-168.2286
72.000000	77.312	-168.6474
73.000000	77.263	-169.0444
74.000000	77.214	-169.4289
75.000000	77.164	-169.8035
76.199997	77.105	-170.2334
77.500000	77.038	-170.6740
78.800003	76.971	-171.0972
80.000000	76.909	-171.4734
81.199997	76.848	-171.8325
82.500000	76.785	-172.1962
83.800003	76.720	-172.5366
85.000000	76.661	-172.8436
86.199997	76.602	-173.1451
87.500000	76.540	-173.4500
88.500000	76.493	-173.6647
90.000000	76.423	-173.9738
91.199997	76.368	-174.2216
92.500000	76.308	-174.4847
93.800003	76.249	-174.7361
95.000000	76.194	-174.9583
96.199997	76.140	-175.1688
97.500000	76.081	-175.3804
98.800003	76.021	-175.5757
100.000000	75.967	-175.7432
101.500000	75.899	-175.9408
103.000000	75.834	-176.1340
104.400002	75.775	-176.3061
106.000000	75.707	-176.4863
107.500000	75.645	-176.6472
109.000000	75.584	-176.8056
110.599998	75.520	-176.9681
112.000000	75.464	-177.1029
113.800003	75.392	-177.2587
115.000000	75.343	-177.3481
117.199997	75.252	-177.4896
118.000000	75.219	-177.5363
120.599998	75.111	-177.6718
122.000000	75.054	-177.7390
124.099998	74.969	-177.8411
125.000000	74.934	-177.8835
126.500000	74.876	-177.9489
128.000000	74.817	-178.0089
131.500000	74.678	-178.1262
132.000000	74.658	-178.1382
134.000000	74.577	-178.1710
136.000000	74.493	-178.1839
138.000000	74.409	-178.1841
140.000000	74.327	-178.1797
143.000000	74.206	-178.1678
145.000000	74.126	-178.1358
147.500000	74.025	-178.0452
150.000000	73.921	-177.8976
152.500000	73.815	-177.7036
155.000000	73.709	-177.4511
157.500000	73.603	-177.1207
