* Measurement data measured by REW V5.30
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Dec-2023 12:14:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Simgot EA500LM L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.763	-110.1805
20.600000	75.824	-110.9032
20.900000	75.900	-111.8034
21.200001	75.979	-112.7611
21.400000	76.032	-113.4083
21.799999	76.136	-114.7028
22.000000	76.187	-115.3451
22.400000	76.286	-116.6107
22.700001	76.358	-117.5374
23.000000	76.427	-118.4426
23.299999	76.492	-119.3272
23.600000	76.556	-120.1950
24.000000	76.636	-121.3346
24.299999	76.693	-122.1814
24.700001	76.766	-123.3037
25.000000	76.818	-124.1393
25.400000	76.884	-125.2404
25.799999	76.948	-126.3207
26.200001	77.009	-127.3761
26.500000	77.053	-128.1509
26.900000	77.110	-129.1630
27.200001	77.150	-129.9076
27.600000	77.201	-130.8827
28.000000	77.248	-131.8387
28.500000	77.304	-133.0096
29.000000	77.356	-134.1572
29.500000	77.405	-135.2850
30.000000	77.451	-136.3931
30.400000	77.485	-137.2639
30.700001	77.510	-137.9070
31.100000	77.540	-138.7508
31.500000	77.569	-139.5797
32.000000	77.603	-140.5968
32.500000	77.635	-141.5936
33.000000	77.664	-142.5683
33.500000	77.691	-143.5185
34.000000	77.716	-144.4438
34.500000	77.738	-145.3471
35.000000	77.759	-146.2321
35.500000	77.777	-147.1010
36.000000	77.793	-147.9543
36.500000	77.808	-148.7919
37.000000	77.822	-149.6149
37.500000	77.835	-150.4243
38.200001	77.852	-151.5346
38.700001	77.862	-152.3094
39.500000	77.875	-153.5145
40.000000	77.881	-154.2465
40.599998	77.888	-155.1045
41.200001	77.892	-155.9418
