* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -27.5 dBFS, measurement signal peak level -25.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13-Sep-2023 13:05:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Simgot EM6L R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.779	-100.7583
20.299999	75.898	-101.8460
20.600000	76.013	-102.8992
20.900000	76.121	-103.9225
21.200001	76.222	-104.9175
21.400000	76.285	-105.5656
21.799999	76.400	-106.8288
22.000000	76.453	-107.4466
22.400000	76.551	-108.6614
22.700001	76.620	-109.5580
23.000000	76.685	-110.4437
23.299999	76.748	-111.3191
23.600000	76.810	-112.1870
24.000000	76.892	-113.3411
24.299999	76.953	-114.2128
24.700001	77.035	-115.3900
25.000000	77.095	-116.2809
25.400000	77.173	-117.4656
25.799999	77.250	-118.6255
26.200001	77.326	-119.7447
26.500000	77.383	-120.5546
26.900000	77.461	-121.5977
27.200001	77.520	-122.3560
27.600000	77.598	-123.3394
28.000000	77.674	-124.2947
28.500000	77.762	-125.4526
29.000000	77.840	-126.5708
29.500000	77.907	-127.6468
30.000000	77.964	-128.6817
30.400000	78.004	-129.4876
30.700001	78.030	-130.0848
31.100000	78.063	-130.8787
31.500000	78.091	-131.6745
32.000000	78.124	-132.6739
32.500000	78.153	-133.6777
33.000000	78.181	-134.6835
33.500000	78.208	-135.6870
34.000000	78.234	-136.6812
34.500000	78.259	-137.6590
35.000000	78.285	-138.6153
35.500000	78.311	-139.5468
36.000000	78.337	-140.4506
36.500000	78.362	-141.3245
37.000000	78.386	-142.1674
37.500000	78.406	-142.9801
38.200001	78.430	-144.0726
38.700001	78.442	-144.8270
39.500000	78.457	-146.0042
40.000000	78.463	-146.7254
40.599998	78.468	-147.5767
41.200001	78.473	-148.4125
41.799999	78.479	-149.2338
42.500000	78.485	-150.1714
43.099998	78.488	-150.9508
43.700001	78.490	-151.7047
44.400002	78.493	-152.5577
45.000000	78.495	-153.2719
45.500000	78.494	-153.8552
46.200001	78.492	-154.6520
46.799999	78.490	-155.3192
47.500000	78.488	-156.0851
48.200001	78.488	-156.8362
48.700001	78.489	-157.3600
49.400002	78.490	-158.0731
50.000000	78.486	-158.6662
50.799999	78.471	-159.4323
51.500000	78.452	-160.0813
52.200001	78.430	-160.7133
53.000000	78.406	-161.4187
53.799999	78.382	-162.1078
54.500000	78.362	-162.6978
55.200001	78.340	-163.2767
56.000000	78.315	-163.9265
57.000000	78.282	-164.7174
58.000000	78.247	-165.4780
59.000000	78.213	-166.2164
60.000000	78.178	-166.9393
60.799999	78.146	-167.4980
61.500000	78.118	-167.9678
62.200001	78.088	-168.4201
63.000000	78.054	-168.9174
64.000000	78.012	-169.5140
65.000000	77.971	-170.0908
66.000000	77.931	-170.6534
67.000000	77.890	-171.1998
68.000000	77.847	-171.7279
69.000000	77.802	-172.2402
70.000000	77.753	-172.7403
71.000000	77.702	-173.2266
72.000000	77.650	-173.6910
73.000000	77.599	-174.1282
74.000000	77.550	-174.5429
75.000000	77.500	-174.9433
76.199997	77.438	-175.4052
77.500000	77.369	-175.8712
78.800003	77.300	-176.2968
80.000000	77.239	-176.6626
81.199997	77.181	-177.0115
82.500000	77.120	-177.3745
83.800003	77.061	-177.7161
85.000000	77.007	-178.0061
86.199997	76.952	-178.2681
87.500000	76.892	-178.5189
88.500000	76.846	-178.6888
90.000000	76.779	-178.9123
91.199997	76.727	-179.0731
92.500000	76.671	-179.2373
93.800003	76.613	-179.3921
95.000000	76.559	-179.5244
96.199997	76.503	-179.6465
97.500000	76.443	-179.7664
98.800003	76.384	-179.8737
100.000000	76.333	-179.9636
101.500000	76.273	179.9326
103.000000	76.218	179.8364
104.400002	76.167	179.7545
106.000000	76.107	179.6710
107.500000	76.050	179.6039
109.000000	75.993	179.5493
110.599998	75.932	179.5029
112.000000	75.878	179.4701
113.800003	75.810	179.4386
115.000000	75.764	179.4246
117.199997	75.679	179.4128
118.000000	75.648	179.4122
120.599998	75.549	179.4205
122.000000	75.498	179.4314
124.099998	75.426	179.4560
125.000000	75.397	179.4691
126.500000	75.348	179.4935
128.000000	75.298	179.5220
131.500000	75.180	179.6200
132.000000	75.163	179.6389
134.000000	75.094	179.7267
136.000000	75.026	179.8292
138.000000	74.957	179.9350
