* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.300. Timing signal peak level -24.9 dBFS, measurement signal peak level -24.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 30-Jan-2023 14:49:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Air3 Deluxe HS L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	66.382	-58.8003
20.600000	66.453	-58.9616
20.900000	66.624	-59.2964
21.200001	66.804	-59.6444
21.400000	66.919	-59.8678
21.799999	67.138	-60.3104
22.000000	67.241	-60.5464
22.400000	67.435	-61.0988
22.700001	67.572	-61.6211
23.000000	67.703	-62.2607
23.299999	67.829	-63.0185
23.600000	67.953	-63.8776
24.000000	68.120	-65.1325
24.299999	68.250	-66.1060
24.700001	68.434	-67.3859
25.000000	68.581	-68.3003
25.400000	68.783	-69.4388
25.799999	68.987	-70.4865
26.200001	69.184	-71.4600
26.500000	69.324	-72.1547
26.900000	69.499	-73.0509
27.200001	69.622	-73.7139
27.600000	69.780	-74.6044
28.000000	69.935	-75.5213
28.500000	70.129	-76.7170
29.000000	70.321	-77.9437
29.500000	70.506	-79.1472
30.000000	70.683	-80.2778
30.400000	70.819	-81.1261
30.700001	70.919	-81.7418
31.100000	71.049	-82.5593
31.500000	71.175	-83.3909
32.000000	71.327	-84.4542
32.500000	71.477	-85.5136
33.000000	71.627	-86.5233
33.500000	71.778	-87.4601
34.000000	71.930	-88.3316
34.500000	72.075	-89.1656
35.000000	72.210	-89.9874
35.500000	72.334	-90.8115
36.000000	72.454	-91.6416
36.500000	72.577	-92.4777
37.000000	72.707	-93.3191
37.500000	72.843	-94.1609
38.200001	73.036	-95.3156
38.700001	73.166	-96.1027
39.500000	73.357	-97.2810
40.000000	73.467	-97.9791
40.599998	73.597	-98.7978
41.200001	73.731	-99.6120
41.799999	73.869	-100.4333
42.500000	74.029	-101.4099
43.099998	74.159	-102.2606
43.700001	74.280	-103.1135
44.400002	74.412	-104.1039
45.000000	74.521	-104.9511
45.500000	74.611	-105.6578
46.200001	74.733	-106.6450
46.799999	74.833	-107.4930
47.500000	74.944	-108.5103
48.200001	75.050	-109.5760
48.700001	75.120	-110.3508
49.400002	75.216	-111.4070
50.000000	75.299	-112.2626
50.799999	75.414	-113.3572
51.500000	75.520	-114.3209
52.200001	75.625	-115.3113
53.000000	75.740	-116.4503
53.799999	75.847	-117.5496
54.500000	75.934	-118.4742
55.200001	76.015	-119.3961
56.000000	76.104	-120.4801
57.000000	76.213	-121.8721
58.000000	76.321	-123.2616
59.000000	76.424	-124.6237
60.000000	76.522	-125.9600
60.799999	76.596	-127.0159
61.500000	76.660	-127.9314
62.200001	76.722	-128.8400
63.000000	76.791	-129.8754
64.000000	76.877	-131.1751
65.000000	76.958	-132.4712
66.000000	77.033	-133.7311
67.000000	77.099	-134.9391
68.000000	77.156	-136.1053
69.000000	77.206	-137.2512
70.000000	77.255	-138.4080
71.000000	77.307	-139.5969
