* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -30.5 dBFS, measurement signal peak level -30.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 12:54:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Air3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	51.977	150.4679
20.299999	52.059	152.4543
20.600000	52.073	154.0801
20.900000	52.032	155.3514
21.200001	51.951	156.2291
21.400000	51.882	156.5594
21.799999	51.727	156.5382
22.000000	51.651	156.1498
22.400000	51.522	154.5590
22.700001	51.457	152.6641
23.000000	51.427	150.2643
23.299999	51.439	147.5670
23.600000	51.507	144.8081
24.000000	51.719	141.3751
24.299999	51.988	139.1185
24.700001	52.488	136.4664
25.000000	52.921	134.6031
25.400000	53.491	132.1785
25.799999	53.964	129.9950
26.200001	54.310	128.4936
26.500000	54.507	128.0627
26.900000	54.740	128.4841
27.200001	54.930	129.3708
27.600000	55.227	130.8818
28.000000	55.548	132.2439
28.500000	55.907	133.3017
29.000000	56.157	133.7247
29.500000	56.306	133.8267
30.000000	56.403	133.7413
30.400000	56.471	133.4668
30.700001	56.520	133.0942
31.100000	56.583	132.3735
31.500000	56.645	131.4612
32.000000	56.732	130.2037
32.500000	56.849	128.9532
33.000000	57.010	127.7643
33.500000	57.212	126.6443
34.000000	57.439	125.6189
34.500000	57.678	124.7234
35.000000	57.917	123.9687
35.500000	58.145	123.3386
36.000000	58.355	122.8125
36.500000	58.544	122.3743
37.000000	58.711	122.0029
37.500000	58.858	121.6712
38.200001	59.041	121.2180
38.700001	59.163	120.8694
39.500000	59.356	120.2144
40.000000	59.481	119.7224
40.599998	59.639	119.0365
41.200001	59.797	118.2665
41.799999	59.951	117.4796
42.500000	60.127	116.6490
43.099998	60.280	116.0427
43.700001	60.441	115.4829
44.400002	60.630	114.8129
45.000000	60.784	114.2095
45.500000	60.903	113.7073
46.200001	61.060	113.0352
46.799999	61.190	112.4930
47.500000	61.339	111.8951
48.200001	61.486	111.3599
48.700001	61.592	111.0382
49.400002	61.743	110.6687
50.000000	61.874	110.3837
50.799999	62.039	109.9819
51.500000	62.169	109.6031
52.200001	62.288	109.2263
53.000000	62.419	108.8226
53.799999	62.555	108.4593
54.500000	62.684	108.1694
55.200001	62.826	107.8768
56.000000	62.998	107.5096
57.000000	63.212	107.0538
58.000000	63.421	106.7030
59.000000	63.629	106.4437
60.000000	63.832	106.1959
60.799999	63.986	105.9512
61.500000	64.112	105.6839
62.200001	64.228	105.3796
63.000000	64.354	105.0109
64.000000	64.510	104.5205
65.000000	64.669	103.9744
66.000000	64.826	103.3792
67.000000	64.976	102.7739
68.000000	65.121	102.1890
69.000000	65.260	101.6221
70.000000	65.397	101.0554
71.000000	65.535	100.4811
72.000000	65.676	99.8958
73.000000	65.820	99.2896
74.000000	65.964	98.6681
75.000000	66.104	98.0517
76.199997	66.267	97.3228
77.500000	66.438	96.5351
78.800003	66.601	95.7543
80.000000	66.748	95.0445
81.199997	66.895	94.3336
82.500000	67.052	93.5468
83.800003	67.209	92.7415
85.000000	67.350	91.9889
86.199997	67.489	91.2336
87.500000	67.636	90.4196
88.500000	67.747	89.8046
90.000000	67.907	88.9160
91.199997	68.032	88.2371
92.500000	68.165	87.5201
93.800003	68.293	86.8021
95.000000	68.407	86.1302
96.199997	68.516	85.4502
97.500000	68.628	84.7093
98.800003	68.736	83.9723
100.000000	68.834	83.3013
101.500000	68.955	82.4824
103.000000	69.077	81.6858
104.400002	69.188	80.9539
106.000000	69.310	80.1240
107.500000	69.419	79.3537
109.000000	69.522	78.5923
110.599998	69.628	77.7827
112.000000	69.718	77.0721
113.800003	69.829	76.1653
115.000000	69.900	75.5703
117.199997	70.024	74.5016
118.000000	70.067	74.1187
120.599998	70.199	72.8742
122.000000	70.265	72.1976
124.099998	70.358	71.1780
125.000000	70.397	70.7415
126.500000	70.459	70.0209
128.000000	70.519	69.3166
131.500000	70.650	67.7418
132.000000	70.667	67.5209
134.000000	70.735	66.6353
136.000000	70.796	65.7461
138.000000	70.849	64.8690
140.000000	70.895	64.0240
