* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -32.0 dBFS, measurement signal peak level -32.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 12:54:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Air3 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	52.975	146.3589
20.299999	53.017	149.2766
20.600000	53.024	151.6953
20.900000	52.986	153.4058
21.200001	52.878	154.2671
21.400000	52.752	154.4049
21.799999	52.359	153.9008
22.000000	52.102	153.4172
22.400000	51.519	152.2900
22.700001	51.108	151.3474
23.000000	50.813	150.1805
23.299999	50.691	148.5770
23.600000	50.747	146.4349
24.000000	51.055	142.8024
24.299999	51.400	139.7639
24.700001	51.943	135.7957
25.000000	52.378	133.2201
25.400000	52.971	130.6042
25.799999	53.565	128.9872
26.200001	54.143	128.2023
26.500000	54.554	127.9825
26.900000	55.050	127.9729
27.200001	55.369	128.0789
27.600000	55.714	128.3251
28.000000	55.973	128.7003
28.500000	56.204	129.3080
29.000000	56.373	129.8292
29.500000	56.495	129.9490
30.000000	56.569	129.4993
30.400000	56.598	128.7656
30.700001	56.612	128.0422
31.100000	56.635	126.8896
31.500000	56.679	125.5405
32.000000	56.774	123.6123
32.500000	56.909	121.5354
33.000000	57.075	119.5447
33.500000	57.272	117.8589
34.000000	57.509	116.5643
34.500000	57.779	115.5710
35.000000	58.059	114.7363
35.500000	58.314	113.9930
36.000000	58.528	113.3826
36.500000	58.706	112.9519
37.000000	58.863	112.6598
37.500000	59.008	112.3914
38.200001	59.194	111.8484
38.700001	59.313	111.2799
39.500000	59.484	110.1017
40.000000	59.586	109.2675
40.599998	59.717	108.2401
41.200001	59.864	107.2146
41.799999	60.025	106.1895
42.500000	60.216	105.0297
43.099998	60.372	104.1475
43.700001	60.525	103.4139
44.400002	60.708	102.6883
45.000000	60.865	102.0814
45.500000	60.990	101.5505
46.200001	61.150	100.7955
46.799999	61.281	100.1750
47.500000	61.438	99.4741
48.200001	61.606	98.7490
48.700001	61.728	98.2042
49.400002	61.896	97.4205
50.000000	62.032	96.7460
50.799999	62.199	95.8509
51.500000	62.333	95.0695
52.200001	62.463	94.2789
53.000000	62.607	93.3457
53.799999	62.745	92.4026
54.500000	62.865	91.6133
55.200001	62.990	90.8683
56.000000	63.142	90.0502
57.000000	63.342	89.0499
58.000000	63.541	88.0341
59.000000	63.725	86.9997
60.000000	63.897	85.9603
60.799999	64.031	85.0754
61.500000	64.142	84.2516
62.200001	64.248	83.4167
63.000000	64.371	82.4916
64.000000	64.537	81.3783
65.000000	64.711	80.2793
66.000000	64.878	79.2367
67.000000	65.033	78.3145
68.000000	65.176	77.4975
69.000000	65.309	76.7307
70.000000	65.435	75.9678
71.000000	65.559	75.1733
72.000000	65.683	74.3458
73.000000	65.812	73.5137
74.000000	65.946	72.6974
75.000000	66.085	71.9017
76.199997	66.253	70.9791
77.500000	66.430	70.0316
78.800003	66.606	69.1178
80.000000	66.764	68.2543
81.199997	66.915	67.3381
82.500000	67.067	66.2825
83.800003	67.207	65.1810
85.000000	67.330	64.1494
86.199997	67.450	63.1093
87.500000	67.581	61.9686
88.500000	67.681	61.0801
90.000000	67.829	59.7339
91.199997	67.944	58.6533
92.500000	68.066	57.4747
93.800003	68.186	56.2731
95.000000	68.293	55.1430
96.199997	68.397	54.0037
97.500000	68.507	52.7715
98.800003	68.614	51.5468
100.000000	68.712	50.4227
101.500000	68.833	49.0235
103.000000	68.951	47.6230
104.400002	69.058	46.3098
106.000000	69.175	44.8015
107.500000	69.280	43.3944
109.000000	69.381	42.0105
110.599998	69.483	40.5546
112.000000	69.567	39.2885
113.800003	69.665	37.6721
115.000000	69.728	36.5988
117.199997	69.842	34.6179
118.000000	69.884	33.8905
120.599998	70.018	31.5223
122.000000	70.086	30.2631
124.099998	70.181	28.4003
125.000000	70.219	27.6077
126.500000	70.281	26.2903
128.000000	70.341	24.9786
131.500000	70.474	21.9780
132.000000	70.492	21.5568
134.000000	70.557	19.8876
136.000000	70.612	18.2410
138.000000	70.661	16.6044
140.000000	70.707	14.9664
143.000000	70.775	12.5224
145.000000	70.817	10.9249
147.500000	70.860	8.9717
150.000000	70.893	7.0401
152.500000	70.919	5.0943
155.000000	70.938	3.1522
157.500000	70.951	1.2435
160.000000	70.960	-0.6295
162.500000	70.964	-2.4745
165.000000	70.962	-4.2924
167.500000	70.954	-6.0781
170.000000	70.941	-7.8285
172.500000	70.925	-9.5388
175.000000	70.905	-11.1996
177.500000	70.878	-12.8120
180.000000	70.841	-14.3894
182.500000	70.791	-15.9393
185.000000	70.726	-17.4574
187.500000	70.647	-18.9411
190.000000	70.561	-20.3926
192.500000	70.477	-21.8058
195.000000	70.402	-23.1713
197.500000	70.336	-24.4905
200.000000	70.280	-25.7726
203.000000	70.226	-27.2763
206.000000	70.185	-28.7463
209.000000	70.152	-30.1700
212.000000	70.116	-31.5372
214.000000	70.087	-32.4216
218.000000	70.012	-34.1452
220.000000	69.969	-34.9794
224.000000	69.882	-36.5659
227.000000	69.819	-37.6981
230.000000	69.762	-38.8114
233.000000	69.712	-39.9098
236.000000	69.668	-40.9755
240.000000	69.613	-42.3304
243.000000	69.576	-43.3101
247.000000	69.535	-44.5946
250.000000	69.513	-45.5542
254.000000	69.494	-46.8295
258.000000	69.484	-48.0970
262.000000	69.481	-49.3774
265.000000	69.483	-50.3593
269.000000	69.490	-51.6975
272.000000	69.499	-52.7196
276.000000	69.518	-54.1021
280.000000	69.543	-55.5094
285.000000	69.581	-57.3176
290.000000	69.621	-59.1691
295.000000	69.656	-61.0480
300.000000	69.685	-62.9321
304.000000	69.708	-64.4433
307.000000	69.725	-65.5897
311.000000	69.744	-67.1392
315.000000	69.760	-68.7075
320.000000	69.776	-70.6884
325.000000	69.786	-72.6870
330.000000	69.790	-74.7015
335.000000	69.787	-76.7383
340.000000	69.781	-78.7935
345.000000	69.772	-80.8397
350.000000	69.755	-82.8596
355.000000	69.731	-84.8577
360.000000	69.701	-86.8355
365.000000	69.667	-88.7843
370.000000	69.626	-90.7023
375.000000	69.578	-92.5921
382.000000	69.498	-95.1754
387.000000	69.437	-96.9690
395.000000	69.337	-99.7357
400.000000	69.273	-101.3892
406.000000	69.195	-103.2948
412.000000	69.112	-105.1212
418.000000	69.028	-106.8685
425.000000	68.936	-108.8115
431.000000	68.866	-110.3969
437.000000	68.807	-111.9067
444.000000	68.751	-113.5906
450.000000	68.713	-114.9852
455.000000	68.684	-116.1229
462.000000	68.648	-117.6930
468.000000	68.621	-119.0225
475.000000	68.594	-120.5425
482.000000	68.574	-122.0233
487.000000	68.565	-123.0623
494.000000	68.560	-124.4886
500.000000	68.567	-125.6804
508.000000	68.593	-127.2415
515.000000	68.626	-128.6061
522.000000	68.666	-129.9845
530.000000	68.721	-131.5952
538.000000	68.784	-133.2634
545.000000	68.845	-134.7705
552.000000	68.912	-136.3176
560.000000	68.996	-138.1438
570.000000	69.106	-140.5226
580.000000	69.217	-142.9830
590.000000	69.326	-145.4949
600.000000	69.435	-148.0662
608.000000	69.521	-150.1855
615.000000	69.594	-152.0825
622.000000	69.666	-154.0096
630.000000	69.748	-156.2494
640.000000	69.848	-159.1113
650.000000	69.943	-162.0384
660.000000	70.035	-165.0309
670.000000	70.127	-168.1037
680.000000	70.216	-171.2739
690.000000	70.298	-174.5480
700.000000	70.373	-177.9410
710.000000	70.437	178.5292
720.000000	70.489	174.8724
730.000000	70.531	171.1245
740.000000	70.569	167.3290
750.000000	70.606	163.5231
762.000000	70.648	158.9772
775.000000	70.686	154.0931
788.000000	70.717	149.2373
800.000000	70.741	144.7361
812.000000	70.756	140.1835
825.000000	70.760	135.1805
838.000000	70.754	130.0980
850.000000	70.744	125.3448
862.000000	70.732	120.5538
875.000000	70.714	115.3416
885.000000	70.694	111.3276
900.000000	70.656	105.3207
912.000000	70.622	100.5430
925.000000	70.584	95.4086
938.000000	70.545	90.3188
950.000000	70.504	85.6503
962.000000	70.460	81.0004
975.000000	70.412	75.9786
988.000000	70.367	70.9703
1000.000000	70.325	66.3600
1015.000000	70.270	60.6120
1030.000000	70.213	54.8865
1044.000000	70.164	49.5729
1060.000000	70.115	43.5253
1075.000000	70.071	37.8680
1090.000000	70.028	32.2239
1106.000000	69.983	26.2166
1120.000000	69.949	20.9644
1138.000000	69.911	14.1949
1150.000000	69.886	9.6476
1172.000000	69.844	1.2042
1180.000000	69.829	-1.8965
1206.000000	69.784	-12.0225
1220.000000	69.768	-17.4753
1241.000000	69.763	-25.6455
1250.000000	69.767	-29.1490
1265.000000	69.778	-34.9982
1280.000000	69.794	-40.8728
1315.000000	69.809	-54.8468
1320.000000	69.803	-56.8867
1340.000000	69.739	-65.1463
1360.000000	69.615	-73.5065
1380.000000	69.451	-81.8652
1400.000000	69.270	-90.1363
1430.000000	68.997	-102.3606
1450.000000	68.828	-110.4586
1475.000000	68.627	-120.5936
1500.000000	68.426	-130.7696
1525.000000	68.217	-140.9404
1550.000000	67.995	-150.9784
1575.000000	67.758	-160.7956
1600.000000	67.505	-170.4372
1625.000000	67.235	-179.9971
1650.000000	66.951	170.4859
1675.000000	66.654	161.0382
1700.000000	66.348	151.7306
1725.000000	66.041	142.6296
1750.000000	65.740	133.7921
1775.000000	65.451	125.2156
1800.000000	65.172	116.8279
1825.000000	64.905	108.5685
1850.000000	64.661	100.4095
1875.000000	64.448	92.3317
1900.000000	64.265	84.3039
1925.000000	64.108	76.2948
1950.000000	63.979	68.2850
1975.000000	63.878	60.2778
2000.000000	63.803	52.3451
2030.000000	63.743	43.1627
2060.000000	63.734	34.6655
2090.000000	63.785	26.9835
2120.000000	63.878	19.9317
2140.000000	63.950	15.4121
2180.000000	64.110	6.4328
2200.000000	64.197	1.8814
2240.000000	64.380	-7.4242
2270.000000	64.521	-14.6132
2300.000000	64.664	-22.0284
2330.000000	64.805	-29.7017
2360.000000	64.937	-37.6364
2400.000000	65.095	-48.5506
2430.000000	65.200	-56.9097
2470.000000	65.320	-68.2299
2500.000000	65.388	-76.8182
2540.000000	65.450	-88.3164
2580.000000	65.488	-99.7535
2620.000000	65.505	-111.0399
2650.000000	65.501	-119.4108
2690.000000	65.470	-130.5022
2720.000000	65.423	-138.7776
2760.000000	65.338	-149.7059
2800.000000	65.235	-160.4445
2850.000000	65.083	-173.5419
2900.000000	64.909	173.7368
2950.000000	64.713	161.3822
3000.000000	64.490	149.3342
3040.000000	64.294	139.8857
3070.000000	64.137	132.9143
3110.000000	63.916	123.7935
3150.000000	63.685	114.9125
3200.000000	63.389	104.1744
3250.000000	63.083	93.7252
3300.000000	62.757	83.3864
3350.000000	62.413	73.1110
3400.000000	62.055	62.9973
3450.000000	61.685	53.2979
3500.000000	61.311	44.3212
3550.000000	60.943	36.2576
3600.000000	60.588	29.1269
3650.000000	60.258	22.8260
3700.000000	59.964	17.1964
3750.000000	59.715	12.1074
3820.000000	59.480	5.7358
3870.000000	59.411	1.5200
3950.000000	59.487	-5.1666
4000.000000	59.659	-9.4088
4060.000000	59.994	-14.6173
4120.000000	60.454	-20.1706
4180.000000	61.014	-26.3443
4250.000000	61.764	-34.6460
4310.000000	62.459	-42.8723
4370.000000	63.178	-52.1428
4440.000000	64.014	-64.1678
4500.000000	64.710	-75.3444
4550.000000	65.268	-85.1415
4620.000000	66.003	-99.4344
4680.000000	66.572	-112.1287
4750.000000	67.151	-127.3830
4820.000000	67.631	-143.0338
4870.000000	67.920	-154.3751
4940.000000	68.264	-170.4021
5000.000000	68.508	175.7091
5080.000000	68.776	157.0106
5150.000000	68.971	140.6777
5220.000000	69.142	124.5477
5300.000000	69.318	106.3898
5380.000000	69.482	88.4756
5450.000000	69.620	73.0555
5520.000000	69.764	58.0151
5600.000000	69.939	41.3885
5700.000000	70.171	21.3746
5800.000000	70.421	1.9761
5900.000000	70.687	-17.1635
6000.000000	70.950	-36.2227
6080.000000	71.150	-51.3628
6150.000000	71.308	-64.5441
6220.000000	71.443	-77.7228
6300.000000	71.571	-92.8477
6400.000000	71.693	-111.9605
6500.000000	71.774	-131.3113
6600.000000	71.826	-150.6503
6700.000000	71.861	-169.7302
6800.000000	71.885	171.4921
6900.000000	71.906	153.0135
