* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 13:54:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Air4 Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.047	15.8986
20.600000	96.079	15.3685
20.900000	96.113	14.7167
21.200001	96.142	14.0535
21.400000	96.157	13.6326
21.799999	96.182	12.8655
22.000000	96.195	12.5157
22.400000	96.227	11.8506
22.700001	96.257	11.3470
23.000000	96.290	10.8120
23.299999	96.325	10.2349
23.600000	96.356	9.6186
24.000000	96.388	8.7619
24.299999	96.404	8.1175
24.700001	96.418	7.2857
25.000000	96.426	6.6922
25.400000	96.436	5.9399
25.799999	96.450	5.2187
26.200001	96.468	4.5108
26.500000	96.484	3.9803
26.900000	96.509	3.2677
27.200001	96.528	2.7290
27.600000	96.554	2.0085
28.000000	96.577	1.2922
28.500000	96.600	0.4134
29.000000	96.614	-0.4437
29.500000	96.624	-1.2906
30.000000	96.633	-2.1475
30.400000	96.639	-2.8480
30.700001	96.643	-3.3812
31.100000	96.648	-4.0961
31.500000	96.652	-4.8079
32.000000	96.655	-5.6835
32.500000	96.656	-6.5396
33.000000	96.653	-7.3768
33.500000	96.647	-8.1992
34.000000	96.641	-9.0152
34.500000	96.638	-9.8336
35.000000	96.635	-10.6551
35.500000	96.629	-11.4712
36.000000	96.621	-12.2734
36.500000	96.608	-13.0615
37.000000	96.592	-13.8402
37.500000	96.573	-14.6120
38.200001	96.545	-15.6871
38.700001	96.527	-16.4678
39.500000	96.497	-17.7659
40.000000	96.470	-18.5843
40.599998	96.432	-19.5238
41.200001	96.398	-20.4076
41.799999	96.376	-21.2779
42.500000	96.358	-22.3216
43.099998	96.334	-23.2144
43.700001	96.295	-24.0539
44.400002	96.237	-24.9449
45.000000	96.183	-25.6718
45.500000	96.138	-26.2915
46.200001	96.078	-27.2127
46.799999	96.028	-28.0338
47.500000	95.967	-28.9724
48.200001	95.905	-29.8551
48.700001	95.860	-30.4568
49.400002	95.795	-31.2837
50.000000	95.735	-31.9962
50.799999	95.649	-32.9523
51.500000	95.573	-33.7781
52.200001	95.501	-34.5914
53.000000	95.417	-35.5203
53.799999	95.326	-36.4420
54.500000	95.244	-37.2337
55.200001	95.164	-38.0239
56.000000	95.072	-38.9232
57.000000	94.951	-39.9823
58.000000	94.823	-40.9444
59.000000	94.692	-41.8494
60.000000	94.565	-42.7307
60.799999	94.468	-43.4337
61.500000	94.384	-44.0475
62.200001	94.298	-44.6544
63.000000	94.192	-45.3309
64.000000	94.048	-46.1346
65.000000	93.899	-46.8919
66.000000	93.754	-47.6086
67.000000	93.616	-48.2782
68.000000	93.482	-48.9134
69.000000	93.344	-49.5369
70.000000	93.199	-50.1538
71.000000	93.049	-50.7518
72.000000	92.900	-51.3053
73.000000	92.754	-51.7921
74.000000	92.610	-52.2236
75.000000	92.466	-52.6291
76.199997	92.288	-53.0936
77.500000	92.096	-53.5582
78.800003	91.909	-53.9507
80.000000	91.743	-54.2403
81.199997	91.576	-54.5130
82.500000	91.394	-54.8274
83.800003	91.214	-55.1208
85.000000	91.053	-55.3403
86.199997	90.890	-55.5083
87.500000	90.709	-55.6448
88.500000	90.569	-55.7240
90.000000	90.367	-55.8121
91.199997	90.213	-55.8357
92.500000	90.049	-55.7955
93.800003	89.888	-55.7196
95.000000	89.739	-55.6436
96.199997	89.592	-55.5607
97.500000	89.436	-55.4498
98.800003	89.282	-55.3039
100.000000	89.144	-55.1420
101.500000	88.974	-54.9142
103.000000	88.809	-54.6621
104.400002	88.663	-54.3994
106.000000	88.511	-54.0480
107.500000	88.374	-53.6686
109.000000	88.236	-53.2782
110.599998	88.092	-52.8897
112.000000	87.970	-52.5546
113.800003	87.814	-52.0765
115.000000	87.710	-51.7258
117.199997	87.521	-51.0415
118.000000	87.457	-50.7527
120.599998	87.278	-49.5979
122.000000	87.188	-48.9497
124.099998	87.055	-48.0726
125.000000	87.000	-47.7226
126.500000	86.916	-47.1519
128.000000	86.840	-46.5886
131.500000	86.689	-45.2353
132.000000	86.669	-45.0205
134.000000	86.593	-44.0985
136.000000	86.526	-43.1261
138.000000	86.470	-42.1496
140.000000	86.422	-41.2088
143.000000	86.370	-39.8817
145.000000	86.347	-39.0352
147.500000	86.339	-38.0052
150.000000	86.352	-36.9679
152.500000	86.373	-35.9591
155.000000	86.401	-35.0260
157.500000	86.439	-34.1550
160.000000	86.489	-33.3211
162.500000	86.552	-32.5620
165.000000	86.630	-31.8999
167.500000	86.719	-31.3122
170.000000	86.811	-30.7665
172.500000	86.897	-30.2437
175.000000	86.982	-29.8082
177.500000	87.075	-29.5218
180.000000	87.172	-29.3587
182.500000	87.260	-29.2725
185.000000	87.332	-29.2424
187.500000	87.388	-29.2373
190.000000	87.436	-29.2321
192.500000	87.488	-29.2535
195.000000	87.546	-29.3371
197.500000	87.614	-29.4854
200.000000	87.694	-29.6848
203.000000	87.803	-29.9731
206.000000	87.921	-30.2999
209.000000	88.040	-30.6472
212.000000	88.147	-31.0258
214.000000	88.207	-31.3055
218.000000	88.302	-31.9384
220.000000	88.339	-32.2906
224.000000	88.393	-33.0431
227.000000	88.419	-33.6188
230.000000	88.434	-34.1933
233.000000	88.439	-34.7719
236.000000	88.434	-35.3346
240.000000	88.418	-36.0310
243.000000	88.399	-36.5181
247.000000	88.358	-37.1354
