* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 16:48:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Cap3 Pro PL L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.674	168.8507
20.600000	101.695	169.5349
20.900000	101.729	170.3680
21.200001	101.775	171.2105
21.400000	101.811	171.7449
21.799999	101.896	172.7179
22.000000	101.943	173.1552
22.400000	102.045	173.9428
22.700001	102.127	174.4683
23.000000	102.214	174.9438
23.299999	102.304	175.3695
23.600000	102.397	175.7430
24.000000	102.521	176.1566
24.299999	102.613	176.4049
24.700001	102.736	176.6597
25.000000	102.828	176.7979
25.400000	102.952	176.9151
25.799999	103.076	176.9567
26.200001	103.199	176.9259
26.500000	103.287	176.8606
26.900000	103.399	176.7271
27.200001	103.477	176.5982
27.600000	103.576	176.3927
28.000000	103.670	176.1483
28.500000	103.780	175.7845
29.000000	103.884	175.3573
29.500000	103.982	174.8777
30.000000	104.072	174.3611
30.400000	104.137	173.9311
30.700001	104.182	173.6036
31.100000	104.235	173.1654
31.500000	104.283	172.7298
32.000000	104.339	172.1880
32.500000	104.394	171.6372
33.000000	104.447	171.0620
33.500000	104.497	170.4594
34.000000	104.540	169.8442
34.500000	104.577	169.2398
35.000000	104.607	168.6608
35.500000	104.634	168.1056
36.000000	104.658	167.5610
36.500000	104.679	167.0143
37.000000	104.694	166.4621
37.500000	104.704	165.9079
38.200001	104.709	165.1318
38.700001	104.709	164.5679
39.500000	104.705	163.6370
40.000000	104.698	163.0600
40.599998	104.685	162.4204
41.200001	104.671	161.8606
41.799999	104.661	161.3516
42.500000	104.651	160.7476
43.099998	104.640	160.1888
43.700001	104.624	159.6071
44.400002	104.602	158.9400
45.000000	104.584	158.4003
45.500000	104.567	157.9762
46.200001	104.540	157.4107
46.799999	104.511	156.9326
47.500000	104.475	156.3594
48.200001	104.439	155.7776
48.700001	104.416	155.3795
49.400002	104.389	154.8714
50.000000	104.368	154.4792
50.799999	104.333	153.9938
51.500000	104.293	153.5972
52.200001	104.253	153.2256
53.000000	104.215	152.8111
53.799999	104.187	152.3838
54.500000	104.168	151.9889
55.200001	104.152	151.5654
56.000000	104.133	151.0492
57.000000	104.106	150.3964
58.000000	104.082	149.7601
59.000000	104.058	149.1031
60.000000	104.035	148.3761
60.799999	104.013	147.7370
61.500000	103.991	147.1557
62.200001	103.964	146.5791
63.000000	103.927	145.9437
64.000000	103.870	145.1860
65.000000	103.806	144.4538
66.000000	103.738	143.7237
67.000000	103.668	142.9909
68.000000	103.595	142.2805
69.000000	103.522	141.6133
70.000000	103.450	140.9983
71.000000	103.376	140.4329
72.000000	103.299	139.9025
73.000000	103.219	139.3824
74.000000	103.140	138.8442
75.000000	103.062	138.2779
76.199997	102.967	137.5902
77.500000	102.858	136.9091
78.800003	102.743	136.3443
80.000000	102.641	135.9059
81.199997	102.551	135.4606
82.500000	102.460	134.9154
83.800003	102.364	134.3402
85.000000	102.271	133.8211
86.199997	102.175	133.3351
87.500000	102.072	132.8524
88.500000	101.995	132.4946
90.000000	101.885	131.9595
91.199997	101.797	131.5540
92.500000	101.699	131.1355
93.800003	101.595	130.7047
95.000000	101.495	130.2895
96.199997	101.398	129.8759
97.500000	101.298	129.4444
98.800003	101.205	129.0289
100.000000	101.124	128.6667
101.500000	101.021	128.2629
103.000000	100.911	127.9045
104.400002	100.804	127.5600
106.000000	100.677	127.1018
107.500000	100.554	126.6337
109.000000	100.430	126.1908
110.599998	100.303	125.7775
112.000000	100.194	125.4573
113.800003	100.050	125.0632
115.000000	99.954	124.7888
117.199997	99.777	124.2701
118.000000	99.712	124.0910
120.599998	99.502	123.5940
122.000000	99.392	123.3832
124.099998	99.230	123.0790
125.000000	99.160	122.9253
126.500000	99.042	122.6301
128.000000	98.921	122.3222
131.500000	98.627	121.8090
132.000000	98.583	121.7623
134.000000	98.405	121.5982
136.000000	98.225	121.4396
138.000000	98.047	121.2925
140.000000	97.868	121.1703
143.000000	97.605	121.0584
145.000000	97.436	121.0385
147.500000	97.232	121.0672
150.000000	97.035	121.1555
152.500000	96.839	121.2600
155.000000	96.639	121.3661
157.500000	96.443	121.5110
160.000000	96.254	121.7230
162.500000	96.061	122.0023
165.000000	95.861	122.3020
167.500000	95.665	122.6321
170.000000	95.481	123.0244
172.500000	95.311	123.4711
175.000000	95.152	123.9556
177.500000	94.994	124.4748
180.000000	94.830	125.0098
182.500000	94.658	125.5451
185.000000	94.477	126.1155
187.500000	94.291	126.7522
190.000000	94.109	127.4442
192.500000	93.941	128.1688
195.000000	93.793	128.9110
197.500000	93.666	129.6690
200.000000	93.554	130.4429
203.000000	93.441	131.3857
206.000000	93.356	132.3285
209.000000	93.291	133.2561
212.000000	93.234	134.1650
214.000000	93.192	134.7556
218.000000	93.099	135.9191
220.000000	93.052	136.5036
224.000000	92.961	137.7028
227.000000	92.898	138.6375
230.000000	92.837	139.5885
233.000000	92.782	140.5258
236.000000	92.735	141.4326
240.000000	92.678	142.5881
243.000000	92.635	143.4134
247.000000	92.580	144.5108
250.000000	92.543	145.3759
254.000000	92.508	146.5894
258.000000	92.492	147.8377
262.000000	92.496	149.0639
265.000000	92.517	149.9308
269.000000	92.564	150.9841
272.000000	92.609	151.6947
276.000000	92.673	152.5394
280.000000	92.737	153.2585
285.000000	92.813	154.0029
290.000000	92.883	154.6844
295.000000	92.949	155.3699
300.000000	93.023	156.0176
304.000000	93.085	156.4798
307.000000	93.130	156.7949
311.000000	93.186	157.1771
315.000000	93.240	157.5053
320.000000	93.304	157.8415
325.000000	93.363	158.1615
330.000000	93.420	158.5022
335.000000	93.482	158.8418
340.000000	93.553	159.1386
345.000000	93.623	159.3372
350.000000	93.680	159.4473
355.000000	93.722	159.5161
360.000000	93.764	159.5529
365.000000	93.812	159.5444
370.000000	93.863	159.4886
375.000000	93.911	159.4220
382.000000	93.974	159.3700
387.000000	94.017	159.3521
395.000000	94.076	159.2729
400.000000	94.102	159.1809
406.000000	94.126	159.0752
412.000000	94.142	159.0044
418.000000	94.152	158.9535
425.000000	94.160	158.8462
431.000000	94.165	158.6624
437.000000	94.166	158.4621
444.000000	94.159	158.3199
450.000000	94.148	158.2380
455.000000	94.138	158.1530
462.000000	94.128	158.0448
468.000000	94.121	158.0099
475.000000	94.113	158.0415
482.000000	94.103	158.1329
487.000000	94.093	158.2090
494.000000	94.077	158.2700
500.000000	94.070	158.2729
508.000000	94.069	158.2941
515.000000	94.064	158.3504
522.000000	94.056	158.4325
530.000000	94.045	158.5849
538.000000	94.028	158.7863
545.000000	94.009	158.9504
552.000000	93.990	159.0719
560.000000	93.975	159.1795
570.000000	93.965	159.3498
580.000000	93.962	159.6061
590.000000	93.963	159.8864
600.000000	93.966	160.1587
608.000000	93.968	160.3900
615.000000	93.968	160.6309
622.000000	93.969	160.9114
630.000000	93.972	161.2638
640.000000	93.985	161.6957
650.000000	94.009	162.0627
660.000000	94.046	162.4067
670.000000	94.092	162.7812
680.000000	94.145	163.1652
690.000000	94.201	163.4953
700.000000	94.258	163.7661
710.000000	94.318	164.0154
720.000000	94.380	164.2583
730.000000	94.445	164.4794
740.000000	94.509	164.6781
750.000000	94.571	164.8727
762.000000	94.643	165.0613
775.000000	94.725	165.1794
788.000000	94.815	165.2853
800.000000	94.898	165.4353
812.000000	94.976	165.6145
825.000000	95.058	165.7743
838.000000	95.143	165.8768
850.000000	95.223	165.9431
862.000000	95.304	165.9831
875.000000	95.397	165.9729
885.000000	95.471	165.9361
900.000000	95.582	165.8772
912.000000	95.671	165.8532
925.000000	95.770	165.8450
938.000000	95.872	165.7980
950.000000	95.964	165.6915
962.000000	96.052	165.5483
975.000000	96.143	165.3757
988.000000	96.236	165.1771
1000.000000	96.324	164.9560
1015.000000	96.434	164.6366
1030.000000	96.542	164.2718
1044.000000	96.641	163.8901
1060.000000	96.753	163.4289
1075.000000	96.854	162.9920
1090.000000	96.949	162.5442
1106.000000	97.043	162.0075
1120.000000	97.126	161.4914
1138.000000	97.239	160.8382
1150.000000	97.315	160.4270
1172.000000	97.445	159.6812
1180.000000	97.488	159.4074
1206.000000	97.625	158.5337
1220.000000	97.701	158.0797
1241.000000	97.825	157.3871
1250.000000	97.882	157.0850
1265.000000	97.984	156.5793
1280.000000	98.089	156.0783
1315.000000	98.305	154.9652
1320.000000	98.327	154.8129
1340.000000	98.389	154.2289
1360.000000	98.402	153.7065
1380.000000	98.383	153.2512
1400.000000	98.355	152.8344
1430.000000	98.340	152.2283
1450.000000	98.360	151.8172
1475.000000	98.417	151.3065
1500.000000	98.511	150.8007
1525.000000	98.627	150.3055
1550.000000	98.754	149.7751
1575.000000	98.882	149.2314
1600.000000	99.014	148.7308
1625.000000	99.151	148.2278
1650.000000	99.287	147.7333
1675.000000	99.420	147.2482
1700.000000	99.557	146.7216
1725.000000	99.696	146.1410
1750.000000	99.835	145.5405
1775.000000	99.970	144.9424
1800.000000	100.103	144.3376
1825.000000	100.239	143.7161
1850.000000	100.380	143.0708
1875.000000	100.526	142.3943
1900.000000	100.674	141.6955
1925.000000	100.820	140.9795
1950.000000	100.965	140.2362
1975.000000	101.110	139.4568
2000.000000	101.256	138.6411
2030.000000	101.434	137.6344
2060.000000	101.611	136.6104
2090.000000	101.781	135.5586
2120.000000	101.947	134.4745
2140.000000	102.060	133.7393
2180.000000	102.295	132.2352
2200.000000	102.412	131.4402
2240.000000	102.639	129.7573
2270.000000	102.801	128.4645
2300.000000	102.961	127.1609
2330.000000	103.125	125.8235
2360.000000	103.292	124.4383
2400.000000	103.514	122.5355
2430.000000	103.675	121.0613
2470.000000	103.876	119.0290
2500.000000	104.018	117.4580
2540.000000	104.198	115.3041
2580.000000	104.370	113.0966
2620.000000	104.530	110.8373
2650.000000	104.641	109.1118
2690.000000	104.774	106.7899
2720.000000	104.863	105.0449
2760.000000	104.971	102.7029
2800.000000	105.068	100.3447
2850.000000	105.176	97.4036
2900.000000	105.267	94.4741
2950.000000	105.336	91.5607
3000.000000	105.380	88.6626
3040.000000	105.402	86.3752
3070.000000	105.410	84.6780
3110.000000	105.411	82.4425
3150.000000	105.405	80.2453
3200.000000	105.384	77.5846
3250.000000	105.348	75.0364
3300.000000	105.299	72.5855
3350.000000	105.239	70.2328
3400.000000	105.168	67.9721
3450.000000	105.085	65.8035
3500.000000	104.989	63.7371
3550.000000	104.884	61.7787
3600.000000	104.777	59.9378
3650.000000	104.678	58.2160
3700.000000	104.589	56.5866
3750.000000	104.514	55.0283
3820.000000	104.437	52.9814
3870.000000	104.401	51.6336
3950.000000	104.359	49.6456
4000.000000	104.334	48.4873
4060.000000	104.305	47.1491
4120.000000	104.278	45.8408
4180.000000	104.248	44.5444
4250.000000	104.214	43.0289
4310.000000	104.196	41.7083
4370.000000	104.195	40.3406
4440.000000	104.224	38.6507
4500.000000	104.275	37.1023
4550.000000	104.334	35.7250
4620.000000	104.436	33.6369
4680.000000	104.532	31.6801
4750.000000	104.640	29.1871
4820.000000	104.733	26.4549
4870.000000	104.781	24.3460
4940.000000	104.814	21.1630
5000.000000	104.804	18.2383
5080.000000	104.720	14.1473
5150.000000	104.564	10.4930
5220.000000	104.317	6.8881
5300.000000	103.922	3.0230
5380.000000	103.410	-0.3456
5450.000000	102.886	-2.7257
5520.000000	102.317	-4.4498
5600.000000	101.648	-5.5176
5700.000000	100.838	-5.5074
5800.000000	100.127	-4.1673
5900.000000	99.579	-1.8019
6000.000000	99.228	1.1729
6080.000000	99.083	3.7165
6150.000000	99.043	5.9269
6220.000000	99.073	8.0471
6300.000000	99.182	10.2716
6400.000000	99.420	12.6429
6500.000000	99.758	14.4750
6600.000000	100.184	15.6988
6700.000000	100.684	16.2493
6800.000000	101.241	16.0622
6900.000000	101.831	15.0658
7000.000000	102.437	13.1777
7100.000000	103.034	10.3447
7200.000000	103.591	6.5603
7300.000000	104.074	1.9037
7400.000000	104.448	-3.4614
7500.000000	104.684	-9.3501
7620.000000	104.744	-16.7624
7750.000000	104.486	-24.5338
7880.000000	103.892	-31.2727
8000.000000	103.097	-36.1068
8120.000000	102.147	-39.4415
8250.000000	101.041	-41.4586
8380.000000	99.952	-42.0777
8500.000000	99.029	-41.6848
8620.000000	98.214	-40.6125
8750.000000	97.458	-38.9036
8850.000000	96.953	-37.3023
9000.000000	96.298	-34.5374
9120.000000	95.846	-32.0824
9250.000000	95.420	-29.2677
9380.000000	95.055	-26.3486
9500.000000	94.771	-23.5700
9620.000000	94.539	-20.7264
9750.000000	94.345	-17.6075
9880.000000	94.205	-14.4672
10000.000000	94.121	-11.5496
10150.000000	94.075	-7.8953
10300.000000	94.084	-4.2606
10440.000000	94.133	-0.9253
10600.000000	94.236	2.7859
10750.000000	94.379	6.1529
10900.000000	94.565	9.3965
11060.000000	94.805	12.7234
11200.000000	95.041	15.5637
11380.000000	95.374	19.2216
11500.000000	95.619	21.7228
11720.000000	96.152	26.5543
11800.000000	96.385	28.4158
12060.000000	97.368	34.8702
12200.000000	98.088	38.4388
12410.000000	99.490	43.2947
12500.000000	100.215	44.9227
12650.000000	101.567	46.5513
12800.000000	103.033	46.2770
13150.000000	106.198	35.7156
13200.000000	106.540	33.0513
13400.000000	107.433	20.2670
13600.000000	107.439	6.1621
13800.000000	106.628	-6.2574
14000.000000	105.326	-15.0231
14300.000000	103.331	-21.2911
14500.000000	102.358	-22.8335
14750.000000	101.529	-24.3773
15000.000000	100.794	-26.4612
15250.000000	99.870	-28.2769
15500.000000	98.704	-28.5301
15750.000000	97.439	-26.6362
16000.000000	96.301	-22.6179
16250.000000	95.553	-17.2341
16500.000000	95.291	-11.7436
16750.000000	95.445	-7.1188
17000.000000	95.862	-4.2921
17250.000000	96.320	-3.8630
17500.000000	96.582	-5.5680
17750.000000	96.496	-7.6470
18000.000000	96.215	-6.3496
18250.000000	96.328	0.6061
18500.000000	96.970	7.3609
18750.000000	97.556	9.9722
19000.000000	97.870	8.4298
19250.000000	97.986	3.3633
19500.000000	97.989	-2.1281
19750.000000	97.904	-6.3011
20000.000000	97.814	-8.5623
