* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16-Oct-2023 17:33:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Clear L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.511	84.3648
20.600000	76.556	83.1984
20.900000	76.665	80.7083
21.200001	76.783	77.8996
21.400000	76.860	75.9656
21.799999	77.001	72.0436
22.000000	77.064	70.0958
22.400000	77.175	66.2749
22.700001	77.254	63.4996
23.000000	77.338	60.7949
23.299999	77.429	58.1159
23.600000	77.525	55.4149
24.000000	77.654	51.7213
24.299999	77.741	48.8740
24.700001	77.839	45.0206
25.000000	77.901	42.1396
25.400000	77.978	38.3597
25.799999	78.063	34.6440
26.200001	78.162	30.9317
26.500000	78.238	28.1188
26.900000	78.328	24.3435
27.200001	78.377	21.5487
27.600000	78.416	17.9702
28.000000	78.436	14.6344
28.500000	78.464	10.7265
29.000000	78.518	6.7791
29.500000	78.588	2.4784
30.000000	78.640	-2.1943
30.400000	78.659	-6.0120
30.700001	78.663	-8.8106
31.100000	78.669	-12.3784
31.500000	78.686	-15.7746
32.000000	78.722	-19.9029
32.500000	78.760	-24.0359
33.000000	78.784	-28.2085
33.500000	78.799	-32.3873
34.000000	78.818	-36.5618
34.500000	78.844	-40.7401
35.000000	78.865	-44.8844
35.500000	78.872	-48.9063
36.000000	78.871	-52.7598
36.500000	78.874	-56.5024
37.000000	78.884	-60.2526
37.500000	78.894	-64.0760
38.200001	78.887	-69.4986
38.700001	78.868	-73.3539
39.500000	78.832	-79.4978
40.000000	78.815	-83.3636
40.599998	78.810	-88.0344
41.200001	78.825	-92.7256
41.799999	78.847	-97.4239
42.500000	78.846	-102.8420
43.099998	78.810	-107.3323
43.700001	78.757	-111.6681
44.400002	78.705	-116.6646
45.000000	78.677	-121.0202
45.500000	78.657	-124.7202
46.200001	78.622	-129.9418
46.799999	78.580	-134.3707
47.500000	78.523	-139.3977
48.200001	78.468	-144.2589
48.700001	78.431	-147.6645
49.400002	78.375	-152.4034
50.000000	78.316	-156.4641
50.799999	78.228	-161.8813
51.500000	78.155	-166.6381
52.200001	78.086	-171.4178
53.000000	78.001	-176.8783
53.799999	77.913	177.6763
54.500000	77.844	172.8892
55.200001	77.786	168.0707
56.000000	77.716	162.6110
57.000000	77.609	156.0699
58.000000	77.509	149.8705
59.000000	77.436	143.7415
60.000000	77.365	137.5053
60.799999	77.294	132.4402
61.500000	77.222	127.9644
62.200001	77.141	123.4955
63.000000	77.038	118.4846
64.000000	76.902	112.3730
65.000000	76.759	106.2621
66.000000	76.617	100.0859
67.000000	76.488	93.9357
68.000000	76.373	87.9130
69.000000	76.260	82.0905
70.000000	76.139	76.4616
71.000000	76.008	70.9278
72.000000	75.874	65.3773
73.000000	75.751	59.7531
74.000000	75.636	54.0500
75.000000	75.516	48.2736
76.199997	75.353	41.2646
77.500000	75.168	33.7471
78.800003	75.006	26.5189
80.000000	74.868	20.0529
81.199997	74.716	13.6365
82.500000	74.545	6.6074
83.800003	74.378	-0.4731
85.000000	74.209	-6.8430
86.199997	74.016	-12.9760
87.500000	73.794	-19.4818
88.500000	73.628	-24.4437
90.000000	73.408	-31.8491
91.199997	73.275	-37.7794
92.500000	73.172	-44.1926
93.800003	73.083	-50.5240
95.000000	72.986	-56.2656
96.199997	72.858	-61.8732
97.500000	72.680	-67.7472
98.800003	72.484	-73.5044
100.000000	72.316	-78.8984
101.500000	72.134	-85.8137
103.000000	71.960	-92.7330
104.400002	71.796	-99.0271
106.000000	71.617	-105.9800
107.500000	71.474	-112.4396
109.000000	71.355	-119.0021
110.599998	71.235	-126.1217
112.000000	71.114	-132.3984
113.800003	70.934	-140.3264
115.000000	70.822	-145.4388
117.199997	70.662	-154.6230
118.000000	70.614	-157.9592
120.599998	70.498	-168.7722
122.000000	70.454	-174.5251
124.099998	70.361	176.8687
125.000000	70.306	173.1857
126.500000	70.208	167.0978
128.000000	70.125	161.0907
131.500000	69.983	147.0366
132.000000	69.966	144.9941
134.000000	69.923	136.7958
136.000000	69.914	128.6577
138.000000	69.909	120.5180
140.000000	69.891	112.3120
143.000000	69.830	100.1188
145.000000	69.793	92.2595
147.500000	69.790	82.6064
150.000000	69.807	72.7883
152.500000	69.811	62.8090
155.000000	69.799	52.7610
157.500000	69.785	42.5987
160.000000	69.794	32.3145
162.500000	69.817	22.0765
165.000000	69.850	12.0399
167.500000	69.898	2.0592
170.000000	69.956	-7.9464
172.500000	70.013	-18.0410
175.000000	70.059	-28.2267
177.500000	70.079	-38.3606
180.000000	70.073	-48.3162
182.500000	70.055	-58.1661
185.000000	70.024	-68.1498
187.500000	69.973	-78.3495
190.000000	69.913	-88.5837
192.500000	69.858	-98.6608
195.000000	69.821	-108.5522
197.500000	69.800	-118.3187
200.000000	69.793	-128.0398
