* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -42.5 dBFS, measurement signal peak level -40.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 10-May-2023 23:19:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Engine4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.765	36.6890
20.299999	63.585	36.4092
20.600000	63.480	35.8210
20.900000	63.457	35.0217
21.200001	63.521	34.1147
21.400000	63.610	33.4960
21.799999	63.884	32.3074
22.000000	64.058	31.7894
22.400000	64.458	31.0185
22.700001	64.789	30.7445
23.000000	65.136	30.7544
23.299999	65.492	31.0035
23.600000	65.843	31.4296
24.000000	66.282	32.1843
24.299999	66.577	32.8565
24.700001	66.915	33.8958
25.000000	67.132	34.7813
25.400000	67.380	36.0583
25.799999	67.591	37.3304
26.200001	67.767	38.4625
26.500000	67.875	39.1595
26.900000	67.986	39.8477
27.200001	68.047	40.1738
27.600000	68.102	40.3582
28.000000	68.135	40.2751
28.500000	68.165	39.8433
29.000000	68.206	39.1054
29.500000	68.279	38.1017
30.000000	68.391	36.8832
30.400000	68.505	35.8165
30.700001	68.602	35.0054
31.100000	68.743	33.9682
31.500000	68.892	33.0316
32.000000	69.086	32.0535
32.500000	69.283	31.2995
33.000000	69.473	30.7224
33.500000	69.646	30.2472
34.000000	69.790	29.8116
34.500000	69.895	29.3946
35.000000	69.965	28.9919
35.500000	70.007	28.5791
36.000000	70.030	28.1163
36.500000	70.039	27.5782
37.000000	70.044	26.9636
37.500000	70.050	26.2798
38.200001	70.074	25.2117
38.700001	70.106	24.3758
39.500000	70.181	22.9488
40.000000	70.236	22.0284
40.599998	70.298	20.9387
41.200001	70.350	19.9295
41.799999	70.391	19.0454
42.500000	70.430	18.1491
43.099998	70.452	17.4281
43.700001	70.462	16.7116
44.400002	70.455	15.8914
45.000000	70.441	15.2150
45.500000	70.429	14.6580
46.200001	70.413	13.8616
46.799999	70.402	13.1612
47.500000	70.390	12.3477
48.200001	70.383	11.5554
48.700001	70.379	11.0017
49.400002	70.370	10.2390
50.000000	70.354	9.5981
50.799999	70.316	8.7751
51.500000	70.273	8.0964
52.200001	70.233	7.4459
53.000000	70.198	6.6932
53.799999	70.171	5.9037
54.500000	70.147	5.2128
55.200001	70.123	4.5561
56.000000	70.095	3.8361
57.000000	70.046	2.9360
58.000000	69.968	2.0839
59.000000	69.869	1.3441
60.000000	69.764	0.6747
60.799999	69.681	0.1584
61.500000	69.610	-0.2718
62.200001	69.544	-0.6780
63.000000	69.475	-1.1248
64.000000	69.393	-1.6603
65.000000	69.313	-2.1517
66.000000	69.234	-2.6264
67.000000	69.155	-3.1224
68.000000	69.073	-3.6396
69.000000	68.991	-4.1786
70.000000	68.910	-4.7386
71.000000	68.827	-5.3084
72.000000	68.733	-5.8463
73.000000	68.626	-6.2781
74.000000	68.516	-6.5897
75.000000	68.411	-6.8695
76.199997	68.290	-7.2768
77.500000	68.156	-7.8016
78.800003	68.024	-8.3221
80.000000	67.907	-8.7313
81.199997	67.797	-9.0644
82.500000	67.683	-9.3644
83.800003	67.569	-9.6390
85.000000	67.462	-9.8806
86.199997	67.352	-10.1151
87.500000	67.225	-10.3528
88.500000	67.121	-10.4963
90.000000	66.964	-10.6392
91.199997	66.840	-10.7455
92.500000	66.708	-10.8846
93.800003	66.576	-11.0240
95.000000	66.457	-11.1200
96.199997	66.340	-11.1644
97.500000	66.214	-11.1576
98.800003	66.088	-11.1041
100.000000	65.973	-11.0380
101.500000	65.835	-11.0112
103.000000	65.697	-11.0795
104.400002	65.567	-11.1730
106.000000	65.423	-11.2306
107.500000	65.294	-11.1757
109.000000	65.168	-11.0175
110.599998	65.027	-10.7595
112.000000	64.895	-10.5092
113.800003	64.715	-10.2513
115.000000	64.597	-10.1379
117.199997	64.409	-10.0746
118.000000	64.347	-10.0800
120.599998	64.139	-9.8651
122.000000	64.017	-9.4811
124.099998	63.833	-8.7093
125.000000	63.756	-8.3935
126.500000	63.634	-7.9665
128.000000	63.525	-7.6875
131.500000	63.314	-7.4020
132.000000	63.282	-7.3396
134.000000	63.147	-6.8425
136.000000	63.017	-6.0298
138.000000	62.893	-5.2269
140.000000	62.759	-4.5621
143.000000	62.543	-3.6619
145.000000	62.405	-3.0240
147.500000	62.245	-2.2301
150.000000	62.097	-1.4780
152.500000	61.961	-0.7445
155.000000	61.834	-0.0279
157.500000	61.705	0.6764
160.000000	61.581	1.3927
162.500000	61.475	2.0807
165.000000	61.381	2.7301
167.500000	61.288	3.4626
170.000000	61.196	4.3567
172.500000	61.105	5.3427
175.000000	61.019	6.3084
177.500000	60.934	7.1870
180.000000	60.835	7.9917
182.500000	60.717	8.7579
185.000000	60.593	9.4988
187.500000	60.481	10.2204
190.000000	60.384	10.9416
192.500000	60.298	11.7042
195.000000	60.220	12.5227
197.500000	60.153	13.3347
200.000000	60.097	14.0818
203.000000	60.044	14.9403
206.000000	60.016	15.8418
209.000000	60.012	16.7390
212.000000	60.012	17.5525
214.000000	60.007	18.0638
218.000000	59.977	19.0978
220.000000	59.954	19.6265
224.000000	59.894	20.6749
227.000000	59.857	21.4479
230.000000	59.833	22.2100
233.000000	59.810	22.9780
236.000000	59.787	23.7704
240.000000	59.761	24.8517
243.000000	59.739	25.6438
247.000000	59.694	26.6024
250.000000	59.660	27.2518
254.000000	59.621	28.0750
258.000000	59.582	28.8828
262.000000	59.543	29.7074
265.000000	59.520	30.3024
269.000000	59.500	31.0091
272.000000	59.492	31.5190
276.000000	59.493	32.2419
280.000000	59.508	32.9947
285.000000	59.530	33.9505
290.000000	59.516	34.8298
295.000000	59.476	35.6065
300.000000	59.432	36.4278
304.000000	59.392	37.2135
307.000000	59.362	37.8733
311.000000	59.334	38.7826
315.000000	59.330	39.6664
320.000000	59.352	40.6444
325.000000	59.380	41.4655
330.000000	59.394	42.2086
335.000000	59.405	42.8632
340.000000	59.427	43.4104
345.000000	59.441	43.9348
350.000000	59.432	44.4717
355.000000	59.414	45.0124
360.000000	59.400	45.5817
365.000000	59.397	46.2425
370.000000	59.404	46.9677
375.000000	59.417	47.6031
382.000000	59.445	48.2443
387.000000	59.457	48.6714
395.000000	59.461	49.4751
400.000000	59.476	49.9206
406.000000	59.514	50.3439
412.000000	59.548	50.7373
418.000000	59.572	51.1435
425.000000	59.601	51.6287
431.000000	59.627	52.0141
437.000000	59.654	52.3955
444.000000	59.696	52.9177
450.000000	59.744	53.4227
455.000000	59.786	53.8048
462.000000	59.831	54.2028
468.000000	59.854	54.5133
475.000000	59.877	54.9781
482.000000	59.898	55.4908
487.000000	59.906	55.8098
494.000000	59.913	56.1489
500.000000	59.919	56.3711
508.000000	59.921	56.6554
515.000000	59.916	56.9519
522.000000	59.920	57.2849
530.000000	59.930	57.6374
538.000000	59.936	57.9146
545.000000	59.942	58.1307
552.000000	59.951	58.3527
560.000000	59.953	58.6149
570.000000	59.909	58.9453
