* Measurement data measured by REW V5.30.5
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 21-Jan-2024 13:05:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS GoFree 2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	52.326	177.8549
20.600000	52.684	-178.6976
20.900000	53.352	-174.5245
21.200001	54.228	-171.1489
21.400000	54.827	-169.7411
21.799999	55.853	-168.7828
22.000000	56.234	-168.9214
22.400000	56.731	-169.6454
22.700001	56.934	-170.1636
23.000000	57.070	-170.5406
23.299999	57.206	-170.8988
23.600000	57.376	-171.4529
24.000000	57.641	-172.7210
24.299999	57.832	-173.9811
24.700001	58.025	-175.6265
25.000000	58.121	-176.5057
25.400000	58.217	-176.9634
25.799999	58.332	-176.8043
26.200001	58.498	-176.6071
26.500000	58.652	-176.7696
26.900000	58.879	-177.5572
27.200001	59.066	-178.4784
27.600000	59.360	-179.8466
28.000000	59.728	178.9304
28.500000	60.281	177.8154
29.000000	60.838	177.0952
29.500000	61.277	176.6520
30.000000	61.545	176.4274
30.400000	61.659	176.3219
30.700001	61.715	176.1979
31.100000	61.785	175.8496
31.500000	61.880	175.2136
32.000000	62.058	174.0890
32.500000	62.311	172.8659
33.000000	62.639	171.7475
33.500000	63.031	170.6628
34.000000	63.453	169.4152
34.500000	63.857	167.9842
35.000000	64.218	166.6178
35.500000	64.533	165.6358
36.000000	64.815	165.1615
36.500000	65.066	165.0231
37.000000	65.282	164.8739
37.500000	65.462	164.3758
38.200001	65.676	162.7526
38.700001	65.817	161.0566
39.500000	66.031	158.5031
40.000000	66.171	157.6921
40.599998	66.389	157.6889
41.200001	66.684	158.1661
41.799999	67.034	158.3418
42.500000	67.444	157.7227
43.099998	67.754	156.6668
43.700001	68.011	155.4352
44.400002	68.251	153.9722
45.000000	68.425	152.6938
45.500000	68.562	151.6433
46.200001	68.768	150.4435
46.799999	68.987	149.8564
47.500000	69.287	149.5139
48.200001	69.570	149.1031
48.700001	69.732	148.6573
49.400002	69.938	147.8303
50.000000	70.151	146.8592
50.799999	70.502	145.0828
51.500000	70.801	143.4055
52.200001	71.053	142.1078
53.000000	71.296	141.1901
53.799999	71.505	140.5103
54.500000	71.675	139.8780
55.200001	71.857	139.1172
56.000000	72.088	138.0204
57.000000	72.375	136.4518
58.000000	72.645	134.9317
59.000000	72.912	133.5080
60.000000	73.201	132.4124
60.799999	73.473	131.7766
61.500000	73.721	131.2059
62.200001	73.945	130.5438
63.000000	74.160	129.6856
64.000000	74.380	128.4780
65.000000	74.577	127.1920
66.000000	74.782	125.8999
67.000000	74.999	124.6932
68.000000	75.238	123.6882
69.000000	75.509	122.7452
70.000000	75.787	121.6609
71.000000	76.036	120.4323
72.000000	76.248	119.1961
73.000000	76.451	118.0788
74.000000	76.669	117.0396
75.000000	76.893	115.9493
76.199997	77.148	114.5068
77.500000	77.406	112.8082
78.800003	77.637	111.0818
80.000000	77.811	109.4972
81.199997	77.947	107.8568
82.500000	78.080	106.0974
83.800003	78.229	104.5639
85.000000	78.370	103.5532
86.199997	78.514	102.9258
87.500000	78.689	102.3619
88.500000	78.841	101.8278
90.000000	79.089	100.8154
91.199997	79.303	99.8775
92.500000	79.543	98.7464
93.800003	79.773	97.4939
95.000000	79.965	96.2796
96.199997	80.146	95.0543
97.500000	80.341	93.6865
98.800003	80.538	92.2281
100.000000	80.711	90.8649
101.500000	80.908	89.2890
103.000000	81.090	87.8796
104.400002	81.259	86.6515
106.000000	81.452	85.2568
107.500000	81.638	83.8837
109.000000	81.834	82.4414
110.599998	82.043	80.9508
112.000000	82.216	79.7195
113.800003	82.428	78.1866
115.000000	82.573	77.1632
117.199997	82.846	75.1354
118.000000	82.946	74.3578
120.599998	83.256	71.8444
122.000000	83.410	70.4429
124.099998	83.632	68.3142
125.000000	83.725	67.4498
126.500000	83.876	66.0550
128.000000	84.015	64.6071
131.500000	84.270	60.8319
132.000000	84.299	60.2921
134.000000	84.408	58.2559
136.000000	84.507	56.4254
138.000000	84.597	54.7472
140.000000	84.692	53.1777
143.000000	84.871	50.8811
145.000000	85.005	49.2986
147.500000	85.177	47.2926
150.000000	85.363	45.2532
152.500000	85.548	43.0652
155.000000	85.704	40.7119
157.500000	85.820	38.3228
160.000000	85.901	36.0094
162.500000	85.950	33.7438
165.000000	85.975	31.5031
167.500000	85.993	29.3544
170.000000	86.017	27.3439
172.500000	86.043	25.4771
175.000000	86.066	23.7139
177.500000	86.084	22.0333
180.000000	86.098	20.3958
182.500000	86.108	18.7498
185.000000	86.116	17.0512
187.500000	86.126	15.3623
190.000000	86.138	13.7534
192.500000	86.147	12.2161
195.000000	86.155	10.7060
197.500000	86.167	9.1982
200.000000	86.181	7.7010
203.000000	86.192	5.9292
206.000000	86.186	4.2345
209.000000	86.167	2.6767
212.000000	86.151	1.1980
214.000000	86.144	0.2268
218.000000	86.136	-1.6964
220.000000	86.133	-2.6238
224.000000	86.119	-4.3828
227.000000	86.092	-5.6365
230.000000	86.055	-6.8628
233.000000	86.016	-8.0970
236.000000	85.981	-9.3170
240.000000	85.937	-10.8414
243.000000	85.901	-11.9172
247.000000	85.855	-13.3323
250.000000	85.823	-14.3343
254.000000	85.775	-15.5386
