* Measurement data measured by REW V5.30.5
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of SoundPEATS GoFree 2, RMS Average 1
* Dated: 21-Jan-2024 13:06:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS GoFree2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	52.672
20.600000	53.017
20.900000	53.662
21.200001	54.487
21.400000	55.046
21.799999	55.996
22.000000	56.348
22.400000	56.809
22.700001	57.004
23.000000	57.147
23.299999	57.299
23.600000	57.488
24.000000	57.777
24.299999	57.978
24.700001	58.177
25.000000	58.272
25.400000	58.365
25.799999	58.475
26.200001	58.640
26.500000	58.796
26.900000	59.035
27.200001	59.237
27.600000	59.552
28.000000	59.937
28.500000	60.488
29.000000	61.021
29.500000	61.432
30.000000	61.686
30.400000	61.808
30.700001	61.879
31.100000	61.978
31.500000	62.103
32.000000	62.306
32.500000	62.561
33.000000	62.870
33.500000	63.229
34.000000	63.617
34.500000	64.000
35.000000	64.352
35.500000	64.667
36.000000	64.948
36.500000	65.195
37.000000	65.407
37.500000	65.588
38.200001	65.814
38.700001	65.970
39.500000	66.214
40.000000	66.372
40.599998	66.599
41.200001	66.893
41.799999	67.235
42.500000	67.635
43.099998	67.939
43.700001	68.197
44.400002	68.450
45.000000	68.637
45.500000	68.781
46.200001	68.993
46.799999	69.213
47.500000	69.505
48.200001	69.776
48.700001	69.936
49.400002	70.142
50.000000	70.352
50.799999	70.692
51.500000	70.990
52.200001	71.249
53.000000	71.495
53.799999	71.698
54.500000	71.864
55.200001	72.046
56.000000	72.274
57.000000	72.553
58.000000	72.817
59.000000	73.083
60.000000	73.374
60.799999	73.641
61.500000	73.880
62.200001	74.099
63.000000	74.315
64.000000	74.545
65.000000	74.753
66.000000	74.964
67.000000	75.185
68.000000	75.425
69.000000	75.691
70.000000	75.960
71.000000	76.205
72.000000	76.420
73.000000	76.624
74.000000	76.839
75.000000	77.059
76.199997	77.311
77.500000	77.568
78.800003	77.801
80.000000	77.980
81.199997	78.127
82.500000	78.273
83.800003	78.429
85.000000	78.575
86.199997	78.724
87.500000	78.902
88.500000	79.055
90.000000	79.306
91.199997	79.519
92.500000	79.755
93.800003	79.981
95.000000	80.173
96.199997	80.354
97.500000	80.549
98.800003	80.744
100.000000	80.917
101.500000	81.117
103.000000	81.304
104.400002	81.477
106.000000	81.671
107.500000	81.857
109.000000	82.051
110.599998	82.257
112.000000	82.428
113.800003	82.641
115.000000	82.785
117.199997	83.056
118.000000	83.154
120.599998	83.460
122.000000	83.613
124.099998	83.835
125.000000	83.928
126.500000	84.078
128.000000	84.217
131.500000	84.476
132.000000	84.507
134.000000	84.621
136.000000	84.726
138.000000	84.823
140.000000	84.923
143.000000	85.102
145.000000	85.233
147.500000	85.405
150.000000	85.587
152.500000	85.766
155.000000	85.916
157.500000	86.031
160.000000	86.115
162.500000	86.169
165.000000	86.202
167.500000	86.228
170.000000	86.255
172.500000	86.283
175.000000	86.306
177.500000	86.325
180.000000	86.340
182.500000	86.351
185.000000	86.360
187.500000	86.369
190.000000	86.380
192.500000	86.389
195.000000	86.398
197.500000	86.409
200.000000	86.421
203.000000	86.430
206.000000	86.422
209.000000	86.403
212.000000	86.386
214.000000	86.377
218.000000	86.364
220.000000	86.357
224.000000	86.333
227.000000	86.301
230.000000	86.260
233.000000	86.218
236.000000	86.179
240.000000	86.130
243.000000	86.092
247.000000	86.045
250.000000	86.011
254.000000	85.963
258.000000	85.902
262.000000	85.834
265.000000	85.784
269.000000	85.718
272.000000	85.671
276.000000	85.610
280.000000	85.550
285.000000	85.472
290.000000	85.392
295.000000	85.311
300.000000	85.228
304.000000	85.162
307.000000	85.114
311.000000	85.057
315.000000	85.009
320.000000	84.956
325.000000	84.900
330.000000	84.836
335.000000	84.764
340.000000	84.692
345.000000	84.626
350.000000	84.565
355.000000	84.509
360.000000	84.458
365.000000	84.407
370.000000	84.354
375.000000	84.305
382.000000	84.243
387.000000	84.203
395.000000	84.129
400.000000	84.077
406.000000	84.009
412.000000	83.938
418.000000	83.871
425.000000	83.807
431.000000	83.761
437.000000	83.712
444.000000	83.643
450.000000	83.582
455.000000	83.540
462.000000	83.500
468.000000	83.472
475.000000	83.441
482.000000	83.410
487.000000	83.390
494.000000	83.371
500.000000	83.362
508.000000	83.345
515.000000	83.323
522.000000	83.297
530.000000	83.269
538.000000	83.240
545.000000	83.214
552.000000	83.189
560.000000	83.157
570.000000	83.116
580.000000	83.095
590.000000	83.087
600.000000	83.077
608.000000	83.073
615.000000	83.073
622.000000	83.070
630.000000	83.057
640.000000	83.029
650.000000	82.994
660.000000	82.962
670.000000	82.926
680.000000	82.877
690.000000	82.824
700.000000	82.783
710.000000	82.758
720.000000	82.742
730.000000	82.726
740.000000	82.705
750.000000	82.678
762.000000	82.654
775.000000	82.659
788.000000	82.674
800.000000	82.675
812.000000	82.661
825.000000	82.638
838.000000	82.624
850.000000	82.621
862.000000	82.629
875.000000	82.647
885.000000	82.663
900.000000	82.682
912.000000	82.695
925.000000	82.711
938.000000	82.730
950.000000	82.754
962.000000	82.788
