* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Soundpeats H1, Soundpeats H1, RMS Average 1, Soundpeats H1, Soundpeats H1
* Dated: 31-Mar-2023 12:09:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS H1 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	73.334
20.600000	73.350
20.900000	73.395
21.200001	73.457
21.400000	73.500
21.799999	73.588
22.000000	73.633
22.400000	73.728
22.700001	73.803
23.000000	73.877
23.299999	73.949
23.600000	74.015
24.000000	74.093
24.299999	74.142
24.700001	74.198
25.000000	74.236
25.400000	74.283
25.799999	74.330
26.200001	74.379
26.500000	74.417
26.900000	74.470
27.200001	74.510
27.600000	74.563
28.000000	74.613
28.500000	74.671
29.000000	74.723
29.500000	74.770
30.000000	74.816
30.400000	74.852
30.700001	74.880
31.100000	74.916
31.500000	74.952
32.000000	74.996
32.500000	75.038
33.000000	75.078
33.500000	75.117
34.000000	75.155
34.500000	75.194
35.000000	75.233
35.500000	75.271
36.000000	75.309
36.500000	75.347
37.000000	75.386
37.500000	75.425
38.200001	75.481
38.700001	75.520
39.500000	75.580
40.000000	75.617
40.599998	75.662
41.200001	75.709
41.799999	75.758
42.500000	75.817
43.099998	75.866
43.700001	75.913
44.400002	75.965
45.000000	76.003
45.500000	76.031
46.200001	76.063
46.799999	76.083
47.500000	76.097
48.200001	76.101
48.700001	76.097
49.400002	76.077
50.000000	76.046
50.799999	75.979
51.500000	75.901
52.200001	75.810
53.000000	75.698
53.799999	75.579
54.500000	75.473
55.200001	75.363
56.000000	75.234
57.000000	75.069
58.000000	74.904
59.000000	74.739
60.000000	74.576
60.799999	74.448
61.500000	74.340
62.200001	74.233
63.000000	74.113
64.000000	73.965
65.000000	73.818
66.000000	73.672
67.000000	73.528
68.000000	73.386
69.000000	73.246
70.000000	73.109
71.000000	72.977
72.000000	72.847
73.000000	72.721
74.000000	72.597
75.000000	72.476
76.199997	72.335
77.500000	72.187
78.800003	72.040
80.000000	71.905
81.199997	71.771
82.500000	71.627
83.800003	71.484
85.000000	71.351
86.199997	71.219
87.500000	71.078
88.500000	70.971
90.000000	70.812
91.199997	70.685
92.500000	70.547
93.800003	70.408
95.000000	70.279
96.199997	70.149
97.500000	70.009
98.800003	69.869
100.000000	69.742
101.500000	69.586
103.000000	69.432
104.400002	69.288
106.000000	69.120
107.500000	68.961
109.000000	68.801
110.599998	68.632
112.000000	68.485
113.800003	68.300
115.000000	68.177
117.199997	67.953
118.000000	67.873
120.599998	67.615
122.000000	67.476
124.099998	67.270
125.000000	67.183
126.500000	67.037
128.000000	66.893
131.500000	66.563
132.000000	66.517
134.000000	66.335
136.000000	66.157
138.000000	65.980
140.000000	65.804
143.000000	65.547
145.000000	65.381
147.500000	65.182
150.000000	64.993
152.500000	64.814
155.000000	64.641
157.500000	64.475
160.000000	64.315
162.500000	64.166
165.000000	64.029
167.500000	63.905
170.000000	63.791
172.500000	63.686
175.000000	63.591
177.500000	63.501
180.000000	63.410
182.500000	63.317
185.000000	63.220
187.500000	63.122
190.000000	63.025
192.500000	62.936
195.000000	62.861
197.500000	62.802
200.000000	62.763
203.000000	62.739
206.000000	62.734
209.000000	62.737
212.000000	62.741
214.000000	62.740
218.000000	62.729
220.000000	62.719
224.000000	62.694
227.000000	62.672
