* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Soundpeats H2, Soundpeats H2
* Dated: 31-Mar-2023 11:53:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS H2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	69.730
20.600000	69.742
20.900000	69.777
21.200001	69.828
21.400000	69.867
21.799999	69.956
22.000000	70.006
22.400000	70.116
22.700001	70.205
23.000000	70.297
23.299999	70.391
23.600000	70.484
24.000000	70.606
24.299999	70.694
24.700001	70.801
25.000000	70.873
25.400000	70.957
25.799999	71.033
26.200001	71.107
26.500000	71.163
26.900000	71.241
27.200001	71.300
27.600000	71.376
28.000000	71.448
28.500000	71.531
29.000000	71.609
29.500000	71.684
30.000000	71.753
30.400000	71.805
30.700001	71.842
31.100000	71.890
31.500000	71.939
32.000000	72.002
32.500000	72.066
33.000000	72.130
33.500000	72.188
34.000000	72.242
34.500000	72.292
35.000000	72.341
35.500000	72.393
36.000000	72.448
36.500000	72.506
37.000000	72.565
37.500000	72.625
38.200001	72.709
38.700001	72.770
39.500000	72.869
40.000000	72.930
40.599998	73.002
41.200001	73.072
41.799999	73.140
42.500000	73.217
43.099998	73.281
43.700001	73.341
44.400002	73.404
45.000000	73.452
45.500000	73.488
46.200001	73.530
46.799999	73.560
47.500000	73.586
48.200001	73.597
48.700001	73.595
49.400002	73.577
50.000000	73.549
50.799999	73.498
51.500000	73.444
52.200001	73.381
53.000000	73.297
53.799999	73.201
54.500000	73.108
55.200001	73.002
56.000000	72.864
57.000000	72.675
58.000000	72.482
59.000000	72.301
60.000000	72.134
60.799999	72.007
61.500000	71.896
62.200001	71.785
63.000000	71.659
64.000000	71.507
65.000000	71.361
66.000000	71.221
67.000000	71.084
68.000000	70.949
69.000000	70.812
70.000000	70.670
71.000000	70.525
72.000000	70.382
73.000000	70.244
74.000000	70.109
75.000000	69.977
76.199997	69.819
77.500000	69.648
78.800003	69.472
80.000000	69.307
81.199997	69.147
82.500000	68.982
83.800003	68.816
85.000000	68.659
86.199997	68.501
87.500000	68.328
88.500000	68.193
90.000000	67.991
91.199997	67.831
92.500000	67.658
93.800003	67.485
95.000000	67.329
96.199997	67.176
97.500000	67.012
98.800003	66.849
100.000000	66.697
101.500000	66.504
103.000000	66.309
104.400002	66.130
106.000000	65.933
107.500000	65.752
109.000000	65.571
110.599998	65.374
112.000000	65.200
113.800003	64.973
115.000000	64.822
117.199997	64.551
118.000000	64.455
120.599998	64.148
122.000000	63.985
124.099998	63.746
125.000000	63.646
126.500000	63.484
128.000000	63.328
131.500000	62.975
132.000000	62.926
134.000000	62.728
136.000000	62.538
138.000000	62.360
140.000000	62.197
143.000000	61.974
145.000000	61.832
147.500000	61.664
150.000000	61.515
152.500000	61.379
155.000000	61.245
157.500000	61.118
160.000000	61.011
162.500000	60.927
165.000000	60.855
167.500000	60.790
170.000000	60.732
172.500000	60.681
175.000000	60.637
177.500000	60.604
180.000000	60.584
182.500000	60.573
185.000000	60.570
187.500000	60.573
190.000000	60.577
192.500000	60.583
195.000000	60.592
197.500000	60.606
200.000000	60.620
203.000000	60.639
206.000000	60.663
209.000000	60.691
212.000000	60.723
214.000000	60.745
218.000000	60.787
220.000000	60.807
224.000000	60.846
227.000000	60.873
230.000000	60.898
233.000000	60.919
236.000000	60.939
240.000000	60.965
243.000000	60.984
247.000000	61.008
250.000000	61.026
254.000000	61.054
258.000000	61.085
262.000000	61.120
265.000000	61.143
269.000000	61.170
272.000000	61.186
276.000000	61.205
280.000000	61.223
285.000000	61.244
290.000000	61.264
295.000000	61.280
300.000000	61.288
304.000000	61.289
307.000000	61.287
311.000000	61.284
315.000000	61.281
320.000000	61.277
325.000000	61.272
330.000000	61.264
335.000000	61.253
340.000000	61.236
345.000000	61.220
350.000000	61.207
355.000000	61.196
360.000000	61.181
