* Measurement data measured by REW V5.40 beta 100
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 25-Sep-2025 10:23:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SoundPEATS H3 L Sep 25
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.469	-132.4263
20.299999	78.517	-132.8040
20.600000	78.597	-133.2261
20.900000	78.702	-133.7950
21.200001	78.819	-134.5755
21.400000	78.892	-135.2111
21.799999	78.997	-136.6376
22.000000	79.027	-137.3400
22.400000	79.051	-138.4974
22.700001	79.063	-139.0410
23.000000	79.096	-139.3209
23.299999	79.170	-139.4606
23.600000	79.283	-139.6295
24.000000	79.460	-140.1051
24.299999	79.580	-140.6684
24.700001	79.695	-141.5352
25.000000	79.747	-142.1261
25.400000	79.794	-142.7035
25.799999	79.847	-143.0772
26.200001	79.919	-143.4251
26.500000	79.978	-143.7694
26.900000	80.042	-144.3624
27.200001	80.071	-144.8500
27.600000	80.088	-145.4395
28.000000	80.101	-145.8832
28.500000	80.151	-146.3176
29.000000	80.241	-146.8957
29.500000	80.343	-147.7969
30.000000	80.416	-148.9034
30.400000	80.447	-149.7533
30.700001	80.464	-150.3042
31.100000	80.493	-150.9223
31.500000	80.538	-151.4740
32.000000	80.611	-152.1864
32.500000	80.683	-152.9529
33.000000	80.741	-153.6973
33.500000	80.790	-154.3528
34.000000	80.838	-154.9283
34.500000	80.890	-155.4688
35.000000	80.942	-156.0066
35.500000	80.995	-156.5690
36.000000	81.048	-157.1932
36.500000	81.099	-157.9060
37.000000	81.137	-158.6902
37.500000	81.158	-159.4848
38.200001	81.161	-160.4811
38.700001	81.163	-161.0641
39.500000	81.198	-161.8872
40.000000	81.240	-162.4715
40.599998	81.289	-163.3134
41.200001	81.320	-164.2123
41.799999	81.338	-165.0256
42.500000	81.365	-165.8465
43.099998	81.396	-166.5545
43.700001	81.422	-167.3273
44.400002	81.439	-168.2370
45.000000	81.447	-168.9607
45.500000	81.455	-169.5359
46.200001	81.465	-170.3456
