* Measurement data measured by REW V5.20.13
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -37.9 dBFS, measurement signal peak level -35.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13-Feb-2023 17:25:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Life Classic L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	64.863	95.4291
20.600000	64.923	94.8708
20.900000	65.063	93.6761
21.200001	65.199	92.3313
21.400000	65.283	91.4429
21.799999	65.448	89.8069
22.000000	65.535	89.1017
22.400000	65.735	87.9248
22.700001	65.907	87.1825
23.000000	66.089	86.4782
23.299999	66.267	85.7561
23.600000	66.433	84.9965
24.000000	66.627	83.9352
24.299999	66.753	83.1365
24.700001	66.906	82.1152
25.000000	67.019	81.4016
25.400000	67.176	80.5212
25.799999	67.346	79.6963
26.200001	67.528	78.8829
26.500000	67.668	78.2512
26.900000	67.856	77.3495
27.200001	67.995	76.6157
27.600000	68.178	75.5599
28.000000	68.358	74.4359
28.500000	68.578	72.9850
29.000000	68.790	71.5362
29.500000	68.989	70.1186
30.000000	69.165	68.7486
30.400000	69.287	67.6964
30.700001	69.370	66.9365
31.100000	69.476	65.9602
31.500000	69.582	65.0147
32.000000	69.725	63.8469
32.500000	69.880	62.6644
33.000000	70.041	61.4549
33.500000	70.199	60.2266
34.000000	70.348	58.9906
34.500000	70.486	57.7493
35.000000	70.612	56.5021
35.500000	70.730	55.2568
36.000000	70.843	54.0289
36.500000	70.958	52.8256
37.000000	71.079	51.6360
37.500000	71.204	50.4401
38.200001	71.375	48.7437
38.700001	71.488	47.5374
39.500000	71.655	45.6658
40.000000	71.751	44.5236
40.599998	71.857	43.1472
41.200001	71.949	41.7422
41.799999	72.024	40.3098
42.500000	72.093	38.6127
43.099998	72.139	37.1327
43.700001	72.176	35.6228
44.400002	72.212	33.8241
45.000000	72.237	32.2576
45.500000	72.254	30.9411
46.200001	72.275	29.0924
46.799999	72.291	27.5175
47.500000	72.308	25.7180
48.200001	72.323	23.9852
48.700001	72.332	22.7964
49.400002	72.337	21.2000
50.000000	72.331	19.8852
50.799999	72.306	18.1763
51.500000	72.276	16.6777
52.200001	72.245	15.1432
53.000000	72.212	13.3560
53.799999	72.178	11.5933
54.500000	72.145	10.1128
55.200001	72.111	8.6885
56.000000	72.069	7.0894
57.000000	72.011	5.0870
58.000000	71.939	3.1233
59.000000	71.854	1.2505
60.000000	71.762	-0.5694
60.799999	71.691	-2.0109
61.500000	71.633	-3.2481
62.200001	71.578	-4.4471
63.000000	71.514	-5.7690
64.000000	71.431	-7.3671
65.000000	71.346	-8.9136
66.000000	71.263	-10.4116
67.000000	71.181	-11.8793
68.000000	71.099	-13.3073
69.000000	71.015	-14.6596
70.000000	70.930	-15.9224
71.000000	70.841	-17.1045
72.000000	70.752	-18.2294
73.000000	70.665	-19.3171
74.000000	70.578	-20.3669
75.000000	70.487	-21.3804
76.199997	70.370	-22.5751
77.500000	70.243	-23.8650
78.800003	70.126	-25.1104
80.000000	70.027	-26.1726
81.199997	69.929	-27.1552
82.500000	69.820	-28.1664
83.800003	69.711	-29.1573
85.000000	69.611	-30.0507
86.199997	69.509	-30.9021
87.500000	69.391	-31.7864
88.500000	69.298	-32.4571
90.000000	69.164	-33.4376
91.199997	69.061	-34.1755
92.500000	68.953	-34.9268
93.800003	68.844	-35.6486
95.000000	68.743	-36.3046
96.199997	68.637	-36.9583
97.500000	68.523	-37.6590
98.800003	68.412	-38.3448
100.000000	68.314	-38.9673
101.500000	68.196	-39.7378
103.000000	68.084	-40.4886
104.400002	67.983	-41.1546
106.000000	67.867	-41.8690
107.500000	67.749	-42.4941
109.000000	67.626	-43.0823
110.599998	67.498	-43.6882
112.000000	67.390	-44.2170
113.800003	67.257	-44.8962
115.000000	67.170	-45.3368
117.199997	67.009	-46.0917
118.000000	66.951	-46.3513
120.599998	66.759	-47.1536
122.000000	66.656	-47.5543
124.099998	66.506	-48.1269
125.000000	66.444	-48.3667
126.500000	66.346	-48.7612
128.000000	66.253	-49.1452
131.500000	66.028	-49.9895
132.000000	65.995	-50.1061
134.000000	65.864	-50.5523
136.000000	65.738	-50.9458
138.000000	65.615	-51.2918
140.000000	65.493	-51.6176
143.000000	65.316	-52.0723
145.000000	65.201	-52.3635
147.500000	65.059	-52.7141
150.000000	64.919	-53.0461
152.500000	64.788	-53.3603
155.000000	64.662	-53.6471
157.500000	64.534	-53.9271
160.000000	64.407	-54.1795
162.500000	64.286	-54.3796
165.000000	64.173	-54.5335
167.500000	64.063	-54.6706
170.000000	63.957	-54.8022
172.500000	63.857	-54.9210
175.000000	63.764	-55.0276
177.500000	63.678	-55.1346
180.000000	63.591	-55.2492
182.500000	63.492	-55.3551
185.000000	63.376	-55.4436
187.500000	63.246	-55.5431
190.000000	63.114	-55.6698
192.500000	62.992	-55.8043
195.000000	62.887	-55.9305
197.500000	62.800	-56.0557
200.000000	62.728	-56.1973
203.000000	62.656	-56.3831
206.000000	62.595	-56.5526
209.000000	62.541	-56.7053
212.000000	62.488	-56.8609
214.000000	62.453	-56.9693
218.000000	62.379	-57.1981
220.000000	62.339	-57.3078
224.000000	62.253	-57.4937
227.000000	62.187	-57.6046
230.000000	62.121	-57.7044
233.000000	62.054	-57.8075
236.000000	61.985	-57.9246
240.000000	61.893	-58.0911
243.000000	61.829	-58.2209
247.000000	61.747	-58.4303
250.000000	61.689	-58.6034
254.000000	61.620	-58.7937
258.000000	61.563	-58.9255
262.000000	61.511	-59.0177
265.000000	61.466	-59.0874
269.000000	61.398	-59.2383
272.000000	61.342	-59.3990
276.000000	61.272	-59.6337
280.000000	61.214	-59.8630
285.000000	61.147	-60.1606
290.000000	61.072	-60.5006
295.000000	60.995	-60.8658
300.000000	60.918	-61.2151
304.000000	60.853	-61.4781
307.000000	60.803	-61.6719
311.000000	60.740	-61.9396
315.000000	60.682	-62.2313
320.000000	60.611	-62.5972
325.000000	60.538	-62.9169
330.000000	60.466	-63.1791
335.000000	60.400	-63.4424
340.000000	60.344	-63.7910
345.000000	60.298	-64.1977
350.000000	60.246	-64.6059
355.000000	60.175	-64.9724
360.000000	60.090	-65.2554
365.000000	60.009	-65.4676
370.000000	59.941	-65.6474
375.000000	59.879	-65.8113
382.000000	59.786	-66.0266
387.000000	59.715	-66.2029
395.000000	59.610	-66.4849
400.000000	59.549	-66.6057
406.000000	59.483	-66.7381
412.000000	59.421	-66.9034
418.000000	59.362	-67.0871
425.000000	59.297	-67.3148
431.000000	59.237	-67.5198
437.000000	59.171	-67.7194
444.000000	59.097	-67.9180
450.000000	59.042	-68.0357
455.000000	59.004	-68.0881
462.000000	58.961	-68.1066
468.000000	58.931	-68.0966
475.000000	58.898	-68.0785
482.000000	58.865	-68.0744
487.000000	58.843	-68.1062
494.000000	58.818	-68.2089
500.000000	58.801	-68.3275
508.000000	58.785	-68.4934
515.000000	58.770	-68.6289
522.000000	58.752	-68.7654
530.000000	58.730	-68.9786
538.000000	58.709	-69.2687
545.000000	58.694	-69.5305
552.000000	58.683	-69.7563
560.000000	58.676	-69.9666
570.000000	58.670	-70.1935
580.000000	58.669	-70.4538
590.000000	58.675	-70.7037
600.000000	58.686	-70.8998
608.000000	58.692	-71.0622
615.000000	58.695	-71.2120
622.000000	58.696	-71.3655
630.000000	58.699	-71.5518
640.000000	58.706	-71.7967
650.000000	58.716	-72.0230
660.000000	58.724	-72.2407
670.000000	58.732	-72.5017
680.000000	58.748	-72.7918
690.000000	58.772	-73.0884
700.000000	58.793	-73.4158
710.000000	58.806	-73.7899
720.000000	58.810	-74.1788
730.000000	58.817	-74.5316
740.000000	58.838	-74.8402
750.000000	58.869	-75.1276
762.000000	58.901	-75.4959
775.000000	58.929	-75.9419
788.000000	58.951	-76.4120
