* Measurement data measured by REW V5.20.13
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -40.6 dBFS, measurement signal peak level -36.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13-Feb-2023 17:26:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Life Classic R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	64.764	92.9664
20.600000	64.806	92.7213
20.900000	64.909	92.1860
21.200001	65.028	91.5430
21.400000	65.112	91.0687
21.799999	65.290	90.0374
22.000000	65.383	89.5002
22.400000	65.574	88.4329
22.700001	65.721	87.6751
23.000000	65.867	86.9655
23.299999	66.012	86.2824
23.600000	66.151	85.5967
24.000000	66.322	84.6396
24.299999	66.440	83.8795
24.700001	66.590	82.8256
25.000000	66.705	82.0227
25.400000	66.875	80.9462
25.799999	67.069	79.8551
26.200001	67.281	78.7471
26.500000	67.444	77.9234
26.900000	67.658	76.8771
27.200001	67.813	76.1589
27.600000	68.012	75.2964
28.000000	68.205	74.4963
28.500000	68.435	73.4608
29.000000	68.638	72.2809
29.500000	68.808	70.9646
30.000000	68.952	69.5972
30.400000	69.058	68.5147
30.700001	69.137	67.7185
31.100000	69.243	66.6786
31.500000	69.352	65.6628
32.000000	69.492	64.4245
32.500000	69.636	63.2014
33.000000	69.782	61.9485
33.500000	69.927	60.6291
34.000000	70.066	59.2425
34.500000	70.200	57.8224
35.000000	70.330	56.4030
35.500000	70.458	55.0000
36.000000	70.583	53.6125
36.500000	70.705	52.2352
37.000000	70.821	50.8626
37.500000	70.931	49.4873
38.200001	71.072	47.5434
38.700001	71.163	46.1342
39.500000	71.296	43.8306
40.000000	71.371	42.3583
40.599998	71.455	40.5811
41.200001	71.530	38.8464
41.799999	71.599	37.2033
42.500000	71.673	35.4058
43.099998	71.729	33.9157
43.700001	71.776	32.4203
44.400002	71.816	30.6515
45.000000	71.839	29.1344
45.500000	71.852	27.8876
46.200001	71.860	26.1782
46.799999	71.865	24.7395
47.500000	71.872	23.0731
48.200001	71.887	21.4088
48.700001	71.898	20.2292
49.400002	71.906	18.6178
50.000000	71.896	17.2927
50.799999	71.861	15.5976
51.500000	71.819	14.1481
52.200001	71.778	12.7109
53.000000	71.736	11.0926
53.799999	71.696	9.5165
54.500000	71.660	8.1761
55.200001	71.621	6.8741
56.000000	71.570	5.4458
57.000000	71.497	3.7816
58.000000	71.414	2.2399
59.000000	71.332	0.7240
60.000000	71.259	-0.8348
60.799999	71.207	-2.0750
61.500000	71.165	-3.1019
62.200001	71.124	-4.0460
63.000000	71.077	-5.0206
64.000000	71.011	-6.1065
65.000000	70.932	-7.1309
66.000000	70.839	-8.2043
67.000000	70.734	-9.3327
68.000000	70.623	-10.4878
69.000000	70.504	-11.6559
70.000000	70.386	-12.7993
71.000000	70.290	-13.9238
72.000000	70.210	-15.0480
73.000000	70.129	-16.1254
74.000000	70.038	-17.1038
75.000000	69.942	-17.9925
76.199997	69.826	-18.9998
77.500000	69.707	-20.0543
78.800003	69.594	-21.0615
80.000000	69.487	-21.9419
81.199997	69.375	-22.7854
82.500000	69.255	-23.6665
83.800003	69.145	-24.5211
85.000000	69.048	-25.3030
86.199997	68.947	-26.0762
87.500000	68.827	-26.8695
88.500000	68.732	-27.4384
90.000000	68.596	-28.2499
91.199997	68.496	-28.8690
92.500000	68.389	-29.4965
93.800003	68.278	-30.0950
95.000000	68.169	-30.6468
96.199997	68.059	-31.1998
97.500000	67.942	-31.7872
98.800003	67.833	-32.3436
100.000000	67.739	-32.8142
101.500000	67.621	-33.3451
103.000000	67.499	-33.8431
104.400002	67.386	-34.2990
106.000000	67.262	-34.8101
107.500000	67.152	-35.2847
109.000000	67.045	-35.7601
110.599998	66.929	-36.2627
112.000000	66.824	-36.6990
113.800003	66.686	-37.2768
115.000000	66.593	-37.6767
117.199997	66.420	-38.3885
118.000000	66.356	-38.6270
120.599998	66.149	-39.3165
122.000000	66.042	-39.6303
124.099998	65.897	-40.0677
125.000000	65.842	-40.2605
126.500000	65.753	-40.5958
128.000000	65.661	-40.9327
131.500000	65.415	-41.6032
132.000000	65.380	-41.6885
134.000000	65.249	-42.0398
136.000000	65.127	-42.3960
138.000000	65.004	-42.6948
140.000000	64.878	-42.9244
143.000000	64.689	-43.2654
145.000000	64.572	-43.4904
147.500000	64.430	-43.7280
150.000000	64.291	-43.9630
152.500000	64.165	-44.1730
155.000000	64.046	-44.3425
157.500000	63.919	-44.4890
160.000000	63.789	-44.5970
162.500000	63.671	-44.6872
165.000000	63.572	-44.7930
167.500000	63.477	-44.9203
170.000000	63.374	-45.0346
172.500000	63.272	-45.1079
175.000000	63.173	-45.1481
177.500000	63.069	-45.1658
180.000000	62.958	-45.1542
182.500000	62.842	-45.0988
185.000000	62.720	-45.0132
187.500000	62.597	-44.9337
190.000000	62.480	-44.8828
192.500000	62.375	-44.8567
195.000000	62.281	-44.8424
197.500000	62.192	-44.8276
200.000000	62.104	-44.8122
203.000000	62.009	-44.8030
206.000000	61.939	-44.7966
209.000000	61.885	-44.7715
212.000000	61.834	-44.7099
214.000000	61.797	-44.6520
218.000000	61.727	-44.5375
220.000000	61.693	-44.4890
224.000000	61.616	-44.3917
227.000000	61.551	-44.3105
230.000000	61.487	-44.2299
233.000000	61.430	-44.1735
236.000000	61.373	-44.1539
240.000000	61.288	-44.1570
243.000000	61.218	-44.1503
247.000000	61.127	-44.0680
250.000000	61.064	-43.9260
254.000000	60.992	-43.6329
258.000000	60.927	-43.2636
262.000000	60.860	-42.9266
265.000000	60.811	-42.7274
269.000000	60.758	-42.4912
