* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Soundpeats Life, Soundpeats Life, Soundpeats Life, Soundpeats Life, Soundpeats Life
* Dated: 31-Mar-2023 11:37:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Life
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	59.027
20.600000	59.060
20.900000	59.156
21.200001	59.294
21.400000	59.397
21.799999	59.618
22.000000	59.737
22.400000	59.987
22.700001	60.181
23.000000	60.371
23.299999	60.552
23.600000	60.720
24.000000	60.923
24.299999	61.064
24.700001	61.255
25.000000	61.408
25.400000	61.634
25.799999	61.879
26.200001	62.128
26.500000	62.308
26.900000	62.532
27.200001	62.689
27.600000	62.892
28.000000	63.097
28.500000	63.366
29.000000	63.643
29.500000	63.913
30.000000	64.166
30.400000	64.355
30.700001	64.490
31.100000	64.663
31.500000	64.833
32.000000	65.041
32.500000	65.248
33.000000	65.454
33.500000	65.658
34.000000	65.860
34.500000	66.059
35.000000	66.251
35.500000	66.436
36.000000	66.611
36.500000	66.777
37.000000	66.937
37.500000	67.093
38.200001	67.309
38.700001	67.461
39.500000	67.696
40.000000	67.836
40.599998	67.994
41.200001	68.144
41.799999	68.290
42.500000	68.455
43.099998	68.592
43.700001	68.724
44.400002	68.874
45.000000	68.997
45.500000	69.093
46.200001	69.221
46.799999	69.326
47.500000	69.446
48.200001	69.562
48.700001	69.642
49.400002	69.750
50.000000	69.834
50.799999	69.932
51.500000	70.007
52.200001	70.076
53.000000	70.152
53.799999	70.225
54.500000	70.285
55.200001	70.341
56.000000	70.399
57.000000	70.463
58.000000	70.518
59.000000	70.563
60.000000	70.599
60.799999	70.623
61.500000	70.640
62.200001	70.652
63.000000	70.660
64.000000	70.665
65.000000	70.664
66.000000	70.657
67.000000	70.642
68.000000	70.620
69.000000	70.589
70.000000	70.553
71.000000	70.513
72.000000	70.473
73.000000	70.430
74.000000	70.385
75.000000	70.336
76.199997	70.268
77.500000	70.183
78.800003	70.091
80.000000	70.005
81.199997	69.916
82.500000	69.817
83.800003	69.712
85.000000	69.613
86.199997	69.510
87.500000	69.396
88.500000	69.304
90.000000	69.160
91.199997	69.040
92.500000	68.907
93.800003	68.770
95.000000	68.640
96.199997	68.504
97.500000	68.353
98.800003	68.200
100.000000	68.059
101.500000	67.885
103.000000	67.713
104.400002	67.550
106.000000	67.357
107.500000	67.170
109.000000	66.978
110.599998	66.771
112.000000	66.586
113.800003	66.341
115.000000	66.175
117.199997	65.867
118.000000	65.756
120.599998	65.392
122.000000	65.196
124.099998	64.898
125.000000	64.769
126.500000	64.551
128.000000	64.327
131.500000	63.789
132.000000	63.711
134.000000	63.398
136.000000	63.084
138.000000	62.768
140.000000	62.452
143.000000	61.978
145.000000	61.662
147.500000	61.266
150.000000	60.866
152.500000	60.467
155.000000	60.069
157.500000	59.672
160.000000	59.282
162.500000	58.900
165.000000	58.527
167.500000	58.165
170.000000	57.819
172.500000	57.493
175.000000	57.183
177.500000	56.889
180.000000	56.608
182.500000	56.340
185.000000	56.084
187.500000	55.845
190.000000	55.631
192.500000	55.455
195.000000	55.322
197.500000	55.230
200.000000	55.176
203.000000	55.158
206.000000	55.184
209.000000	55.240
212.000000	55.320
214.000000	55.387
218.000000	55.548
220.000000	55.638
224.000000	55.830
227.000000	55.984
230.000000	56.146
233.000000	56.314
236.000000	56.489
240.000000	56.726
243.000000	56.902
247.000000	57.130
250.000000	57.297
254.000000	57.511
258.000000	57.711
262.000000	57.897
265.000000	58.029
269.000000	58.197
272.000000	58.316
276.000000	58.464
280.000000	58.600
285.000000	58.756
290.000000	58.903
295.000000	59.034
300.000000	59.144
304.000000	59.218
307.000000	59.269
311.000000	59.332
315.000000	59.387
320.000000	59.445
325.000000	59.488
330.000000	59.520
335.000000	59.549
340.000000	59.582
345.000000	59.617
350.000000	59.645
355.000000	59.661
360.000000	59.665
365.000000	59.665
370.000000	59.664
375.000000	59.662
382.000000	59.657
387.000000	59.654
395.000000	59.651
400.000000	59.651
406.000000	59.652
412.000000	59.654
418.000000	59.655
425.000000	59.655
431.000000	59.654
437.000000	59.652
444.000000	59.645
450.000000	59.636
455.000000	59.629
462.000000	59.623
468.000000	59.622
475.000000	59.622
482.000000	59.612
487.000000	59.600
494.000000	59.579
500.000000	59.565
508.000000	59.553
515.000000	59.545
522.000000	59.531
530.000000	59.506
538.000000	59.474
545.000000	59.445
552.000000	59.415
560.000000	59.379
570.000000	59.331
580.000000	59.283
590.000000	59.234
600.000000	59.177
608.000000	59.127
615.000000	59.080
622.000000	59.033
630.000000	58.977
640.000000	58.907
650.000000	58.840
660.000000	58.778
670.000000	58.719
680.000000	58.661
690.000000	58.604
700.000000	58.552
710.000000	58.503
720.000000	58.457
730.000000	58.415
740.000000	58.380
750.000000	58.350
762.000000	58.318
775.000000	58.291
788.000000	58.277
800.000000	58.275
812.000000	58.280
825.000000	58.293
838.000000	58.316
850.000000	58.345
862.000000	58.382
875.000000	58.433
885.000000	58.477
900.000000	58.549
912.000000	58.617
925.000000	58.703
938.000000	58.798
950.000000	58.886
962.000000	58.973
975.000000	59.069
988.000000	59.173
1000.000000	59.278
1015.000000	59.417
1030.000000	59.563
1044.000000	59.707
1060.000000	59.877
1075.000000	60.039
1090.000000	60.200
1106.000000	60.372
1120.000000	60.525
1138.000000	60.734
1150.000000	60.882
1172.000000	61.174
1180.000000	61.288
1206.000000	61.697
1220.000000	61.943
1241.000000	62.346
1250.000000	62.531
1265.000000	62.853
1280.000000	63.187
1315.000000	63.976
1320.000000	64.085
1340.000000	64.498
1360.000000	64.869
1380.000000	65.205
1400.000000	65.524
1430.000000	66.004
1450.000000	66.329
1475.000000	66.736
1500.000000	67.131
1525.000000	67.506
1550.000000	67.850
1575.000000	68.161
1600.000000	68.443
1625.000000	68.695
1650.000000	68.921
1675.000000	69.127
1700.000000	69.321
1725.000000	69.501
1750.000000	69.668
1775.000000	69.822
1800.000000	69.967
1825.000000	70.104
1850.000000	70.234
1875.000000	70.356
1900.000000	70.472
1925.000000	70.582
1950.000000	70.686
1975.000000	70.783
2000.000000	70.871
2030.000000	70.967
2060.000000	71.054
2090.000000	71.134
2120.000000	71.204
2140.000000	71.244
2180.000000	71.305
2200.000000	71.326
2240.000000	71.346
2270.000000	71.344
2300.000000	71.329
2330.000000	71.304
2360.000000	71.268
2400.000000	71.200
2430.000000	71.136
2470.000000	71.040
2500.000000	70.960
2540.000000	70.844
2580.000000	70.717
2620.000000	70.588
2650.000000	70.491
2690.000000	70.366
2720.000000	70.275
2760.000000	70.155
2800.000000	70.042
2850.000000	69.916
2900.000000	69.809
2950.000000	69.722
3000.000000	69.653
3040.000000	69.615
3070.000000	69.597
3110.000000	69.585
3150.000000	69.586
3200.000000	69.609
3250.000000	69.656
3300.000000	69.726
3350.000000	69.815
3400.000000	69.921
3450.000000	70.042
3500.000000	70.179
3550.000000	70.336
3600.000000	70.517
3650.000000	70.724
3700.000000	70.956
3750.000000	71.210
3820.000000	71.590
3870.000000	71.867
3950.000000	72.292
4000.000000	72.525
4060.000000	72.744
4120.000000	72.875
4180.000000	72.897
4250.000000	72.772
4310.000000	72.529
4370.000000	72.169
4440.000000	71.622
4500.000000	71.067
4550.000000	70.559
4620.000000	69.799
4680.000000	69.123
4750.000000	68.330
4820.000000	67.563
4870.000000	67.053
4940.000000	66.423
5000.000000	65.989
5080.000000	65.601
5150.000000	65.468
5220.000000	65.534
5300.000000	65.828
5380.000000	66.288
5450.000000	66.761
5520.000000	67.245
5600.000000	67.748
5700.000000	68.229
5800.000000	68.504
5900.000000	68.573
6000.000000	68.457
6080.000000	68.249
6150.000000	67.994
6220.000000	67.677
6300.000000	67.259
6400.000000	66.685
6500.000000	66.099
6600.000000	65.538
6700.000000	65.035
6800.000000	64.609
6900.000000	64.272
7000.000000	64.029
7100.000000	63.884
7200.000000	63.850
7300.000000	63.936
7400.000000	64.147
7500.000000	64.489
7620.000000	65.058
7750.000000	65.814
7880.000000	66.619
8000.000000	67.324
8120.000000	67.927
8250.000000	68.380
8380.000000	68.532
8500.000000	68.344
8620.000000	67.827
8750.000000	66.940
8850.000000	66.080
9000.000000	64.618
9120.000000	63.390
9250.000000	62.080
9380.000000	60.840
9500.000000	59.786
9620.000000	58.829
9750.000000	57.901
9880.000000	57.078
10000.000000	56.405
10150.000000	55.669
10300.000000	55.031
10440.000000	54.512
10600.000000	53.997
10750.000000	53.578
10900.000000	53.207
11060.000000	52.854
11200.000000	52.573
11380.000000	52.233
11500.000000	52.016
11720.000000	51.645
11800.000000	51.522
12060.000000	51.174
12200.000000	51.021
12410.000000	50.831
12500.000000	50.761
12650.000000	50.649
12800.000000	50.532
13150.000000	50.165
13200.000000	50.102
13400.000000	49.857
13600.000000	49.689
13800.000000	49.679
14000.000000	49.876
14300.000000	50.599
14500.000000	51.356
14750.000000	52.504
