* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -28.4 dBFS, measurement signal peak level -27.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31-Mar-2023 12:03:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Soundpeats Mini L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	61.940	-82.3354
20.600000	61.993	-82.6730
20.900000	62.118	-83.3916
21.200001	62.243	-84.1971
21.400000	62.317	-84.7564
21.799999	62.447	-85.9362
22.000000	62.505	-86.5670
22.400000	62.615	-87.9438
22.700001	62.701	-89.0889
23.000000	62.795	-90.3255
23.299999	62.899	-91.6296
23.600000	63.014	-92.9675
24.000000	63.181	-94.7412
24.299999	63.311	-96.0164
24.700001	63.487	-97.6007
25.000000	63.615	-98.6911
25.400000	63.774	-100.0248
25.799999	63.919	-101.2578
26.200001	64.048	-102.4387
26.500000	64.138	-103.3181
26.900000	64.251	-104.5073
27.200001	64.334	-105.4207
27.600000	64.443	-106.6655
28.000000	64.553	-107.9240
28.500000	64.689	-109.4779
29.000000	64.821	-110.9740
29.500000	64.949	-112.4077
30.000000	65.071	-113.8040
30.400000	65.164	-114.9136
30.700001	65.229	-115.7460
31.100000	65.313	-116.8536
31.500000	65.394	-117.9523
32.000000	65.494	-119.3043
32.500000	65.594	-120.6301
33.000000	65.692	-121.9318
33.500000	65.786	-123.2100
34.000000	65.873	-124.4638
34.500000	65.955	-125.6960
35.000000	66.031	-126.9129
35.500000	66.103	-128.1179
36.000000	66.172	-129.3086
36.500000	66.238	-130.4816
37.000000	66.303	-131.6375
37.500000	66.365	-132.7782
38.200001	66.444	-134.3419
38.700001	66.494	-135.4239
39.500000	66.569	-137.0912
40.000000	66.616	-138.1088
40.599998	66.670	-139.3232
41.200001	66.723	-140.5363
41.799999	66.771	-141.7453
42.500000	66.822	-143.1429
43.099998	66.861	-144.3200
43.700001	66.896	-145.4706
44.400002	66.936	-146.7811
45.000000	66.969	-147.8842
45.500000	66.994	-148.7912
46.200001	67.025	-150.0403
46.799999	67.048	-151.0936
47.500000	67.072	-152.3085
48.200001	67.094	-153.5041
48.700001	67.111	-154.3381
49.400002	67.134	-155.4746
50.000000	67.151	-156.4305
50.799999	67.164	-157.6961
51.500000	67.166	-158.7920
52.200001	67.163	-159.8694
53.000000	67.160	-161.0854
53.799999	67.156	-162.2982
54.500000	67.150	-163.3513
55.200001	67.141	-164.3807
56.000000	67.129	-165.5174
57.000000	67.111	-166.8892
58.000000	67.088	-168.2265
59.000000	67.059	-169.5274
60.000000	67.028	-170.7940
60.799999	67.005	-171.8009
61.500000	66.984	-172.6837
62.200001	66.963	-173.5628
63.000000	66.937	-174.5561
64.000000	66.900	-175.7776
65.000000	66.854	-176.9788
66.000000	66.803	-178.1704
67.000000	66.745	-179.3528
68.000000	66.682	179.5090
69.000000	66.620	178.4308
70.000000	66.561	177.3775
71.000000	66.499	176.3270
72.000000	66.436	175.2789
73.000000	66.373	174.2231
74.000000	66.309	173.1561
75.000000	66.240	172.0866
76.199997	66.146	170.8224
77.500000	66.040	169.4947
78.800003	65.940	168.1827
80.000000	65.846	166.9837
81.199997	65.743	165.8364
82.500000	65.620	164.6609
83.800003	65.492	163.5177
85.000000	65.376	162.4718
86.199997	65.265	161.4426
87.500000	65.145	160.3607
88.500000	65.049	159.5568
90.000000	64.899	158.3999
91.199997	64.773	157.5208
92.500000	64.632	156.6175
93.800003	64.491	155.7531
95.000000	64.358	154.9811
96.199997	64.223	154.2352
97.500000	64.073	153.4575
98.800003	63.923	152.7097
100.000000	63.786	152.0500
101.500000	63.615	151.2716
103.000000	63.441	150.5380
104.400002	63.273	149.8879
106.000000	63.077	149.1842
107.500000	62.890	148.5686
109.000000	62.702	147.9983
110.599998	62.499	147.4346
112.000000	62.323	146.9689
113.800003	62.095	146.4031
115.000000	61.942	146.0500
117.199997	61.654	145.4656
118.000000	61.547	145.2784
120.599998	61.196	144.7453
122.000000	61.006	144.4958
124.099998	60.721	144.1861
125.000000	60.598	144.0768
126.500000	60.393	143.9190
128.000000	60.188	143.7847
131.500000	59.717	143.5536
132.000000	59.649	143.5343
134.000000	59.373	143.4934
136.000000	59.091	143.5018
138.000000	58.804	143.5947
140.000000	58.512	143.8081
143.000000	58.079	144.2997
145.000000	57.798	144.7281
147.500000	57.456	145.3799
150.000000	57.132	146.1527
152.500000	56.837	147.0775
155.000000	56.563	148.2014
157.500000	56.290	149.4950
160.000000	56.018	150.8850
162.500000	55.759	152.3499
165.000000	55.521	153.8976
167.500000	55.297	155.5183
170.000000	55.088	157.1877
172.500000	54.901	158.8885
175.000000	54.741	160.6067
177.500000	54.604	162.3264
180.000000	54.483	164.0346
182.500000	54.371	165.7456
185.000000	54.264	167.4955
187.500000	54.166	169.2755
190.000000	54.084	171.0125
192.500000	54.020	172.6489
195.000000	53.971	174.1906
197.500000	53.939	175.6778
200.000000	53.925	177.1364
203.000000	53.932	178.8426
206.000000	53.965	-179.5401
209.000000	54.022	-178.0445
212.000000	54.090	-176.6641
214.000000	54.133	-175.8049
218.000000	54.208	-174.2010
220.000000	54.243	-173.4270
224.000000	54.310	-171.9130
227.000000	54.355	-170.8236
230.000000	54.395	-169.7819
233.000000	54.430	-168.7920
236.000000	54.464	-167.8655
240.000000	54.509	-166.7548
243.000000	54.541	-166.0010
247.000000	54.580	-165.0251
250.000000	54.605	-164.2855
254.000000	54.633	-163.3285
258.000000	54.657	-162.4660
262.000000	54.675	-161.6938
265.000000	54.684	-161.1519
269.000000	54.693	-160.4490
272.000000	54.698	-159.9279
276.000000	54.704	-159.2563
280.000000	54.709	-158.6179
285.000000	54.712	-157.8310
290.000000	54.712	-157.0197
295.000000	54.705	-156.1920
300.000000	54.686	-155.3590
304.000000	54.666	-154.6616
307.000000	54.649	-154.1151
311.000000	54.625	-153.3601
315.000000	54.601	-152.5743
320.000000	54.575	-151.5252
325.000000	54.554	-150.3814
330.000000	54.537	-149.1515
335.000000	54.524	-147.8629
340.000000	54.514	-146.5655
345.000000	54.502	-145.2768
350.000000	54.486	-143.9850
355.000000	54.467	-142.6855
360.000000	54.447	-141.3644
365.000000	54.433	-140.0028
370.000000	54.422	-138.6080
375.000000	54.414	-137.2079
382.000000	54.409	-135.2730
387.000000	54.411	-133.9041
395.000000	54.421	-131.7052
400.000000	54.433	-130.3069
406.000000	54.450	-128.6014
412.000000	54.464	-126.9011
418.000000	54.480	-125.2355
425.000000	54.503	-123.3063
431.000000	54.524	-121.6228
437.000000	54.548	-119.8910
444.000000	54.586	-117.8231
450.000000	54.629	-116.0514
455.000000	54.668	-114.5915
462.000000	54.724	-112.5804
468.000000	54.769	-110.9029
475.000000	54.819	-109.0053
482.000000	54.870	-107.1477
487.000000	54.907	-105.8236
494.000000	54.964	-103.9567
500.000000	55.017	-102.3712
508.000000	55.087	-100.3360
515.000000	55.146	-98.6341
522.000000	55.204	-96.9859
530.000000	55.269	-95.1478
538.000000	55.334	-93.3580
545.000000	55.389	-91.8224
552.000000	55.445	-90.3217
560.000000	55.512	-88.6589
570.000000	55.601	-86.5772
580.000000	55.685	-84.3972
590.000000	55.765	-82.1169
600.000000	55.848	-79.7961
608.000000	55.916	-77.9185
615.000000	55.976	-76.2557
622.000000	56.034	-74.5892
630.000000	56.096	-72.7032
640.000000	56.168	-70.3805
650.000000	56.247	-68.0507
660.000000	56.335	-65.6495
670.000000	56.422	-63.1796
680.000000	56.501	-60.6677
690.000000	56.579	-58.0933
700.000000	56.660	-55.4543
710.000000	56.745	-52.7826
720.000000	56.828	-50.1210
730.000000	56.906	-47.4831
740.000000	56.982	-44.8560
750.000000	57.062	-42.2305
762.000000	57.162	-39.0543
775.000000	57.277	-35.5468
788.000000	57.396	-31.9825
800.000000	57.506	-28.6999
812.000000	57.615	-25.4952
825.000000	57.731	-22.1367
838.000000	57.841	-18.8909
850.000000	57.938	-15.9536
862.000000	58.039	-13.0264
875.000000	58.159	-9.8509
885.000000	58.258	-7.4052
900.000000	58.408	-3.7271
912.000000	58.525	-0.7755
925.000000	58.648	2.4378
938.000000	58.775	5.6901
950.000000	58.896	8.7267
962.000000	59.021	11.7780
975.000000	59.156	15.0860
988.000000	59.291	18.3978
1000.000000	59.418	21.4601
1015.000000	59.581	25.2712
1030.000000	59.751	29.0126
1044.000000	59.913	32.3678
1060.000000	60.099	35.9320
1075.000000	60.269	38.9239
1090.000000	60.430	41.5274
1106.000000	60.587	43.9053
1120.000000	60.721	45.7336
1138.000000	60.898	47.8904
1150.000000	61.017	49.2894
1172.000000	61.234	51.9187
1180.000000	61.313	52.9130
1206.000000	61.583	56.2902
1220.000000	61.736	58.1868
1241.000000	61.974	61.0625
1250.000000	62.080	62.2845
1265.000000	62.259	64.2910
1280.000000	62.440	66.2532
1315.000000	62.839	70.6683
1320.000000	62.888	71.2833
1340.000000	63.050	73.7193
1360.000000	63.159	76.1547
1380.000000	63.233	78.6597
1400.000000	63.301	81.2884
1430.000000	63.426	85.4398
1450.000000	63.537	88.2866
1475.000000	63.711	91.8824
1500.000000	63.914	95.4780
1525.000000	64.131	99.0357
1550.000000	64.357	102.5406
1575.000000	64.586	105.9975
1600.000000	64.811	109.4332
1625.000000	65.036	112.9344
1650.000000	65.274	116.5560
1675.000000	65.522	120.1911
1700.000000	65.765	123.6521
1725.000000	66.002	126.8526
1750.000000	66.241	129.8310
1775.000000	66.486	132.6290
1800.000000	66.734	135.2249
1825.000000	66.983	137.5806
1850.000000	67.232	139.6992
1875.000000	67.482	141.6328
1900.000000	67.733	143.4764
1925.000000	67.985	145.3267
1950.000000	68.242	147.2469
1975.000000	68.504	149.2392
2000.000000	68.766	151.2363
2030.000000	69.074	153.5248
2060.000000	69.375	155.6345
2090.000000	69.670	157.5666
2120.000000	69.957	159.2814
2140.000000	70.139	160.2589
2180.000000	70.472	161.7264
2200.000000	70.621	162.2190
2240.000000	70.881	162.8121
2270.000000	71.039	162.9645
2300.000000	71.157	162.8784
2330.000000	71.230	162.5622
2360.000000	71.255	162.0804
2400.000000	71.212	161.4309
2430.000000	71.131	161.1679
2470.000000	70.967	161.3348
2500.000000	70.804	161.8589
2540.000000	70.539	162.9609
2580.000000	70.226	164.3545
2620.000000	69.876	165.9852
2650.000000	69.600	167.3908
2690.000000	69.223	169.5370
2720.000000	68.935	171.3695
2760.000000	68.552	174.1455
2800.000000	68.179	177.2602
2850.000000	67.721	-178.5815
2900.000000	67.272	-174.2146
2950.000000	66.846	-169.5335
3000.000000	66.444	-164.6057
3040.000000	66.135	-160.6537
3070.000000	65.910	-157.7578
3110.000000	65.619	-154.0236
3150.000000	65.340	-150.4171
3200.000000	65.009	-146.0168
3250.000000	64.699	-141.6569
3300.000000	64.407	-137.2544
3350.000000	64.127	-132.6993
3400.000000	63.860	-127.8727
3450.000000	63.605	-122.7267
3500.000000	63.363	-117.3594
3550.000000	63.131	-111.9496
3600.000000	62.910	-106.6256
3650.000000	62.703	-101.3801
3700.000000	62.516	-96.0732
3750.000000	62.355	-90.5613
3820.000000	62.171	-82.5107
3870.000000	62.060	-76.6784
3950.000000	61.903	-67.4534
4000.000000	61.815	-61.7554
4060.000000	61.715	-54.9135
4120.000000	61.620	-48.0310
4180.000000	61.526	-41.0945
4250.000000	61.426	-32.8495
4310.000000	61.358	-25.6382
4370.000000	61.308	-18.4173
4440.000000	61.283	-10.0789
4500.000000	61.300	-2.9867
4550.000000	61.344	2.8843
4620.000000	61.445	10.9987
4680.000000	61.562	17.8432
4750.000000	61.735	25.6530
4820.000000	61.935	33.0048
4870.000000	62.088	37.7841
4940.000000	62.314	43.7719
5000.000000	62.522	48.4064
5080.000000	62.813	54.0330
5150.000000	63.065	58.3149
5220.000000	63.297	61.8263
5300.000000	63.525	64.8207
5380.000000	63.695	66.7537
5450.000000	63.786	67.7039
5520.000000	63.823	68.2128
5600.000000	63.808	68.6819
5700.000000	63.723	69.8119
5800.000000	63.599	72.0363
5900.000000	63.476	75.2111
6000.000000	63.375	78.6024
6080.000000	63.312	81.0681
6150.000000	63.275	83.1212
6220.000000	63.265	85.3250
6300.000000	63.291	88.2789
6400.000000	63.391	92.6466
6500.000000	63.566	97.2386
6600.000000	63.815	101.2659
6700.000000	64.141	104.2773
6800.000000	64.548	106.1818
6900.000000	65.032	107.0793
7000.000000	65.593	107.3792
7100.000000	66.231	107.4280
7200.000000	66.927	106.9890
7300.000000	67.647	105.4801
7400.000000	68.350	102.5127
7500.000000	68.990	98.1064
7620.000000	69.603	91.3696
7750.000000	69.976	83.0822
7880.000000	69.965	74.6643
8000.000000	69.615	67.4197
8120.000000	68.989	60.8972
8250.000000	68.096	54.6950
8380.000000	67.099	49.3764
8500.000000	66.182	45.1012
8620.000000	65.326	41.1903
8750.000000	64.496	37.0898
8850.000000	63.928	34.0998
9000.000000	63.188	30.4446
9120.000000	62.683	28.4747
9250.000000	62.209	27.1414
9380.000000	61.811	26.1363
9500.000000	61.509	24.8817
9620.000000	61.272	22.9626
9750.000000	61.090	20.2306
9880.000000	60.987	17.1406
10000.000000	60.958	14.0979
10150.000000	60.998	9.9296
10300.000000	61.106	5.0901
10440.000000	61.256	-0.2676
10600.000000	61.474	-7.7722
10750.000000	61.705	-16.7507
10900.000000	61.930	-27.9927
11060.000000	62.129	-42.0954
11200.000000	62.237	-55.4291
11380.000000	62.239	-72.8299
11500.000000	62.137	-84.1962
11720.000000	61.729	-104.0828
11800.000000	61.516	-111.0336
12060.000000	60.612	-133.4201
12200.000000	60.014	-145.5371
12410.000000	59.029	-163.5222
12500.000000	58.591	-171.0331
12650.000000	57.859	176.9220
12800.000000	57.137	165.5704
13150.000000	55.478	141.2769
13200.000000	55.244	137.9888
13400.000000	54.331	125.0073
13600.000000	53.491	112.0931
13800.000000	52.783	99.6361
14000.000000	52.248	88.2346
14300.000000	51.772	72.7773
14500.000000	51.642	62.6223
14750.000000	51.641	49.5865
15000.000000	51.778	36.5164
15250.000000	52.003	22.9101
15500.000000	52.259	7.1586
15750.000000	52.530	-12.2366
16000.000000	52.817	-35.6723
16250.000000	53.078	-62.7312
16500.000000	53.193	-93.0984
16750.000000	53.048	-125.8251
17000.000000	52.616	-158.7592
17250.000000	51.941	170.4369
17500.000000	51.118	143.0718
17750.000000	50.257	118.8921
18000.000000	49.454	96.8000
18250.000000	48.776	76.1120
18500.000000	48.252	56.7612
18750.000000	47.869	38.3874
19000.000000	47.602	20.3140
19250.000000	47.416	2.4234
