* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Soundpeats Runfree Lite, Soundpeats Runfree Lite, Soundpeats Runfree Lite
* Dated: 29-Mar-2023 12:52:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Runfree Lite
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	40.789
20.600000	40.810
20.900000	40.842
21.200001	40.750
21.400000	40.598
21.799999	40.114
22.000000	39.870
22.400000	39.720
22.700001	40.003
23.000000	40.542
23.299999	41.189
23.600000	41.790
24.000000	42.368
24.299999	42.608
24.700001	42.712
25.000000	42.685
25.400000	42.633
25.799999	42.676
26.200001	42.870
26.500000	43.101
26.900000	43.455
27.200001	43.721
27.600000	44.043
28.000000	44.327
28.500000	44.643
29.000000	44.940
29.500000	45.238
30.000000	45.562
30.400000	45.851
30.700001	46.082
31.100000	46.393
31.500000	46.690
32.000000	47.025
32.500000	47.334
33.000000	47.642
33.500000	47.963
34.000000	48.285
34.500000	48.588
35.000000	48.866
35.500000	49.121
36.000000	49.360
36.500000	49.588
37.000000	49.814
37.500000	50.048
38.200001	50.398
38.700001	50.652
39.500000	51.031
40.000000	51.249
40.599998	51.502
41.200001	51.753
41.799999	52.003
42.500000	52.303
43.099998	52.572
43.700001	52.842
44.400002	53.128
45.000000	53.345
45.500000	53.516
46.200001	53.771
46.799999	54.012
47.500000	54.309
48.200001	54.596
48.700001	54.784
49.400002	55.024
50.000000	55.227
50.799999	55.515
51.500000	55.792
52.200001	56.075
53.000000	56.377
53.799999	56.639
54.500000	56.844
55.200001	57.041
56.000000	57.273
57.000000	57.581
58.000000	57.898
59.000000	58.209
60.000000	58.507
60.799999	58.741
61.500000	58.949
62.200001	59.159
63.000000	59.398
64.000000	59.697
65.000000	59.996
66.000000	60.289
67.000000	60.569
68.000000	60.837
69.000000	61.101
70.000000	61.369
71.000000	61.644
72.000000	61.918
73.000000	62.184
74.000000	62.440
75.000000	62.691
76.199997	62.989
77.500000	63.308
78.800003	63.622
80.000000	63.911
81.199997	64.201
82.500000	64.515
83.800003	64.825
85.000000	65.108
86.199997	65.382
87.500000	65.671
88.500000	65.890
90.000000	66.216
91.199997	66.480
92.500000	66.767
93.800003	67.053
95.000000	67.313
96.199997	67.568
97.500000	67.838
98.800003	68.102
100.000000	68.342
101.500000	68.640
103.000000	68.938
104.400002	69.214
106.000000	69.525
107.500000	69.809
109.000000	70.086
110.599998	70.373
112.000000	70.616
113.800003	70.922
115.000000	71.119
117.199997	71.465
118.000000	71.586
120.599998	71.957
122.000000	72.143
124.099998	72.405
125.000000	72.511
126.500000	72.681
128.000000	72.841
131.500000	73.171
132.000000	73.213
134.000000	73.363
136.000000	73.487
138.000000	73.583
140.000000	73.652
143.000000	73.704
145.000000	73.706
147.500000	73.676
150.000000	73.612
152.500000	73.514
155.000000	73.387
157.500000	73.240
160.000000	73.077
162.500000	72.904
165.000000	72.725
167.500000	72.545
170.000000	72.368
172.500000	72.196
175.000000	72.031
177.500000	71.874
180.000000	71.726
182.500000	71.585
185.000000	71.452
187.500000	71.327
190.000000	71.212
192.500000	71.107
195.000000	71.010
197.500000	70.919
200.000000	70.830
203.000000	70.722
206.000000	70.613
209.000000	70.504
212.000000	70.392
214.000000	70.316
218.000000	70.158
220.000000	70.077
224.000000	69.913
227.000000	69.786
230.000000	69.656
233.000000	69.521
236.000000	69.380
240.000000	69.184
243.000000	69.028
247.000000	68.809
250.000000	68.639
254.000000	68.408
258.000000	68.178
262.000000	67.944
265.000000	67.764
269.000000	67.519
272.000000	67.332
276.000000	67.084
280.000000	66.839
285.000000	66.536
290.000000	66.234
295.000000	65.935
300.000000	65.638
304.000000	65.402
307.000000	65.228
311.000000	65.003
315.000000	64.786
320.000000	64.527
325.000000	64.284
330.000000	64.058
335.000000	63.847
340.000000	63.649
345.000000	63.464
350.000000	63.292
355.000000	63.133
360.000000	62.984
365.000000	62.849
370.000000	62.728
375.000000	62.620
382.000000	62.494
387.000000	62.418
395.000000	62.320
400.000000	62.273
406.000000	62.231
412.000000	62.202
418.000000	62.185
425.000000	62.180
431.000000	62.188
437.000000	62.206
444.000000	62.238
450.000000	62.274
455.000000	62.306
462.000000	62.351
468.000000	62.390
475.000000	62.436
482.000000	62.481
487.000000	62.514
494.000000	62.559
500.000000	62.595
508.000000	62.642
515.000000	62.685
522.000000	62.726
530.000000	62.768
538.000000	62.804
545.000000	62.828
552.000000	62.846
560.000000	62.861
570.000000	62.871
580.000000	62.877
590.000000	62.882
600.000000	62.884
608.000000	62.880
615.000000	62.873
622.000000	62.863
630.000000	62.848
640.000000	62.821
650.000000	62.780
660.000000	62.728
670.000000	62.671
680.000000	62.614
690.000000	62.558
700.000000	62.504
710.000000	62.448
720.000000	62.389
730.000000	62.326
740.000000	62.259
750.000000	62.191
762.000000	62.105
775.000000	62.007
788.000000	61.910
800.000000	61.829
812.000000	61.757
825.000000	61.682
838.000000	61.608
850.000000	61.542
862.000000	61.485
875.000000	61.433
885.000000	61.401
900.000000	61.360
912.000000	61.329
925.000000	61.298
938.000000	61.274
950.000000	61.259
962.000000	61.250
975.000000	61.246
988.000000	61.248
1000.000000	61.253
1015.000000	61.258
1030.000000	61.261
1044.000000	61.264
1060.000000	61.272
1075.000000	61.286
1090.000000	61.309
1106.000000	61.341
1120.000000	61.375
1138.000000	61.428
1150.000000	61.475
1172.000000	61.596
1180.000000	61.655
1206.000000	61.917
1220.000000	62.113
1241.000000	62.493
1250.000000	62.688
1265.000000	63.051
1280.000000	63.458
1315.000000	64.534
1320.000000	64.697
1340.000000	65.357
1360.000000	66.012
1380.000000	66.634
1400.000000	67.198
1430.000000	67.908
1450.000000	68.282
1475.000000	68.637
1500.000000	68.882
1525.000000	69.038
1550.000000	69.134
1575.000000	69.190
1600.000000	69.226
1625.000000	69.261
1650.000000	69.312
1675.000000	69.377
1700.000000	69.460
1725.000000	69.563
1750.000000	69.690
1775.000000	69.839
1800.000000	70.008
1825.000000	70.190
1850.000000	70.380
1875.000000	70.574
1900.000000	70.771
1925.000000	70.967
1950.000000	71.161
1975.000000	71.350
2000.000000	71.536
2030.000000	71.749
2060.000000	71.946
2090.000000	72.120
2120.000000	72.274
2140.000000	72.369
2180.000000	72.547
2200.000000	72.631
2240.000000	72.783
2270.000000	72.881
2300.000000	72.965
2330.000000	73.035
2360.000000	73.093
2400.000000	73.161
2430.000000	73.208
2470.000000	73.267
2500.000000	73.313
2540.000000	73.372
2580.000000	73.418
2620.000000	73.447
2650.000000	73.461
2690.000000	73.469
2720.000000	73.464
2760.000000	73.439
2800.000000	73.392
2850.000000	73.304
2900.000000	73.186
2950.000000	73.032
3000.000000	72.835
3040.000000	72.641
3070.000000	72.472
3110.000000	72.201
3150.000000	71.861
3200.000000	71.334
3250.000000	70.794
3300.000000	70.375
3350.000000	70.016
3400.000000	69.593
3450.000000	69.099
3500.000000	68.582
3550.000000	68.081
3600.000000	67.625
3650.000000	67.239
3700.000000	66.954
3750.000000	66.798
3820.000000	66.818
3870.000000	66.995
3950.000000	67.513
4000.000000	67.948
4060.000000	68.543
4120.000000	69.187
4180.000000	69.852
4250.000000	70.632
4310.000000	71.296
4370.000000	71.955
4440.000000	72.707
4500.000000	73.333
4550.000000	73.836
4620.000000	74.501
4680.000000	75.026
4750.000000	75.568
4820.000000	76.031
4870.000000	76.324
4940.000000	76.707
5000.000000	77.025
5080.000000	77.403
5150.000000	77.614
5220.000000	77.632
5300.000000	77.366
5380.000000	76.816
5450.000000	76.159
5520.000000	75.403
5600.000000	74.499
5700.000000	73.428
5800.000000	72.534
5900.000000	71.892
6000.000000	71.485
6080.000000	71.251
6150.000000	71.058
6220.000000	70.850
6300.000000	70.594
6400.000000	70.275
6500.000000	69.989
6600.000000	69.756
6700.000000	69.588
6800.000000	69.488
6900.000000	69.463
7000.000000	69.520
7100.000000	69.661
7200.000000	69.892
7300.000000	70.211
7400.000000	70.620
7500.000000	71.123
7620.000000	71.864
7750.000000	72.840
7880.000000	73.961
8000.000000	75.021
8120.000000	75.942
8250.000000	76.580
8380.000000	76.688
8500.000000	76.281
8620.000000	75.451
8750.000000	74.216
8850.000000	73.130
9000.000000	71.424
9120.000000	70.069
9250.000000	68.651
9380.000000	67.303
9500.000000	66.131
9620.000000	65.039
9750.000000	63.963
9880.000000	63.007
10000.000000	62.227
10150.000000	61.375
10300.000000	60.628
10440.000000	60.001
10600.000000	59.354
10750.000000	58.816
10900.000000	58.348
11060.000000	57.924
11200.000000	57.605
11380.000000	57.248
11500.000000	57.044
11720.000000	56.781
11800.000000	56.735
12060.000000	56.853
12200.000000	57.127
12410.000000	57.851
12500.000000	58.282
12650.000000	59.153
12800.000000	60.169
13150.000000	62.461
13200.000000	62.694
13400.000000	63.163
13600.000000	62.725
13800.000000	61.368
14000.000000	59.375
14300.000000	56.528
14500.000000	55.436
14750.000000	54.706
15000.000000	54.471
15250.000000	54.638
15500.000000	54.490
15750.000000	53.584
16000.000000	52.001
16250.000000	50.045
16500.000000	48.123
16750.000000	46.662
17000.000000	45.878
17250.000000	45.687
17500.000000	45.868
17750.000000	46.236
18000.000000	46.683
18250.000000	47.153
18500.000000	47.620
18750.000000	48.053
19000.000000	48.376
19250.000000	48.489
19500.000000	48.340
19750.000000	48.008
