* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 17-Jun-2024 13:07:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Space R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.624	92.6959
20.600000	76.819	89.9531
20.900000	76.929	86.4460
21.200001	76.876	83.0013
21.400000	76.763	81.1049
21.799999	76.502	78.8649
22.000000	76.443	78.4827
22.400000	76.619	78.1566
22.700001	76.969	77.1758
23.000000	77.360	75.0039
23.299999	77.657	71.8104
23.600000	77.790	68.1748
24.000000	77.725	63.9002
24.299999	77.602	61.8889
24.700001	77.589	61.0755
25.000000	77.818	61.2054
25.400000	78.387	60.7667
25.799999	78.994	58.6114
26.200001	79.379	54.9117
26.500000	79.452	51.6260
26.900000	79.271	47.2802
27.200001	78.985	44.4335
27.600000	78.542	41.5305
28.000000	78.207	39.6812
28.500000	78.140	38.3701
29.000000	78.451	37.4052
29.500000	78.930	36.2566
30.000000	79.360	34.6470
30.400000	79.572	32.8781
30.700001	79.631	31.2099
31.100000	79.575	28.5081
31.500000	79.386	25.3209
32.000000	79.039	20.9601
32.500000	78.684	16.7799
33.000000	78.432	13.4541
33.500000	78.333	11.2904
34.000000	78.353	10.0692
34.500000	78.406	9.3238
35.000000	78.420	8.7084
35.500000	78.372	8.0939
36.000000	78.283	7.4359
36.500000	78.181	6.6662
37.000000	78.070	5.7262
37.500000	77.941	4.6427
38.200001	77.742	3.0513
38.700001	77.624	1.9127
39.500000	77.544	0.0029
40.000000	77.548	-1.2377
40.599998	77.562	-2.6587
41.200001	77.543	-3.9094
41.799999	77.481	-4.9750
42.500000	77.383	-6.0861
43.099998	77.310	-7.0617
43.700001	77.236	-8.0646
44.400002	77.115	-9.0063
45.000000	76.991	-9.4549
45.500000	76.898	-9.7161
46.200001	76.796	-10.3465
46.799999	76.712	-11.2499
47.500000	76.608	-12.4076
48.200001	76.522	-13.3339
48.700001	76.478	-13.8238
49.400002	76.437	-14.3531
50.000000	76.416	-14.7534
50.799999	76.412	-15.3787
51.500000	76.411	-16.0584
52.200001	76.391	-16.7289
53.000000	76.343	-17.2968
53.799999	76.293	-17.6722
54.500000	76.265	-18.0282
55.200001	76.248	-18.5639
56.000000	76.218	-19.3170
57.000000	76.168	-20.0409
58.000000	76.158	-20.4866
59.000000	76.180	-21.1320
60.000000	76.179	-21.9536
60.799999	76.171	-22.4898
61.500000	76.179	-22.8566
62.200001	76.207	-23.2424
63.000000	76.248	-23.8109
64.000000	76.274	-24.6643
65.000000	76.264	-25.5008
66.000000	76.239	-26.2640
67.000000	76.223	-26.9534
68.000000	76.226	-27.5834
69.000000	76.238	-28.2652
70.000000	76.249	-29.1055
71.000000	76.256	-30.1305
72.000000	76.257	-31.2396
73.000000	76.255	-32.2812
74.000000	76.260	-33.2272
75.000000	76.271	-34.1226
76.199997	76.279	-35.1489
77.500000	76.271	-36.2313
78.800003	76.257	-37.3588
80.000000	76.248	-38.4879
81.199997	76.240	-39.6880
82.500000	76.234	-41.0449
83.800003	76.233	-42.4056
85.000000	76.228	-43.6460
86.199997	76.209	-44.8913
87.500000	76.173	-46.2185
88.500000	76.140	-47.1864
90.000000	76.086	-48.5444
91.199997	76.037	-49.5588
92.500000	75.980	-50.5354
93.800003	75.918	-51.3818
95.000000	75.859	-52.1389
96.199997	75.800	-52.9682
97.500000	75.735	-53.9514
98.800003	75.671	-54.9777
100.000000	75.612	-55.9537
101.500000	75.541	-57.2002
103.000000	75.467	-58.4247
104.400002	75.394	-59.5243
106.000000	75.309	-60.7550
107.500000	75.229	-61.8996
109.000000	75.150	-63.0165
110.599998	75.067	-64.1523
112.000000	74.986	-65.0693
113.800003	74.864	-66.1730
115.000000	74.777	-66.9514
117.199997	74.624	-68.4649
118.000000	74.573	-68.9734
120.599998	74.417	-70.4428
122.000000	74.321	-71.2240
124.099998	74.163	-72.3169
125.000000	74.098	-72.7500
126.500000	73.999	-73.4870
128.000000	73.908	-74.2775
131.500000	73.660	-76.0107
132.000000	73.618	-76.2159
