* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -36.5 dBFS, measurement signal peak level -34.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 03-Jul-2023 11:33:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SoundPEATS Wings2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.353	154.2798
20.299999	75.065	165.7354
20.600000	74.897	176.8940
20.900000	74.792	-172.8037
21.200001	74.639	-163.4531
21.400000	74.469	-157.5198
21.799999	73.949	-145.9373
22.000000	73.598	-140.0865
22.400000	72.723	-127.9559
22.700001	71.902	-118.0149
23.000000	70.913	-106.4979
23.299999	69.783	-92.7041
23.600000	68.627	-76.7356
24.000000	67.319	-53.2544
24.299999	66.663	-35.1747
24.700001	66.218	-10.9236
25.000000	66.208	7.6561
25.400000	66.747	32.6709
25.799999	67.838	55.8319
26.200001	69.051	74.9783
26.500000	69.842	86.6577
26.900000	70.689	99.7646
27.200001	71.199	108.5842
27.600000	71.762	119.5190
28.000000	72.202	129.5020
28.500000	72.535	140.5223
29.000000	72.578	150.2039
29.500000	72.320	159.0488
30.000000	71.797	167.2751
30.400000	71.220	173.1359
30.700001	70.702	176.8278
31.100000	69.889	-179.6145
31.500000	68.923	-178.0151
32.000000	67.538	-179.4148
32.500000	66.205	174.7198
33.000000	65.504	164.5052
33.500000	65.855	151.7494
34.000000	66.978	139.6411
34.500000	68.304	130.8453
35.000000	69.534	126.2052
35.500000	70.578	125.1108
36.000000	71.436	126.3223
36.500000	72.120	128.6377
37.000000	72.624	131.1035
37.500000	72.940	133.2585
38.200001	73.102	135.5315
38.700001	73.080	136.5146
39.500000	72.920	136.5898
40.000000	72.793	135.7838
40.599998	72.698	134.3322
41.200001	72.772	132.5992
41.799999	73.042	130.6725
42.500000	73.545	128.4800
43.099998	74.080	126.8730
43.700001	74.637	125.3169
44.400002	75.180	123.2465
45.000000	75.476	121.4429
45.500000	75.614	120.2422
46.200001	75.730	119.1497
46.799999	75.826	118.4397
47.500000	75.950	117.3572
48.200001	76.061	115.8964
48.700001	76.124	114.7644
49.400002	76.205	113.2866
50.000000	76.284	112.1885
50.799999	76.411	110.8492
51.500000	76.530	109.6376
52.200001	76.641	108.3341
53.000000	76.766	106.7610
53.799999	76.920	105.1138
54.500000	77.107	103.4878
55.200001	77.323	101.5121
56.000000	77.539	98.9944
57.000000	77.752	96.3456
58.000000	77.963	94.3411
59.000000	78.078	92.4330
60.000000	78.034	91.0209
60.799999	77.959	90.3018
61.500000	77.905	89.6844
62.200001	77.870	88.8969
63.000000	77.850	87.7737
64.000000	77.861	86.2629
65.000000	77.931	84.9084
66.000000	78.051	83.7717
67.000000	78.180	82.8240
68.000000	78.271	81.9929
69.000000	78.300	81.2686
70.000000	78.284	80.6411
71.000000	78.256	79.9958
72.000000	78.237	79.2220
73.000000	78.226	78.3149
74.000000	78.215	77.4231
75.000000	78.216	76.6968
76.199997	78.250	76.0696
77.500000	78.344	75.5433
78.800003	78.486	74.9565
80.000000	78.625	74.2310
81.199997	78.730	73.3981
82.500000	78.796	72.6173
83.800003	78.852	72.0375
85.000000	78.924	71.5037
86.199997	79.013	70.8586
87.500000	79.108	70.1161
88.500000	79.166	69.6630
90.000000	79.235	69.3185
91.199997	79.285	69.2050
92.500000	79.337	68.9720
93.800003	79.386	68.4376
95.000000	79.429	67.7101
96.199997	79.476	66.8778
97.500000	79.532	66.0011
98.800003	79.584	65.2646
100.000000	79.619	64.7394
101.500000	79.641	64.3127
103.000000	79.667	64.0619
104.400002	79.716	63.7554
106.000000	79.789	63.1372
107.500000	79.860	62.3752
109.000000	79.927	61.5934
110.599998	79.999	60.8634
112.000000	80.061	60.3147
113.800003	80.128	59.6602
115.000000	80.160	59.2151
117.199997	80.207	58.2731
118.000000	80.222	57.8860
120.599998	80.275	56.7155
122.000000	80.320	56.2422
124.099998	80.416	55.6255
125.000000	80.463	55.3330
126.500000	80.543	54.7512
128.000000	80.613	54.0391
131.500000	80.657	52.4048
132.000000	80.652	52.2393
134.000000	80.637	51.7308
136.000000	80.641	51.3564
138.000000	80.672	50.9706
140.000000	80.709	50.4556
143.000000	80.734	49.5178
145.000000	80.742	48.9553
147.500000	80.764	48.5094
150.000000	80.781	48.5154
152.500000	80.783	48.8630
155.000000	80.780	48.9182
157.500000	80.767	48.2880
160.000000	80.749	47.3818
162.500000	80.737	46.7046
165.000000	80.730	46.3547
167.500000	80.730	46.1150
170.000000	80.735	45.8922
172.500000	80.736	45.7595
175.000000	80.727	45.6320
177.500000	80.710	45.4182
180.000000	80.704	45.1345
182.500000	80.701	44.7834
185.000000	80.665	44.4431
187.500000	80.593	44.2455
190.000000	80.522	44.1848
192.500000	80.476	44.1615
195.000000	80.444	44.1024
197.500000	80.413	44.0046
200.000000	80.399	43.9038
203.000000	80.426	43.8313
206.000000	80.493	43.8640
209.000000	80.571	43.9576
212.000000	80.642	44.0103
214.000000	80.679	44.0106
218.000000	80.723	43.9742
220.000000	80.728	43.9417
224.000000	80.708	43.8705
227.000000	80.675	43.8356
230.000000	80.649	43.8479
233.000000	80.643	43.9302
236.000000	80.651	44.0433
240.000000	80.661	44.1414
243.000000	80.672	44.1653
247.000000	80.696	44.1730
250.000000	80.716	44.1885
254.000000	80.739	44.3091
258.000000	80.750	44.5181
262.000000	80.743	44.6410
265.000000	80.738	44.6951
269.000000	80.736	44.8584
272.000000	80.729	45.0616
276.000000	80.716	45.3705
280.000000	80.719	45.6990
285.000000	80.748	46.0295
290.000000	80.790	46.0844
295.000000	80.839	45.9814
300.000000	80.889	46.0043
304.000000	80.918	46.2341
307.000000	80.933	46.4863
311.000000	80.950	46.8197
315.000000	80.966	47.0975
320.000000	80.974	47.3666
325.000000	80.967	47.5269
330.000000	80.979	47.4757
335.000000	81.024	47.3536
340.000000	81.084	47.5175
345.000000	81.120	47.8700
350.000000	81.117	48.0542
355.000000	81.094	47.9629
360.000000	81.085	47.8296
365.000000	81.093	47.8029
370.000000	81.094	47.8365
375.000000	81.082	47.8855
382.000000	81.049	48.0042
387.000000	81.022	48.2172
395.000000	80.971	48.8801
400.000000	80.927	49.3256
406.000000	80.876	49.7029
412.000000	80.827	50.0944
418.000000	80.764	50.7961
425.000000	80.682	52.1144
431.000000	80.631	53.5127
437.000000	80.609	55.0033
444.000000	80.622	56.9413
450.000000	80.684	58.8373
455.000000	80.788	60.4812
462.000000	81.004	62.4503
468.000000	81.228	63.5674
475.000000	81.506	64.3951
482.000000	81.778	65.0020
487.000000	81.958	65.3242
494.000000	82.182	65.6418
500.000000	82.345	65.8647
508.000000	82.535	66.1763
515.000000	82.693	66.4849
522.000000	82.846	66.8146
530.000000	83.017	67.1046
538.000000	83.181	67.3110
545.000000	83.316	67.5303
552.000000	83.438	67.8214
560.000000	83.558	68.1935
570.000000	83.669	68.6776
580.000000	83.748	69.2206
590.000000	83.832	69.6613
600.000000	83.913	69.9336
608.000000	83.980	70.2228
615.000000	84.048	70.6316
622.000000	84.123	71.1711
630.000000	84.209	71.8422
640.000000	84.315	72.5856
650.000000	84.430	73.2587
660.000000	84.551	74.0221
670.000000	84.672	74.8120
680.000000	84.785	75.5515
690.000000	84.896	76.3322
700.000000	85.004	77.1837
710.000000	85.098	78.0505
720.000000	85.182	78.8816
730.000000	85.271	79.6377
740.000000	85.379	80.3639
750.000000	85.505	81.0936
762.000000	85.665	81.9504
775.000000	85.834	82.9232
788.000000	85.984	84.0911
800.000000	86.118	85.2958
812.000000	86.270	86.4561
825.000000	86.462	87.5593
838.000000	86.657	88.4685
850.000000	86.819	89.2057
862.000000	86.964	89.9299
875.000000	87.123	90.6497
885.000000	87.253	91.1105
900.000000	87.463	91.6761
912.000000	87.644	92.0699
925.000000	87.848	92.4647
938.000000	88.055	92.8525
950.000000	88.247	93.2300
962.000000	88.441	93.6417
975.000000	88.654	94.1406
988.000000	88.870	94.6954
1000.000000	89.076	95.2288
1015.000000	89.338	95.8236
1030.000000	89.599	96.2510
1044.000000	89.841	96.5073
1060.000000	90.121	96.7032
1075.000000	90.393	96.8667
1090.000000	90.678	97.0350
1106.000000	91.001	97.1769
1120.000000	91.294	97.2162
1138.000000	91.673	97.1538
1150.000000	91.925	97.0754
1172.000000	92.383	96.8660
1180.000000	92.549	96.7612
1206.000000	93.104	96.3308
1220.000000	93.411	96.0605
1241.000000	93.870	95.6268
1250.000000	94.067	95.4408
1265.000000	94.399	95.1432
