* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Soundcore Liberty 3 Pro L, Soundcore Liberty 3 Pro R
* Dated: 03-May-2023 21:09:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	78.929
20.600000	78.960
20.900000	79.048
21.200001	79.161
21.400000	79.234
21.799999	79.363
22.000000	79.418
22.400000	79.509
22.700001	79.559
23.000000	79.588
23.299999	79.598
23.600000	79.593
24.000000	79.576
24.299999	79.571
24.700001	79.589
25.000000	79.621
25.400000	79.671
25.799999	79.702
26.200001	79.685
26.500000	79.633
26.900000	79.524
27.200001	79.426
27.600000	79.311
28.000000	79.244
28.500000	79.255
29.000000	79.354
29.500000	79.493
30.000000	79.622
30.400000	79.691
30.700001	79.715
31.100000	79.706
31.500000	79.652
32.000000	79.540
32.500000	79.420
33.000000	79.342
33.500000	79.339
34.000000	79.396
34.500000	79.467
35.000000	79.512
35.500000	79.522
36.000000	79.523
36.500000	79.540
37.000000	79.578
37.500000	79.620
38.200001	79.651
38.700001	79.647
39.500000	79.607
40.000000	79.559
40.599998	79.476
41.200001	79.381
41.799999	79.307
42.500000	79.280
43.099998	79.308
43.700001	79.363
44.400002	79.417
45.000000	79.421
45.500000	79.386
46.200001	79.293
46.799999	79.204
47.500000	79.117
48.200001	79.047
48.700001	78.999
49.400002	78.932
50.000000	78.875
50.799999	78.802
51.500000	78.733
52.200001	78.654
53.000000	78.555
53.799999	78.466
54.500000	78.415
55.200001	78.391
56.000000	78.379
57.000000	78.332
58.000000	78.227
59.000000	78.097
60.000000	77.973
60.799999	77.880
61.500000	77.805
62.200001	77.742
63.000000	77.690
64.000000	77.644
65.000000	77.604
66.000000	77.557
67.000000	77.498
68.000000	77.433
69.000000	77.359
70.000000	77.272
71.000000	77.176
72.000000	77.079
73.000000	76.992
74.000000	76.919
75.000000	76.852
76.199997	76.763
77.500000	76.652
78.800003	76.545
80.000000	76.460
81.199997	76.383
82.500000	76.305
83.800003	76.225
85.000000	76.144
86.199997	76.061
87.500000	75.970
88.500000	75.895
90.000000	75.780
91.199997	75.691
92.500000	75.592
93.800003	75.486
95.000000	75.380
96.199997	75.273
97.500000	75.159
98.800003	75.046
100.000000	74.942
101.500000	74.810
103.000000	74.676
104.400002	74.552
106.000000	74.415
107.500000	74.287
109.000000	74.153
110.599998	74.004
112.000000	73.876
113.800003	73.713
115.000000	73.605
117.199997	73.406
118.000000	73.333
120.599998	73.096
122.000000	72.971
124.099998	72.787
125.000000	72.710
126.500000	72.580
128.000000	72.448
131.500000	72.142
132.000000	72.099
134.000000	71.930
136.000000	71.764
138.000000	71.601
140.000000	71.440
143.000000	71.202
145.000000	71.037
147.500000	70.822
150.000000	70.609
152.500000	70.409
155.000000	70.233
157.500000	70.080
160.000000	69.938
162.500000	69.790
165.000000	69.632
167.500000	69.471
170.000000	69.310
172.500000	69.140
175.000000	68.967
177.500000	68.801
180.000000	68.642
182.500000	68.481
185.000000	68.321
187.500000	68.172
190.000000	68.046
192.500000	67.943
195.000000	67.856
197.500000	67.776
200.000000	67.691
203.000000	67.576
206.000000	67.459
209.000000	67.354
212.000000	67.253
214.000000	67.184
218.000000	67.047
220.000000	66.984
224.000000	66.868
227.000000	66.789
230.000000	66.719
233.000000	66.653
236.000000	66.585
240.000000	66.486
243.000000	66.409
247.000000	66.308
250.000000	66.233
254.000000	66.134
258.000000	66.036
262.000000	65.935
265.000000	65.857
269.000000	65.752
272.000000	65.680
276.000000	65.599
280.000000	65.533
285.000000	65.467
290.000000	65.409
295.000000	65.360
300.000000	65.313
304.000000	65.267
307.000000	65.227
311.000000	65.173
315.000000	65.130
320.000000	65.111
325.000000	65.116
330.000000	65.107
335.000000	65.069
340.000000	65.020
345.000000	64.986
350.000000	64.973
355.000000	64.970
360.000000	64.962
365.000000	64.954
370.000000	64.968
375.000000	65.007
382.000000	65.073
387.000000	65.107
395.000000	65.140
400.000000	65.161
406.000000	65.200
412.000000	65.257
418.000000	65.325
425.000000	65.405
431.000000	65.468
437.000000	65.528
444.000000	65.600
450.000000	65.649
455.000000	65.671
462.000000	65.687
468.000000	65.715
475.000000	65.788
482.000000	65.899
487.000000	65.988
494.000000	66.109
500.000000	66.200
508.000000	66.300
515.000000	66.369
522.000000	66.431
530.000000	66.508
538.000000	66.600
545.000000	66.687
552.000000	66.779
560.000000	66.884
570.000000	67.005
580.000000	67.109
590.000000	67.207
600.000000	67.300
608.000000	67.368
615.000000	67.423
622.000000	67.475
630.000000	67.532
640.000000	67.598
650.000000	67.659
660.000000	67.715
670.000000	67.765
680.000000	67.803
690.000000	67.828
700.000000	67.842
710.000000	67.850
720.000000	67.861
730.000000	67.873
740.000000	67.881
750.000000	67.885
762.000000	67.888
775.000000	67.894
788.000000	67.909
800.000000	67.925
812.000000	67.938
825.000000	67.954
838.000000	67.980
850.000000	68.010
862.000000	68.042
875.000000	68.080
885.000000	68.117
900.000000	68.189
912.000000	68.253
925.000000	68.316
938.000000	68.372
950.000000	68.425
962.000000	68.484
975.000000	68.560
988.000000	68.644
1000.000000	68.728
1015.000000	68.841
1030.000000	68.959
1044.000000	69.072
1060.000000	69.198
1075.000000	69.310
1090.000000	69.416
1106.000000	69.529
1120.000000	69.629
1138.000000	69.755
1150.000000	69.834
1172.000000	69.967
1180.000000	70.013
1206.000000	70.156
1220.000000	70.227
1241.000000	70.329
1250.000000	70.371
1265.000000	70.441
1280.000000	70.508
1315.000000	70.652
1320.000000	70.670
1340.000000	70.737
1360.000000	70.803
1380.000000	70.875
1400.000000	70.953
1430.000000	71.078
1450.000000	71.167
1475.000000	71.288
1500.000000	71.428
1525.000000	71.593
1550.000000	71.780
1575.000000	71.977
1600.000000	72.174
1625.000000	72.373
1650.000000	72.580
1675.000000	72.794
1700.000000	73.017
1725.000000	73.247
1750.000000	73.488
1775.000000	73.742
1800.000000	74.011
1825.000000	74.294
1850.000000	74.587
1875.000000	74.884
1900.000000	75.183
1925.000000	75.481
1950.000000	75.775
1975.000000	76.062
2000.000000	76.338
2030.000000	76.654
2060.000000	76.950
2090.000000	77.227
2120.000000	77.485
2140.000000	77.645
2180.000000	77.928
2200.000000	78.049
2240.000000	78.248
2270.000000	78.362
2300.000000	78.445
2330.000000	78.497
2360.000000	78.520
2400.000000	78.509
2430.000000	78.472
2470.000000	78.391
2500.000000	78.311
2540.000000	78.181
2580.000000	78.033
2620.000000	77.872
2650.000000	77.743
2690.000000	77.554
2720.000000	77.398
2760.000000	77.173
2800.000000	76.932
2850.000000	76.621
2900.000000	76.300
2950.000000	75.961
3000.000000	75.604
3040.000000	75.310
3070.000000	75.087
3110.000000	74.789
3150.000000	74.490
3200.000000	74.121
3250.000000	73.758
3300.000000	73.407
3350.000000	73.074
3400.000000	72.765
3450.000000	72.483
3500.000000	72.228
3550.000000	72.003
3600.000000	71.819
3650.000000	71.688
3700.000000	71.623
3750.000000	71.639
3820.000000	71.829
3870.000000	72.100
3950.000000	72.756
4000.000000	73.270
4060.000000	73.922
4120.000000	74.516
4180.000000	74.959
4250.000000	75.208
4310.000000	75.181
4370.000000	74.963
4440.000000	74.546
4500.000000	74.118
4550.000000	73.754
4620.000000	73.272
4680.000000	72.902
4750.000000	72.526
4820.000000	72.207
4870.000000	72.011
4940.000000	71.773
5000.000000	71.592
5080.000000	71.370
5150.000000	71.195
5220.000000	71.039
5300.000000	70.882
5380.000000	70.738
5450.000000	70.618
5520.000000	70.503
5600.000000	70.377
5700.000000	70.227
5800.000000	70.087
5900.000000	69.966
6000.000000	69.873
6080.000000	69.825
6150.000000	69.799
6220.000000	69.781
6300.000000	69.768
6400.000000	69.759
6500.000000	69.752
6600.000000	69.749
6700.000000	69.754
6800.000000	69.774
6900.000000	69.821
7000.000000	69.908
7100.000000	70.043
7200.000000	70.226
7300.000000	70.459
7400.000000	70.739
7500.000000	71.064
7620.000000	71.509
7750.000000	72.062
7880.000000	72.695
8000.000000	73.350
8120.000000	74.066
8250.000000	74.895
8380.000000	75.755
8500.000000	76.552
8620.000000	77.325
8750.000000	78.104
8850.000000	78.642
9000.000000	79.320
9120.000000	79.728
9250.000000	80.015
9380.000000	80.135
9500.000000	80.098
9620.000000	79.934
9750.000000	79.635
9880.000000	79.249
10000.000000	78.849
10150.000000	78.333
10300.000000	77.825
10440.000000	77.357
10600.000000	76.803
10750.000000	76.233
10900.000000	75.591
11060.000000	74.819
11200.000000	74.076
11380.000000	73.063
11500.000000	72.373
11720.000000	71.119
11800.000000	70.670
12060.000000	69.253
12200.000000	68.531
12410.000000	67.520
12500.000000	67.113
12650.000000	66.464
12800.000000	65.842
13150.000000	64.426
13200.000000	64.224
13400.000000	63.464
13600.000000	62.923
13800.000000	62.790
14000.000000	63.064
14300.000000	63.747
14500.000000	64.045
14750.000000	64.003
15000.000000	63.566
15250.000000	63.159
15500.000000	63.189
15750.000000	63.710
16000.000000	64.569
16250.000000	65.630
16500.000000	66.797
16750.000000	67.979
17000.000000	69.094
17250.000000	70.071
17500.000000	70.856
17750.000000	71.405
18000.000000	71.691
18250.000000	71.700
18500.000000	71.415
18750.000000	70.797
19000.000000	69.780
19250.000000	68.308
19500.000000	66.395
19750.000000	64.248
