* Measurement data measured by REW V5.30.5
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30-Jan-2024 15:17:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Soundcore Liberty 4 NC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.639	16.3667
20.600000	70.778	15.4239
20.900000	70.954	14.2389
21.200001	71.141	12.9434
21.400000	71.265	12.0361
21.799999	71.502	10.1241
22.000000	71.612	9.1230
22.400000	71.810	7.0511
22.700001	71.940	5.4569
23.000000	72.055	3.8445
23.299999	72.159	2.2205
23.600000	72.254	0.5835
24.000000	72.372	-1.6342
24.299999	72.456	-3.3373
24.700001	72.565	-5.6770
25.000000	72.644	-7.4866
25.400000	72.750	-9.9645
25.799999	72.857	-12.4940
26.200001	72.971	-15.0405
26.500000	73.062	-16.9398
26.900000	73.191	-19.4333
27.200001	73.294	-21.2633
27.600000	73.433	-23.6414
28.000000	73.569	-25.9478
28.500000	73.725	-28.7384
29.000000	73.861	-31.4512
29.500000	73.980	-34.1338
30.000000	74.089	-36.8446
30.400000	74.176	-39.0577
30.700001	74.240	-40.7403
31.100000	74.326	-42.9914
31.500000	74.413	-45.2174
32.000000	74.522	-47.9215
32.500000	74.632	-50.5312
33.000000	74.739	-53.0793
33.500000	74.840	-55.6067
34.000000	74.933	-58.1353
34.500000	75.022	-60.6677
35.000000	75.112	-63.1968
35.500000	75.202	-65.7116
36.000000	75.290	-68.1992
36.500000	75.373	-70.6521
37.000000	75.450	-73.0738
37.500000	75.520	-75.4711
38.200001	75.608	-78.7782
38.700001	75.671	-81.0867
39.500000	75.782	-84.6891
40.000000	75.856	-86.9162
40.599998	75.943	-89.5949
41.200001	76.020	-92.2810
41.799999	76.091	-94.9592
42.500000	76.168	-98.0487
43.099998	76.233	-100.6431
43.700001	76.296	-103.1840
44.400002	76.368	-106.1247
45.000000	76.428	-108.6710
45.500000	76.476	-110.8136
46.200001	76.546	-113.8004
46.799999	76.607	-116.2970
47.500000	76.675	-119.0820
48.200001	76.735	-121.7276
48.700001	76.776	-123.5900
49.400002	76.837	-126.2899
50.000000	76.888	-128.7486
50.799999	76.949	-132.1230
51.500000	77.004	-134.9941
52.200001	77.064	-137.7326
53.000000	77.132	-140.7729
53.799999	77.186	-143.7962
54.500000	77.224	-146.4586
55.200001	77.261	-149.1472
56.000000	77.305	-152.2352
57.000000	77.361	-156.0586
58.000000	77.417	-159.8024
59.000000	77.477	-163.4932
60.000000	77.540	-167.1848
60.799999	77.586	-170.1478
61.500000	77.618	-172.7303
62.200001	77.644	-175.2864
63.000000	77.672	-178.1700
64.000000	77.709	178.2609
65.000000	77.745	174.6931
66.000000	77.777	171.1026
67.000000	77.806	167.5031
68.000000	77.834	163.9168
69.000000	77.862	160.3377
70.000000	77.891	156.7476
71.000000	77.917	153.1530
72.000000	77.933	149.5912
73.000000	77.938	146.0936
74.000000	77.935	142.6657
75.000000	77.930	139.2952
76.199997	77.916	135.2907
77.500000	77.886	130.9579
78.800003	77.852	126.6275
80.000000	77.826	122.6607
81.199997	77.803	118.7302
82.500000	77.771	114.4843
83.800003	77.727	110.2455
85.000000	77.676	106.3767
86.199997	77.620	102.5722
87.500000	77.550	98.5327
88.500000	77.491	95.4870
90.000000	77.400	90.9859
91.199997	77.329	87.4201
92.500000	77.250	83.5981
93.800003	77.164	79.8321
95.000000	77.082	76.4176
96.199997	76.999	73.0606
97.500000	76.905	69.4813
98.800003	76.805	65.9606
100.000000	76.710	62.7609
101.500000	76.594	58.7959
103.000000	76.475	54.8475
104.400002	76.357	51.2278
106.000000	76.215	47.2195
107.500000	76.084	43.5649
109.000000	75.960	39.9451
110.599998	75.837	36.0833
112.000000	75.730	32.7359
113.800003	75.581	28.5263
115.000000	75.478	25.7767
117.199997	75.302	20.8368
118.000000	75.242	19.0748
120.599998	75.044	13.4681
122.000000	74.938	10.4923
124.099998	74.785	6.0760
125.000000	74.720	4.2094
126.500000	74.611	1.1243
128.000000	74.504	-1.9219
131.500000	74.274	-8.8387
132.000000	74.242	-9.8168
134.000000	74.116	-13.7146
136.000000	73.993	-17.5753
138.000000	73.877	-21.3771
140.000000	73.766	-25.1178
143.000000	73.602	-30.7144
145.000000	73.497	-34.4261
147.500000	73.371	-38.9045
150.000000	73.251	-43.2297
152.500000	73.132	-47.5858
155.000000	73.017	-52.0205
157.500000	72.908	-56.4445
160.000000	72.803	-60.8280
162.500000	72.698	-65.1904
165.000000	72.596	-69.5233
167.500000	72.496	-73.8399
170.000000	72.398	-78.1784
172.500000	72.303	-82.5588
175.000000	72.207	-86.9594
177.500000	72.107	-91.3894
180.000000	72.003	-95.8582
182.500000	71.904	-100.3518
185.000000	71.813	-104.8508
187.500000	71.724	-109.3551
190.000000	71.643	-113.9007
192.500000	71.573	-118.4855
195.000000	71.511	-123.0549
197.500000	71.452	-127.5629
200.000000	71.396	-132.0157
203.000000	71.339	-137.3253
206.000000	71.287	-142.6344
209.000000	71.236	-147.9492
212.000000	71.185	-153.2562
214.000000	71.151	-156.7938
218.000000	71.086	-163.8029
220.000000	71.052	-167.2592
224.000000	70.979	-174.1840
227.000000	70.920	-179.4479
230.000000	70.860	175.2637
233.000000	70.799	170.0188
236.000000	70.739	164.8552
240.000000	70.658	158.1082
243.000000	70.592	153.1454
247.000000	70.504	146.6633
250.000000	70.449	141.9073
254.000000	70.400	135.6243
258.000000	70.378	129.2961
262.000000	70.368	122.8771
265.000000	70.362	117.9819
269.000000	70.356	111.3610
272.000000	70.351	106.3927
276.000000	70.341	99.8234
