* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -36.5 dBFS, measurement signal peak level -32.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 14:01:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Soundcore P2i R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.636	83.5587
20.299999	73.735	82.5144
20.600000	73.854	81.5491
20.900000	73.989	80.6728
21.200001	74.134	79.8949
21.400000	74.232	79.4349
21.799999	74.425	78.6602
22.000000	74.518	78.3462
22.400000	74.691	77.8618
22.700001	74.810	77.6133
23.000000	74.916	77.4446
23.299999	75.011	77.3301
23.600000	75.092	77.2446
24.000000	75.176	77.1422
24.299999	75.220	77.0594
24.700001	75.256	76.9378
25.000000	75.269	76.8382
25.400000	75.278	76.6835
25.799999	75.285	76.4727
26.200001	75.295	76.1718
26.500000	75.306	75.8806
26.900000	75.326	75.4191
27.200001	75.346	75.0374
27.600000	75.381	74.5062
28.000000	75.427	73.9692
28.500000	75.494	73.3187
29.000000	75.564	72.7534
29.500000	75.632	72.3547
30.000000	75.701	72.1663
30.400000	75.760	72.1412
30.700001	75.806	72.1659
31.100000	75.866	72.2164
31.500000	75.919	72.2605
32.000000	75.969	72.2944
32.500000	76.000	72.3171
33.000000	76.014	72.3430
33.500000	76.018	72.3687
34.000000	76.018	72.3767
34.500000	76.018	72.3527
35.000000	76.018	72.3010
35.500000	76.020	72.2431
36.000000	76.027	72.2000
36.500000	76.039	72.1799
37.000000	76.056	72.1870
37.500000	76.071	72.2349
38.200001	76.086	72.4145
38.700001	76.094	72.6337
39.500000	76.110	73.0693
40.000000	76.118	73.3420
40.599998	76.119	73.6576
41.200001	76.110	73.9898
41.799999	76.095	74.3594
42.500000	76.078	74.8188
43.099998	76.063	75.2054
43.700001	76.044	75.5828
44.400002	76.016	76.0451
45.000000	75.989	76.4853
45.500000	75.967	76.8776
46.200001	75.940	77.4385
46.799999	75.915	77.9243
47.500000	75.887	78.5252
48.200001	75.867	79.1737
48.700001	75.859	79.6468
49.400002	75.849	80.2962
50.000000	75.834	80.8496
50.799999	75.795	81.6260
51.500000	75.747	82.3730
52.200001	75.692	83.1991
53.000000	75.632	84.2248
53.799999	75.581	85.2641
54.500000	75.540	86.1277
55.200001	75.497	86.9469
56.000000	75.442	87.8671
57.000000	75.370	89.0490
58.000000	75.299	90.3002
59.000000	75.231	91.6216
60.000000	75.159	93.0066
60.799999	75.096	94.1635
61.500000	75.039	95.2014
62.200001	74.982	96.2463
63.000000	74.916	97.4370
64.000000	74.838	98.9155
65.000000	74.766	100.3848
66.000000	74.697	101.8800
67.000000	74.630	103.4577
68.000000	74.564	105.1127
69.000000	74.492	106.8103
70.000000	74.407	108.5687
71.000000	74.316	110.3993
72.000000	74.233	112.2455
73.000000	74.160	114.0198
74.000000	74.086	115.6857
75.000000	73.996	117.3395
76.199997	73.873	119.5157
77.500000	73.751	122.1305
78.800003	73.647	124.8494
80.000000	73.556	127.3577
81.199997	73.461	129.8258
82.500000	73.350	132.4407
83.800003	73.232	135.0357
85.000000	73.123	137.4564
86.199997	73.014	139.9102
87.500000	72.893	142.6458
88.500000	72.798	144.8308
90.000000	72.658	148.2089
91.199997	72.549	150.9459
92.500000	72.432	153.8920
93.800003	72.312	156.8048
95.000000	72.195	159.4925
96.199997	72.075	162.2199
97.500000	71.944	165.2455
98.800003	71.819	168.3343
100.000000	71.714	171.2027
101.500000	71.594	174.7493
103.000000	71.474	178.2513
104.400002	71.357	-178.4603
106.000000	71.221	-174.6519
107.500000	71.096	-171.0624
109.000000	70.974	-167.4848
110.599998	70.847	-163.6921
112.000000	70.733	-160.3784
113.800003	70.581	-156.1105
115.000000	70.473	-153.2455
117.199997	70.269	-147.9166
118.000000	70.197	-145.9658
120.599998	69.964	-139.6308
122.000000	69.839	-136.1955
124.099998	69.655	-130.9614
125.000000	69.579	-128.6848
126.500000	69.457	-124.8453
128.000000	69.340	-120.9573
131.500000	69.082	-111.8084
132.000000	69.045	-110.4969
134.000000	68.893	-105.2283
136.000000	68.740	-99.9177
138.000000	68.587	-94.5464
140.000000	68.436	-89.0803
143.000000	68.219	-80.7091
145.000000	68.077	-75.1160
147.500000	67.899	-68.2137
150.000000	67.731	-61.3515
152.500000	67.583	-54.3894
155.000000	67.445	-47.2662
157.500000	67.299	-40.0569
160.000000	67.142	-32.8783
162.500000	66.980	-25.7100
165.000000	66.816	-18.4170
167.500000	66.652	-10.9463
170.000000	66.490	-3.4060
172.500000	66.335	4.0744
175.000000	66.186	11.5186
177.500000	66.042	19.0569
180.000000	65.901	26.7774
182.500000	65.767	34.6288
185.000000	65.644	42.4711
187.500000	65.540	50.2173
190.000000	65.459	57.8515
192.500000	65.393	65.3866
195.000000	65.329	72.8567
197.500000	65.258	80.2967
200.000000	65.174	87.7248
203.000000	65.060	96.6264
206.000000	64.951	105.5435
209.000000	64.856	114.5647
212.000000	64.761	123.7367
214.000000	64.691	129.9127
218.000000	64.543	142.3150
220.000000	64.470	148.5075
224.000000	64.332	160.8663
227.000000	64.231	170.1812
230.000000	64.131	179.6006
233.000000	64.035	-170.8900
236.000000	63.945	-161.3340
240.000000	63.821	-148.5507
243.000000	63.722	-138.9430
247.000000	63.586	-126.1290
250.000000	63.486	-116.5070
254.000000	63.363	-103.5814
258.000000	63.244	-90.4849
262.000000	63.126	-77.3070
265.000000	63.046	-67.4481
269.000000	62.961	-54.3132
272.000000	62.918	-44.4055
276.000000	62.889	-31.1020
280.000000	62.882	-17.7930
285.000000	62.888	-1.3005
290.000000	62.889	15.0322
295.000000	62.857	31.2699
300.000000	62.791	47.5063
304.000000	62.732	60.5951
307.000000	62.692	70.4898
311.000000	62.638	83.7648
315.000000	62.578	97.0892
320.000000	62.495	113.7551
325.000000	62.417	130.4205
330.000000	62.347	147.1298
335.000000	62.289	163.9254
340.000000	62.248	-179.2180
345.000000	62.212	-162.3463
350.000000	62.174	-145.5003
355.000000	62.130	-128.6873
360.000000	62.075	-111.8499
365.000000	62.011	-94.9142
370.000000	61.950	-77.8405
375.000000	61.905	-60.6678
382.000000	61.860	-36.5839
387.000000	61.828	-19.3965
395.000000	61.790	8.0828
400.000000	61.783	25.2690
406.000000	61.776	45.9171
412.000000	61.752	66.5716
418.000000	61.717	87.2335
425.000000	61.673	111.4144
431.000000	61.642	132.2543
437.000000	61.622	153.2065
444.000000	61.602	177.7262
450.000000	61.584	-161.2959
455.000000	61.577	-143.8881
462.000000	61.588	-119.5858
468.000000	61.613	-98.7177
475.000000	61.651	-74.2583
482.000000	61.680	-49.7081
487.000000	61.690	-32.1779
494.000000	61.698	-7.7021
500.000000	61.712	13.2542
508.000000	61.740	41.2806
515.000000	61.761	65.8997
522.000000	61.771	90.5444
530.000000	61.773	118.7139
538.000000	61.764	146.9298
545.000000	61.750	171.6779
552.000000	61.735	-163.5181
560.000000	61.724	-135.0923
570.000000	61.716	-99.4667
580.000000	61.713	-63.8252
590.000000	61.717	-28.1987
600.000000	61.730	7.4927
608.000000	61.747	36.1268
615.000000	61.766	61.2351
622.000000	61.784	86.3904
630.000000	61.801	115.1992
640.000000	61.814	151.3311
650.000000	61.825	-172.4077
660.000000	61.851	-136.0548
670.000000	61.889	-99.5817
680.000000	61.915	-62.9481
690.000000	61.924	-26.2437
700.000000	61.935	10.3855
710.000000	61.958	46.9841
720.000000	61.986	83.6553
730.000000	62.011	120.3828
740.000000	62.035	157.1191
750.000000	62.057	-166.1284
762.000000	62.081	-122.0176
775.000000	62.118	-74.2844
788.000000	62.176	-26.5935
800.000000	62.240	17.4072
812.000000	62.296	61.4414
825.000000	62.346	109.2637
838.000000	62.389	157.2185
850.000000	62.428	-158.4473
862.000000	62.466	-114.0635
875.000000	62.509	-65.8857
885.000000	62.543	-28.7266
900.000000	62.594	27.1895
912.000000	62.639	72.0637
925.000000	62.691	120.8413
938.000000	62.747	169.7954
950.000000	62.804	-144.9380
962.000000	62.868	-99.6262
975.000000	62.942	-50.4690
988.000000	63.020	-1.2607
1000.000000	63.090	44.2222
1015.000000	63.169	101.2112
1030.000000	63.242	158.3428
1044.000000	63.310	-148.2212
1060.000000	63.396	-87.0120
1075.000000	63.484	-29.5420
1090.000000	63.559	27.9380
1106.000000	63.622	89.3079
1120.000000	63.675	143.1550
1138.000000	63.752	-147.3770
1150.000000	63.808	-100.9888
1172.000000	63.920	-15.8555
1180.000000	63.963	15.1719
1206.000000	64.110	116.3591
1220.000000	64.197	170.9614
1241.000000	64.335	-107.1294
1250.000000	64.398	-72.0276
1265.000000	64.508	-13.4824
1280.000000	64.621	45.1499
1315.000000	64.845	-177.8057
1320.000000	64.868	-158.2119
1340.000000	64.934	-79.8188
1360.000000	64.965	-1.4204
1380.000000	64.962	77.0620
1400.000000	64.941	155.7764
1430.000000	64.938	-85.5938
1450.000000	64.981	-6.2056
1475.000000	65.076	93.2236
1500.000000	65.207	-167.2563
1525.000000	65.360	-67.6475
1550.000000	65.510	32.1880
1575.000000	65.657	132.2944
1600.000000	65.816	-127.3945
1625.000000	65.984	-26.9282
1650.000000	66.154	73.7178
1675.000000	66.333	174.4775
1700.000000	66.529	-84.7607
1725.000000	66.733	15.9922
1750.000000	66.930	116.7837
1775.000000	67.117	-142.3442
1800.000000	67.303	-41.3594
1825.000000	67.497	59.7534
1850.000000	67.703	161.0005
1875.000000	67.915	-97.6538
1900.000000	68.124	3.7441
1925.000000	68.324	105.2109
1950.000000	68.519	-153.1895
1975.000000	68.716	-51.4092
2000.000000	68.913	50.5391
2030.000000	69.136	173.0322
2060.000000	69.337	-64.3589
2090.000000	69.532	58.3115
2120.000000	69.728	-178.9668
2140.000000	69.858	-97.1069
2180.000000	70.106	66.8340
2200.000000	70.215	148.9673
2240.000000	70.397	-46.3418
2270.000000	70.513	77.5815
2300.000000	70.625	-158.1699
2330.000000	70.729	-33.6230
2360.000000	70.820	91.1885
2400.000000	70.922	-102.0176
2430.000000	70.982	23.3252
2470.000000	71.045	-169.3604
2500.000000	71.080	-43.8311
2540.000000	71.110	123.5537
2580.000000	71.120	-68.9707
2620.000000	71.116	98.7461
2650.000000	71.107	-135.2490
2690.000000	71.097	33.0703
2720.000000	71.093	159.5684
2760.000000	71.086	-31.3916
2800.000000	71.077	138.0098
2850.000000	71.080	-10.0332
2900.000000	71.083	-158.1855
2950.000000	71.069	53.5781
3000.000000	71.043	-94.2891
3040.000000	71.019	75.9463
3070.000000	70.995	-156.0674
3110.000000	70.955	14.9141
3150.000000	70.912	-173.7988
3200.000000	70.858	40.6543
3250.000000	70.795	-104.5361
3300.000000	70.713	110.6699
3350.000000	70.609	-33.6484
3400.000000	70.476	-177.4150
3450.000000	70.315	39.4316
3500.000000	70.130	-103.0566
3550.000000	69.931	115.1543
3600.000000	69.727	-25.9727
3650.000000	69.519	-166.5596
3700.000000	69.304	53.2871
3750.000000	69.088	-86.3857
3820.000000	68.786	-136.7910
3870.000000	68.576	85.2715
3950.000000	68.245	81.7148
4000.000000	68.024	-55.1455
4060.000000	67.738	-147.1523
4120.000000	67.443	121.1143
4180.000000	67.150	29.6602
4250.000000	66.805	-16.7168
4310.000000	66.496	-107.5605
4370.000000	66.185	162.0254
4440.000000	65.839	117.1309
4500.000000	65.569	27.7227
4550.000000	65.368	-106.3633
4620.000000	65.119	-149.3125
4680.000000	64.929	123.1719
4750.000000	64.720	81.7617
4820.000000	64.508	40.9531
4870.000000	64.353	-90.6406
4940.000000	64.140	-130.1602
5000.000000	63.971	145.1777
5080.000000	63.775	152.8750
5150.000000	63.649	114.6406
5220.000000	63.571	75.9805
5300.000000	63.521	82.6543
5380.000000	63.499	89.2168
5450.000000	63.510	50.4668
5520.000000	63.551	12.5234
5600.000000	63.625	21.5234
5700.000000	63.740	123.7949
5800.000000	63.889	-133.0391
5900.000000	64.085	-29.2676
6000.000000	64.300	74.6152
6080.000000	64.454	85.4531
6150.000000	64.557	49.6172
6220.000000	64.613	13.5234
6300.000000	64.599	23.6035
6400.000000	64.444	126.4941
6500.000000	64.132	-129.8105
6600.000000	63.680	-24.8789
6700.000000	63.126	81.7402
6800.000000	62.521	-169.5898
6900.000000	61.923	-58.9336
7000.000000	61.381	53.3926
7100.000000	60.936	167.2246
7200.000000	60.606	-77.5820
7300.000000	60.383	38.6172
7400.000000	60.261	155.5547
7500.000000	60.247	-86.6172
7620.000000	60.390	128.3984
7750.000000	60.696	33.2695
7880.000000	61.060	-60.4062
8000.000000	61.411	158.7656
8120.000000	61.803	18.7812
8250.000000	62.319	-72.1328
8380.000000	62.987	-162.5352
8500.000000	63.764	58.7266
8620.000000	64.660	-80.6523
8750.000000	65.653	-173.4961
8850.000000	66.337	-52.8672
9000.000000	67.073	-54.3984
9120.000000	67.297	159.3789
9250.000000	67.111	61.5156
9380.000000	66.509	-34.5547
9500.000000	65.674	-176.6094
9620.000000	64.681	43.1484
9750.000000	63.545	-46.8945
9880.000000	62.445	-135.0078
10000.000000	61.518	90.0156
10150.000000	60.507	103.8047
10300.000000	59.659	120.6953
10440.000000	58.998	91.0898
10600.000000	58.364	162.4219
10750.000000	57.873	-174.0547
10900.000000	57.466	-149.1562
11060.000000	57.128	-72.8203
11200.000000	56.918	-94.2227
11380.000000	56.743	86.2422
11500.000000	56.674	-32.4297
11720.000000	56.639	-8.9688
11800.000000	56.654	32.3516
12060.000000	56.789	-103.8281
12200.000000	56.907	-121.8477
12410.000000	57.140	-148.1914
12500.000000	57.258	-56.3203
12650.000000	57.478	-22.9688
12800.000000	57.716	10.6133
13150.000000	58.237	-28.8242
13200.000000	58.302	-136.9062
13400.000000	58.546	151.9023
13600.000000	58.777	81.7812
13800.000000	59.020	11.8398
14000.000000	59.315	-57.6328
14300.000000	59.876	21.0938
14500.000000	60.288	-44.5078
14750.000000	60.806	144.2500
15000.000000	61.340	-26.5156
15250.000000	61.864	163.0781
15500.000000	62.286	-7.9375
15750.000000	62.458	179.1641
16000.000000	62.222	4.3828
16250.000000	61.509	-169.7734
16500.000000	60.366	20.3594
16750.000000	58.959	-142.9297
17000.000000	57.518	60.3047
17250.000000	56.262	-91.3359
17500.000000	55.345	120.5000
17750.000000	54.822	-25.9531
18000.000000	54.633	-173.5000
18250.000000	54.596	32.2031
18500.000000	54.474	-140.5547
18750.000000	54.066	5.8359
19000.000000	53.263	78.6641
19250.000000	52.083	45.3438
19500.000000	50.672	-133.5625
19750.000000	49.286	-166.8281
