* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -29.3 dBFS, measurement signal peak level -28.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 10-May-2023 23:06:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Soundcore P3i R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.265	82.0605
20.299999	69.334	80.6514
20.600000	69.409	79.1782
20.900000	69.494	77.6483
21.200001	69.591	76.0629
21.400000	69.661	74.9762
21.799999	69.809	72.7515
22.000000	69.884	71.6320
22.400000	70.034	69.4353
22.700001	70.143	67.8794
23.000000	70.250	66.4484
23.299999	70.356	65.1619
23.600000	70.464	64.0199
24.000000	70.610	62.6983
24.299999	70.721	61.8233
24.700001	70.867	60.7590
25.000000	70.971	60.0032
25.400000	71.097	59.0212
25.799999	71.201	58.0572
26.200001	71.283	57.1191
26.500000	71.332	56.4381
26.900000	71.385	55.5546
27.200001	71.419	54.8936
27.600000	71.463	53.9819
28.000000	71.504	53.0013
28.500000	71.552	51.6615
29.000000	71.594	50.2295
29.500000	71.635	48.7643
30.000000	71.681	47.3114
30.400000	71.726	46.1699
30.700001	71.764	45.3274
31.100000	71.818	44.2278
31.500000	71.876	43.1661
32.000000	71.950	41.9144
32.500000	72.026	40.7594
33.000000	72.104	39.6832
33.500000	72.179	38.6470
34.000000	72.246	37.6201
34.500000	72.299	36.6017
35.000000	72.339	35.6067
35.500000	72.368	34.6382
36.000000	72.393	33.6773
36.500000	72.417	32.6995
37.000000	72.439	31.6913
37.500000	72.459	30.6534
38.200001	72.483	29.1628
38.700001	72.496	28.0851
39.500000	72.509	26.3929
40.000000	72.515	25.3867
40.599998	72.522	24.2397
41.200001	72.531	23.1398
41.799999	72.539	22.0686
42.500000	72.544	20.8500
43.099998	72.543	19.8280
43.700001	72.536	18.8127
44.400002	72.523	17.6268
45.000000	72.505	16.6154
45.500000	72.487	15.7824
46.200001	72.459	14.6343
46.799999	72.433	13.6708
47.500000	72.403	12.5782
48.200001	72.374	11.5163
48.700001	72.354	10.7697
49.400002	72.320	9.7409
50.000000	72.281	8.8854
50.799999	72.215	7.7917
51.500000	72.150	6.8635
52.200001	72.081	5.9459
53.000000	72.002	4.9140
53.799999	71.922	3.9135
54.500000	71.850	3.0756
55.200001	71.775	2.2929
56.000000	71.687	1.4883
57.000000	71.580	0.6008
58.000000	71.478	-0.2275
59.000000	71.377	-1.0673
60.000000	71.270	-1.9353
60.799999	71.177	-2.6255
61.500000	71.093	-3.2085
62.200001	71.007	-3.7592
63.000000	70.908	-4.3353
64.000000	70.790	-4.9763
65.000000	70.677	-5.5573
66.000000	70.569	-6.0996
67.000000	70.463	-6.6236
68.000000	70.354	-7.1459
