* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Oct-2023 09:53:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Soundcore Space A40 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.758	-76.4777
20.600000	73.803	-76.9614
20.900000	73.916	-77.9824
21.200001	74.049	-79.0954
21.400000	74.146	-79.8279
21.799999	74.354	-81.2229
22.000000	74.462	-81.8698
22.400000	74.683	-83.0581
22.700001	74.848	-83.8665
23.000000	75.007	-84.6234
23.299999	75.158	-85.3569
23.600000	75.300	-86.0943
24.000000	75.476	-87.1237
24.299999	75.600	-87.9506
24.700001	75.756	-89.1295
25.000000	75.870	-90.0559
25.400000	76.018	-91.3136
25.799999	76.164	-92.5551
26.200001	76.306	-93.7525
26.500000	76.410	-94.6192
26.900000	76.539	-95.7422
27.200001	76.628	-96.5686
27.600000	76.734	-97.6545
28.000000	76.826	-98.7168
28.500000	76.927	-99.9945
29.000000	77.022	-101.2116
29.500000	77.114	-102.3917
30.000000	77.203	-103.5703
30.400000	77.266	-104.5237
30.700001	77.307	-105.2436
31.100000	77.354	-106.2048
31.500000	77.396	-107.1647
32.000000	77.448	-108.3643
32.500000	77.501	-109.5642
33.000000	77.557	-110.7505
33.500000	77.612	-111.8976
34.000000	77.666	-112.9821
34.500000	77.716	-113.9980
35.000000	77.762	-114.9559
35.500000	77.803	-115.8756
36.000000	77.841	-116.7765
36.500000	77.876	-117.6711
37.000000	77.907	-118.5606
37.500000	77.932	-119.4342
38.200001	77.959	-120.6027
38.700001	77.975	-121.3922
39.500000	78.002	-122.6035
40.000000	78.018	-123.3420
40.599998	78.035	-124.2089
41.200001	78.052	-125.0504
41.799999	78.070	-125.8697
42.500000	78.091	-126.8026
43.099998	78.107	-127.5788
43.700001	78.122	-128.3316
44.400002	78.136	-129.1839
45.000000	78.144	-129.8879
45.500000	78.147	-130.4455
46.200001	78.150	-131.1758
46.799999	78.155	-131.7685
47.500000	78.163	-132.4473
48.200001	78.173	-133.1223
48.700001	78.181	-133.6016
49.400002	78.188	-134.2681
50.000000	78.189	-134.8331
50.799999	78.180	-135.5644
51.500000	78.169	-136.1722
52.200001	78.158	-136.7464
53.000000	78.149	-137.3642
53.799999	78.138	-137.9572
54.500000	78.127	-138.4756
55.200001	78.114	-138.9969
56.000000	78.101	-139.5758
57.000000	78.094	-140.2439
58.000000	78.093	-140.8664
59.000000	78.089	-141.4918
