* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Oct-2023 09:54:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Soundcore Space A40 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.606	-115.6703
20.600000	74.690	-115.8745
20.900000	74.882	-116.2918
21.200001	75.065	-116.7004
21.400000	75.173	-116.9278
21.799999	75.362	-117.2631
22.000000	75.449	-117.3818
22.400000	75.620	-117.5893
22.700001	75.750	-117.7894
23.000000	75.879	-118.0860
23.299999	76.005	-118.5042
23.600000	76.125	-119.0456
24.000000	76.274	-119.9326
24.299999	76.376	-120.6769
24.700001	76.504	-121.6973
25.000000	76.595	-122.4230
25.400000	76.715	-123.2715
25.799999	76.837	-123.9484
26.200001	76.965	-124.4766
26.500000	77.064	-124.8202
26.900000	77.195	-125.2785
27.200001	77.290	-125.6692
27.600000	77.407	-126.2959
28.000000	77.511	-127.0645
28.500000	77.620	-128.2146
29.000000	77.703	-129.5061
29.500000	77.762	-130.8141
30.000000	77.809	-131.9899
30.400000	77.854	-132.7906
30.700001	77.901	-133.3308
31.100000	77.983	-134.0467
31.500000	78.081	-134.8355
32.000000	78.200	-135.9660
32.500000	78.288	-137.1461
33.000000	78.338	-138.1716
33.500000	78.368	-138.9444
34.000000	78.401	-139.5445
34.500000	78.444	-140.1421
35.000000	78.492	-140.8443
35.500000	78.540	-141.6609
36.000000	78.590	-142.5550
36.500000	78.643	-143.5008
37.000000	78.692	-144.4699
37.500000	78.728	-145.4081
38.200001	78.755	-146.5526
38.700001	78.767	-147.2352
39.500000	78.793	-148.2415
40.000000	78.813	-148.8856
40.599998	78.841	-149.6768
41.200001	78.874	-150.4775
